科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"39,325,099.55","116,046,463.07","91,833,830.73","61,001,033.63","415,071,419.84","474,178,650.82","394,292,136.71","369,936,084.99","363,205,107.89","361,377,372.29","288,899,329.20","305,920,889.54","265,196,913.80","376,665,386.10","213,267,889.41","212,171,862.31","203,069,413.47","211,665,903.76","195,792,185.98","331,830,025.96","249,196,089.13","298,370,565.67","226,030,252.65","133,410,069.38","162,293,779.76"
短期借款,"21,800,000.00","14,000,000.00","15,000,000.00","18,749,879.28","47,000,000.00","13,000,000.00","6,000,000.00","11,000,000.00","1,000,000.00","78,500,000.00","115,500,000.00","108,000,000.00","106,000,000.00","108,000,000.00","110,000,000.00","119,000,000.00","140,500,000.00","119,500,000.00","156,000,000.00","168,500,000.00","121,000,000.00","76,000,000.00","142,730,000.00","108,000,000.00","157,500,000.00"
交易性金融资产,,,,,,,,,,"7,176.57","7,176.57","7,176.57","7,176.57",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"692,200.00",,"100,000.00",,"4,659,136.40","3,267,000.00","2,116,797.18","2,300,000.00",,"1,400,000.00","1,475,000.00","8,450,720.00","11,311,275.60","5,379,314.54","10,534,730.79","27,558,737.36","16,816,222.95","11,817,212.80","22,000,541.14","43,433,574.99","23,816,847.32","13,188,980.73","11,074,750.00"
应付票据,,,"3,679,450.01","26,277,202.02","41,059,657.61","31,236,928.32","10,271,567.50","15,004,419.93","19,709,331.24","27,613,002.65","30,092,674.49","37,657,454.73","53,972,386.13","34,749,821.02","16,199,593.70","54,173,999.70","56,196,276.90","55,035,172.13","63,038,952.67","28,055,382.19","15,093,117.69","10,252,810.41","14,451,661.67","9,060,461.35","19,725,830.02"
应收账款,"38,140,679.63","47,507,428.80","108,206,892.06","126,330,688.53","156,717,799.11","118,166,642.69","148,048,792.86","185,765,393.09","175,778,295.15","206,552,047.30","246,251,012.38","289,175,384.28","275,661,584.61","603,335,604.49","575,360,142.80","645,090,694.83","726,947,301.51","767,991,492.02","739,317,671.44","786,960,192.50","796,511,991.44","746,446,065.94","681,895,410.94","717,110,380.34","640,329,244.90"
应付账款,"23,740,898.60","26,620,646.65","60,513,856.90","80,590,158.83","68,760,901.53","49,821,094.01","53,893,100.22","63,916,276.40","49,962,145.53","109,196,845.14","102,344,755.92","142,745,119.26","106,989,067.37","224,596,179.23","187,764,494.84","223,605,044.29","269,216,964.96","357,210,581.38","335,847,021.46","372,134,379.75","357,865,846.72","350,887,716.67","253,258,021.80","227,725,309.04","168,066,949.59"
预付款项,"10,327,918.86","7,657,941.90","14,618,508.67","27,612,253.15","30,367,004.84","7,972,033.78","7,538,630.21","4,972,905.82","7,693,522.88","27,928,759.55","31,650,282.42","26,207,273.07","22,413,383.40","4,715,210.33","6,305,272.68","8,282,725.20","13,951,792.88","3,249,654.96","10,591,916.79","4,035,465.97","16,831,583.82","12,269,176.05","14,934,768.50","21,853,302.68","14,440,529.74"
预收款项,"1,850,000.00","38,600.00","243,134.57","257,750.00","2,127,726.29","4,111,571.20","3,595,831.34","1,710,355.29","636,800.40","3,373,022.38","1,139,213.32","2,459,986.92","3,679,739.60","5,761,844.69","6,543,588.41","5,327,132.93","10,347,431.81","6,378,732.77","6,373,783.60","9,861,128.15","10,503,850.91","6,091,197.68","1,662,624.03","2,125,683.00","3,985,750.31"
其他应收款,"2,435,295.44","2,654,413.65","7,888,076.69","6,996,988.78","8,784,779.99","3,775,718.33","13,749,358.72","5,820,885.57","14,648,652.36","39,115,035.02","36,210,846.65","28,826,429.74","33,468,944.17","100,657,233.68","105,625,586.10","98,451,483.95","94,864,990.85","90,429,646.57","94,073,817.28","24,608,877.46","26,403,491.07","17,048,372.31","35,203,521.73","28,150,498.41","23,504,861.96"
应付职工薪酬,"3,710,866.96","2,351,447.94","7,328,992.03","6,738,521.41","9,606,015.89","12,166,439.23","3,730,528.57","3,752,678.54","5,470,276.66","8,525,275.61","3,799,302.07","4,567,564.03","4,515,836.87","10,264,707.18","3,999,973.83","4,946,082.98","4,649,222.77","11,192,956.95","3,698,346.14","5,399,369.49","4,945,267.01","12,608,746.25","5,966,441.43","6,099,386.50","6,190,356.18"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,626,011.83","8,272,763.13","16,109,037.57","-4,415,011.86","2,396,961.58","9,710,176.77","3,017,271.50","3,513,401.10","9,295,095.68","7,250,678.19","2,363,195.08","5,053,346.96","2,874,479.84","17,410,458.78","5,958,598.09","6,239,763.16","10,198,684.37","11,619,161.73","9,833,269.00","6,046,750.27","7,633,328.74","17,866,834.85","5,643,749.59","10,961,010.48","1,406,702.69"
应收利息,,,,,,,"2,444,276.98","3,187,067.27","3,741,782.84","725,792.34","1,470,791.88","2,340,978.70","3,188,932.11","579,682.22","602,608.55","136,948.07","856,425.27","629,896.43","953,051.69","72,183.27","425,030.92","323,371.63","99,259.92","3,261.37","78,272.94"
应付利息,,,,,,,,,,,,,,,,,,,,,,"171,055.56","171,055.56",,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,"15,525,288.00","8,347,276.00","8,347,276.00","5,277,031.00","5,277,031.00","5,277,031.00","5,277,031.00","5,277,031.00","5,277,031.00","5,277,031.00","5,277,031.00","5,277,031.00"
存货,"17,702,274.87","12,867,744.05","35,701,166.53","61,199,119.11","84,917,688.09","38,033,551.02","30,995,933.27","28,851,867.93","22,564,519.71","66,691,475.21","79,764,501.19","103,328,629.91","123,234,591.33","84,813,968.80","101,299,448.75","112,550,637.09","116,186,718.63","116,667,777.60","132,362,972.08","130,676,680.07","107,577,227.92","97,017,490.63","110,142,566.17","111,100,389.27","108,119,314.96"
