科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"32,436,723,396.29","75,678,003,000.00","180,506,820,000.00","34,943,024,524.81","95,213,794,000.00","153,915,661,000.00","234,619,283,000.00","60,105,836,000.00","147,920,265,000.00","241,378,768,000.00","346,367,958,000.00","85,085,346,000.00","192,461,887,000.00","294,763,482,000.00","473,122,221,000.00","97,112,539,000.00","222,528,505,000.00","335,787,695,000.00","459,701,343,000.00","78,294,328,000.00","197,604,425,000.00","318,610,734,000.00","482,688,400,000.00","97,017,806,000.00","246,790,436,000.00","381,987,954,000.00","558,798,663,000.00","117,685,702,000.00","276,224,172,000.00","429,532,563,000.00","610,328,055,000.00","125,667,524,000.00","273,373,455,000.00","430,183,900,000.00","621,088,314,000.00","127,336,899,000.00","271,722,117,000.00","441,755,675,000.00","639,406,523,000.00","133,992,358,000.00","298,750,784,000.00","470,276,759,000.00","689,944,860,000.00"
二、营业利润,"318,444,332.78","2,125,095,000.00","4,024,531,000.00","674,316,175.96","2,556,240,000.00","2,089,937,000.00","1,612,735,000.00","1,272,033,000.00","3,957,818,000.00","6,139,394,000.00","8,033,194,000.00","1,968,077,000.00","4,319,944,000.00","7,017,609,000.00","10,130,500,000.00","2,000,321,000.00","3,407,800,000.00","5,104,266,000.00","9,024,406,000.00","1,271,049,000.00","3,425,207,000.00","5,959,618,000.00","9,745,491,000.00","2,071,819,000.00","4,848,430,000.00","8,214,552,000.00","12,360,710,000.00","2,526,188,000.00","5,920,970,000.00","10,142,123,000.00","14,809,537,000.00","2,815,560,000.00","6,426,735,000.00","10,574,014,000.00","15,671,012,000.00","3,021,664,000.00","7,437,689,000.00","12,879,053,000.00","16,434,441,000.00","3,761,312,000.00","10,286,583,000.00","15,241,120,000.00","19,247,634,000.00"
减:营业成本,"28,847,919,939.60","67,220,818,000.00","161,856,591,000.00","30,778,037,899.29","84,677,987,000.00","136,983,197,000.00","209,997,465,000.00","53,826,237,000.00","134,094,825,000.00","219,014,338,000.00","314,547,284,000.00","77,318,505,000.00","174,587,916,000.00","267,358,506,000.00","431,171,824,000.00","88,327,279,000.00","202,542,975,000.00","304,894,918,000.00","412,033,049,000.00","70,251,675,000.00","177,762,687,000.00","286,750,872,000.00","431,753,561,000.00","86,661,621,000.00","223,194,547,000.00","345,661,243,000.00","501,843,047,000.00","105,364,622,000.00","248,441,366,000.00","385,584,690,000.00","544,017,469,000.00","112,600,019,000.00","244,228,655,000.00","384,477,158,000.00","554,481,540,000.00","113,967,628,000.00","247,592,726,000.00","401,913,174,000.00","584,495,432,000.00","122,053,559,000.00","271,125,363,000.00","427,378,996,000.00","625,258,020,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"929,950,830.46","2,401,139,000.00","5,453,897,000.00","1,027,742,231.69","2,807,121,000.00","4,541,381,000.00","7,373,753,000.00","1,787,684,000.00","4,568,105,000.00","7,712,069,000.00","11,009,220,000.00","2,434,494,000.00","6,072,183,000.00","9,495,030,000.00","14,815,129,000.00","2,972,966,000.00","7,053,119,000.00","10,376,329,000.00","14,947,741,000.00","2,371,538,000.00","5,964,833,000.00","9,707,520,000.00","15,198,135,000.00","2,992,988,000.00","7,463,090,000.00","11,753,628,000.00","18,289,947,000.00","3,716,230,000.00","8,564,484,000.00","13,424,404,000.00","19,594,512,000.00","3,994,101,000.00","8,437,668,000.00","13,121,658,000.00","20,001,318,000.00","4,073,294,000.00","3,884,870,000.00","5,390,767,000.00","8,001,856,000.00","1,330,950,000.00","1,874,897,000.00","3,015,015,000.00","4,643,313,000.00"
营业外收入,"43,731,777.83","189,531,000.00","469,920,000.00","71,509,397.30","269,248,000.00","352,994,000.00","511,642,000.00","36,938,000.00","154,294,000.00","332,531,000.00","766,234,000.00","142,804,000.00","230,799,000.00","307,480,000.00","632,917,000.00","164,375,000.00","229,948,000.00","324,062,000.00","786,535,000.00","67,972,000.00","203,285,000.00","349,454,000.00","1,083,443,000.00","102,417,000.00","344,792,000.00","586,028,000.00","1,379,508,000.00","117,436,000.00","278,487,000.00","472,293,000.00","1,085,987,000.00","122,143,000.00","330,830,000.00","592,593,000.00","1,302,039,000.00","246,988,000.00","616,339,000.00","729,651,000.00","1,778,419,000.00","210,142,000.00","373,526,000.00","627,054,000.00","766,109,000.00"
销售费用,"192,571,224.35","389,357,000.00","850,179,000.00","225,372,537.36","496,395,000.00","610,627,000.00","933,258,000.00","196,863,000.00","495,063,000.00","760,840,000.00","1,150,083,000.00","281,771,000.00","622,850,000.00","946,026,000.00","1,443,478,000.00","305,090,000.00","793,889,000.00","1,192,846,000.00","1,812,955,000.00","316,539,000.00","679,848,000.00","1,228,644,000.00","2,031,075,000.00","472,084,000.00","1,010,242,000.00","1,653,426,000.00","2,326,938,000.00","554,840,000.00","1,148,532,000.00","1,756,935,000.00","2,334,029,000.00","533,005,000.00","970,588,000.00","1,503,780,000.00","2,342,463,000.00","589,909,000.00","1,141,268,000.00","1,803,832,000.00","2,560,460,000.00","719,618,000.00","1,300,982,000.00","1,966,604,000.00","2,853,840,000.00"
减:营业外支出,"20,840,115.43","74,144,000.00","165,588,000.00","18,491,994.89","52,658,000.00","91,026,000.00","191,177,000.00","22,716,000.00","56,937,000.00","90,918,000.00","154,895,000.00","18,370,000.00","65,327,000.00","103,314,000.00","248,582,000.00","26,714,000.00","88,269,000.00","125,348,000.00","210,680,000.00","26,011,000.00","68,623,000.00","105,925,000.00","238,068,000.00","23,831,000.00","55,547,000.00","100,073,000.00","229,431,000.00","60,996,000.00","121,761,000.00","209,364,000.00","582,171,000.00","67,057,000.00","259,041,000.00","311,094,000.00","666,415,000.00","88,861,000.00","457,892,000.00","509,006,000.00","540,474,000.00","177,763,000.00","142,485,000.00","589,082,000.00","470,184,000.00"
管理费用,"1,952,549,354.74","2,871,130,000.00","7,663,188,000.00","1,612,160,120.16","4,086,497,000.00","6,732,494,000.00","9,192,754,000.00","2,463,389,000.00","4,710,029,000.00","7,631,441,000.00","10,914,005,000.00","2,751,373,000.00","6,229,880,000.00","9,024,661,000.00","15,024,579,000.00","3,157,095,000.00","7,537,958,000.00","11,933,785,000.00","19,126,083,000.00","3,342,565,000.00","8,274,387,000.00","12,931,014,000.00","20,920,452,000.00","4,225,815,000.00","9,407,342,000.00","13,821,477,000.00","22,248,321,000.00","4,478,683,000.00","10,185,844,000.00","16,597,415,000.00","25,834,031,000.00","5,007,742,000.00","10,913,794,000.00","17,134,479,000.00","26,621,294,000.00","5,153,480,000.00","11,136,152,000.00","18,441,163,000.00","27,078,205,000.00","5,417,712,000.00","12,456,748,000.00","20,172,899,000.00","29,973,772,000.00"
其中:非流动资产处置净损失,"2,301,709.80","41,148,000.00","79,523,000.00","7,529,008.15","8,841,000.00","2,336,000.00","57,052,000.00",,"18,309,000.00","19,100,000.00","68,911,000.00",,"32,568,000.00","33,857,000.00","57,373,000.00",,"23,375,000.00","7,098,000.00","89,154,000.00",,"26,819,000.00",,"83,190,000.00",,"17,211,000.00","59,202,000.00","67,069,000.00",,"38,502,000.00","62,647,000.00","122,333,000.00",,"59,595,000.00","51,290,000.00","185,650,000.00",,"53,545,000.00",,"167,201,000.00",,"49,091,000.00",,
