科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"28,700,390.36","117,919,529.54","322,873,544.22","112,400,849.78","151,786,752.84","177,305,666.91","32,762,315.14","67,401,406.76","102,486,993.79","135,084,353.15","26,472,718.08","69,182,068.18","109,437,005.27","149,877,964.43","29,226,795.15","61,000,676.05","92,225,956.73","120,372,270.01","22,994,565.69","48,359,424.55","70,379,021.98","101,325,460.75","24,018,603.79","78,034,051.33","116,482,178.93"
二、营业利润,"7,717,383.43","65,227,765.21","206,627,172.67","63,186,040.69","85,492,828.91","98,498,842.25","19,375,624.80","39,647,995.53","59,377,256.42","68,335,615.29","9,779,978.24","22,479,548.36","38,111,070.81","52,841,442.41","9,074,185.43","22,950,034.27","31,444,478.98","24,473,384.88","-995,365.88","144,019.06","10,917,921.33","-2,691,339.92","207,534.08","12,697,114.58","21,485,883.77"
减:营业成本,"10,307,104.46","29,302,975.89","67,356,982.19","39,062,583.73","54,627,323.68","64,641,031.25","13,069,959.27","27,015,914.14","42,802,127.37","58,045,152.18","16,464,090.61","41,984,328.56","61,856,539.19","79,263,147.86","17,411,568.73","34,088,407.97","50,910,283.73","63,721,182.65","12,926,666.77","29,751,597.02","45,259,842.53","61,533,937.27","12,993,153.03","40,105,110.00","61,856,252.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"221,769.15","924,889.29","3,892,126.76","1,576,150.28","2,032,205.96","2,381,902.45","550,308.55","875,858.06","1,351,747.22","1,556,063.01","308,515.46","674,447.30","1,196,926.68","1,597,911.46","403,152.81","804,979.35","1,022,851.65","1,179,320.88","263,640.64","559,643.59","745,318.82","2,278,766.47","767,641.54","1,815,934.66","2,700,329.74"
营业外收入,"198,300.00","1,602,751.98","3,081,939.65","1,202,336.07","3,655,473.89","6,964,500.79","780,207.62","900,299.22","1,218,640.92","3,235,238.05","798,455.08","1,435,454.35","4,884,819.12","7,033,339.86","1,674,216.35","2,680,180.00","8,087,220.14","26,825,048.27","1,557,984.50","3,708,170.29","5,392,906.20","8,813,563.37","2,675,185.20","9,819,627.78","13,833,316.94"
销售费用,"2,071,949.33","4,184,022.44","5,351,830.63","1,191,042.13","2,027,726.53","3,068,064.81","682,375.48","1,556,375.07","2,502,415.26","4,077,158.62","742,551.52","2,038,626.13","3,712,499.02","5,971,702.60","1,001,000.55","2,049,927.32","3,122,138.41","5,258,696.55","909,633.54","1,789,687.19","3,428,913.16","5,175,839.31","855,115.25","2,677,889.41","4,977,705.36"
减:营业外支出,"6,470.02","1,155,576.00","990,761.01","1,812.06","5,220.78","28,107.71","178,582.76","278,582.76","350,741.30","507,825.42","114,578.79","131,205.39","863,140.26","952,916.33",208.02,"599,271.01","601,121.01","654,952.01","15,138.34","16,070.39","47,036.79","127,147.27",,"37,365.48","176,186.82"
管理费用,"7,489,880.71","17,709,974.65","40,373,668.32","9,293,465.09","15,253,896.00","21,692,145.88","5,925,306.53","11,757,999.99","17,116,840.10","30,467,814.33","6,356,886.95","16,281,885.15","27,359,845.62","38,168,346.11","9,343,223.13","20,782,608.52","34,053,718.80","55,951,945.37","11,653,359.17","24,791,573.41","40,990,463.43","58,416,306.76","12,188,291.64","27,046,885.32","45,693,594.12"
其中:非流动资产处置净损失,,"1,076,110.81","908,139.21",,"1,812.06","24,698.99",,,,"35,217.82","6,580.64","6,580.64","735,405.49","824,208.95",,"348,912.99","348,912.99","348,912.99",,82.05,"3,126.42","70,271.88",,"4,465.48","124,700.82"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"268,955.56","578,318.10","-3,802,083.47","-1,908,902.52","-7,773,419.58","-14,422,939.49","-6,948,324.20","-13,966,467.38","-21,292,373.68","-29,071,850.24","-7,275,014.23","-14,406,644.49","-23,088,392.70","-29,180,322.76","-8,092,217.53","-19,795,300.06","-28,511,148.15","-23,432,171.49","-1,629,494.93","-3,524,933.28","-4,640,669.68","-5,266,044.84","-101,806.79","387,990.77","1,451,036.85"
三、利润总额,"7,909,213.41","65,674,941.19","208,718,351.31","64,386,564.70","89,143,082.02","105,435,235.33","19,977,249.66","40,269,711.99","60,245,156.04","71,063,027.92","10,463,854.53","23,783,797.32","42,132,749.67","58,921,865.94","10,748,193.76","25,030,943.26","38,930,578.11","50,643,481.14","547,480.28","3,836,118.96","16,263,790.74","5,995,076.18","2,882,719.28","22,479,376.88","35,143,013.89"
资产减值损失,"385,232.39","-189,173.93","2,861,973.59",,,"1,233,398.97",,"353,957.75","353,957.75","1,372,222.57",,,,"827,946.84",,"-21,854.96","-21,854.96","321,932.28","-87,081.23","-87,081.23","-87,081.23","6,994,401.90","-2,711,114.00","-4,777,824.14","-3,316,735.20"
减:所得税,"1,038,070.14","9,554,975.87","30,975,856.56","9,657,173.13","13,372,221.06","15,242,449.90","2,996,587.45","6,040,456.80","9,036,773.41","10,476,967.70","1,617,384.51","3,658,249.51","6,466,309.74","7,980,567.02","1,714,117.29","3,996,195.07","6,372,399.82","5,699,012.03","449,157.33","1,293,754.19","3,452,224.62","760,323.64","639,258.65","2,613,348.78","4,492,303.04"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-238,115.33","-180,757.89","-211,873.53",-470.38,"-126,191.34","-213,220.79","-107,064.71","-159,773.60","-275,023.35","-302,177.39","-95,709.53","-129,877.17","-288,516.65","-387,789.91","-85,882.03","-141,873.64","-205,488.27","7,102,021.11","46,792.39","5,065,081.21","26,235,686.38","25,116,406.20","180,210.96","1,919,049.27","18,365,888.63"
四、净利润,"6,871,143.27","56,119,965.32","177,742,494.75","54,729,391.57","75,770,860.96","90,192,785.43","16,980,662.21","34,229,255.19","51,208,382.63","60,586,060.22","8,846,470.02","20,125,547.81","35,666,439.93","50,941,298.92","9,034,076.47","21,034,748.19","32,558,178.29","44,944,469.11","98,322.95","2,542,364.77","12,811,566.12","5,234,752.54","2,243,460.63","19,866,028.10","30,650,710.85"
其中:对联营企业和合营企业的投资权益,"-238,115.33","-180,757.89","-211,873.53",,,"-213,220.79",,,,"-302,177.39","-95,709.53","-129,877.17","-288,516.65","-387,789.91","-85,882.03","-141,873.64","-205,488.27","-268,343.66","-46,873.36","377,922.31","632,585.32","-2,252,234.19","-344,534.57","441,107.51","-1,747,953.45"
归属于母公司所有者的净利润,"6,871,143.27","56,119,965.32","177,742,494.75","54,729,391.57","75,770,860.96","90,192,785.43","16,980,662.21","34,229,255.19","51,208,382.63","60,586,060.22","8,846,470.02","20,125,547.81","35,666,439.93","50,941,298.92","9,034,076.47","21,380,296.09","33,342,085.58","44,470,006.68","652,651.18","3,627,258.17","14,340,132.22","7,548,678.72","2,504,068.45","18,717,145.28","29,465,544.94"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,"-345,547.90","-783,907.29","474,462.43","-554,328.23","-1,084,893.40","-1,528,566.10","-2,313,926.18","-260,607.82","1,148,882.82","1,185,165.91"
