科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"8,405,996.71","17,043,604.95","47,883,856.25","50,247,214.74","540,259,317.83","456,523,380.70","453,185,888.18","430,032,254.87","409,105,132.17","347,953,107.61","321,013,040.39","332,482,366.40","251,482,899.46","203,461,184.48","241,839,909.96","265,843,717.71","99,193,859.60","59,407,637.35","89,942,323.40","85,758,937.82","48,456,423.49","25,027,016.09","134,324,626.24","131,822,295.17","98,665,057.58","110,410,268.19","151,371,753.65","95,554,094.42","110,139,581.03","70,844,567.85","131,453,466.03"
短期借款,"48,800,000.00","67,400,000.00","100,500,000.00","100,500,000.00","65,500,000.00",,,,,,"45,000,000.00","70,000,000.00",,,,"40,000,000.00","60,000,000.00","44,000,000.00","44,000,000.00","44,000,000.00","54,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,,,,,"112,200.00",,,,,,,,,,,,,"71,194,555.00","76,884,350.00","77,899,440.00","6,675,575.00"
交易性金融负债,,,,,,,,,,,,,,,,,"935,300.00","542,532.40","728,166.40","596,868.80","145,593.96","160,984.00",,,,,,,,,
应收票据,,,,,,,,,,,,,,,"100,000.00","100,000.00",,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"20,370,735.62","20,786,133.55","24,347,988.63","52,980,277.56","86,460,091.22","72,940,617.75","42,717,477.83","68,454,568.83","94,387,567.71","97,416,137.79","67,123,929.84","70,590,400.48","94,144,350.58","128,532,273.78","78,647,043.59","83,161,291.70","145,397,180.77","172,389,177.58","130,546,354.94","127,010,380.25","181,675,177.34","221,759,085.02","104,114,829.82","88,550,997.76","115,836,087.61","105,761,146.53","59,005,709.30","93,265,136.09","65,830,261.15","50,743,941.47","29,115,412.74"
应付账款,"28,305,447.95","14,886,979.65","11,850,699.98","13,058,183.84","18,239,892.71","6,508,664.15","9,669,908.97","7,867,263.30","18,217,392.17","12,194,662.68","54,948,344.38","33,363,552.58","34,299,260.91","24,874,991.58","21,874,723.47","48,551,787.51","51,547,669.27","33,338,665.84","29,443,595.74","29,320,659.10","34,153,579.70","30,729,976.07","20,497,414.35","20,588,072.73","14,575,648.46","8,813,690.77","2,796,387.79","909,315.78","372,357.88","297,357.88","296,073.91"
预付款项,"15,221,797.98","28,621,659.84","29,836,809.63","31,666,230.09","65,653,060.92","66,089,879.08","79,725,000.26","89,686,206.20","114,072,849.94","187,698,996.41","26,535,782.90","26,972,451.88","19,164,415.40","31,266,300.41","12,067,199.40","10,961,451.70","11,923,789.34","11,158,324.81","16,106,673.26","5,427,562.50","8,024,087.21","5,688,658.81","1,611,803.29","30,062,586.30","5,101,462.43","2,553,591.72","536,411.76","87,357.81","30,038.07","26,853.49","11,154.87"
预收款项,"3,783,165.11","1,841,680.99","732,713.47","2,923,571.37","12,639,113.48","6,546,580.14","1,235,187.20","2,171,842.30","3,227,144.64","6,361,385.45","5,472,290.51","2,725,396.83","1,643,594.63","4,681,618.46","4,544,419.03","4,388,143.44","893,939.30","1,176,318.81","1,835,523.12","139,330.43","311,237.16","509,515.54","657,791.11","304,017.88","621,665.64","876,334.10","867,627.95","48,129.67",149.67,149.67,
