科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,624,853,391.42","2,853,059,526.52","2,214,066,712.51","3,130,600,637.16","1,786,524,082.49","2,632,499,565.18","3,486,169,550.16","607,303,585.01","1,664,903,190.16","3,735,078,528.28","6,606,588,737.76","1,438,724,949.67","2,304,193,859.59","3,969,190,307.01","7,200,067,059.01","2,833,783,643.86","6,425,422,215.59","9,419,581,834.03","11,414,030,492.79","2,962,151,821.51","5,736,997,308.50","8,552,142,983.57","14,436,914,331.79","7,700,550,761.68","11,738,679,036.12"
取得子公司及其他营业单位支付的现金净额,"3,059,303.11",,,,,,,,,,,,"129,509,944.65","296,649,241.82","505,749,241.82","113,902,489.01","113,902,489.01","448,427,533.27","488,427,533.27",,"72,000,000.00","72,000,000.00","588,786,137.36",,
收到的税费返还,,,,,,,,,,,,"961,206.48","3,166,301.58","5,563,827.88","12,617,214.74","6,191,717.04","14,206,717.96","19,695,911.51","55,150,816.73","31,239,981.97","54,505,036.17","66,758,720.19","88,493,089.21","28,940,649.29","36,187,201.26"
支付其他与投资活动有关的现金,,,,,,"3,654,000.00","1,827,000.00",,,"-1,882,711.00",,"1,854,000.00","7,709,000.00","7,709,000.00",,,,"546,600,000.00","754,600,000.00","125,000,000.00","1,000,000.00","1,000,000.00","2,422,812,011.21","158,990,000.00","158,990,000.00"
收到其他与经营活动有关的现金,"33,468,776.92","33,922,178.61","6,116,387.61","10,156,526.07","7,700,727.18","14,018,413.52","19,766,246.61","28,485,586.17","25,922,713.84","32,538,920.18","33,870,799.84","29,292,643.28","87,145,574.14","127,027,419.76","161,826,849.65","16,039,519.84","29,127,399.56","88,014,685.02","557,212,950.77","232,723,866.04","341,914,281.82","1,072,529,467.97","3,309,638,384.55","173,922,331.31","490,306,082.21"
投资活动现金流出小计,"282,737,243.27","81,596,334.43","31,070,452.29","35,921,559.15","10,931,146.16","48,665,478.33","128,883,516.75","37,122,652.13","61,039,878.01","70,929,761.90","87,700,166.85","196,779,704.75","372,221,407.60","549,519,552.21","798,563,349.89","135,415,126.23","298,651,680.31","1,042,132,291.75","1,302,027,025.32","139,891,705.06","124,998,656.42","153,440,305.81","3,138,254,698.27","276,300,076.14","287,946,371.93"
经营活动现金流入小计,"2,658,322,168.34","2,886,981,705.13","2,220,183,100.12","3,140,757,163.23","1,794,224,809.67","2,646,517,978.70","3,505,935,796.77","635,789,171.18","1,690,825,904.00","3,767,617,448.46","6,640,459,537.60","1,468,978,799.43","2,394,505,735.31","4,101,781,554.65","7,374,511,123.40","2,893,563,390.52","6,529,502,007.05","9,867,464,304.55","12,430,706,180.29","3,466,042,960.72","6,255,265,784.96","9,802,338,924.54","18,056,279,695.70","7,945,087,457.53","12,331,608,546.23"
投资活动产生的现金流量净额,"-34,007,965.78","-81,588,334.43","-30,978,025.02","-35,819,481.88","-10,836,975.28","-48,471,329.51","-128,717,365.64","-37,091,375.21","-54,915,725.73","-64,559,228.24","-79,687,493.57","-192,968,585.07","-368,502,960.61","-542,154,961.81","-789,856,702.16","-135,415,126.23","-298,651,680.31","-493,511,449.88","-545,585,340.94","-15,819,122.27","-124,722,622.12","-138,468,485.15","-729,911,916.11","-43,180,728.03","-54,757,173.82"
购买商品、接受劳务支付的现金,"2,598,747,993.33","2,596,482,162.75","2,034,589,437.28","3,064,207,337.26","1,679,040,855.78","2,403,580,347.08","3,061,971,450.05","477,226,906.48","1,445,591,789.41","3,512,327,120.32","6,342,035,590.44","1,366,032,867.38","2,276,770,779.67","3,577,781,393.74","6,841,744,990.27","2,629,976,746.51","5,509,552,675.54","9,092,847,321.84","11,329,407,059.58","3,225,510,921.31","6,359,481,087.55","9,753,861,875.13","14,935,131,441.35","6,882,289,601.00","10,494,841,278.78"
吸收投资收到的现金,"163,641,300.00",,"400,000.00","400,000.00","1,960,000.00","1,960,000.00","1,960,000.00","230,848,636.02","230,848,636.02","230,848,636.02","240,848,636.02","372,691,062.00","389,591,062.00","389,591,062.00","395,621,062.00","21,800,000.00","29,700,000.00","53,540,000.00","53,540,000.00","66,000,000.00","80,000,000.00","80,000,000.00","769,992,154.47","14,000,000.00","14,000,000.00"
支付给职工以及为职工支付的现金,"37,168,124.38","60,133,392.97","49,713,524.62","73,186,774.99","39,113,205.30","53,330,280.11","69,028,921.74","15,194,226.81","30,156,424.74","41,396,690.92","63,544,737.66","30,035,758.57","54,202,256.61","90,508,967.33","135,818,672.08","38,346,071.76","75,610,203.29","123,175,881.96","175,527,500.57","57,786,193.50","117,944,303.23","177,958,626.15","248,840,150.73","75,294,495.96","144,414,625.60"
取得借款收到的现金,"159,800,000.00","240,000,000.00","349,656,533.33","559,316,800.00","402,692,300.00","636,692,300.00","777,000,000.00","260,000,000.00","745,000,000.00","847,060,861.11","1,180,705,388.89","420,296,583.34","1,063,178,158.93","1,417,654,278.90","1,885,294,494.45","883,976,770.83","1,614,181,301.61","2,288,169,739.12","3,198,968,091.50","1,369,000,000.00","2,477,172,030.00","4,126,493,030.00","5,151,328,250.00","964,307,786.04","1,188,607,786.04"
支付的各项税费,"43,571,440.78","87,031,408.06","67,814,629.65","94,278,442.02","51,782,093.14","94,094,834.75","129,780,012.57","40,159,173.32","82,046,258.65","94,156,030.30","142,373,818.67","71,171,535.52","112,260,288.36","193,066,781.23","261,566,081.07","99,365,640.74","194,006,954.56","270,709,281.94","368,445,402.67","154,037,421.66","300,121,086.32","414,140,907.02","590,895,642.92","204,065,178.84","297,220,180.13"
收到其他与筹资活动有关的现金,,,,,,,"350,000.00","10,565,500.00",,,,"48,700,000.00","442,592,220.93","459,717,220.93","81,702,332.00",,"257,369,983.27","465,333,916.18","1,899,019,137.63","531,910,917.85","1,261,255,434.11","2,082,111,097.17","2,556,993,127.50","1,825,496,456.91","3,201,757,707.96"
支付其他与经营活动有关的现金,"174,409,872.36","120,401,108.46","110,533,522.09","146,973,336.74","72,665,710.45","101,559,664.70","142,075,128.17","43,391,381.40","65,274,566.71","83,857,201.33","159,546,954.75","92,091,074.56","179,525,325.55","323,346,880.99","406,265,698.96","70,982,270.57","135,395,120.09","266,907,248.51","675,426,652.45","221,452,746.05","517,989,179.24","1,349,137,872.02","3,910,393,414.59","335,457,824.82","541,684,604.81"
筹资活动现金流入小计,"323,441,300.00","240,000,000.00","350,056,533.33","559,716,800.00","404,652,300.00","638,652,300.00","779,310,000.00","501,414,136.02","975,848,636.02","1,077,909,497.13","1,421,554,024.91","841,687,645.34","2,191,861,441.86","2,563,462,561.83","3,062,617,888.45","905,776,770.83","1,901,251,284.88","3,402,243,655.30","5,746,727,229.13","2,713,094,917.85","4,812,491,464.11","7,282,668,127.17","9,472,377,531.97","2,803,804,242.95","4,404,365,494.00"
经营活动现金流出小计,"2,853,897,430.85","2,864,048,072.24","2,262,651,113.64","3,378,645,891.01","1,842,601,864.67","2,652,565,126.64","3,402,855,512.53","575,971,688.01","1,623,069,039.51","3,731,737,042.87","6,707,501,101.52","1,559,331,236.03","2,622,758,650.19","4,184,704,023.29","7,645,395,442.38","2,924,741,773.00","6,011,966,553.49","10,091,541,692.08","12,954,697,471.80","3,918,962,352.01","7,400,218,546.18","11,787,760,996.02","19,721,367,687.28","7,511,612,984.22","11,500,950,725.84"
偿还债务支付的现金,"100,800,000.00","99,000,000.00","150,000,000.00","230,000,000.00","263,000,000.00","533,000,000.00","713,000,000.00","260,000,000.00","460,000,000.00","594,000,000.00","744,000,000.00","223,020,000.00","887,900,000.00","1,233,400,000.00","1,462,600,000.00","560,677,640.00","949,387,289.33","1,374,496,729.33","2,605,600,000.00","730,267,695.73","1,847,500,000.00","3,022,315,000.00","3,827,359,758.14","1,892,652,613.32","2,673,342,837.27"
经营活动产生的现金流量净额,"-195,575,262.51","22,933,632.89","-42,468,013.52","-237,888,727.78","-48,377,055.00","-6,047,147.94","103,080,284.24","59,817,483.17","67,756,864.49","35,880,405.59","-67,041,563.92","-90,352,436.60","-228,252,914.88","-82,922,468.64","-270,884,318.98","-31,178,382.48","517,535,453.56","-224,077,387.53","-523,991,291.51","-452,919,391.29","-1,144,952,761.22","-1,985,422,071.48","-1,665,087,991.58","433,474,473.31","830,657,820.39"
分配股利、利润或偿还利息支付的现金,"4,598,903.81","16,759,472.12","30,495,328.81","42,948,803.24","33,126,136.67","47,337,054.91","62,708,828.19","18,526,323.08","57,951,771.72","89,224,120.77","99,748,977.69","24,157,486.33","70,519,422.72","94,992,459.39","172,445,475.70","47,252,305.91","146,220,216.93","266,471,174.04","338,699,101.62","52,256,859.46","145,851,894.63","278,493,131.80","423,718,961.84","140,059,968.15","241,665,838.49"
收回投资收到的现金,"235,396,856.00",,,,,,,,"4,000,000.00","4,000,000.00","4,000,000.00","3,792,831.70",,,"1,435,261.83",,,,,,,"9,978,900.00","10,000,000.00","50,000,000.00","50,000,000.00"
