科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"3,051,896,071.57","3,009,101,584.63","3,325,460,308.15","1,566,458,493.42","1,892,442,006.30","2,329,389,216.96","258,338,533.74","935,742,454.05","1,104,958,755.12","1,158,868,580.68","267,861,854.92","629,940,850.62","1,207,551,910.13","1,507,439,258.81","511,738,567.58","1,389,828,045.91","2,187,518,519.31","3,074,123,347.36","609,662,160.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,"20,000,000.00","20,000,000.00",,,,"22,000,000.00",,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"100,017,833.33","63,704,315.09","44,868,892.37","64,880,864.00","168,305,304.00",
收到其他与经营活动有关的现金,"19,919,433.34","62,154,444.15","20,025,680.41","15,416,768.73","17,107,416.19","27,657,995.38","7,575,381.34","19,273,696.25","24,703,493.44","69,463,676.95","3,386,283.95","12,080,734.49","17,733,675.95","57,162,808.85","5,659,479.90","18,759,431.78","26,513,707.19","81,892,576.47","26,391,907.75"
投资活动现金流出小计,"381,768,846.45","475,679,210.97","445,281,896.78","224,460,238.66","307,957,621.51","437,148,270.09","89,339,660.72","476,162,281.94","1,025,817,852.91","851,486,574.99","114,359,186.64","210,444,040.97","248,587,486.31","805,374,248.09","90,359,620.76","1,071,096,962.38","1,128,627,229.80","2,976,654,731.06","489,346,537.41"
经营活动现金流入小计,"3,071,815,504.91","3,071,256,028.78","3,345,485,988.56","1,581,875,262.15","1,909,549,422.49","2,357,047,212.34","265,913,915.08","955,016,150.30","1,129,662,248.56","1,228,332,257.63","271,248,138.87","662,021,585.11","1,245,285,586.08","1,564,602,067.66","517,398,047.48","1,408,587,477.69","2,236,032,226.50","3,156,015,923.83","636,054,068.28"
投资活动产生的现金流量净额,"-129,049,218.71","-424,036,133.92","-443,027,642.29","-223,967,594.37","-307,151,613.90","-433,704,378.48","-38,371,523.06","-425,103,447.01","-747,667,522.71","-593,652,743.46","-114,340,287.76","-208,637,480.79","-197,375,756.74","-723,064,282.57","-82,029,542.99","-284,287,944.31","167,119,852.54","-138,542,026.04","-26,635,227.52"
购买商品、接受劳务支付的现金,"558,760,384.20","573,709,484.27","1,073,611,582.31","291,455,744.99","557,670,567.21","792,060,601.15","184,527,480.95","229,416,823.85","521,074,012.87","499,976,390.98","171,461,197.99","190,143,420.49","366,971,384.04","466,803,951.63","254,362,290.19","869,753,967.77","1,522,933,588.42","2,138,113,396.78","286,859,065.24"
吸收投资收到的现金,,,,,,"1,758,829,795.50",,,,,,"15,000,000.00","15,000,000.00","30,000,000.00","876,044,901.02","876,044,901.02","876,044,901.02","876,044,901.02",
支付给职工以及为职工支付的现金,"359,940,517.91","407,811,796.91","426,028,401.18","241,843,558.15","350,205,751.00","458,443,694.11","136,452,211.63","244,786,482.34","345,014,244.33","454,087,431.58","124,132,304.08","217,460,707.78","316,373,513.71","415,535,588.05","112,090,426.56","197,261,040.50","306,415,907.96","404,941,661.56","124,087,586.00"
取得借款收到的现金,"162,000,000.00","20,990,000.00","48,000,000.00","247,000,000.00","434,000,000.00","484,000,000.00","50,000,000.00","200,000,000.00","614,000,000.00","663,800,000.00","157,000,000.00","222,000,000.00","1,370,108,782.00","1,888,979,000.00","518,800,000.00","866,800,000.00","1,213,800,000.00","1,238,800,000.00","523,450,000.00"
支付的各项税费,"1,064,689,129.36","874,179,270.28","850,457,883.39","374,772,500.69","567,828,860.94","570,097,962.12","109,948,073.62","298,644,379.38","228,715,875.50","278,911,695.63","89,194,364.01","131,163,348.80","187,485,983.72","242,454,305.23","55,311,318.46","97,927,338.34","150,513,807.85","220,712,140.86","73,770,626.48"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"24,091,649.92",,,,,
