科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"78,737,278.04","54,565,212.17","123,060,705.90","4,506,180.66","104,136,828.72","812,350,495.30","797,502,273.45","713,517,274.90","761,138,328.09","732,632,227.47","640,376,944.88","603,545,935.10","699,651,482.66","680,539,638.94","958,343,276.83","541,806,362.95","505,042,441.11","531,413,387.61","435,846,712.16","369,630,531.94","341,742,873.52","535,082,508.74","339,507,283.70","342,191,189.22","423,336,723.21","399,001,491.98","241,782,056.58","221,436,042.88","176,750,957.63","120,729,278.79","145,743,265.34","114,604,473.55","228,973,324.25","230,878,942.91","164,145,616.36","108,403,305.60","244,038,319.70","179,608,626.38"
短期借款,"18,000,000.00","18,000,000.00","20,000,000.00","23,000,000.00","12,134,785.98",,,,,,,"1,000,000.00","25,000,000.00","40,000,000.00","50,000,000.00","60,000,000.00","60,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00","30,000,000.00","55,000,000.00","172,540,000.00","168,732,500.00","162,340,000.00","134,392,960.00","40,000,000.00","40,000,000.00","40,000,000.00","25,130,000.00","65,720,000.00","124,950,000.00","73,335,500.00","52,720,250.00","96,541,500.00","102,588,000.00","139,929,000.00","135,701,750.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"808,899.37","814,459.03"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,970,000.00","1,400,000.00","2,000,000.00",,,"230,000.00","14,998,130.14","12,475,708.29","6,150,000.00","11,570,000.00","8,432,958.00","5,600,000.00","2,520,000.00","50,000.00","10,411,262.48","190,000.00","370,000.00","740,000.00","2,490,000.00","6,700,000.00","4,780,000.00","13,940,880.00","12,285,013.25","4,989,013.71","19,097,815.78","14,054,976.30","10,014,359.39","8,738,438.06","33,450,893.26","44,042,931.38","27,085,805.58","8,632,168.43","11,705,689.20","26,129,460.00","29,454,060.00","46,706,593.34","56,035,755.28","46,471,302.60"
应付票据,"12,370,000.00","17,637,841.83","23,484,798.58",,"39,000,000.00","20,270,798.50","26,885,298.50","12,814,500.00","73,595,849.00","69,187,433.49","21,628,934.49","59,038,305.50","101,472,523.60","79,939,288.10","83,752,938.10","6,976,184.00","2,629,634.00","32,951,346.00","31,951,346.00","1,000,000.00","6,000,000.00","27,311,668.00","12,311,668.00","6,990,000.00","25,855,360.80","29,074,875.30","20,444,334.50","8,983,200.00","6,800,000.00","6,000,000.00","3,400,000.00","3,300,000.00","9,582,569.56","6,955,414.70","5,955,414.70",,"9,150,000.00",
应收账款,"24,074,203.13","39,694,937.31","95,379,472.07","217,559,235.83","195,066,213.65","172,507,747.75","189,566,649.69","300,692,556.10","308,679,106.99","267,990,193.26","313,474,360.68","389,813,228.44","298,887,990.65","237,797,890.10","330,480,187.33","393,058,016.88","380,588,651.82","296,110,744.36","300,430,875.03","453,497,112.12","497,762,965.59","483,074,739.83","432,496,155.07","451,415,961.91","419,263,315.90","368,683,288.50","314,237,413.39","369,396,346.53","397,391,627.17","443,103,780.73","517,972,673.20","566,979,184.73","550,351,270.20","545,876,543.05","693,207,022.59","707,682,202.79","526,446,975.61","540,294,212.06"
应付账款,"26,007,341.84","44,915,904.40","63,256,585.99","124,143,362.60","111,666,798.69","82,329,098.09","94,183,264.58","128,168,790.06","98,566,567.20","86,388,004.86","118,594,429.50","157,572,360.28","148,434,202.77","128,465,294.02","171,962,001.38","191,780,116.18","189,840,456.84","137,943,038.08","138,861,318.83","165,892,956.33","201,880,431.58","170,768,534.89","169,054,130.05","168,998,796.34","172,820,170.86","155,816,618.95","120,012,534.53","133,231,231.57","141,876,240.81","134,029,053.03","145,921,815.86","167,904,125.54","119,087,331.53","107,500,098.92","175,973,889.57",,"128,727,073.07",
预付款项,"1,562,401.65","6,077,840.99","5,979,008.09","17,851,164.55","18,005,552.40","29,179,118.62","29,983,060.21","69,718,622.55","32,057,274.66","48,691,143.77","84,340,032.63","123,378,694.69","69,553,741.14","86,323,378.97","64,239,795.93","35,824,604.43","10,691,811.96","10,175,192.67","28,426,419.94","31,191,981.32","18,860,810.69","29,415,516.75","25,149,075.06","31,844,158.48","19,721,861.51","26,837,270.34","23,834,325.25","27,342,800.47","17,410,065.96","22,133,282.61","26,862,558.21","34,652,762.39","27,767,422.71","31,282,680.99","35,572,586.32","56,998,884.70","19,031,352.72","33,186,875.59"
预收款项,,"740,000.00",,,,,,"187,500.00","16,275.00","16,275.00","16,275.00","16,275.00","16,275.00","20,016,275.00","36,275.00","16,275.00","16,275.00","16,275.00","1,298,550.60","657,412.80","16,275.00","848,695.36","1,240,886.11","606,070.79","1,068,563.00","427,425.20","1,154,048.00","461,619.20",,"1,927,425.20","150,000.00",,,"203,000.00","1,379,139.20","702,139.20","498,139.20","498,139.20"
