科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"386,527,131.17","442,204,582.91","107,447,271.92","502,430,925.12","156,805,192.54","362,063,917.09","575,366,903.12","803,886,668.01","196,184,393.37","466,857,468.58","716,421,039.11","957,890,730.76","230,217,059.32","499,800,958.11","772,005,710.26","1,006,305,000.12","241,726,406.50","552,101,941.36","935,718,116.94","1,300,797,368.79","380,366,602.41","842,085,040.77","1,262,376,102.67","1,673,825,204.80","428,108,293.22","1,006,688,007.41","1,535,388,705.71","2,119,478,903.82","598,937,218.75","1,413,162,524.05","2,154,839,060.87","2,939,805,208.92","781,765,613.10","1,660,538,934.55","2,477,503,988.15"
二、营业利润,"66,074,485.47","77,276,543.37","18,531,494.51","96,291,444.76","22,494,126.00","59,331,251.55","106,933,134.46","150,549,338.37","35,344,062.22","85,151,431.14","121,780,802.71","146,580,732.54","33,152,945.92","83,119,519.37","131,663,475.78","168,587,723.93","20,301,827.80","57,904,567.90","86,911,285.24","119,345,625.93","26,169,108.05","77,427,114.29","99,426,387.50","125,425,369.06","15,626,731.01","53,391,224.62","115,770,157.58","138,624,141.05","25,625,771.62","83,114,542.71","163,874,353.45","219,270,422.43","55,791,817.30","125,723,761.22","179,087,158.23"
减:营业成本,"254,470,927.98","281,126,195.74","67,788,154.22","314,719,392.30","102,823,150.48","226,026,392.16","356,122,652.43","497,117,076.58","115,658,590.21","279,875,631.71","435,562,470.93","585,982,943.32","138,993,195.12","294,895,997.52","453,545,987.26","590,529,148.79","150,735,470.20","358,028,030.60","625,984,631.26","873,724,579.04","261,493,812.03","567,824,925.78","858,898,564.38","1,142,217,348.96","301,937,637.53","713,733,723.07","1,063,721,284.64","1,464,857,722.12","418,843,845.41","972,885,403.93","1,486,162,481.12","2,038,579,546.73","545,622,339.38","1,162,207,474.27","1,738,500,456.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"700,244.02","1,024,105.33","146,756.49","1,093,997.43","228,455.96","492,061.80","761,234.99","1,143,917.69","464,155.34","1,182,890.37","1,793,491.64","9,790,515.32","2,871,443.69","4,651,717.41","7,107,713.43","8,185,687.61","630,428.17","1,500,446.81","3,191,237.76","5,154,174.57","2,007,857.54","4,935,746.55","8,393,980.22","11,160,051.29","2,493,285.40","4,984,769.59","8,386,247.64","12,480,700.75","2,756,336.72","5,284,783.88","7,810,351.53","17,273,951.29","5,889,624.97","11,493,724.66","18,221,319.61"
营业外收入,"2,074,935.00","1,736,237.04","1,000.00","3,138,103.06","24,942.52","31,753.52","4,289,370.83","5,392,611.83","3,460.00","52,134.52","1,478,467.61","3,795,352.55","105,795.00","3,047,510.41","3,458,502.13","4,095,156.37","1,768,073.34","2,682,908.43","5,969,581.48","8,663,550.81","10,707.75","1,048,800.70","13,218,220.13","14,304,966.36","2,999,910.23","4,482,269.06","7,002,299.27","14,462,258.40","887,255.08","8,334,766.23","15,233,015.63","25,568,083.52","605,077.26","16,841,247.66","36,340,123.70"
销售费用,"35,960,585.99","35,158,677.16","9,985,977.11","34,567,218.51","11,618,130.16","28,183,740.99","42,032,784.81","54,119,668.01","18,498,011.63","33,583,638.00","52,536,176.98","72,371,352.63","19,331,733.44","37,770,906.03","58,141,483.89","79,266,599.21","21,441,645.99","41,620,096.24","64,900,297.89","92,246,716.66","26,746,362.50","55,182,978.85","84,276,509.34","110,864,197.88","27,102,044.65","58,538,920.60","102,348,444.86","148,070,156.67","43,414,349.86","87,219,561.98","135,183,793.60","182,721,757.78","50,610,039.80","101,249,019.13","145,324,504.05"
减:营业外支出,"460,972.09","1,703,922.58","20,896.61","1,207,379.56","15,000.00","15,000.00","980,301.00","1,815,846.75","20,100.85","180,252.93","277,715.28","399,360.16","40,496.83","429,861.52","552,837.39","605,611.86","57,853.82","948,255.79","970,631.40","1,348,598.00","156,616.46","415,078.08","326,278.28","982,039.24","55,490.19","1,152,396.68","1,527,569.82","1,595,494.40","343,811.26","750,427.90","915,497.76","2,277,621.58","338,635.75","733,034.63","3,367,972.53"
管理费用,"24,731,632.40","31,593,240.10","8,923,262.06","39,847,114.41","13,876,533.47","33,568,466.42","53,809,056.48","85,476,387.26","26,521,288.56","66,419,495.84","104,529,406.25","143,117,953.02","36,253,206.77","77,349,022.97","119,271,567.58","160,505,204.63","45,373,702.03","89,092,273.93","144,203,311.64","197,935,136.78","60,605,925.37","124,472,734.47","192,656,718.94","259,488,101.37","76,102,722.68","162,989,707.08","266,439,125.68","364,415,956.61","100,185,250.84","231,095,246.85","352,910,453.28","451,179,237.05","118,537,788.30","240,080,231.85","359,373,225.79"
其中:非流动资产处置净损失,"82,485.67","32,523.56",,"91,765.94","91,765.94",,,"83,218.56",,"13,053.02","89,229.32","208,760.98",,"339,853.95","339,853.95","361,802.65","57,814.54","57,814.54","57,814.54","167,723.56","57,814.54","256,440.58","109,056.47","109,959.97",,"1,047,731.87","1,397,822.12","1,459,219.63","97,654.89","402,805.00","566,785.36","1,727,089.02","267,779.27","514,161.63","2,537,549.86"
