科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"238,932,570.90","249,870,970.97","230,830,814.15","182,900,097.25","270,609,754.92","372,924,433.88","96,526,932.98","178,973,006.51","303,149,901.37","384,891,681.78","70,496,365.62","199,801,135.05","283,777,924.31","484,360,890.97","94,756,614.23","169,904,886.56","351,289,924.32","625,617,384.92","176,095,924.57","302,097,991.04","573,470,813.54","900,260,757.66","163,388,467.10","345,523,589.58","586,622,462.04","882,352,260.57","122,879,320.37","263,833,908.60","417,128,011.69","635,117,640.53","204,186,646.93","406,405,050.35","571,630,632.70"
取得子公司及其他营业单位支付的现金净额,"600,000.00",,,,,,,,,,,,,"9,306,872.38",,,,"4,185,000.00",,,,"132,669,755.99",,,,"20,000,000.00",,"55,000,000.00","55,000,000.00","50,000,000.00",,,
收到的税费返还,,"1,244,470.84","784,570.99","167,490.64","385,742.43","546,603.04","1,433,405.74","2,810,162.84","4,719,446.86","637,054.48","7,493,830.66","9,193,038.72","12,060,504.80","18,737,833.13","5,319,575.59","9,528,829.04","10,582,285.47","13,144,002.22","2,865,454.01","4,328,669.96","5,470,268.77","6,273,239.44","1,630,230.47","2,727,580.19","4,202,436.45","5,204,241.12","1,183,539.98","2,096,355.89","2,954,561.10","3,868,923.92","1,805,787.36","2,738,207.68","3,798,889.98"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"300,000.00",,,,"1,125,991.76",,,,"79,188,362.42",,,"23,812,494.39",,,,
收到其他与经营活动有关的现金,"279,719.88","5,189,088.66","19,577,426.66","4,893,049.05","7,536,569.60","10,273,213.22","3,781,432.90","22,022,291.01","25,371,749.79","10,050,473.61","1,542,472.66","28,569,962.38","32,286,036.79","33,288,903.13","2,683,840.78","22,892,794.51","42,094,910.93","5,711,572.56","44,196,130.24","8,907,787.02","69,550,451.23","135,588,464.92","30,175,738.98","36,112,207.76","36,742,143.09","74,794,208.65","75,963,334.66","86,946,841.11","90,806,223.60","111,732,972.90","43,705,825.73","58,951,863.17","25,931,812.44"
投资活动现金流出小计,"39,063,181.25","113,909,875.20","95,792,387.08","20,142,051.93","33,365,865.16","54,267,926.82","2,782,554.48","38,771,283.64","67,378,448.47","98,150,689.46","40,031,673.03","112,381,054.78","156,836,215.61","267,938,599.16","33,744,973.03","34,435,145.67","58,074,918.90","62,194,219.77","13,336,744.26","18,313,039.79","154,005,429.11","197,177,439.51","5,217,475.16","29,069,151.48","35,188,890.53","437,510,957.48","105,670,704.57","256,237,381.78","319,858,717.92","359,644,234.46","56,873,451.25","117,551,081.57","222,314,817.87"
经营活动现金流入小计,"239,212,290.78","256,304,530.47","251,192,811.80","187,960,636.94","278,532,066.95","383,744,250.14","101,741,771.62","203,805,460.36","333,241,098.02","395,579,209.87","79,532,668.94","237,564,136.15","328,124,465.90","536,387,627.23","102,760,030.60","202,326,510.11","403,967,120.72","644,472,959.70","223,157,508.82","315,334,448.02","648,491,533.54","1,042,122,462.02","195,194,436.55","384,363,377.53","627,567,041.58","962,350,710.34","200,026,195.01","352,877,105.60","510,888,796.39","750,719,537.35","249,698,260.02","468,095,121.20","601,361,335.12"
投资活动产生的现金流量净额,"-39,037,244.11","-113,909,875.20","-94,844,631.44","-20,142,051.93","-33,365,865.16","-54,263,856.82","-2,782,554.48","-38,771,283.64","-67,378,448.47","-98,115,618.23","-40,031,673.03","-112,381,054.78","-156,836,215.61","-267,932,228.16","-33,744,973.03","-34,435,145.67","-58,074,918.90","-62,194,219.77","-13,336,744.26","7,711,710.21","-112,276,607.57","-158,915,093.29","-5,216,575.16","-29,068,251.48","-35,153,208.84","-106,086,963.15","15,473,098.36","-37,886,886.39","-73,776,812.27","-55,704,642.66","-5,811,559.74","-8,090,488.76","-36,026,956.14"
购买商品、接受劳务支付的现金,"154,216,068.06","155,551,078.72","157,274,422.66","123,031,629.86","196,158,798.08","239,810,736.22","97,244,970.04","152,922,942.32","323,499,749.98","425,463,906.58","82,576,494.16","220,530,018.18","335,142,610.10","498,529,905.51","74,538,831.42","169,255,389.31","289,459,204.62","520,461,784.42","126,419,038.47","211,846,226.26","403,406,802.81","545,631,571.47","165,374,342.93","257,231,581.35","359,367,784.28","480,645,875.68","99,217,809.45","171,190,645.32","278,465,106.88","382,163,528.75","178,964,957.00","291,022,848.42","366,542,535.46"
吸收投资收到的现金,"1,980,000.00","87,450,000.00",,,,,"694,954,296.00","694,954,296.00","694,954,296.00","713,156,328.10",,,,,,,,,,,"127,968,000.00","127,968,000.00",,,,,,,,,"1,080,000.00","1,080,000.00","1,080,000.00"
支付给职工以及为职工支付的现金,"18,489,642.16","23,636,897.77","27,452,296.83","15,842,376.94","23,067,543.27","35,994,150.49","11,429,714.60","23,702,139.61","37,967,616.67","46,529,781.55","19,666,961.08","36,398,461.41","56,819,701.66","63,139,867.04","25,297,711.85","48,540,358.94","74,245,154.94","86,281,124.02","28,377,969.62","55,080,850.24","83,328,189.99","119,850,432.26","34,873,885.26","62,809,175.74","89,449,884.60","117,428,544.74","31,002,851.19","58,228,170.62","86,150,597.43","119,055,162.90","35,346,257.87","61,241,388.72","88,314,123.06"
取得借款收到的现金,"53,000,000.00","125,000,000.00","178,000,000.00","112,460,000.00","159,960,000.00","247,420,000.00","63,000,000.00","100,000,000.00","166,040,000.00","257,600,000.00","65,000,000.00","223,599,221.96","271,599,221.96","399,589,750.02","84,800,890.26","239,999,838.14","294,999,838.14","463,000,000.00","103,000,000.00","132,950,000.00","231,450,000.00","265,100,000.00","82,200,000.00","168,900,000.00","443,400,000.00","518,100,000.00","130,000,000.00","344,500,000.00","573,200,000.00","667,100,000.00","172,840,000.00","431,440,000.00","523,160,000.00"
支付的各项税费,"17,386,408.48","21,802,200.13","27,559,877.57","12,499,599.36","19,636,843.47","33,251,295.24","9,140,862.49","21,375,577.82","30,443,346.67","20,593,812.97","9,466,887.48","21,338,502.78","35,954,262.65","39,781,772.42","6,927,144.93","14,179,260.13","24,079,629.24","34,777,808.97","9,768,259.11","19,615,299.88","43,905,877.35","46,918,430.04","23,020,841.88","41,352,066.37","66,598,780.75","78,822,836.64","16,577,836.28","27,469,348.16","48,998,225.03","64,057,918.05","16,293,730.39","32,983,131.18","53,476,498.11"
收到其他与筹资活动有关的现金,,,"3,288,000.00",,,,,,,"11,762,907.87",,,,,,,,,,,,,,,,"10,000,000.00",,,,"79,202,169.44",,,
支付其他与经营活动有关的现金,"18,734,798.55","21,278,072.94","19,548,485.29","20,500,263.80","26,475,970.95","32,815,629.41","30,701,159.84","64,676,986.05","23,292,023.33","41,775,777.41","3,568,524.37","27,460,498.02","43,941,443.00","50,372,181.06","5,784,978.03","25,608,599.40","46,580,518.09","69,847,004.07","83,224,164.27","44,594,896.24","75,869,163.69","188,075,808.63","36,137,971.75","47,042,583.87","71,867,594.30","147,186,087.39","78,290,203.32","97,223,478.08","131,910,719.19","203,893,002.64","101,019,904.16","83,577,186.80","101,911,842.24"
筹资活动现金流入小计,"54,980,000.00","212,450,000.00","181,288,000.00","112,460,000.00","159,960,000.00","247,420,000.00","757,954,296.00","794,954,296.00","860,994,296.00","982,519,235.97","65,000,000.00","223,599,221.96","271,599,221.96","399,589,750.02","84,800,890.26","239,999,838.14","294,999,838.14","653,000,000.00","103,000,000.00","132,950,000.00","359,418,000.00","393,068,000.00","82,200,000.00","168,900,000.00","443,400,000.00","528,100,000.00","130,000,000.00","344,500,000.00","573,200,000.00","746,302,169.44","173,920,000.00","432,520,000.00","524,240,000.00"
经营活动现金流出小计,"208,826,917.25","222,268,249.56","231,835,082.35","171,873,869.96","265,339,155.77","341,871,811.36","148,516,706.97","262,677,645.80","415,202,736.65","534,363,278.51","115,278,867.09","305,727,480.39","471,858,017.41","651,823,726.03","112,548,666.23","257,583,607.78","434,364,506.89","711,367,721.48","247,789,431.47","331,137,272.62","606,510,033.84","900,476,242.40","259,407,041.82","408,435,407.33","587,284,043.93","824,083,344.45","225,088,700.24","354,111,642.18","545,524,648.53","769,169,612.34","331,624,849.42","468,824,555.12","610,244,998.87"
偿还债务支付的现金,"46,100,000.00","54,000,000.00","123,000,000.00","109,000,000.00","147,500,000.00","217,460,000.00","38,000,000.00","134,960,000.00","191,000,000.00","291,560,000.00","60,000,000.00","130,000,000.00","158,000,000.00","272,599,221.96","76,161,425.00","179,012,337.08","262,707,903.20","479,990,528.06","68,000,000.00","150,000,000.00","304,000,000.00","360,950,000.00","52,700,000.00","93,200,000.00","406,700,000.00","520,464,717.73","131,800,000.00","325,700,000.00","505,250,043.45","597,800,000.00","145,440,000.00","417,040,000.00","468,940,000.00"
经营活动产生的现金流量净额,"30,385,373.53","34,036,280.91","19,357,729.45","16,086,766.98","13,192,911.18","41,872,438.78","-46,774,935.35","-58,872,185.44","-81,961,638.63","-138,784,068.64","-35,746,198.15","-68,163,344.24","-143,733,551.51","-115,436,098.80","-9,788,635.63","-55,257,097.67","-30,397,386.17","-66,894,761.78","-24,631,922.65","-15,802,824.60","41,981,499.70","141,646,219.62","-64,212,605.27","-24,072,029.80","40,282,997.65","138,267,365.89","-25,062,505.23","-1,234,536.58","-34,635,852.14","-18,450,074.99","-81,926,589.40","-729,433.92","-8,883,663.75"
分配股利、利润或偿还利息支付的现金,"1,961,877.74","9,451,408.15","6,170,635.23","4,584,075.63","7,026,806.25","9,380,239.72","2,647,194.20","51,177,399.44","53,727,730.23","59,417,672.12","2,791,421.79","39,084,182.13","43,511,530.64","61,289,338.90","4,319,732.63","9,236,155.61","14,449,277.56","21,484,340.59","4,346,025.84","8,696,966.26","29,065,088.41","36,025,479.67","2,851,277.58","6,221,650.06","24,269,427.09","31,279,414.47","4,473,446.39","9,672,581.78","14,691,362.80","19,319,669.11","5,438,844.60","18,184,369.48","24,438,397.56"
收回投资收到的现金,123.61,,,,,,,,,,,,,,,,,,,,,,,,,"256,330,000.00","121,001,266.42","218,068,878.42","245,568,878.42","291,962,662.00","48,450,000.00","104,000,000.00","179,500,000.00"
支付其他与筹资活动有关的现金,,,,"3,300,000.00","3,800,000.00","6,410,178.00","2,567,250.00","8,406,521.90","8,406,521.90",,,,,,,,,"12,408,096.25",,,"4,000,000.00","13,924,847.50","81,937.43",,,,,"1,038,616.00","1,038,616.00","36,096,675.67","6,722,925.60","9,991,170.15","16,749,096.90"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,"3,600.00",,,,"608,964.85","142,536.51","237,900.97","296,378.23","314,093.68","111,891.51","163,725.76","253,074.88"
