科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"98,102,529.32","180,187,183.51","104,161,357.53","63,859,823.85","99,557,215.53","142,674,495.28","40,300,776.51","94,354,178.56","139,651,708.12","172,873,774.72","41,529,157.46","88,890,391.20","132,592,107.56","164,784,745.13","40,071,645.03","93,519,134.17","156,204,486.59","222,909,311.75","62,229,608.65","136,478,506.18","230,258,090.98","289,781,728.80","54,140,072.16","113,844,172.28","188,457,244.23","245,829,073.87","68,821,219.77","133,185,929.25","201,683,996.63","241,113,982.21","42,364,341.49","110,311,174.53","199,472,800.97","322,140,870.70","199,497,253.51","469,352,658.82"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,690,139.42","908,987.40","1,291,901.52",,"1,300,533.08","1,397,193.96","819,229.95","819,229.95","4,054,433.41","8,358,956.77",,"3,793,502.26","7,237,617.92","8,736,039.57","3,713,267.43","6,274,653.70","10,568,982.07","10,568,982.07","5,703,064.64","7,489,912.46","9,360,544.55","9,360,544.55","2,003,220.45","2,003,220.45","2,204,691.34","2,204,691.34",,,"38,085.90","38,085.90","603,200.29","948,216.63","2,273,849.17","2,594,726.89","824,187.93","824,187.93"
支付其他与投资活动有关的现金,,,,,,,,"154,000.00","257,000.00","307,000.00","250,000.00","580,000.00","670,000.00","1,080,000.00","50,000.00","80,000.00","80,000.00","441,274.42",,,"11,167.00","25,587.13",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,860,006.70","1,174,436.46","1,972,114.68","220,610.06","1,290,908.45","2,389,076.49","1,280,586.99","2,258,969.66","767,269.18","520,667.20","100,118.04","384,365.48","412,165.94","168,273.57","605,755.50","1,043,877.96","1,460,834.97","766,334.88","454,307.47","605,835.69","942,095.66","923,302.60","8,949.64","439,604.25","351,147.37","2,035,193.64","865,648.29","1,095,883.57","1,376,083.57","6,395,304.53","103,742.82","255,321.18","304,881.34","455,001.92","490,968.94","1,924,919.12"
投资活动现金流出小计,"10,266,828.79","16,285,447.24","7,856,778.23","11,199,877.14","22,636,531.82","47,894,281.67","35,104,064.42","105,626,084.81","206,263,249.40","314,369,324.35","37,571,483.13","66,624,852.37","84,447,129.41","100,974,469.02","20,106,753.97","25,271,903.72","30,116,226.40","52,095,531.74","19,181,713.93","38,106,857.22","182,042,457.43","242,548,281.67","42,970,572.72","65,304,840.33","136,912,964.03","222,465,409.72","111,605,685.55","217,695,254.34","246,545,996.71","374,279,478.86","240,403,230.57","348,958,581.73","482,809,316.04","683,125,242.27","389,193,371.07","734,896,350.84"
经营活动现金流入小计,"102,652,675.44","182,270,607.37","107,425,373.73","64,080,433.91","102,148,657.06","146,460,765.73","42,400,593.45","97,432,378.17","144,473,410.71","181,753,398.69","41,629,275.50","93,068,258.94","140,241,891.42","173,689,058.27","44,390,667.96","100,837,665.83","168,234,303.63","234,244,628.70","68,386,980.76","144,574,254.33","240,560,731.19","300,065,575.95","56,152,242.25","116,286,996.98","191,013,082.94","250,068,958.85","69,686,868.06","134,281,812.82","203,098,166.10","247,547,372.64","43,071,284.60","111,514,712.34","202,051,531.48","325,190,599.51","200,812,410.38","472,101,765.87"
投资活动产生的现金流量净额,"-10,266,828.79","-16,264,447.24","-7,856,778.23","-11,199,877.14","-22,636,531.82","-47,867,281.67","-35,076,764.42","-105,042,784.81","-205,469,949.40","-311,828,714.53","-37,062,873.13","-66,238,842.37","-83,661,119.41","-99,927,069.02","-20,106,753.97","-25,271,903.72","-29,816,226.40","-50,690,859.97","-15,581,713.93","-34,384,557.22","-108,103,694.49","-153,772,780.44","14,107,284.42","12,505,935.05","-58,348,391.93","-102,894,185.55","-8,355,536.00","27,825,684.29","9,284,514.99","-7,550,203.09","-100,490,154.55","-77,714,424.79","-38,506,391.31","-668,447.55","-176,639,310.67","-211,257,821.29"
购买商品、接受劳务支付的现金,"72,879,875.31","82,817,385.13","32,134,598.74","22,101,423.88","43,267,437.97","74,324,126.34","24,713,536.47","53,024,455.46","83,317,464.33","105,818,901.76","27,423,941.72","54,841,847.31","88,221,243.18","105,967,305.85","23,535,109.24","49,535,215.19","83,713,316.74","103,107,870.06","41,659,005.34","68,194,636.32","94,582,801.67","106,683,835.21","22,287,367.85","44,978,641.84","73,435,193.96","110,105,364.75","15,323,028.12","35,084,335.51","45,582,884.90","49,722,156.40","16,843,199.07","59,018,232.84","95,647,579.09","149,075,690.91","54,825,432.11","98,652,916.63"
吸收投资收到的现金,,,,,"612,512,000.00","612,512,000.00",,"8,322,691.66",,,,,,,,,,,,,,,"8,619,686.16","10,660,596.77","11,684,921.09","12,181,044.25","10,200,433.01","10,463,489.07","10,958,390.67","11,997,712.19",,,"5,226,800.00","8,556,200.00",,
支付给职工以及为职工支付的现金,"9,183,632.28","11,537,440.19","15,353,318.49","8,416,071.43","13,196,426.32","18,406,129.45","5,015,011.21","15,201,883.22","21,135,913.18","27,254,364.20","3,097,358.55","13,202,607.63","22,434,612.98","32,159,339.96","6,268,284.81","14,977,329.73","22,647,911.84","32,100,117.92","11,819,940.28","22,040,818.52","35,606,325.37","47,374,325.55","11,284,438.62","20,934,722.65","31,485,158.32","43,663,043.58","12,938,436.37","23,149,403.72","33,029,605.46","45,416,160.74","11,185,344.10","22,105,651.12","38,346,349.20","52,736,709.50","18,281,333.22","31,302,645.77"
取得借款收到的现金,"38,000,000.00","20,000,000.00","58,000,000.00","6,000,000.00","7,645,192.92","7,645,192.92","8,322,691.66",,"8,322,691.66","8,322,691.66",,"10,000,000.00","20,000,000.00","20,000,000.00",,,,,,,"7,033,359.00","7,033,359.00",,,,,,,,,,,,,,
支付的各项税费,"13,375,837.16","24,279,836.64","16,747,344.53","7,672,266.27","11,167,163.16","15,801,297.17","3,900,617.64","10,094,124.63","11,665,596.44","9,043,629.27","5,022,885.09","5,866,860.45","8,539,906.17","8,267,494.00","4,105,633.80","9,657,628.22","13,914,415.43","21,276,943.86","4,646,723.16","9,302,681.81","12,806,660.33","23,016,195.89","4,490,271.81","12,877,130.97","14,925,070.61","19,770,903.59","5,987,987.76","10,082,899.79","14,298,291.03","17,722,908.62","2,647,941.57","6,485,726.50","10,034,794.72","12,597,910.38","14,226,033.15","45,025,605.08"
收到其他与筹资活动有关的现金,"16,567,841.35","10,917,000.00",,,,,,,"5,035,897.28","5,876,314.44","241,588.21","251,297.78","5,849,541.26","12,361,445.75",518.55,"1,049.08","1,579.85","4,911,868.32","33,900.11","105,987.76","263,223.30","3,485,078.95","113,125.39","357,351.94","113,643.31","3,752,350.66","550,388.99","1,220,965.40","3,476,233.54","4,331,655.63","592,179.23","967,754.37","17,314,494.50","7,030,183.43","2,267,059.86","2,656,373.75"
支付其他与经营活动有关的现金,"8,575,912.45","13,872,635.45","12,955,763.51","7,486,109.93","12,079,005.71","16,606,899.26","3,158,113.10","7,472,483.05","10,791,147.93","12,938,462.47","3,382,088.14","8,269,623.37","11,834,221.09","17,297,439.83","4,976,504.64","11,062,550.30","16,646,115.98","24,335,693.69","4,308,188.61","9,886,989.58","13,902,718.13","17,921,980.75","3,362,680.65","7,584,128.15","11,443,665.99","14,662,394.67","4,845,684.09","9,336,696.54","13,681,550.54","16,649,402.44","4,601,409.40","9,987,754.39","15,500,951.51","20,916,837.78","19,268,558.56","29,897,441.19"
筹资活动现金流入小计,"54,567,841.35","30,917,000.00","58,000,000.00","6,000,000.00","620,157,192.92","620,157,192.92","8,322,691.66","8,322,691.66","13,358,588.94","14,199,006.10","241,588.21","10,251,297.78","25,849,541.26","32,361,445.75",518.55,"1,049.08","1,579.85","4,911,868.32","33,900.11","105,987.76","7,296,582.30","10,518,437.95","8,732,811.55","11,017,948.71","11,798,564.40","15,933,394.91","10,750,822.00","11,684,454.47","14,434,624.21","16,329,367.82","592,179.23","967,754.37","22,541,294.50","15,586,383.43","2,267,059.86","2,656,373.75"
经营活动现金流出小计,"104,015,257.20","132,507,297.41","77,191,025.27","45,675,871.51","79,710,033.16","125,138,452.22","36,787,278.42","85,792,946.36","126,910,121.88","155,055,357.70","38,926,273.50","82,180,938.76","131,029,983.42","163,691,579.64","38,885,532.49","85,232,723.44","136,921,759.99","180,820,625.53","62,433,857.39","109,425,126.23","156,898,505.50","194,996,337.40","41,424,758.93","86,374,623.61","131,289,088.88","188,201,706.59","39,095,136.34","77,653,335.56","106,592,331.93","129,510,628.20","35,277,894.14","97,597,364.85","159,529,674.52","235,327,148.57","106,601,357.04","204,878,608.67"
偿还债务支付的现金,,"20,000,000.00","76,000,000.00","10,000,000.00","26,833,249.07","27,638,129.49",,"8,322,691.66","8,322,691.66","8,322,691.66",,,"20,000,000.00","20,000,000.00",,,,,,,"6,935,020.00","6,935,020.00",,,,,,,,,,,,,,
经营活动产生的现金流量净额,"-1,362,581.76","49,763,309.96","30,234,348.46","18,404,562.40","22,438,623.90","21,322,313.51","5,613,315.03","11,639,431.81","17,563,288.83","26,698,040.99","2,703,002.00","10,887,320.18","9,211,908.00","9,997,478.63","5,505,135.47","15,604,942.39","31,312,543.64","53,424,003.17","5,953,123.37","35,149,128.10","83,662,225.69","105,069,238.55","14,727,483.32","29,912,373.37","59,723,994.06","61,867,252.26","30,591,731.72","56,628,477.26","96,505,834.17","118,036,744.44","7,793,390.46","13,917,347.49","42,521,856.96","89,863,450.94","94,211,053.34","267,223,157.20"
分配股利、利润或偿还利息支付的现金,"3,050,206.04","5,033,481.00","1,987,020.00","501,116.50","590,262.96","590,262.96",,"27,276,012.96","27,276,012.96","30,161,169.00",,"919,886.66","3,785,331.10","4,231,972.22",,"3,682,972.55","4,014,000.00","4,014,000.00",,"10,704,000.00","10,759,535.33","10,759,535.33",,"13,457,563.76","13,457,563.76","13,455,386.69",,"16,284,771.62","16,284,771.62","16,284,771.62",,"16,330,155.74","16,330,155.74","16,330,155.66",,"82,009,278.30"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,"69,000,000.00","83,280,000.00","56,111,861.67","76,900,000.00","76,900,000.00","111,185,000.00","101,800,000.00","241,100,000.00","249,800,000.00","357,670,654.14","138,166,969.16","268,231,079.88","438,758,252.00","668,043,787.89","210,000,000.00","517,780,000.00"
