科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"267,385,147.73","309,552,094.67","350,462,168.93","182,604,834.20","275,022,694.33","373,290,123.33","100,720,141.16","216,193,121.30","343,588,265.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"805,474.94","636,630.12","2,075,749.04","138,095.84","140,321.30","140,321.30",,"220,806.15","221,573.88"
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"5,638,441.35","2,358,838.45","3,267,996.29","1,904,049.46","2,265,677.02","9,034,902.67","4,284,488.92","4,922,460.17","6,770,675.34"
投资活动现金流出小计,"18,530,973.95","15,503,032.05","38,369,124.30","6,882,074.50","8,121,220.46","102,082,094.91","93,517,107.16","187,435,020.68","284,218,141.08"
经营活动现金流入小计,"273,829,064.02","312,547,563.24","355,805,914.26","184,646,979.50","277,428,692.65","382,465,347.30","105,004,630.08","221,336,387.62","350,580,515.20"
投资活动产生的现金流量净额,"-18,397,963.95","-15,452,282.05","-37,155,388.68","-6,881,574.50","-8,081,610.47","-102,003,794.91","-2,767,086.61","-5,863,301.50","-11,817,168.47"
购买商品、接受劳务支付的现金,"158,530,954.86","176,626,240.37","172,748,627.34","88,555,185.36","132,870,109.05","185,924,558.93","68,319,760.56","148,766,036.60","233,022,317.48"
吸收投资收到的现金,,,,,"231,517,094.00","231,517,094.00",,,
支付给职工以及为职工支付的现金,"51,070,550.81","65,062,559.73","74,118,940.20","41,957,002.66","61,341,562.70","80,968,561.02","25,652,578.22","50,244,743.38","72,907,537.81"
取得借款收到的现金,"141,092,347.07","161,232,591.32","161,346,038.01","96,905,070.27","127,570,999.64","159,665,196.20","27,543,929.45","64,708,604.34","127,566,475.79"
支付的各项税费,"21,047,071.90","34,204,726.16","27,850,497.11","19,121,489.25","28,923,765.70","37,629,127.19","11,180,841.60","22,285,169.03","31,334,085.46"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"13,765,837.57","15,522,794.82","15,852,670.52","9,396,102.49","15,705,659.22","19,735,230.24","8,106,076.34","16,021,560.58","23,620,375.48"
筹资活动现金流入小计,"141,092,347.07","161,232,591.32","161,346,038.01","96,905,070.27","359,088,093.64","391,182,290.20","27,543,929.45","64,708,604.34","127,566,475.79"
经营活动现金流出小计,"244,414,415.14","291,416,321.08","290,570,735.17","159,029,779.76","238,841,096.67","324,257,477.38","113,259,256.72","237,317,509.59","360,884,316.23"
偿还债务支付的现金,"148,493,405.59","121,843,596.96","162,846,515.44","88,777,507.14","121,469,922.28","209,849,822.06","26,408,459.94","43,907,997.20","97,261,384.69"
经营活动产生的现金流量净额,"29,414,648.88","21,131,242.16","65,235,179.09","25,617,199.74","38,587,595.98","58,207,869.92","-8,254,626.64","-15,981,121.97","-10,303,801.03"
分配股利、利润或偿还利息支付的现金,"10,465,495.23","24,789,795.33","25,241,547.08","32,394,402.06","33,394,720.59","34,392,940.23","471,116.63","14,204,216.72","14,930,140.89"
收回投资收到的现金,,,,,,,"90,000,000.00","180,000,000.00","270,000,000.00"
支付其他与筹资活动有关的现金,"2,650,000.00","900,000.00","400,000.00","400,000.00","362,500.00","8,001,250.00",,,
取得投资收益收到的现金,,,,,,,"734,520.55","1,556,219.18","2,381,972.61"
筹资活动现金流出小计,"161,608,900.82","147,533,392.29","188,488,062.52","121,571,909.20","155,227,142.87","252,244,012.29","26,879,576.57","58,112,213.92","112,191,525.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,"133,010.00","50,750.00","153,735.62",500.00,"39,609.99","78,300.00","15,500.00","15,500.00","19,000.00"
筹资活动产生的现金流量净额,"-20,516,553.75","13,699,199.03","-27,142,024.51","-24,666,838.93","203,860,950.77","138,938,277.91","664,352.88","6,596,390.42","15,374,950.21"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"517,085.90","-417,337.09","-878,174.76","-263,884.22","-277,601.05","-554,059.69","120,822.18","177,411.52","330,912.23"
收到其他与投资活动有关的现金,,,"1,060,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"133,010.00","50,750.00","1,213,735.62",500.00,"39,609.99","78,300.00","90,750,020.55","181,571,719.18","272,400,972.61"
五、现金及现金等价物净增加额,"-8,982,782.92","18,960,822.05","59,591.14","-6,195,097.91","234,089,335.23","94,588,293.23","-10,236,538.19","-15,070,621.53","-6,415,107.06"
购建固定资产、无形资产和其他长期资产支付的现金,"18,530,973.95","15,503,032.05","38,369,124.30","6,882,074.50","8,121,220.46","12,082,094.91","3,517,107.16","7,435,020.68","14,218,141.08"
期初现金及现金等价物余额,"21,752,049.69","12,769,266.77","31,730,088.82","31,789,679.96","32,939,679.96","31,789,679.96","126,377,973.19","126,377,973.19","126,377,973.19"
投资支付的现金,,,,,,"90,000,000.00","90,000,000.00","180,000,000.00","270,000,000.00"
期末现金及现金等价物余额,"12,769,266.77","31,730,088.82","31,789,679.96","25,594,582.05","267,029,015.19","126,377,973.19","116,141,435.00","111,307,351.66","119,962,866.13"
