科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"2,569,613,585.06","4,144,201,705.02","3,096,931,914.45","859,236,207.59","1,823,377,675.65","2,992,623,783.57","4,047,165,454.24","1,415,865,962.43","3,207,395,275.73","5,066,274,765.85","6,950,706,282.98","1,824,511,918.98","3,741,289,297.88","5,254,305,514.69","6,933,131,940.53","2,029,266,218.06","3,828,152,319.73","5,578,029,429.89","7,274,115,642.96","1,384,713,524.70","2,868,488,890.71","4,342,829,381.06","6,859,845,790.15","1,358,925,867.79","2,503,269,131.73","4,270,720,511.51","6,571,831,838.63","1,063,637,394.94","1,906,684,509.83","3,000,518,644.27","5,103,229,046.58","1,586,769,072.50","3,189,407,717.40","4,503,155,165.73","5,575,638,644.32","1,446,131,298.90","3,004,932,198.69","4,318,829,539.55","5,810,299,609.24","1,389,263,906.31"
二、营业利润,"493,399,565.73","964,129,744.81","627,719,813.63","231,621,336.54","590,384,893.36","970,728,935.52","1,158,295,444.99","460,196,234.26","987,774,380.41","1,509,453,340.50","1,773,019,744.34","517,436,753.27","896,845,645.83","1,124,868,123.44","1,228,540,418.63","296,760,412.72","468,038,188.07","575,707,201.09","667,991,449.36","83,348,054.72","98,996,672.81","144,020,229.35","183,653,868.90","24,153,913.62","31,829,185.48","38,456,973.75","39,051,578.90","-107,648,759.00","-147,154,402.28","-104,489,243.79","29,575,171.57","323,689,050.86","595,096,955.01","795,519,014.76","988,630,560.57","400,170,218.44","906,915,527.90","1,326,149,922.43","1,301,085,140.09","341,792,028.42"
减:营业成本,"1,528,372,743.01","2,385,332,080.86","1,885,805,213.73","441,785,150.07","851,661,840.55","1,398,999,151.19","1,989,237,719.13","704,957,091.51","1,655,623,888.92","2,683,115,248.67","3,918,868,754.07","1,019,728,101.35","2,214,413,666.87","3,209,837,215.67","4,448,908,985.46","1,421,140,486.68","2,718,996,740.80","4,086,157,740.21","5,373,108,438.91","1,017,466,218.18","2,250,143,396.81","3,419,426,882.50","5,647,218,032.08","1,112,390,784.55","2,034,421,047.42","3,560,721,465.80","5,671,815,563.83","936,973,906.03","1,579,369,400.20","2,346,206,932.95","3,898,668,095.86","974,331,841.70","1,913,121,659.94","2,649,172,415.13","3,028,144,973.71","690,572,095.00","1,379,188,225.79","1,903,448,753.98","2,648,527,717.57","605,715,098.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"28,823,158.08","102,076,205.70","131,982,212.96","45,807,339.71","110,688,693.88","181,196,114.47","244,855,036.85","73,718,581.17","175,430,155.34","259,487,798.58","348,428,034.76","97,692,462.99","184,717,511.76","259,686,552.74","331,462,969.71","82,459,854.25","148,295,618.70","210,533,792.78","277,003,087.17","68,230,468.16","118,394,554.15","169,214,622.09","223,480,403.41","41,728,121.73","75,536,299.11","109,060,385.98","147,911,645.45","33,115,749.71","69,358,728.50","114,468,020.79","193,547,022.59","70,967,226.28","138,687,098.35","205,602,266.99","280,924,738.81","83,537,990.04","165,197,189.58","250,062,332.82","370,680,622.33","66,302,569.25"
营业外收入,"7,176,165.67","3,663,556.19","11,596,798.94","871,767.18","1,467,496.42","2,505,140.35","20,372,119.02","1,662,490.15","2,789,035.61","3,385,874.44","6,520,903.38","5,908,027.06","9,648,311.58","20,577,075.56","23,151,576.44","2,150,772.00","2,355,529.21","6,805,520.93","9,878,523.22","13,660.58","642,445.65","828,530.02","1,736,459.66","192,237.83","1,274,593.71","1,428,972.19","10,393,636.84","2,841,263.97","3,419,320.04","9,729,591.89","91,616,275.80","47,701,043.54","75,533,844.71","108,414,380.30","9,940,451.50","294,450.60","2,709,580.69","1,053,916.21","1,244,714.85","2,199,511.30"
销售费用,"155,896,725.14","193,071,792.03","127,331,133.92","38,690,476.93","78,469,104.03","132,527,711.43","178,981,471.45","52,157,359.44","121,400,265.67","180,690,542.94","234,053,315.75","52,073,202.85","107,659,605.78","155,679,639.78","212,485,218.91","57,318,266.09","109,413,894.10","156,967,357.99","188,580,880.82","52,007,027.10","81,856,982.36","133,239,048.81","179,948,102.65","30,783,147.59","73,566,933.01","142,135,628.93","182,038,715.78","60,344,695.25","125,243,641.24","236,082,856.48","350,857,803.03","95,448,666.18","208,029,136.22","322,348,331.74","477,870,643.86","145,051,275.61","297,907,884.38","402,901,565.06","620,929,586.13","202,480,197.77"
减:营业外支出,"3,642,827.80","7,736,338.62","5,524,399.27","130,032.80","1,181,244.06","1,572,826.23","4,067,723.10","414,607.63","833,607.63","4,913,683.35","7,408,315.14","2,147,655.44","4,047,337.76","9,982,829.75","12,167,304.94","330,246.38","2,225,147.09","3,926,683.98","13,737,177.50","177,560.73","1,915,167.55","2,769,736.43","5,011,612.78","548,783.85","3,546,910.33","6,209,413.49","7,436,465.72","633,656.43","3,653,555.90","4,859,786.69","15,369,268.52","2,003,385.02","7,114,120.30","19,459,873.74","52,284,635.02","6,744,025.15","23,696,583.10","43,028,418.67","140,181,811.61","1,756,512.58"
管理费用,"340,656,615.50","443,005,547.75","306,290,857.12","81,270,999.52","156,913,329.83","266,408,810.00","426,108,576.80","116,747,761.95","229,155,046.43","373,871,968.60","611,877,982.04","123,543,736.32","301,464,296.13","458,696,000.89","657,323,377.23","145,498,545.95","299,109,416.34","438,235,846.53","633,682,081.96","140,317,279.14","256,503,580.06","351,549,405.47","536,812,229.40","120,983,949.12","201,308,133.54","305,345,318.27","405,447,034.73","64,965,174.35","171,406,681.02","255,476,547.10","370,093,452.95","68,929,786.04","164,688,966.53","255,705,189.34","339,219,489.06","104,149,316.35","208,986,999.43","372,289,055.78","639,006,003.49","142,104,205.59"
其中:非流动资产处置净损失,,,,"30,832.80","882,044.06","923,426.23","3,069,698.93",,,"3,706,575.72","6,176,207.51","1,971,702.67","2,400,584.99","5,667,943.08","7,815,398.27",,"1,530,547.09","2,491,843.98","6,003,901.29",,"769,087.22","1,202,091.58","3,246,839.68",,"1,299,527.95","3,847,646.37","4,969,467.41","540,953.61","3,190,173.08","4,361,055.71","6,219,419.71","966,619.93","4,946,891.44","16,977,189.67",,,,,,
