科目,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"497,123,040.64","430,157,908.74","476,762,778.32","506,669,952.85",,"336,015,624.65","1,167,021,336.38","670,317,153.39","598,522,924.92","500,631,171.54","583,246,625.85","494,985,547.58","535,200,791.83"
短期借款,,,,,,,,,,"134,070,000.00","143,770,000.00","165,770,000.00","189,770,000.00"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,
应收账款,"10,422.45","209,020.01","41,238.88","121,196.53",,"72,092.17","87,899.34","130,341.97","102,495.04","131,185.19","1,370,576.73","597,968.20","635,774.22"
应付账款,"7,989,399.50","9,840,631.32","8,541,662.20","12,661,373.87",,"11,683,692.36","7,289,257.30","11,032,579.73","9,586,893.13","11,666,647.82","24,050,082.53","14,223,250.48","13,155,134.07"
预付款项,"518,818.38","4,352,850.98","11,905,920.65","21,190,946.20",,"19,422,228.54","25,604,947.22","10,424,271.51","14,528,754.02","7,960,439.48","10,196,638.30","16,130,532.43","16,586,998.03"
预收款项,"306,927,651.00","308,058,398.30","371,154,748.50","445,324,001.10",,"312,422,957.75","452,223,438.60","422,836,769.34","413,752,191.35","351,453,888.14","483,063,986.38","449,539,365.50","422,721,750.73"
其他应收款,"438,979.71","1,201,233.70","2,598,606.92","3,908,336.38",,"21,413,763.10","22,552,899.77","22,147,206.62","1,716,638.66","2,309,978.68","53,288,477.03","44,449,008.46","56,882,791.63"
应付职工薪酬,"30,808,331.43","71,981,239.84","64,487,085.88","28,000,476.95",,"66,233,539.65","30,792,223.65","34,387,597.25","34,588,134.04","42,979,030.91","30,919,274.16","33,839,123.25","34,694,318.06"
应收关联公司款,,,,,,,,,,,,,
应交税费,"49,529,449.54","68,199,962.38","108,021,216.74","62,581,332.96",,"65,532,119.59","57,539,057.41","13,778,695.19","11,363,573.91","18,319,232.47","27,669,280.98","25,104,328.46","20,878,158.02"
应收利息,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,,,,"24,766,875.00",,,,"6,243,750.00",,,,"91,954,525.20",
存货,,,,,,,,,,,"16,134.19","21,829.50","20,622.00"
其他应付款,"32,902,631.66","76,694,965.11","96,488,746.26","80,609,980.52",,"91,077,826.97","95,687,337.49","84,031,868.95","52,035,036.39","31,820,895.58","202,146,284.77","87,006,062.47","85,792,749.22"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,"10,957,407.96","8,809,590.91",,"105,231,022.34","88,263,471.98","66,342,107.55","34,706,940.32","2,657,697.60","1,091,041.67",,
其他流动资产,"1,970,567.25","4,467,090.14","2,228,989.52","5,183,285.16",,"8,919,047.14","7,258,205.78","415,847,091.34","478,632,433.02","492,142,184.17","504,990,427.02","517,040,784.01","517,148,941.64"
其他流动负债,,,,,,,,,,,,,"3,676.00"
流动资产合计,"500,061,828.43","440,388,103.57","493,537,534.29","537,073,717.12","454,932,400.00","385,842,755.60","1,222,525,288.49","1,118,866,064.83","1,093,503,245.66","1,003,174,959.06","1,153,108,879.12","1,073,225,670.18","1,126,475,919.35"
流动负债合计,"428,157,463.13","534,775,196.95","659,650,867.54","662,753,631.31","567,468,300.00","652,181,158.66","731,794,786.43","638,653,368.01","556,032,769.14","592,967,392.52","912,709,950.49","867,436,655.36","767,015,786.10"
可供出售金融资产,,,,,,,,,,"18,000,000.00","18,099,110.00","18,099,110.00","18,099,110.00"
长期借款,,"85,209,419.76","137,310,099.72","129,681,760.83",,,,,,,"49,000,000.00","49,000,000.00","140,000,000.00"
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,"5,512,105.06","2,811,725.32",,"2,657,401.72","2,823,729.18","383,916.00",,,,,
长期股权投资,,,,,,,,,"6,000,000.00",,"2,298,847.51","2,298,847.51","2,298,847.51"
专项应付款,,,,,,,,,,,,,
投资性房地产,"9,636,071.47","9,058,246.99","8,480,422.51","8,191,510.35",,"7,902,598.11","7,758,141.99","7,613,685.87","7,469,229.75","7,324,773.63","7,180,317.51","7,035,861.39","6,891,405.27"
预计负债,,,,,,,,,,,,,
固定资产,"195,123,328.09","233,531,784.80","566,730,288.89","550,487,496.16",,"529,846,236.48","548,345,905.75","527,924,610.53","510,235,705.97","517,239,430.11","647,103,013.10","630,759,064.07","612,272,827.98"
递延所得税负债,,,,,,,,,"13,054,388.35","12,965,178.41","22,728,235.97","22,514,313.77","22,300,391.58"
在建工程,"16,322,584.33","132,869,361.97",,,,,,,"106,000.00","43,946,283.00","46,273,654.02","36,041,134.42","38,572,427.04"
其他非流动负债,,,,,,,"135,308,524.14",,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"155,212,886.43","239,128,104.95","290,689,712.97","272,337,400.72","254,178,000.00","139,477,722.67","138,132,253.32","134,180,643.33","145,339,318.87","143,738,312.12","200,989,572.87","199,263,853.86","288,538,134.86"
固定资产清理,,,,,,,,,,,,,
负债合计,"583,370,349.56","773,903,301.90","950,340,580.51","935,091,032.03","821,646,300.00","791,658,881.33","869,927,039.75","772,834,011.34","701,372,088.01","736,705,704.64","1,113,699,523.36","1,066,700,509.22","1,055,553,920.96"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"120,000,000.00","120,000,000.00","370,000,000.00","370,000,000.00",,"370,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"104,374,571.12","120,683,337.79","49,119,593.35","49,119,593.35",,"49,119,593.35","778,704,683.85","778,704,683.85","755,999,470.73","755,999,470.73","755,999,470.73","755,999,470.73","755,999,470.73"
无形资产,"165,210,806.11","162,648,219.05","309,777,019.95","305,794,376.91",,"302,232,406.25","357,127,755.13","354,746,290.69","458,975,921.06","713,285,994.75","746,007,291.17","747,876,818.27","742,443,352.25"
盈余公积,"29,495,611.19","58,129,273.90","68,548,019.03","68,548,019.03",,"107,841,908.22","107,841,908.22","107,841,908.22","107,841,908.22","139,130,979.17","139,130,979.17","139,130,979.17","139,130,979.17"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,,,,,,,,,,"138,954,033.85","138,954,033.85","138,954,033.85"
未分配利润,"104,062,802.06","209,783,958.17","140,148,050.76","213,226,926.11",,"226,434,172.30","231,978,858.04","215,454,833.31","310,283,078.63","315,081,198.18","334,910,825.76","301,934,500.71","400,715,931.99"
长期待摊费用,"45,526,414.77","57,538,558.60","207,808,350.37","186,679,978.83",,"181,582,439.11","180,072,097.37","174,657,489.32","171,937,263.11","172,707,703.58","190,908,615.37","192,475,823.07","191,615,562.19"
少数股东权益,"96,416,569.27","106,822,524.76","118,554,579.36","109,792,091.85","129,061,900.00","127,856,326.99","144,759,034.51","145,308,918.27","214,099,083.71","263,115,472.31","422,155,363.94","421,330,461.24","396,992,034.67"
递延所得税资产,,,,,,,,,,"1,380.90","284,938.81","284,938.81","284,938.81"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,"105,838,870.00","353,288,121.54","110,377,207.00","157,550,583.00",,"265,504,446.64","237,382,335.64","256,336,213.75","261,368,263.75","154,352,300.00","235,677,462.50","258,044,619.50","290,483,913.27"
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"537,658,074.77","948,934,292.95","1,203,173,288.72","1,208,703,945.25","1,190,004,900.00","1,287,068,126.59","1,330,686,235.88","1,321,278,290.16","1,416,092,383.64","1,626,857,865.97","2,032,787,283.84","2,031,870,250.89","2,041,916,418.17"
所有者权益(或股东权益)合计,"454,349,553.64","615,419,094.62","746,370,242.50","810,686,630.34","823,291,000.00","881,252,000.86","1,683,284,484.62","1,667,310,343.65","1,808,223,541.29","1,893,327,120.39","2,072,196,639.60","2,038,395,411.85","2,112,838,416.56"
资产总计,"1,037,719,903.20","1,389,322,396.52","1,696,710,823.01","1,745,777,662.37","1,644,937,300.00","1,672,910,882.19","2,553,211,524.37","2,440,144,354.99","2,509,595,629.30","2,630,032,825.03","3,185,896,162.96","3,105,095,921.07","3,168,392,337.52"
负债和所有者(或股东权益)合计,"1,037,719,903.20","1,389,322,396.52","1,696,710,823.01","1,745,777,662.37","1,644,937,300.00","1,672,910,882.19","2,553,211,524.37","2,440,144,354.99","2,509,595,629.30","2,630,032,825.03","3,185,896,162.96","3,105,095,921.07","3,168,392,337.52"
