科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月
一、营业收入,"52,660,303.88","113,233,872.56","167,250,217.27","204,102,405.61","82,954,112.73","223,328,007.95","321,249,563.49","390,524,034.55","2,135,076.00","6,024,901.85","6,024,901.85","1,799,816.53",,,,,,"465,230.77","465,230.77","534,008.55",,"11,298,987.79","115,668,730.03","191,224,852.28","68,583,892.10","126,151,507.67","160,410,441.38","253,509,950.05","26,504,899.62","82,534,328.78","123,047,878.55","48,662,589.16",,,,,
二、营业利润,"-11,817,490.98","-22,270,548.81","-34,960,608.50","-110,122,845.23","24,317,807.47","52,589,088.53","69,233,047.73","70,836,998.36","-24,140,529.22","-238,019,568.17","-247,388,010.29","-415,325,520.61","-5,513,095.57","-14,187,450.65","-23,579,186.54","-12,517,363.11","-7,326,110.22","-16,006,646.40","-24,945,310.44","-62,351,363.78","-5,165,411.64","-1,215,406.06","595,553.07","15,575,807.38","4,091,865.74","3,599,292.89","-2,654,447.52","-4,668,715.20","40,467.62","808,239.39","-6,599,067.93","-98,049,784.97","-5,890,984.10","-12,692,366.99","-17,439,452.60","-20,258,716.28","-4,894,606.01"
减:营业成本,"48,079,199.39","104,536,787.22","152,602,350.08","187,405,901.68","51,837,861.09","136,422,104.46","196,377,525.99","280,828,669.18","12,336,500.92","28,044,541.15","28,044,541.15","2,001,776.82",,,,,,"461,820.51","461,820.51","461,820.51",,,"90,740,771.97","142,448,117.73","51,617,441.57","102,586,452.52","135,651,264.72","205,730,087.75","20,132,908.68","72,228,516.69","111,806,865.01","45,400,024.22",,,,,
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"193,357.93","380,779.55","711,881.98","824,844.69","325,173.13","687,239.66","863,269.28","879,959.76","2,135.08","87,225.52","87,225.52",,,,,,,,,"26,518.21",,"632,743.32","1,336,616.44","3,422,747.26","1,001,093.99","1,036,682.45","1,047,929.36","2,682,280.11","4,198.23","67,202.95","67,202.95","35,661.59",,,,,
营业外收入,"307,334.63","840,536.63","841,329.74","275,147,924.67","13,156.43","22,660,921.10","23,924,682.21","11,990,571.71","13,567,325.76","16,793,826.76","16,793,826.76","47,944,272.49",,,"7,776,329.42","15,323,886.65",,200.00,"2,900,688.00","2,900,688.00",,"5,692,014.46","5,692,014.46","7,416,300.70",,225.38,225.38,"15,933,442.46","142,270.00","476,247.37","1,475,321.37","1,233,051.37",,,,,
销售费用,"2,808,604.76","6,019,676.80","8,643,710.14","10,281,244.64","1,785,968.43","3,257,837.77","3,944,225.90","4,566,259.19","539,737.41","785,142.24","785,142.24","555,590.41",,,,,,,,,,,"3,057,017.42","3,211,339.92","922,822.84","1,633,956.64","2,686,117.42","3,472,573.30","578,002.27","1,385,089.10","2,125,691.22",,,,,,
减:营业外支出,"800,046.21","2,449,093.50","9,676,264.73","3,547,480.35","707,358.72","14,639,384.74","14,803,284.93","2,312,291.20","10,682,156.15","10,693,022.93","10,693,022.93","220,637,964.64",,,"710,699.73",240.00,,"2,485.00","404,220.00","14,043,784.26","508,514.44","1,013,634.53","1,561,268.53","1,931,435.45","519,610.93","1,122,189.10","1,695,062.64","2,107,999.00","440,000.00","1,045,338.68","1,561,540.42","2,050,981.84","502,669.34","1,005,338.68","1,508,008.02","2,010,677.36","502,869.34"
管理费用,"6,926,400.42","13,831,482.66","21,725,507.13","51,958,996.48","6,137,234.08","11,673,803.16","21,437,246.67","32,132,206.32","4,388,060.12","9,479,559.77","13,046,523.54","59,257,734.36","470,232.76","2,853,030.04","3,507,433.15","10,102,683.70","823,449.45","2,454,575.59","4,012,021.75","5,558,142.29","848,678.46","2,852,811.55","5,786,577.53","7,486,487.37","3,033,559.75","4,352,100.03","5,960,804.89","9,986,579.97","1,306,028.26","4,413,430.36","6,635,202.78","7,100,253.82","2,033,025.34","4,966,571.38","5,859,072.12","7,452,278.92","1,035,737.06"
其中:非流动资产处置净损失,,,,,,,,"892,743.83","10,682,156.15",,,"10,662,306.36",,,,,,,,,,,,,,,,,,,,,,,,,
