科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动现金流出小计,"7,986,450.00","11,128,622.50","24,785,572.50","31,690,600.00","22,047,089.49","57,947,089.49","67,960,718.49","65,563,143.31",,"43,829,781.77","43,931,030.95","44,723,545.96",,"32,400,000.00","32,400,000.00","48,074,759.94","4,914,405.23","77,454,405.23","112,275,722.60","112,420,839.82","22,109,870.50","25,989,870.49","25,989,870.49","33,467,450.71","48,789,886.20","69,140,059.68","94,817,167.41","131,681,672.29","30,945,214.74","130,458,487.32","142,466,555.50","207,526,486.78","10,488,352.09","46,038,759.02","82,448,370.48","111,794,794.36","50,520,383.34"
处置固定资产、无形资产和其他长期资产收回的现金净额,"150,000.00","52,180.00","224,397.27","129,366.55",,,"16,300.00","37,150.00","26,134.00","26,347.00","37,798.78","63,900.00","37,500.00","121,961.38","126,851.89","162,484.80","6,452.62","17,454.54","20,451.14","156,318.00",,"1,600.00","74,251.93","1,496,604.82",970.40,"8,780.40","9,530.40","3,302,809.89","102,420.00","103,520.00","177,510.00","632,251.18","1,400.00","45,815.42","48,613.72","66,495.18","19,782.00"
筹资活动产生的现金流量净额,"2,013,550.00","2,871,377.50","-5,785,572.50","-12,690,600.00","1,159,672,910.51","1,125,620,910.51","1,115,607,281.51","1,118,004,856.69","3,000,000.00","-40,829,781.77","-40,931,030.95","-41,723,545.96",,"-32,400,000.00","-32,400,000.00","-48,074,759.94","-4,914,405.23","-65,737,646.19","-95,249,502.50","-89,067,232.62","-22,109,870.50","9,010,129.51","9,190,129.51","1,532,549.29","-48,659,886.20","-69,010,059.68","-83,760,167.41","4,145,327.71","9,054,785.26","-80,458,487.32","-57,466,555.50","-119,026,486.78","39,511,647.91","4,561,240.98","142,905,174.20","214,832,649.22","4,198,731.19"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,"11,578,175.04","11,526,459.89","14,143,226.55","15,087,988.23",,"-19,244.43","-19,244.43",,,,,,,,,,
四、汇率变动对现金的影响,,"3,390.00","1,341.06","4,275.23","1,976.27","-8,030.77","-160,639.22","-137,297.78","-52,778.55","-48,002.33","-666,263.61","-1,197,017.75","-73,744.69","-117,953.54","59,242.43","-19,596.48","-51,748.40","-225,078.25","-87,515.70","7,288.69","240,798.86","247,515.95","235,834.66","77,231.57","34,480.77","-24,987.04","507,203.28","-118,927.23","-72,501.43","224,066.53","326,831.43","-96,489.16","-50,594.32","-208,683.61","-574,721.48","-331,632.17","-309,224.44"
收到其他与投资活动有关的现金,"6,655,503.60",,,,,,,,,,,,,,,,,,,,,,,"45,372,308.02",,,,"3,126,658.49","25,000,000.00","25,000,000.00","25,000,000.00","48,950,000.00",,,,"15,000,590.56","35,200,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,793,535.57","52,180.00","224,397.27","129,366.55",,,"16,300.00","4,037,150.00","50,026,134.00","50,026,347.00","50,037,798.78","50,063,900.00","37,500.00","5,121,961.38","5,126,851.89","5,162,484.80","6,452.62","17,454.54","20,451.14","156,318.00","11,578,175.04","11,528,059.89","14,217,478.48","61,956,901.07",970.40,"-10,464.03","-9,714.03","6,429,468.38","25,102,420.00","25,103,520.00","25,177,510.00","49,582,251.18","1,400.00","45,972,675.79","45,975,474.09","106,760,498.15","35,219,782.00"
五、现金及现金等价物净增加额,"18,011,666.31","17,638,766.05","-4,645,336.44","30,159,167.26","1,173,102,594.08","307,553,484.62","295,893,448.19","1,113,526,603.15","47,406,704.68","-15,349,050.05","-47,425,435.89","-15,619,772.47","-51,767,524.01","-141,933,152.49","-175,198,602.82","-140,784,603.96","-13,981,204.60","-77,316,319.08","-129,316,057.60","-130,640,728.87","-42,414,529.49","30,384,531.73","45,509,476.41","146,811,271.43","-201,770,831.73","-212,250,583.86","-225,241,156.83","-101,502,589.22","-69,295,573.16","-150,266,445.82","-143,026,941.20","-210,255,968.57","-226,473,364.01","-251,516,627.92","-157,066,284.62","-218,399,586.06","-148,273,213.01"
购建固定资产、无形资产和其他长期资产支付的现金,"4,461,660.33","9,224,127.70","20,560,178.94","35,492,107.01","2,528,059.07","5,195,768.37","7,182,120.90","30,901,884.68","2,716,238.70","10,815,650.94","20,765,941.62","76,351,772.37","5,793,542.98","14,949,324.53","18,974,816.31","99,648,176.84","5,811,062.62","21,687,997.24","28,562,418.86","56,889,954.13","7,538,425.86","13,238,740.47","24,782,273.38","32,916,993.03","9,846,407.18","13,466,306.53","17,366,998.50","44,199,149.16","6,937,894.00","11,621,345.59","11,645,188.79","368,960,933.31","213,174,855.49","222,281,236.35","25,500,544.16","236,928,164.36","5,469,897.89"
期初现金及现金等价物余额,"19,974,398.72","37,986,065.03","55,624,831.08","55,624,831.08","85,783,998.34","85,783,998.34","91,487,952.90","85,783,998.34","1,199,310,601.49","1,199,310,601.49","1,206,135,711.70","1,199,310,601.49","1,183,690,829.02","1,183,690,829.02","1,183,690,829.02","1,183,690,829.02","1,042,906,225.06","1,042,906,225.06","1,042,906,225.06","1,042,906,225.06","912,265,496.19","912,265,496.19","912,265,496.19","912,265,496.19","1,059,076,767.62","1,059,076,767.62","1,059,076,767.62","1,059,076,767.62","957,574,178.40","957,574,178.40","957,574,178.40","957,574,178.40","747,326,734.36","747,318,209.83","747,318,209.83","747,318,209.83","528,918,623.77"
投资支付的现金,"408,590.00",,"3,000,000.00","3,000,000.00",,"840,000,000.00","870,294,600.00","74,641,045.43",,,"12,167,472.68",,,"9,000,000.00","9,000,000.00","9,000,000.00",,,,,,,,,,,"111,430,799.99",,"7,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00","625,000.00","625,000.00","38,000,000.00","31,000,000.00"
期末现金及现金等价物余额,"37,986,065.03","55,624,831.08","50,979,494.64","85,783,998.34","1,258,886,592.42","393,337,482.96","387,381,401.09","1,199,310,601.49","1,246,717,306.17","1,183,961,551.44","1,158,710,275.81","1,183,690,829.02","1,131,923,305.01","1,041,757,676.53","1,008,492,226.20","1,042,906,225.06","1,028,925,020.46","965,589,905.98","913,590,167.46","912,265,496.19","869,850,966.70","942,650,027.92","957,774,972.60","1,059,076,767.62","857,305,935.89","846,826,183.76","833,835,610.79","957,574,178.40","888,278,605.24","807,307,732.58","814,547,237.20","747,318,209.83","520,853,370.35","495,801,581.91","590,251,925.21","528,918,623.77","380,645,410.76"
