科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"151,706,112.35","141,810,841.29","182,921,571.69","177,423,395.67","250,241,930.63","37,583,977.27","124,989,658.87","220,852,985.69","306,820,801.70","48,535,431.55","146,944,894.70","258,888,393.28","348,188,836.17","41,081,620.90","140,822,877.46","276,000,071.67","395,704,306.44","58,823,102.56","205,277,464.49","342,465,669.85","512,692,182.79","66,243,427.78","205,850,455.82","341,957,359.38","449,547,187.20","75,538,644.91","952,347,745.27","1,538,341,586.35","2,343,950,335.19","897,534,340.56","1,547,928,055.88","2,079,107,659.21"
取得子公司及其他营业单位支付的现金净额,"1,634,639.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"1,396,000.00",,,,,,,,,"45,665.02",,,,,,"20,558.79",,"4,160,000.00","6,875,000.00","3,884,000.00","3,884,000.00","3,884,000.00","7,204,000.00",,"22,244,995.32","22,410,948.26","61,694,135.45","61,346,982.50","163,008,069.75","218,141,194.82"
支付其他与投资活动有关的现金,"4,500,000.00","8,900,000.00","2,400,000.00","1,400,000.00","1,400,000.00",,,,,,,,,,,,,,,,,,,,,,,,"27,188,000.00",,,
收到其他与经营活动有关的现金,"17,289,448.69","6,169,007.61","9,928,374.84","5,869,373.73","15,335,691.77","428,235.86","2,001,797.17","7,106,493.63","12,520,206.26","2,329,530.36","6,656,578.10","11,488,732.15","22,863,441.88","2,539,314.57","3,500,002.42","990,127.62","22,725,354.15","12,331,077.22","26,422,203.73","62,053,419.82","12,063,077.12","11,515,945.86","20,605,671.04","18,356,225.41","22,824,784.16","24,149,564.15","48,368,082.97","56,175,567.79","107,467,753.28","30,212,445.76","111,637,663.84","154,261,659.08"
投资活动现金流出小计,"25,720,480.75","63,099,072.78","17,053,354.30","61,014,309.71","75,275,982.77","20,305,910.61","29,615,288.45","56,923,314.79","73,115,737.90","18,325,951.59","61,592,135.76","101,644,663.47","159,706,969.84","30,766,529.20","83,152,124.11","80,151,666.14","87,553,651.09","1,223,999.76","2,737,959.20","588,676.90","21,489,793.84","3,096,124.71","8,314,556.34","3,783,388.71","7,641,110.45","289,579.49","134,793,841.67","206,316,362.81","269,365,390.62","327,227,422.54","408,334,991.53","922,649,019.79"
经营活动现金流入小计,"168,995,561.04","147,979,848.90","194,245,946.53","183,292,769.40","265,577,622.40","38,012,213.13","126,991,456.04","227,959,479.32","319,341,007.96","50,864,961.91","153,601,472.80","270,422,790.45","371,052,278.05","43,620,935.47","144,322,879.88","276,990,199.29","418,429,660.59","71,174,738.57","231,699,668.22","408,679,089.67","531,630,259.91","81,643,373.64","230,340,126.86","364,197,584.79","479,575,971.36","99,688,209.06","1,022,960,823.56","1,616,928,102.40","2,513,112,223.92","989,093,768.82","1,822,573,789.47","2,451,510,513.11"
投资活动产生的现金流量净额,"-16,779,822.99","-54,074,552.78","-14,601,604.30","-60,014,109.71","-73,830,892.77","-20,305,910.61","-29,615,288.45","-56,923,314.79","-73,103,467.90","-18,325,951.59","-61,592,135.76","-101,644,063.47","-159,706,069.84","-30,766,529.20","-83,152,124.11","-80,151,666.14","-87,553,651.09","-1,223,999.76","-2,737,959.20","-588,676.90","-21,489,793.84","-3,096,124.71","-8,314,556.34","-3,563,388.71","-7,246,110.45","-285,078.87","-33,416,920.22","-104,416,441.26","-146,842,272.47","-289,266,130.76","-355,636,556.81","-682,293,483.31"
购买商品、接受劳务支付的现金,"91,992,890.93","75,665,064.42","110,583,090.82","102,766,512.99","163,831,181.52","28,956,316.25","82,118,425.08","145,651,460.38","200,468,155.02","28,884,262.36","107,238,555.96","183,172,440.65","245,489,445.49","44,140,678.20","109,857,246.18","217,466,148.75","322,736,432.94","72,064,088.07","176,572,263.27","311,048,432.58","342,964,384.30","61,670,819.81","180,602,896.07","241,550,296.04","311,441,658.61","57,297,164.69","94,502,891.52","159,007,946.50","258,094,582.18","41,008,244.90","129,981,710.68","178,154,839.25"
吸收投资收到的现金,,,,,,"412,000,000.00","412,000,000.00","412,000,000.00","412,000,000.00",,,,,,,,,,,,,,,,,,"4,909,999,967.00","4,909,999,967.00","4,909,999,967.00",,,
支付给职工以及为职工支付的现金,"15,205,673.01","18,645,756.39","20,103,796.85","16,054,912.12","21,958,200.72","5,599,979.21","16,108,012.95","19,464,350.06","30,144,612.72","8,571,449.63","18,535,989.77","28,164,382.48","34,833,163.49","7,886,794.04","18,638,630.04","28,734,141.69","46,400,820.41","10,359,060.55","23,652,015.21","43,417,410.05","56,022,437.20","15,209,411.59","34,780,612.35","44,271,939.58","59,398,102.83","11,335,768.22","265,569,655.94","393,018,004.98","532,831,959.66","212,512,895.91","341,395,193.51","496,680,587.77"
取得借款收到的现金,"49,000,000.00","92,000,000.00","53,000,000.00","84,710,054.50","84,710,054.50",,,,,,,,,,,"50,000,000.00","50,000,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,
支付的各项税费,"11,267,305.15","10,269,853.59","9,154,791.95","9,086,819.41","11,369,194.97","1,717,991.64","5,941,130.97","9,317,414.76","15,437,689.37","7,135,718.22","8,487,001.92","9,201,348.53","10,174,529.17","2,813,286.27","8,474,180.11","8,616,945.53","16,580,411.23","37,606.32","11,362,560.43","15,462,288.98","21,146,551.73","2,215,905.09","25,178,040.36","20,675,969.62","26,375,258.20","3,072,299.45","178,841,971.06","250,639,959.40","326,375,914.29","142,182,297.21","225,158,827.75","296,411,488.38"
收到其他与筹资活动有关的现金,"3,410,000.00","6,280,000.00","10,000,000.00","2,300,000.00","2,300,000.00",,"2,290,000.00","2,290,000.00","3,490,000.00",,,,,,,,,,,,,,,,,,,,,"811,219,000.00","810,928,000.00","810,928,000.00"
支付其他与经营活动有关的现金,"6,502,962.10","5,665,865.82","10,154,728.03","11,873,167.83","13,349,791.53","4,620,847.19","10,632,896.90","19,378,653.76","28,862,119.75","8,199,113.32","12,187,887.83","18,304,588.97","69,991,503.71","4,054,314.61","8,702,955.12","52,509,959.81","31,902,165.72","1,617,599.58","12,013,249.81","5,764,220.50","37,269,890.60","20,097,662.52","-18,177,160.70","44,702,621.82","60,443,006.47","24,608,471.89","127,245,526.90","212,613,265.72","258,211,019.28","109,632,213.55","220,358,245.32","344,195,186.55"
