科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"81,510,988.90","135,163,802.08","140,203,414.69","68,145,297.44","120,419,565.55","166,209,249.57","195,805,892.07","41,343,546.61","62,786,254.03","106,902,481.59","135,374,624.51","73,332,247.37","140,872,139.67","224,677,519.64","284,450,008.90","122,535,483.64","189,536,759.73","285,334,210.95","372,618,733.55","76,887,349.09","169,291,957.51","261,466,641.67","358,975,800.53","109,925,817.91","205,719,244.30","275,157,740.05","362,388,561.29","91,498,247.58","174,359,477.07","310,378,774.18"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"516,873.84",,,,,,,,"27,917,335.57",,,"17,100,000.00","17,043,260.00",,,
收到的税费返还,"1,105,145.67","224,853.95","153,019.93",,,,"351,749.61",,,,"368,229.84",,,,"113,584.26",,"64,225.30","370,378.52","532,711.89",,,,"788,815.71",,"23,452.48","879,615.40","879,615.40",,"37,794.45","558,747.93"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,512,450.69","3,337,881.30","10,613,696.36","1,231,696.65","2,711,087.83","5,782,162.90","7,170,782.87","3,130,292.50","4,477,595.25","9,085,394.20","10,482,924.95","4,111,839.70","6,257,896.89","10,245,781.02","13,262,679.01","4,688,751.09","6,290,225.43","11,918,416.77","8,057,820.85","2,553,793.83","6,340,099.98","7,832,472.91","15,397,359.51","2,387,133.87","7,709,296.97","9,863,072.98","21,009,306.40","4,459,142.02","8,585,860.16","17,414,436.30"
投资活动现金流出小计,"13,703,634.11","24,964,728.54","42,228,062.45","566,919.41","847,453.20","11,389,018.13","14,741,166.25","7,135,968.05","15,458,634.06","26,657,167.18","39,556,556.16","2,888,415.77","50,386,089.09","59,946,694.72","77,125,025.24","2,681,193.02","8,178,586.29","17,104,170.58","34,027,773.01","11,330,513.50","26,877,970.78","33,167,563.35","70,268,801.50","23,726,546.27","356,502,736.02","779,197,347.09","1,006,777,073.59","374,035,781.85","652,890,785.21","979,907,824.32"
经营活动现金流入小计,"84,128,585.26","138,726,537.33","150,970,130.98","69,376,994.09","123,130,653.38","171,991,412.47","203,328,424.55","44,473,839.11","67,263,849.28","115,987,875.79","146,225,779.30","77,444,087.07","147,130,036.56","234,923,300.66","297,826,272.17","127,224,234.73","195,891,210.46","297,623,006.24","381,209,266.29","79,441,142.92","175,632,057.49","269,299,114.58","375,161,975.75","112,312,951.78","213,451,993.75","285,900,428.43","384,277,483.09","95,957,389.60","182,983,131.68","328,351,958.41"
投资活动产生的现金流量净额,"-8,203,634.11","-24,939,728.54","-23,253,562.45","-566,919.41","-847,453.20","-11,385,218.13","-14,736,811.25","-7,111,836.21","-15,380,634.06","-26,579,167.18","-39,482,262.36","-2,888,135.77","-50,385,809.09","-59,946,414.72","-77,124,750.62","-2,681,193.02","-8,162,774.32","-17,088,358.61","-33,979,484.12","-11,330,513.50","-26,877,970.78","-33,167,563.35","-70,268,801.50","-23,726,546.27","-356,462,736.02","-366,702,382.71","-341,833,972.22","-21,080,116.10","7,991,542.80","-27,381,752.68"
购买商品、接受劳务支付的现金,"51,715,161.34","84,641,038.53","80,123,705.70","34,493,270.61","64,534,122.04","77,987,552.21","98,432,047.71","17,002,351.19","32,176,235.96","70,854,870.07","88,195,500.18","35,433,316.96","127,146,664.92","206,748,011.91","215,925,423.35","68,298,918.59","84,060,079.62","125,073,859.15","154,623,101.78","45,296,639.59","100,584,458.21","145,342,182.55","208,588,809.30","45,543,908.80","96,662,699.93","149,552,178.83","198,289,721.70","60,375,026.07","144,618,177.67","210,674,698.65"
吸收投资收到的现金,"20,000,000.00",,"24,000,000.00",,"214,000,000.00","214,000,000.00","208,675,000.00",,,"123,765.00","239,895.00",,,,,,,,,,,,,"399,000,000.00","399,000,000.00","399,000,000.00","398,433,962.25",,,
支付给职工以及为职工支付的现金,"5,418,248.88","11,515,493.71","16,948,631.52","5,418,413.88","11,181,359.76","16,620,553.09","21,007,890.11","7,364,698.64","11,775,204.19","17,092,367.00","25,910,661.99","9,030,622.83","17,062,978.12","29,243,208.45","37,407,821.01","17,602,075.48","28,293,673.53","39,753,083.21","54,446,909.18","18,318,004.54","26,092,852.89","36,134,395.46","51,740,209.98","18,571,913.57","31,379,259.28","44,149,938.83","60,636,483.60","24,782,413.32","39,758,406.46","53,226,028.27"
取得借款收到的现金,"22,658,000.00","43,028,000.00","35,000,000.00",,"10,000,000.00","10,000,000.00",,,,,,"5,000,000.00","40,000,000.00","80,000,000.00","131,300,000.00","20,000,000.00","80,000,000.00","80,000,000.00","140,000,000.00","10,000,000.00","40,000,000.00","60,000,000.00","109,000,000.00",,,,"600,000.00",,,
支付的各项税费,"6,392,145.09","11,603,980.41","27,539,356.09","1,885,810.36","12,748,364.09","25,582,438.45","30,078,006.21","5,364,894.38","9,660,009.16","17,854,287.36","18,739,538.55","6,444,529.60","10,000,893.01","15,173,066.92","25,960,096.53","23,336,916.35","40,218,100.05","57,215,012.74","65,899,872.35","21,871,010.57","37,446,821.03","51,997,559.57","60,539,412.96","5,697,344.19","13,937,964.48","15,933,790.78","21,471,561.66","3,276,523.79","8,922,887.51","11,006,390.85"
收到其他与筹资活动有关的现金,"6,878,841.48","1,292,295.00","1,084,295.00",,,,,,,,,,,,,,,,,"31,643,876.80","31,643,876.80","31,643,876.80","23,743,229.07","4,834,482.91","9,164,838.42","9,224,136.10","8,813,623.01","3,410,450.61","9,938,366.17","8,938,366.17"
支付其他与经营活动有关的现金,"13,158,648.24","22,393,534.58","20,802,139.65","9,304,296.47","22,404,783.14","27,584,544.30","20,976,151.92","4,036,519.60","8,611,081.05","15,854,851.46","26,016,601.71","13,521,094.75","25,652,968.56","40,985,800.15","41,711,698.92","19,359,559.76","25,051,965.07","42,412,653.70","46,220,433.42","11,801,001.68","19,762,615.10","27,214,522.14","37,253,772.19","31,461,339.77","33,710,218.54","40,889,717.71","46,944,055.48","19,833,869.11","25,775,858.17","36,071,977.55"
筹资活动现金流入小计,"49,536,841.48","44,320,295.00","60,084,295.00",,"224,000,000.00","224,000,000.00","208,675,000.00",,,"123,765.00","239,895.00","5,000,000.00","40,000,000.00","80,000,000.00","131,300,000.00","20,000,000.00","80,000,000.00","80,000,000.00","140,000,000.00","41,643,876.80","71,643,876.80","91,643,876.80","132,743,229.07","403,834,482.91","408,164,838.42","408,224,136.10","407,847,585.26","3,410,450.61","9,938,366.17","8,938,366.17"
经营活动现金流出小计,"76,684,203.55","130,154,047.23","145,413,832.96","51,101,791.32","110,868,629.03","147,775,088.05","170,494,095.95","33,768,463.81","62,222,530.36","121,656,375.89","158,862,302.43","64,429,564.14","179,863,504.61","292,150,087.43","321,005,039.81","128,597,470.18","177,623,818.27","264,454,608.80","321,190,316.73","97,286,656.38","183,886,747.23","260,688,659.72","358,122,204.43","101,274,506.33","175,690,142.23","250,525,626.15","327,341,822.44","108,267,832.29","219,075,329.81","310,979,095.32"
偿还债务支付的现金,"41,293,000.00","22,896,585.70","40,233,414.12","10,000,000.00","20,000,000.00","20,000,000.00","25,000,000.00",,,,,,"5,000,000.00","39,000,000.00","86,300,000.00","26,000,000.00","76,000,000.00","125,000,000.00","170,000,000.00","15,000,000.00","15,000,000.00","45,000,000.00","45,000,000.00","15,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00",,,
经营活动产生的现金流量净额,"7,444,381.71","8,572,490.10","5,556,298.02","18,275,202.77","12,262,024.35","24,216,324.42","32,834,328.60","10,705,375.30","5,041,318.92","-5,668,500.10","-12,636,523.13","13,014,522.93","-32,733,468.05","-57,226,786.77","-23,178,767.64","-1,373,235.45","18,267,392.19","33,168,397.44","60,018,949.56","-17,845,513.46","-8,254,689.74","8,610,454.86","17,039,771.32","11,038,445.45","37,761,851.52","35,374,802.28","56,935,660.65","-12,310,442.69","-36,092,198.13","17,372,863.09"
分配股利、利润或偿还利息支付的现金,"1,527,824.34","1,002,766.15","1,272,130.38","354,522.22","564,073.61","798,734.73","853,218.07",,"16,000,000.00","16,000,000.00","14,897,400.00",,"287,146.67","3,763,828.00","4,380,879.83","521,000.00","950,511.14","6,514,733.36","6,461,942.63","35,000.00","106,777.77","11,308,780.40","12,177,468.27","864,337.50","996,404.17","7,860,400.61","7,868,188.11",,"2,895,345.88","2,895,345.88"
收回投资收到的现金,"5,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"410,000,000.00","664,853,101.37","351,000,000.00","659,350,328.01","950,993,558.82"
支付其他与筹资活动有关的现金,"1,292,295.00","1,084,295.00",,,,"5,325,000.00",,,,,"1,102,600.00",,,,"205,837.50",,"6,019,600.00","8,021,794.00","12,999,597.53","7,250,312.80","6,325,815.00","6,214,448.77","438,010.69","17,515,000.00","24,256,034.76","22,919,255.69","25,938,366.17","2,170,955.16","5,900,938.40","9,542,145.69"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"2,404,964.38",,"1,955,665.75","1,500,000.00","1,500,000.00"
