科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应付款,"57,982,354.09","54,671,963.95","56,555,181.40","59,232,092.90","60,404,400.00","68,521,356.37","64,471,838.91","55,184,331.07","70,007,853.73","84,223,170.25","69,500,280.87","96,274,027.79","98,474,115.52","243,681,266.15","242,970,338.23","261,651,365.35","365,484,634.97","346,926,467.30","287,097,016.63","301,253,667.50","284,870,175.72"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,"2,734,000.00","142,846.09",,"801,528,713.85","381,515,080.81","300,118,533.62","681,137,538.69","745,311,129.38","586,162,016.45","222,069,235.53","699,321,873.92","711,153,648.22","809,000,000.00","50,443,786.88","851,000,820.00","728,313,114.67","667,009,643.51"
其他流动负债,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"524,114,421.77","650,998,341.96","694,254,386.18","896,091,332.22","958,441,600.00","944,254,214.27","1,326,873,833.85","1,414,971,653.60","1,383,020,880.79","1,322,780,087.44","1,232,904,300.43","1,306,768,883.07","1,364,918,797.03","1,331,048,361.99","1,349,069,608.43","1,436,548,538.07","1,551,779,210.50","1,584,432,141.75","1,709,979,681.83","1,777,223,227.06","1,661,421,613.53"
流动负债合计,"424,124,622.77","489,682,425.95","569,592,506.30","793,288,890.64","852,392,900.00","773,941,166.98","754,176,782.41","855,784,580.72","856,870,045.27","730,849,351.22","736,493,626.35","1,002,507,318.75","1,093,743,575.61","1,128,234,495.54","1,225,962,078.79","1,493,466,811.55","1,655,414,975.12","1,531,569,880.47","1,623,973,054.07","1,828,116,294.21","1,884,860,526.54"
可供出售金融资产,,,,,,,,,,,,"103,254,080.00","106,684,380.00","111,684,380.00","111,684,380.00","156,284,380.00","166,284,380.00","165,684,380.00","175,684,380.00","177,684,380.00","177,684,380.00"
长期借款,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,
