科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"937,313,460.34","1,174,009,853.98","1,235,117,591.68","473,194,724.70","1,347,719,179.13","264,442,015.07","595,247,284.76","939,285,271.24","1,686,559,621.52","335,212,020.14","864,926,284.38","1,373,673,287.94","2,348,700,007.42","497,014,558.04","1,250,622,222.51","1,882,435,185.53","3,052,550,127.70","527,465,480.88","1,289,904,188.33","2,030,979,842.54","3,264,111,280.37","478,407,805.88","1,221,146,911.97","2,006,698,348.20","3,305,876,061.72","500,176,680.27","1,246,138,099.97","2,048,048,499.56","3,139,209,646.55","468,525,997.91","1,186,055,871.05","2,041,489,049.77","3,182,409,122.95","504,651,968.29"
二、营业利润,"57,925,339.45","98,962,348.94","96,253,112.66","14,722,278.50","108,766,464.76","4,123,423.94","45,296,445.66","88,527,376.69","170,075,793.05","4,078,763.99","59,097,690.40","90,541,043.06","268,759,775.14","7,666,134.91","98,839,553.64","133,976,821.76","312,505,701.37","5,381,063.33","83,255,363.02","118,539,166.54","271,962,060.62","-17,551,088.33","31,649,275.78","57,851,414.79","235,696,227.44","-8,715,473.71","24,709,440.92","60,239,978.24","199,389,128.05","-51,652,715.10","10,404,687.92","133,400,963.29","235,676,762.76","-24,207,123.64"
减:营业成本,"494,001,320.02","649,252,545.10","727,200,602.60","264,394,543.64","736,873,985.02","144,722,339.02","322,624,576.19","498,880,525.09","903,164,297.65","179,158,649.07","466,343,568.83","749,587,098.71","1,307,991,295.04","275,687,283.52","720,941,207.97","1,089,267,698.36","1,816,538,002.46","301,111,263.24","738,704,047.72","1,174,692,864.30","1,943,171,128.45","272,568,233.99","690,847,940.28","1,163,820,312.43","1,969,494,877.12","291,095,704.10","738,677,417.43","1,213,514,272.33","1,882,675,568.98","275,188,320.03","710,247,472.85","1,207,060,035.30","1,863,223,541.09","276,916,347.48"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"10,459,874.69","13,267,171.53","11,279,796.78","3,724,144.04","15,351,294.44","4,114,902.43","4,680,953.98","8,049,299.82","15,778,371.35","6,153,174.67","9,297,983.70","13,019,065.41","22,124,062.77","6,458,536.32","13,263,517.13","17,914,328.14","30,574,991.94","5,574,667.45","10,208,707.46","19,498,685.29","32,985,071.60","5,021,712.70","12,281,691.38","20,700,274.20","29,546,337.28","4,958,098.38","11,532,017.17","19,108,485.53","35,856,617.09","6,119,076.69","15,880,408.26","25,960,368.79","39,991,528.97","6,936,284.21"
营业外收入,"53,464,653.29","57,034,532.79","57,840,737.59","27,415,192.13","64,963,881.03","15,230,386.29","17,435,017.17","21,598,712.50","83,412,281.51","7,387,323.06","22,206,842.69","55,669,349.19","101,892,839.65","11,400,087.30","32,224,129.54","75,478,499.82","121,993,510.62","6,263,273.85","31,024,911.72","76,105,071.89","110,833,700.56","27,617,793.55","51,928,869.57","103,240,929.64","149,877,604.11","17,556,959.56","52,081,567.51","96,813,819.96","121,641,683.72","30,626,985.07","20,981,154.15","27,818,675.12","31,282,457.38","3,665,286.98"
销售费用,"192,997,156.95","184,867,065.51","189,472,057.19","88,004,716.33","244,733,577.49","61,383,458.13","113,066,091.56","167,529,298.11","322,929,796.29","75,928,867.79","158,276,368.74","252,794,465.18","363,205,590.66","97,517,257.50","198,477,596.11","322,616,061.45","455,383,182.94","103,546,004.84","229,469,001.07","355,258,195.90","495,047,515.34","99,400,458.72","217,011,800.70","345,249,370.29","489,716,105.26","109,624,355.32","228,045,733.14","357,205,553.41","494,823,788.41","114,914,640.99","227,690,994.69","356,903,745.05","512,377,736.53","117,307,035.46"
减:营业外支出,"120,306.24","1,728,589.45","1,168,477.71","330,606.22","2,434,596.03","27,088.86","310,940.78","424,866.47","959,742.81","222,992.88","839,935.19","944,306.48","3,223,942.41","280,733.07","7,518,074.09","7,915,263.31","7,295,645.74","1,020,387.06","1,175,501.82","1,535,963.84","1,787,151.79","107,114.00","411,081.24","839,180.56","1,160,540.85","227,038.24","1,445,077.74","1,739,727.74","2,049,944.24",22.31,"54,415.35","912,123.68","1,348,601.66",
管理费用,"141,779,706.36","184,217,334.06","178,554,516.90","89,268,960.31","209,790,751.91","52,397,166.78","115,360,688.31","189,068,467.44","283,893,543.23","73,860,262.96","172,138,357.94","267,122,991.42","374,268,557.92","106,900,079.25","217,861,780.02","335,571,033.91","458,043,677.22","117,767,611.57","227,246,970.24","354,991,643.03","480,522,612.31","116,537,258.89","246,209,392.60","385,825,112.58","522,062,509.36","133,929,294.23","266,556,982.31","415,070,282.11","541,532,530.53","132,718,229.23","272,107,229.05","415,147,086.42","571,382,358.77","131,853,483.16"
其中:非流动资产处置净损失,"70,740.23","132,938.29","91,724.73","47,770.22","144,752.60","12,088.86","29,940.78","143,866.47","204,063.49","8,935.88","90,396.32","112,165.38","250,674.09","11,537.05","27,697.34","196,449.31","444,077.68","534,757.43","534,757.43","799,023.45","800,211.40","1,614.00","16,367.06","240,430.81","258,307.51","7,038.24","216,555.43","216,555.43","216,771.93",,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
