科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"449,663,672.91","487,902,867.70","496,077,577.43",,"181,860,346.86","269,503,997.52","463,573,241.00","86,932,230.01","225,488,422.37","629,723,922.75","99,998,502.16","229,470,602.72","343,358,105.68","522,871,620.11","93,733,018.71","260,588,926.84","387,979,628.67","586,394,582.52","108,394,015.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,"300,000,000.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"14,210,719.23","36,579,579.78","14,120,818.00",,"50,908,974.51","58,302,170.40","58,083,099.38","28,128,103.96","34,890,263.92","81,006,252.30","6,080,557.03","10,487,754.32","46,314,325.08","56,180,561.81","7,472,274.15","9,694,269.71","20,718,049.94","30,900,701.06","8,853,110.95"
投资活动现金流出小计,"86,199,005.73","120,193,726.28","64,469,413.00",,"18,383,267.11","398,118,684.78","778,038,274.70","111,403,370.90","666,274,607.17","1,550,189,077.44","278,854,272.50","931,064,952.98","1,565,644,043.93","2,120,309,735.50","605,234,857.80","1,048,660,979.39","1,556,604,241.68","1,898,619,760.49","387,548,590.25"
经营活动现金流入小计,"463,874,392.14","524,482,447.48","510,198,395.43",,"232,769,321.37","327,806,167.92","521,656,340.38","115,060,333.97","260,378,686.29","710,730,175.05","106,079,059.19","239,958,357.04","389,672,430.76","579,052,181.92","101,205,292.86","270,283,196.55","408,697,678.61","617,295,283.58","117,247,126.52"
投资活动产生的现金流量净额,"-84,145,717.93","-120,162,733.03","-64,357,848.74","-8,567,205.82","-18,382,737.11","-398,115,954.78","-525,587,587.03","-10,641,432.27","-157,815,782.79","-207,989,345.36","-56,968,268.64","-208,134,321.90","-234,062,232.72","-240,516,746.51","-12,301,479.17","40,474,169.98","-40,108,118.59","140,405,106.10","-89,017,947.12"
购买商品、接受劳务支付的现金,"114,146,874.66","99,748,317.13","87,499,440.59",,"43,324,107.16","68,651,582.88","101,145,454.19","23,238,776.62","50,020,468.11","127,192,457.65","37,375,756.15","72,072,932.99","98,192,724.30","138,457,197.60","36,810,347.93","80,722,598.47","123,912,583.90","161,943,325.53","50,751,873.31"
吸收投资收到的现金,,,,,"574,800,000.00","574,800,000.00","574,800,000.00",,,"45,740,200.00",,,,,,,,,
支付给职工以及为职工支付的现金,"52,269,540.21","64,586,064.52","67,970,064.49",,"39,469,879.04","55,916,937.86","77,223,038.23","26,357,853.42","44,852,250.55","87,487,797.92","31,536,403.73","53,778,335.80","75,206,411.46","102,570,218.52","40,387,468.11","65,896,703.57","94,152,900.64","125,919,452.61","54,232,936.27"
取得借款收到的现金,"100,000,000.00",,,,,,,,,,,,,,,,,,
支付的各项税费,"57,340,510.13","69,315,996.31","62,990,055.09",,"27,248,732.49","38,653,714.49","53,472,786.40","10,617,249.35","30,865,857.31","63,758,947.34","14,514,013.72","32,834,781.00","51,780,941.39","60,025,482.27","16,078,674.97","31,944,709.94","47,933,556.76","63,832,192.15","12,612,729.01"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"92,156,600.20","109,618,249.93","140,532,255.48",,"57,873,497.65","81,261,698.21","102,728,929.96","32,582,906.28","64,174,418.52","179,264,489.35","28,902,105.04","55,322,175.46","97,200,560.33","137,137,304.53","20,564,929.73","47,273,911.28","81,000,798.47","139,328,409.94","48,043,299.38"
筹资活动现金流入小计,"100,000,000.00",,,,"574,800,000.00","574,800,000.00","574,800,000.00",,,"45,740,200.00",,,,,,,,,
经营活动现金流出小计,"315,913,525.20","343,268,627.89","358,991,815.65",,"167,916,216.34","244,483,933.44","334,570,208.78","92,796,785.67","189,912,994.49","457,703,692.26","112,328,278.64","214,008,225.25","322,380,637.48","438,190,202.92","113,841,420.74","225,837,923.26","346,999,839.77","491,023,380.23","165,640,837.97"
偿还债务支付的现金,"163,000,000.00","50,000,000.00",,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"147,960,866.94","181,213,819.59","151,206,579.78","22,124,361.95","64,853,105.03","83,322,234.48","187,086,131.60","22,263,548.30","70,465,691.80","253,026,482.79","-6,249,219.45","25,950,131.79","67,291,793.28","140,861,979.00","-12,636,127.88","44,445,273.29","61,697,838.84","126,271,903.35","-48,393,711.45"
分配股利、利润或偿还利息支付的现金,"3,995,625.33","227,600.00","60,000,000.00",,"48,000,000.00","48,000,000.00","48,000,000.00",,"48,000,000.00","48,000,000.00",,"60,842,363.60","64,000,000.00","64,269,280.00",,"64,674,120.75","64,299,200.00","64,674,120.75",
收回投资收到的现金,,,,,,,"250,000,000.00","100,000,000.00","500,000,000.00","1,325,000,000.00","220,000,000.00","715,000,000.00","1,318,000,000.00","1,857,000,000.00","585,000,000.00","1,070,800,000.00","1,494,348,069.77","2,009,748,069.77","295,000,000.00"
支付其他与筹资活动有关的现金,,,,,"4,307,333.00","8,427,333.00","8,727,333.00",,"1,700,000.00","1,919,550.63",,,,"297,270.91",,"14,351,875.27","14,726,796.02","14,309,100.00",
取得投资收益收到的现金,,,,,,,"2,441,863.01","761,698.63","8,412,584.38","16,605,447.40","1,872,629.86","7,916,857.08","13,543,287.21","22,759,838.99","7,933,158.63","18,329,809.37","22,142,713.32","29,180,356.82","3,530,573.13"
筹资活动现金流出小计,"166,995,625.33","50,227,600.00","60,000,000.00",,"52,307,333.00","56,427,333.00","56,727,333.00",,"49,700,000.00","49,919,550.63",,"60,842,363.60","64,000,000.00","64,566,550.91",,"79,025,996.02","79,025,996.02","78,983,220.75",
处置固定资产、无形资产和其他长期资产收回的现金净额,"53,287.80","30,993.25","111,564.26",,530.00,"2,730.00","8,824.66",240.00,"46,240.00","594,284.68","13,374.00","13,774.00","38,524.00","33,150.00",220.00,"5,340.00","5,340.00","96,440.00",70.00
筹资活动产生的现金流量净额,"-66,995,625.33","-50,227,600.00","-60,000,000.00","-38,400,000.00","522,492,667.00","518,372,667.00","518,072,667.00",,"-49,700,000.00","-4,179,350.63",,"-60,842,363.60","-64,000,000.00","-64,566,550.91",,"-79,025,996.02","-79,025,996.02","-78,983,220.75",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"2,000,000.00",,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,053,287.80","30,993.25","111,564.26",,530.00,"2,730.00","252,450,687.67","100,761,938.63","508,458,824.38","1,342,199,732.08","221,886,003.86","722,930,631.08","1,331,581,811.21","1,879,792,988.99","592,933,378.63","1,089,135,149.37","1,516,496,123.09","2,039,024,866.59","298,530,643.13"
五、现金及现金等价物净增加额,"-3,180,476.32","10,823,486.56","26,848,731.04","-24,842,843.87","568,963,034.92","203,578,946.70","179,571,211.57","11,622,116.03","-137,050,090.99","40,857,786.80","-63,217,488.09","-243,026,553.71","-230,770,439.44","-164,221,318.42","-24,937,607.05","5,893,447.25","-57,436,275.77","187,693,788.70","-137,411,658.57"
购建固定资产、无形资产和其他长期资产支付的现金,"86,199,005.73","114,193,726.28","64,469,413.00",,"18,383,267.11","98,118,684.78","127,838,274.70","8,503,370.90","30,874,607.17","73,789,077.44","20,664,272.50","33,487,452.98","50,066,543.93","59,285,035.50","15,434,857.80","26,110,979.39","34,054,241.68","53,619,760.49","17,548,590.25"
期初现金及现金等价物余额,"159,495,624.48","156,315,148.16","167,138,634.72",,"193,987,365.76","193,987,365.76","193,987,365.76","373,558,577.33","373,558,577.33","373,558,577.33","414,416,364.13","414,416,364.13","414,416,364.13","414,416,364.13","250,195,045.71","250,195,045.71","250,195,045.71","250,195,045.71","437,888,534.41"
投资支付的现金,,"6,000,000.00",,,,,"650,200,000.00","102,900,000.00","635,400,000.00","1,476,400,000.00","258,190,000.00","897,577,500.00","1,515,577,500.00","2,061,024,700.00","589,800,000.00","1,022,550,000.00","1,522,550,000.00","1,845,000,000.00","370,000,000.00"
期末现金及现金等价物余额,"156,315,148.16","167,138,634.72","193,987,365.76",,"762,950,400.68","397,566,312.46","373,558,577.33","385,180,693.36","236,508,486.34","414,416,364.13","351,198,876.04","171,389,810.42","183,645,924.69","250,195,045.71","225,257,438.66","256,088,492.96","192,758,769.94","437,888,834.41","300,476,875.84"
