科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"110,369,334.94","160,058,059.53","278,797,701.07","154,832,649.27","241,040,926.54","313,439,230.54","66,737,163.98","137,495,795.20","211,670,437.85","298,351,213.80","92,266,979.20","213,589,159.22","352,796,350.48","492,815,338.37","125,406,970.36","317,744,908.41","491,016,530.85","681,754,737.36","179,213,117.46","369,087,378.44","558,955,326.89","787,404,364.12","262,952,456.94","622,165,993.68","951,711,617.33","1,325,884,875.02","395,161,413.26","787,329,580.92","1,068,765,539.10","1,429,480,842.35","344,887,017.39","702,593,274.16"
二、营业利润,"8,955,804.33","14,883,421.69","28,614,691.32","17,144,869.07","29,717,004.33","34,452,557.38","5,567,689.95","12,666,254.82","14,517,017.12","16,101,375.97","4,845,743.51","13,824,353.59","17,618,243.39","17,409,175.18","6,290,503.40","16,489,375.17","20,551,919.32","25,377,907.80","8,562,945.98","23,732,031.64","26,207,714.68","32,002,738.89","23,920,633.67","53,426,197.85","97,023,260.15","102,423,138.14","45,975,027.27","69,723,081.92","109,092,072.98","96,735,787.92","36,467,714.83","45,410,749.62"
减:营业成本,"91,366,200.20","125,980,140.32","218,639,674.89","121,290,485.38","185,638,680.27","239,257,822.04","53,960,114.00","110,831,154.17","173,595,753.15","247,552,192.49","79,578,010.04","181,578,750.47","300,620,658.14","422,293,305.07","108,281,397.68","273,324,861.88","423,201,302.91","588,559,291.27","149,872,680.47","305,870,340.97","472,473,328.43","650,054,277.62","199,956,328.43","480,987,638.70","720,726,481.31","1,009,911,362.36","290,617,830.09","597,068,278.80","816,425,714.66","1,104,381,171.18","262,854,104.16","547,928,614.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"54,455.65","295,597.53","386,908.61","484,144.76","941,590.93","1,275,713.35","109,065.78","338,295.54","407,208.07","832,869.13","375,548.99","436,478.01","497,436.35","722,737.27","157,836.23","613,839.21","1,107,430.23","1,971,117.18","381,841.53","556,944.79","930,901.10","2,149,123.47","543,439.27","1,437,183.08","2,643,336.68","5,720,924.91","2,284,161.98","4,947,188.57","6,911,214.43","10,404,487.81","1,637,571.39","3,822,685.50"
营业外收入,"10,700.00","911,642.48","4,324,225.00","1,716,542.35","2,457,634.92","7,225,950.09","1,037,110.60","4,833,438.67","6,529,364.19","6,074,057.21","2,239,329.87","2,747,865.06","3,145,440.99","3,781,549.98","1,433,881.60","1,947,744.90","2,566,373.86","4,585,646.44","470,582.11","1,192,950.15","2,210,302.59","3,651,590.27","2,725,963.38","6,673,106.08","14,147,630.02","17,205,555.26","5,854,145.28","7,330,557.57","11,045,615.63","9,562,730.89","1,914,182.75","503,837.28"
销售费用,"970,258.67","1,241,414.81","3,912,172.33","2,212,429.24","3,596,465.14","5,499,940.20","1,006,477.36","1,986,457.67","3,536,665.03","5,111,124.65","1,272,396.60","2,193,619.71","3,714,782.39","11,390,500.48","2,488,937.80","4,264,252.33","7,405,400.76","13,800,329.45","4,750,878.48","5,876,541.10","9,341,463.53","17,098,165.68","5,400,652.37","8,820,095.36","15,914,914.11","24,153,170.09","8,650,535.82","16,687,870.69","23,960,522.76","30,157,728.99","6,250,947.42","14,572,890.10"
减:营业外支出,"163,400.21","127,608.97","388,289.55","173,618.08","279,341.30","381,359.84","72,734.96","166,690.42","245,663.97","334,981.39","99,896.33","226,861.30","369,931.51","551,846.22","85,960.24","266,153.57","355,438.20","506,175.61","154,462.86","253,478.82","339,123.06","593,198.34","35,548.11","36,719.18","145,235.81","1,534,201.41","18,160.00","23,347.39","65,250.58","282,696.25","20,120.54","61,419.57"
管理费用,"9,725,369.76","16,529,979.17","23,327,280.09","12,030,464.18","18,267,976.49","28,157,302.63","6,887,673.32","13,805,982.66","22,800,688.07","32,309,452.09","6,606,690.76","14,691,390.87","28,694,960.86","37,486,652.27","8,580,982.67","22,068,561.00","36,358,737.86","49,048,187.32","12,626,497.24","25,585,328.08","36,491,630.67","60,923,191.12","23,155,552.09","52,029,429.70","73,945,204.81","118,910,923.07","31,944,532.56","60,585,959.04","94,923,002.78","138,660,107.05","26,919,968.46","59,445,151.65"
其中:非流动资产处置净损失,"2,343.54","3,214.00","28,167.87",,,"11,910.00",,,,,,,,"1,068.23",,"22,030.21","22,030.21","22,030.21",,,,"167,426.40",,,,"715,620.30",,,,,,
