科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"218,187,750.95","245,685,411.40","636,951,146.19","556,260,611.05","586,203,696.15","633,997,128.64","646,082,433.79","701,543,385.30","659,543,667.05","688,497,471.62","678,611,956.05","651,340,139.37","741,639,396.61","546,422,165.76","496,096,569.81","612,994,960.55","571,710,635.67","592,758,160.43","512,381,059.60","558,152,927.87","580,646,403.27","564,468,671.00","620,181,228.39","632,566,120.59","674,751,986.92","702,311,030.40","713,951,041.51","773,474,179.78","1,246,751,990.42","1,300,021,770.96","1,370,461,982.46","1,459,944,012.93","1,631,593,371.36","1,526,599,057.18","1,559,429,789.12","1,537,571,512.30","1,607,574,916.91","1,592,700,227.80","1,453,916,985.17","1,488,696,314.46","1,205,864,234.87"
短期借款,,,,,,,,,,,,,,,,"100,000,000.00","105,000,000.00","105,000,000.00","7,000,000.00","2,000,000.00",,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"342,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,"637,740.00","637,740.00",,,,,,,,"125,962.20","125,962.20",,"505,733.71","505,733.71",,"361,691.46","324,000.00",,"648,000.00","4,403,800.23","9,828,219.00","160,000.00","320,000.00",,,,"160,000.00",,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,843,263.78","1,600,496.55","1,631,864.71","1,294,743.14",,,,,
应收账款,"1,590,882.96","480,568.92","2,434,923.97","6,115,125.28","5,300,774.78","21,713,807.33","5,818,371.83","27,934,906.49","5,358,190.95","8,704,200.39","30,533,338.83","36,974,520.87","12,426,953.21","34,155,457.76","34,761,143.32","35,117,862.90","34,689,720.09","38,763,378.10","36,237,364.97","17,571,920.68","22,511,231.51","46,557,790.72","26,677,160.94","43,811,042.48","34,539,050.76","46,573,353.78","53,282,611.28","52,827,230.52","38,886,477.68","67,944,106.53","50,725,686.04","79,491,169.76","53,719,270.91","70,182,781.39","44,999,767.32","74,891,876.69","42,750,618.05","77,315,539.83","97,454,062.94","101,654,348.04","56,868,524.67"
应付账款,"79,261,891.36","72,251,522.06","78,462,041.33","79,865,973.91","77,526,612.92","113,124,887.88","92,720,991.53","123,972,423.21","129,852,914.00","144,628,945.70","134,617,661.61","114,155,982.54","121,660,304.55","142,378,403.61","130,981,282.83","167,152,481.46","137,816,249.23","152,004,218.57","139,557,068.66","131,477,976.36","123,179,060.49","146,582,747.18","139,101,778.40","142,303,461.95","93,933,592.85","108,831,208.94","110,410,613.84","106,588,866.84","173,877,428.04","192,633,628.90","205,241,283.82","224,774,652.83","362,247,541.56","378,874,965.14","387,456,457.61","383,623,188.32","373,242,597.58","362,290,828.89","331,658,361.92","338,326,061.28","365,577,456.63"
预付款项,"10,930,216.97","10,548,290.16","21,109,544.22","22,510,756.73","17,946,919.97","19,567,920.49","17,345,035.00","14,976,935.14","7,041,660.23","15,152,629.75","14,225,187.38","15,682,660.12","15,148,458.96","22,482,759.31","13,104,360.14","85,830,571.40","10,616,693.50","20,258,558.51","20,753,438.31","30,830,696.26","16,044,833.31","17,056,521.34","24,254,583.99","24,027,084.66","20,164,762.52","34,543,368.36","34,087,150.65","35,576,505.16","10,264,878.70","14,404,406.83","10,949,829.18","10,013,133.79","20,966,766.19","12,530,122.79","14,983,196.82","17,739,931.27","22,623,104.74","24,267,545.46","21,772,187.59","21,529,627.55","18,423,523.37"
预收款项,"53,743,252.15","53,998,697.52","53,614,151.34","56,112,890.99","55,915,425.10","62,621,141.30","56,853,853.80","61,296,983.66","58,568,592.70","62,164,925.25","61,644,298.43","66,899,757.55","64,527,735.22","72,560,406.98","73,675,504.28","80,096,425.06","92,982,785.45","91,651,615.46","93,070,627.51","100,833,331.06","107,327,952.15","99,982,667.31","89,282,361.73","93,244,026.76","100,977,658.45","109,448,809.29","111,276,393.57","112,024,902.74","154,220,047.67","170,453,663.04","162,034,498.66","178,816,275.45","239,924,886.32","252,148,277.95","253,764,281.40","252,450,410.09","236,692,759.05","252,895,878.55","281,373,143.12","290,486,468.44","291,068,093.96"
其他应收款,"14,562,932.08","23,463,360.44","15,454,446.07","16,769,800.60","18,855,802.01","26,759,795.00","19,579,794.57","20,835,446.95","9,035,685.55","10,961,081.33","13,703,910.17","10,123,517.89","14,069,550.87","16,960,999.43","17,766,514.43","19,083,422.74","6,774,830.64","10,172,003.54","9,873,692.88","11,153,087.92","12,747,090.32","11,580,012.56","12,118,382.63","14,175,610.09","11,700,594.36","12,960,250.83","12,428,069.25","20,151,636.99","12,960,611.24","20,666,584.88","13,955,016.02","15,170,146.25","17,721,049.16","20,602,278.02","25,131,608.88","32,243,564.00","20,122,907.02","23,933,414.19","26,025,915.27","24,008,600.89","24,731,667.49"
应付职工薪酬,"7,115,493.54","4,910,618.75","5,263,588.46","5,758,617.66","10,378,111.12","5,356,760.41","18,175,133.03","23,368,858.36","11,513,312.44","7,063,012.92","6,651,977.65","8,154,641.64","18,765,694.82","8,571,736.83","13,161,772.00","11,826,472.30","41,924,567.32","30,802,260.69","35,473,263.61","43,242,460.79","49,558,702.07","36,052,966.02","37,260,237.22","38,456,278.62","58,036,382.45","30,515,696.32","33,382,707.87","41,022,712.55","71,333,757.31","38,937,310.17","65,755,829.51","76,770,320.33","78,393,481.23","56,859,169.65","67,519,669.87","79,788,104.24","87,551,603.46","44,060,495.79","50,180,922.16","66,780,643.27","81,313,952.58"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,721,422.06","8,105,373.07","8,166,640.62","7,526,644.63","9,615,526.21","13,672,409.30","9,481,518.57","9,980,203.37","11,428,621.06","11,950,576.80","10,136,996.41","10,109,828.04","8,608,886.87","8,530,649.70","8,057,294.67","5,263,186.18","9,370,556.52","10,091,605.29","6,007,350.02","4,162,179.45","11,183,492.67","9,371,966.91","5,310,239.90","9,576,418.77","9,676,065.87","21,261,585.98","7,564,832.30","6,329,577.90","11,072,484.31","12,385,331.99","11,075,484.46","5,690,176.53","11,039,040.21","12,061,788.82","10,653,971.69","11,037,722.35","10,601,964.99","7,376,491.88","9,175,638.90","9,088,294.95","7,555,133.87"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
