科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"487,688,659.89","653,842,825.94","382,348,738.74","581,584,266.21","730,484,306.02","217,902,906.78","457,297,744.98","699,442,429.97","914,357,506.09","201,618,439.40","507,085,347.06","828,773,415.36","1,107,245,261.91","250,966,530.08","451,700,711.68","718,740,061.34","2,103,662,919.11","517,165,516.72","1,060,051,385.38","1,593,816,780.36","2,132,697,178.66","573,538,866.91","1,227,552,682.25","1,872,919,115.47","2,433,052,627.91","718,932,449.05","1,462,315,970.91","2,256,274,834.13","3,139,978,743.21","984,454,956.95","1,983,365,101.94","3,053,905,408.83","4,059,214,645.61","1,267,329,272.10","2,391,311,704.50","3,402,396,621.71","4,553,066,950.98","1,207,181,301.60"
二、营业利润,"63,074,113.22","81,286,199.37","57,766,147.00","97,774,950.06","117,275,882.07","26,424,247.90","57,421,581.50","104,446,808.80","122,965,777.06","20,066,100.02","66,455,090.38","109,158,307.52","106,003,495.97","15,256,272.73","19,089,915.81","46,985,872.65","108,481,454.39","29,368,557.62","46,046,171.31","90,744,678.19","98,294,045.00","36,765,953.30","99,785,760.06","130,010,356.00","131,609,336.42","44,664,908.71","120,220,893.89","193,015,600.54","259,554,452.33","66,308,922.69","150,101,843.03","220,894,201.84","267,402,333.28","103,753,499.23","195,960,034.11","279,066,505.36","364,603,500.59","81,323,446.23"
减:营业成本,"349,529,744.94","473,318,869.90","272,530,747.40","407,144,170.83","499,808,867.35","162,461,294.53","340,779,782.98","501,781,816.79","656,026,883.26","150,409,778.65","369,508,810.76","603,530,956.64","829,886,509.53","199,371,949.49","348,736,578.49","545,298,029.71","1,667,004,135.91","418,836,876.39","854,659,973.56","1,263,244,360.03","1,667,380,965.93","458,390,902.63","961,409,766.43","1,440,007,739.34","1,883,393,762.35","532,310,404.51","1,089,379,218.75","1,685,647,196.33","2,333,456,974.23","779,345,204.63","1,551,010,237.60","2,394,324,918.51","3,170,323,414.36","1,035,709,060.48","1,942,527,184.92","2,720,930,034.83","3,604,474,945.84","1,004,299,653.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,509,974.48","2,123,455.70","2,326,955.59","2,729,025.37","3,010,712.99","484,551.13","723,945.97","980,472.48","1,295,027.06","2,317,664.78","2,743,380.16","4,303,104.57","4,303,104.57","456,426.03","478,825.23","629,393.38","1,976,026.23","103,538.20","1,211,837.54","4,466,377.32","32,123,325.69","3,098,430.14","5,778,156.69","8,672,513.20","12,675,615.44","5,030,132.89","7,085,743.66","9,343,998.41","11,435,104.88","6,457,198.94","8,944,904.19","11,655,081.38","21,534,685.77","5,026,283.12","12,311,597.23","19,641,239.11","25,422,150.59","5,450,240.14"
营业外收入,"2,864,852.53","4,363,313.51","2,693,270.68","1,672,607.78","3,601,460.66","2,776,873.63","5,600,269.74","18,934,819.97","21,873,685.24","4,537,301.49","10,455,615.72","16,523,487.72","22,424,591.61","940,351.46","33,051,347.42","35,610,079.72","68,862,929.08","43,441,103.67","55,635,908.31","55,551,610.42","82,901,079.25","2,652,606.88","7,025,396.89","15,552,558.47","21,673,922.10","4,702,437.36","10,451,992.95","15,742,362.28","32,069,324.47","20,604,551.12","26,497,581.26","28,808,678.21","52,702,522.82","8,949,635.58","2,213,352.12","7,627,432.56","2,756,929.94","393,347.16"
销售费用,"21,968,277.87","25,596,910.74","11,311,205.33","17,525,883.35","27,936,802.79","7,263,026.95","14,861,331.38","24,443,423.93","36,142,192.51","7,754,472.94","16,166,439.86","26,323,874.53","39,400,802.96","7,422,438.79","17,051,442.01","25,199,561.81","72,815,413.83","13,406,962.45","29,203,573.80","44,264,209.62","65,688,269.59","14,085,929.82","31,568,265.17","48,623,032.49","72,611,620.78","37,313,650.71","61,884,857.52","80,942,378.20","134,815,331.31","33,406,788.72","58,099,643.61","91,948,204.57","132,011,997.73","28,322,139.52","53,100,830.84","82,518,710.81","114,408,571.39","23,733,880.13"
减:营业外支出,"260,484.85","71,266.05","3,153.31","3,153.31","5,726.06",,,"19,070.94","41,985.41","1,414.00","3,811.00","5,570.00","569,910.63","31,444.79","33,065.10","33,870.46","1,258,057.30","93,342.15","99,466.99","121,423.25","843,576.17","161,747.84","196,670.50","807,192.68","1,396,151.46","485,385.39","692,542.11","938,644.52","3,563,709.16","251,382.44","766,401.15","3,087,216.09","3,347,006.45",,"112,000.02","2,319,594.49","324,674.83",
管理费用,"53,390,078.87","62,371,690.74","34,462,155.37","55,184,441.78","74,324,897.16","22,434,799.10","44,074,465.66","68,932,319.38","99,366,554.78","22,057,361.82","54,129,488.69","87,034,153.94","130,712,306.58","29,391,590.66","63,859,204.10","96,102,475.49","240,387,877.89","54,249,479.74","121,688,850.67","183,657,199.97","271,902,316.21","61,754,776.14","119,798,204.92","221,445,056.02","309,736,425.16","88,173,167.47","168,251,175.57","262,151,992.44","391,816,247.29","94,549,392.34","216,723,013.57","332,160,650.11","448,058,142.10","93,313,118.76","216,022,727.72","333,474,373.67","454,969,806.66","105,962,153.59"
其中:非流动资产处置净损失,"4,037.46",,,,,,,"19,070.94",,,,,,,"25,621.20",,"74,297.07",,,,"72,285.59","16,041.38","16,041.38",,"639,327.44","485,385.03","485,385.03","601,686.69","3,407,928.63","215,341.92","480,360.83","697,581.64","731,116.96",,0.01,"409,739.04",,
