科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"192,618,859.13","240,468,022.67","272,150,216.36","420,401,136.72","388,225,547.55","1,122,939,515.15","1,045,130,715.32","1,095,101,189.96","1,077,180,881.05","949,612,393.20","824,471,539.70","485,245,854.34","497,691,350.81","354,009,606.53","390,562,740.62","580,836,698.42","457,423,760.42","385,575,215.59","497,806,247.21","435,207,294.05","904,976,461.80","617,411,809.44","562,657,545.97","709,270,544.27","1,031,188,505.47","8,310,677,625.38","1,303,390,707.30","1,384,850,995.77","1,945,601,929.61","1,519,677,168.73","2,353,500,074.73","1,873,901,918.35","2,542,613,689.98"
短期借款,"80,790,000.00","144,105,004.00","188,790,000.00","236,790,000.00","344,000,000.00","71,514,240.00","60,000,000.00","65,000,000.00","200,000,000.00","259,428,685.56","284,811,200.00","440,365,783.11","485,000,000.00","441,213,513.60","555,906,649.62","720,000,000.00","739,655,267.55","833,557,012.50","929,818,449.18","1,208,269,081.20","1,425,949,411.53","1,413,694,896.20","1,629,971,302.78","1,723,004,812.93","2,518,462,308.14","2,483,908,479.21","1,927,622,577.08","2,224,766,733.68","2,910,631,504.00","2,829,126,223.00","3,440,802,914.00","3,193,351,527.00","4,640,722,826.64"
交易性金融资产,,,,,,,,,,,,"265,579,702.90","181,270,661.80","236,090,468.04",,,,,,,,,,,,,,,,,"700,000,000.00","360,000,000.00","580,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"680,000.00",,"31,686,658.67","48,928,403.60","53,345,593.99","38,272,651.24","70,602,652.02","150,552,640.33","80,313,157.26","95,792,430.43","77,959,156.41","72,889,486.00","117,812,207.16","191,495,413.03","168,175,198.61","110,223,687.78","166,850,326.65","128,939,250.61","128,789,767.40","149,166,840.88","243,396,161.21","190,147,347.93","341,603,130.09","322,275,390.92","330,418,788.44","618,803,218.61","829,771,559.34","866,502,873.62","720,449,665.87","839,340,877.23","977,142,300.36","892,421,702.35","927,741,487.63"
应付票据,"154,800,000.00","219,566,037.54","112,820,000.00","188,920,000.00","160,820,000.00","37,842,000.00","121,842,000.00","94,000,000.00","50,000,000.00","43,546,290.00","114,626,290.00","145,116,300.00","265,602,582.78","204,369,282.78","273,851,809.51","467,634,429.40","416,564,131.21","505,802,218.45","644,489,912.02","616,665,706.26","652,518,131.03","444,204,491.91","313,437,691.60","297,667,679.64","201,382,435.45","178,648,396.49","264,913,906.49","295,965,510.00","252,300,000.00","496,094,502.48","420,953,502.48","235,320,424.81","358,725,424.81"
应收账款,"31,025,956.61","54,900,682.00","116,831,114.06","98,365,913.06","132,706,356.24","168,704,020.14","91,297,988.72","129,110,043.77","161,029,452.61","165,770,235.99","128,140,852.98","214,693,151.97","230,764,446.95","255,557,771.57","252,451,383.90","311,045,422.62","282,468,443.04","303,761,004.02","301,827,153.02","487,474,855.67","446,928,201.99","378,233,536.39","343,784,256.46","381,462,921.20","436,416,411.31","861,561,550.69","817,564,022.94","1,027,392,632.65","1,088,776,577.83","1,197,192,092.00","1,204,537,334.31","1,267,016,578.14","1,385,811,077.68"
应付账款,"129,424,525.26","93,483,509.55","205,550,896.48","150,873,811.51","170,861,305.47","212,922,181.27","177,941,039.91","171,767,494.92","226,320,254.09","230,039,057.68","200,013,748.09","252,031,818.30","274,665,499.98","238,692,760.45","196,899,915.48","211,814,628.97","284,179,328.21","245,330,873.74","306,439,504.42","385,108,792.54","465,817,052.19","450,510,161.21","454,399,774.10","389,876,140.79","517,527,490.60","847,211,543.60","916,152,552.50","885,597,465.46","860,283,399.92","825,911,160.84","985,650,869.05","946,762,233.88","961,314,082.38"
预付款项,"18,275,619.13","63,687,373.24","87,814,124.80","140,291,204.78","164,871,272.76","125,860,211.56","289,560,605.94","265,426,322.34","345,748,055.36","204,361,000.09","263,388,959.79","421,188,931.55","413,248,180.76","239,526,427.39","532,497,647.31","643,838,792.04","610,491,308.48","377,936,132.38","112,906,417.29","125,418,218.79","117,734,736.46","151,308,679.41","83,310,716.00","130,828,084.26","208,725,676.07","231,719,863.92","151,770,957.86","280,649,672.66","230,382,329.26","310,832,766.71","202,246,176.65","310,385,842.23","310,185,252.76"
预收款项,"8,769,781.49","4,063,842.69","11,315,890.71","22,865,916.21","19,955,682.09","23,989,668.81","35,185,356.87","26,911,797.75","16,298,558.28","16,121,474.48","14,831,808.92","16,708,586.64","14,258,685.01","17,793,414.35","13,315,618.14","18,566,286.63","31,819,441.29","21,986,819.13","11,789,466.17","39,641,296.80","16,319,256.99","17,061,463.37","22,866,299.86","36,173,551.48","16,692,161.70","139,255,779.81","238,769,625.81","308,683,550.05","136,842,091.52","139,176,486.07","128,047,904.96","142,020,383.32","108,217,975.61"
