科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"236,676,826.26","312,654,118.38","501,117,973.39","101,001,769.70","233,825,872.93","387,387,807.37","532,155,561.88","84,128,053.69","246,530,393.62","409,564,519.66","607,789,750.01","147,736,946.74","330,078,050.65","556,845,949.61","788,959,317.47","181,143,100.76","445,776,473.97","689,081,670.98","973,402,545.69","212,618,576.23","624,119,861.73","959,088,256.84","1,306,372,364.28","268,605,830.30","671,525,418.43","1,208,093,168.04","1,745,943,733.96","540,681,266.85","1,220,202,301.15","1,963,850,268.30","3,030,527,598.97","859,401,143.41","2,035,247,263.00"
二、营业利润,"17,141,851.45","31,452,713.32","58,739,891.31","9,457,254.56","22,491,816.83","34,000,940.99","46,630,826.58","-1,151,058.33","15,943,228.26","18,477,209.90","24,811,560.27","4,873,245.22","10,192,131.49","24,346,170.10","37,013,676.45","9,845,369.11","43,792,586.20","67,821,090.44","83,870,993.52","14,700,365.87","89,871,671.42","143,012,388.02","146,246,071.07","22,284,460.47","73,487,961.36","149,993,025.77","177,785,272.31","55,927,575.92","150,227,815.93","238,161,219.31","323,145,500.02","59,458,321.86","245,009,325.53"
减:营业成本,"195,953,477.44","242,285,579.77","376,159,485.15","72,978,727.75","173,412,358.34","291,307,200.62","398,686,692.62","64,709,451.85","183,080,585.60","305,327,148.79","452,087,047.56","106,811,935.11","242,184,082.93","413,644,306.63","588,467,992.59","130,048,942.99","313,244,785.76","485,911,335.94","689,485,085.34","143,341,188.73","407,976,516.99","638,003,638.82","898,083,054.46","185,592,864.51","460,136,860.75","831,472,521.54","1,225,872,924.24","377,823,883.75","831,816,533.27","1,343,609,241.48","2,120,081,255.60","623,616,466.37","1,411,739,417.23"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"26,677.05","104,319.58","320,722.48","10,773.17","261,275.08","304,136.28","783,101.75","9,292.45","99,899.19","422,671.73","935,365.45","617,484.46","1,753,410.49","2,040,245.16","2,687,222.23","531,305.55","1,190,197.51","1,626,624.74","3,928,855.17","1,658,841.94","2,606,714.09","2,770,251.31","6,903,924.35","4,978,659.64","5,934,213.46","8,237,309.35","14,478,854.97","4,153,305.75","9,171,165.75","12,440,539.78","20,111,697.05","5,407,242.03","13,778,840.16"
营业外收入,"722,825.48","2,220,466.22","2,869,469.25","605,306.90","3,770,338.72","6,317,603.96","7,693,404.07","3,624,450.59","7,306,055.19","10,470,500.43","11,980,344.84","3,536,684.28","8,804,271.55","14,508,226.26","14,231,496.85","2,033,866.77","3,844,632.58","8,576,094.19","11,789,166.75","3,073,920.29","5,341,898.28","7,116,211.08","20,563,821.24","1,579,960.97","4,808,316.11","8,081,424.62","14,562,417.48","6,091,158.85","14,195,388.28","17,446,202.63","4,172,426.87","4,734,887.22","7,376,260.81"
销售费用,"8,698,603.68","15,559,017.55","28,754,504.71","8,646,108.03","17,281,983.51","27,457,465.91","40,817,075.57","8,409,611.93","19,955,202.32","34,569,303.30","52,261,447.66","15,045,568.08","33,719,769.07","53,764,732.06","73,261,834.20","20,631,201.29","44,377,114.74","70,293,962.18","95,475,611.80","28,850,723.06","64,220,427.53","94,595,158.85","133,075,521.78","30,081,002.41","72,276,412.97","122,169,875.41","171,462,851.95","66,852,428.07","130,143,190.00","196,766,649.33","276,894,338.86","75,723,266.42","173,590,991.42"
减:营业外支出,"1,053.92","687,667.24","357,667.90","70,843.62","154,945.61","516,762.07","704,042.96","256,796.40","289,123.70","320,023.70","933,432.76","30,920.15","89,962.28","1,348,048.25","2,139,068.64","614,658.87","675,038.38","876,373.82","1,010,507.07","464,802.85","1,075,522.41","1,229,512.52","1,452,551.18","360,786.39","456,673.17","2,261,789.94","2,925,764.15","420,303.24","1,162,399.03","1,815,880.83","2,857,348.94","1,078,084.10","2,136,792.61"
管理费用,"13,432,646.03","22,892,231.99","35,948,385.95","9,798,499.02","19,938,791.35","33,800,170.18","47,756,077.04","13,491,792.46","32,561,010.80","53,972,662.21","78,082,177.94","18,572,801.96","37,021,467.62","55,430,392.40","75,976,378.31","16,610,759.54","40,069,620.59","60,811,609.12","87,741,968.56","25,546,960.64","54,842,845.94","80,227,556.51","116,181,777.07","24,671,576.16","54,019,857.12","84,872,237.04","139,882,896.04","34,866,349.16","81,162,275.29","135,676,321.26","222,153,940.95","70,546,552.48","160,040,282.16"
其中:非流动资产处置净损失,,,"35,539.77",,,,"349,905.81",,,,"73,009.06",,,,"79,299.55",,,,"22,645.85",,"55,518.47",,"121,011.98",,"125,693.25",,"308,914.76",,"108,106.29","378,735.94",,,
