科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"505,143,495.67","597,931,479.91","746,253,053.89","416,444,387.70","592,233,531.21","847,178,472.23","246,433,067.61","439,839,194.72","608,778,870.13","824,351,844.37","189,782,252.30","371,635,763.26","541,109,236.04","744,317,187.62","311,055,993.20","928,544,916.23","1,545,133,905.93","2,564,142,762.90","754,013,966.72"
二、营业利润,"121,020,611.15","122,732,613.31","177,772,256.05","93,444,325.94","118,039,448.56","178,870,633.21","50,560,577.62","92,706,643.34","92,272,041.87","130,508,245.36","23,913,325.04","34,760,363.75","78,191,592.63","115,193,523.10","36,094,324.73","61,146,415.95","93,249,403.08","298,421,748.49","99,531,980.66"
减:营业成本,"163,490,815.94","196,361,755.68","232,828,917.58","119,593,145.35","173,662,301.90","245,290,387.02","70,297,053.57","124,920,404.36","180,983,900.00","244,579,327.95","60,801,805.76","114,475,598.55","162,772,736.68","221,539,618.76","99,443,235.73","301,671,174.47","490,384,168.98","777,320,242.84","234,125,230.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,522,455.17","7,180,892.18","10,559,999.53","6,119,509.73","8,217,033.41","10,589,594.49","3,058,207.58","5,775,192.93","7,754,311.10","10,187,792.02","2,770,961.87","5,196,787.57","7,013,244.28","11,177,774.54","4,163,347.62","7,639,360.73","10,654,991.34","15,013,986.85","2,884,029.05"
营业外收入,"3,707,914.65","4,527,015.20","5,511,336.21","8,651,888.28","9,282,293.00","11,675,392.26","4,209,252.13","4,532,974.96","11,910,246.12","20,691,739.00","7,553,061.39","5,957,963.58","14,237,074.17","18,498,622.98","8,494,990.27","14,448,395.20","15,792,497.15","18,235,303.78","5,163,642.30"
销售费用,"171,003,366.00","221,871,417.88","264,284,430.21","162,608,903.11","240,531,916.12","344,608,646.71","102,731,065.61","185,247,076.24","268,684,346.93","356,318,862.13","76,380,183.14","150,975,139.64","226,678,141.10","308,407,540.82","119,783,769.75","382,918,069.69","645,748,943.20","1,004,982,310.45","283,496,026.69"
减:营业外支出,"844,628.08","195,039.66","1,820,290.15","126,972.65","129,039.24","137,973.73","152,516.59","171,328.29","312,731.77","349,932.36","186,051.19","1,730,916.07","2,000,990.71","1,228,474.45","137,027.83","218,444.41","1,246,418.10","2,050,519.86","157,062.85"
管理费用,"41,599,803.82","50,731,017.23","62,254,871.36","36,482,430.79","56,275,532.97","71,835,826.23","21,609,990.48","39,838,286.57","69,951,293.98","94,875,915.98","24,299,913.24","50,545,094.68","77,141,767.41","104,086,827.76","37,936,544.06","83,767,019.38","137,386,996.65","229,387,440.43","70,323,916.63"
其中:非流动资产处置净损失,"219,722.28","41,873.64","95,460.29","13,652.59",,"22,395.08","40,398.08","58,640.53","176,042.67","204,625.81","77,920.45","85,257.37","85,373.15","101,602.52","16,882.51","35,085.69","806,863.88",,
堪探费用,,,,,,,,,,,,,,,,,,,
