科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"64,013,941.65","135,556,270.50","375,855,988.46","71,565,690.48","180,944,075.14","241,963,576.61","362,927,126.41","53,482,668.53","134,516,012.60","230,126,283.08","353,928,762.34","42,723,763.23","119,187,435.74","185,653,190.44","530,095,816.69","66,005,455.83","177,745,530.26","291,902,085.73","1,012,380,154.13","270,633,784.17","525,030,560.07","621,992,521.29","878,990,045.09","100,267,110.10","415,545,695.05","616,297,710.37","981,050,686.45","122,818,314.99","293,684,471.16","404,770,474.10","688,460,968.38","89,563,185.54","293,389,228.25","466,807,652.33","878,934,715.10","168,880,312.73","445,902,852.01","655,308,050.62","1,133,253,405.89","144,908,785.32","515,481,504.45","693,426,293.90"
二、营业利润,"4,383,235.79","5,001,061.22","2,077,422.51","-6,458,840.92","-6,758,465.66","-13,341,156.10","-21,808,647.71","-7,200,633.25","-10,086,448.36","-11,681,599.43","-5,573,767.57","-6,898,243.16","-7,946,896.47","-5,455,435.47","-4,327,150.92","-6,103,771.68","-9,745,466.34","-5,796,985.79","45,017,578.36","4,074,830.56","24,891,220.95","29,528,537.83","39,250,934.70","-10,013,706.22","19,542,262.09","30,182,929.90","61,489,945.24","-5,076,980.30","6,623,098.50","2,732,114.45","25,983,248.34","-11,784,406.55","5,041,993.83","2,724,936.80","31,835,305.23","-3,828,837.82","17,739,506.84","19,121,891.94","70,685,871.24","-15,585,089.16","5,751,097.07","7,716,463.77"
减:营业成本,"44,760,487.59","96,088,984.75","279,659,961.74","57,165,329.06","142,633,949.03","190,149,789.83","277,934,719.01","39,878,447.57","101,495,301.13","175,162,276.12","272,036,523.32","29,931,155.80","85,745,880.25","132,666,737.55","439,961,057.27","51,017,750.52","140,195,153.56","227,978,723.25","809,690,717.77","226,743,472.96","420,040,862.27","481,705,562.51","676,494,004.99","70,983,838.96","311,370,675.24","468,774,032.70","732,998,562.38","89,747,174.85","212,400,083.37","288,767,521.23","497,313,653.45","61,012,392.78","220,484,186.26","355,440,794.24","684,155,851.52","128,404,181.06","343,644,357.11","515,281,739.48","882,980,112.27","110,619,130.74","396,783,134.84","532,517,668.32"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"144,712.54","314,401.61","1,274,939.75","433,794.46","1,200,232.00","1,583,047.66","2,316,302.16","291,073.75","853,086.01","1,590,773.18","2,525,422.12","237,723.11","717,900.25","1,181,758.61","2,207,047.80","238,872.28","736,237.68","1,557,730.95","9,279,866.62","1,615,826.04","7,608,704.30","9,156,808.22","8,994,356.93","798,928.48","1,762,139.23","3,394,270.80","6,955,925.30","806,245.98","1,442,883.62","2,399,821.21","4,374,806.30","292,936.61","1,019,490.56","1,390,026.58","3,791,883.33","774,603.29","1,310,303.63","1,869,584.07","3,377,118.67","233,748.19","1,407,064.94","1,208,335.66"
营业外收入,"530,966.52","3,101,404.14","6,049,652.01","1,251,159.87","1,634,565.87","2,135,288.67","2,884,249.53","537,195.60","602,974.65","2,334,187.62","10,164,582.66","279,275.20","360,010.60","574,355.80","5,678,139.90","81,463.24","157,299.15","157,299.15","3,941,521.36","2,063,561.00","2,095,446.00","2,830,601.49","8,051,843.71","14,321,055.72","14,790,261.10","15,700,920.93","14,989,119.65","12,456,557.35","16,662,960.82","17,459,126.72","20,041,651.19","8,570,249.04","10,365,249.04","12,154,552.98","14,873,095.05","4,581,892.21","5,986,179.50","7,540,472.65","12,001,414.83","3,694,788.81","4,002,199.94","4,642,884.51"
销售费用,"4,667,062.20","12,338,070.52","28,920,981.17","7,046,449.32","15,787,987.90","23,210,835.20","32,347,168.97","6,774,098.90","13,951,372.13","21,354,234.33","29,936,159.84","6,443,169.23","14,413,309.90","20,800,647.05","29,059,648.16","7,901,997.29","14,498,606.79","23,528,805.00","35,601,365.42","9,269,930.63","18,214,792.20","27,174,497.95","38,217,070.33","10,125,271.72","21,264,012.51","28,931,360.46","42,661,575.56","9,939,890.55","21,174,169.62","31,412,740.52","41,366,247.69","11,595,174.45","23,802,344.07","32,281,080.18","46,298,478.17","12,966,297.28","23,635,037.20","33,949,230.27","49,898,342.16","9,007,778.60","22,160,451.52","32,019,828.18"
减:营业外支出,"3,790.24","22,955.24","49,293.58",73.93,472.47,"1,074.16","320,455.20","11,278.19","95,878.45","185,345.77","772,124.00",600.00,"251,793.57","261,256.39","273,961.67","262,582.00","375,866.50","375,866.50","399,668.27","7,810.43","331,502.52","327,009.07","1,262,973.15","299,562.27","328,481.50","827,834.25","845,234.00",,"17,013.21","28,498.71","58,370.17","27,807.14","159,445.57","229,948.49","302,294.41","25,318.85","25,856.26","28,054.38","221,320.38",,"40,538.28","66,245.81"
管理费用,"10,400,238.77","21,795,814.11","51,132,128.21","12,952,086.00","26,490,955.10","38,960,074.30","58,248,078.97","13,727,034.36","27,363,905.48","43,404,719.53","63,812,487.42","13,704,586.64","27,888,259.22","39,892,539.80","63,009,438.56","13,745,808.30","30,791,748.45","44,182,928.79","109,771,543.55","31,083,985.81","59,969,689.54","85,636,275.30","119,162,071.38","31,810,224.40","62,274,677.98","87,949,479.23","126,590,435.58","28,361,750.42","55,205,404.63","84,584,493.23","118,010,479.35","29,889,376.02","56,370,785.85","89,084,834.41","130,121,676.83","32,378,524.90","59,364,694.00","86,786,569.73","140,199,484.80","41,499,994.77","76,679,654.43","109,538,649.33"
其中:非流动资产处置净损失,,"22,955.24","49,283.02",,,,"60,165.20",,,,"84,976.20",,"231,193.57","240,656.39","253,361.67",,"175,866.50","175,866.50",,"7,810.43","331,492.44",,,,"328,481.50","827,151.75","845,134.00",,"2,013.21","13,498.71","43,370.17",,"26,269.36","157,429.36","104,670.73",,"10,856.26","10,856.26","26,361.20",,"40,463.10",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-141,795.24","-257,085.24","119,962.26","426,872.56","304,999.59","848,528.54","259,807.36","272,647.20","421,072.75","779,372.06","117,731.21","-394,628.39","-715,438.95","-2,462,411.88","-2,714,360.02","-795,200.88","-1,122,362.80","-1,971,230.92","-8,098,086.19","-2,154,261.83","-1,730,784.52","-6,559,617.85","-9,834,620.06","-2,737,447.24","-4,589,169.21","-5,328,641.67","-7,687,896.76","-959,766.51","-1,014,533.16","-1,464,805.42","-3,692,877.20","-1,442,287.77","-1,129,038.24","-1,862,719.75","2,271,802.42","-1,814,455.98","-3,559,099.46","-3,914,345.42","-1,965,212.17","-866,777.82","-1,636,487.55","-3,351,583.83"
三、利润总额,"4,910,412.07","8,079,510.12","8,077,780.94","-5,207,754.98","-5,124,372.26","-11,206,941.59","-19,244,853.38","-6,674,715.84","-9,579,352.16","-9,532,757.58","3,818,691.09","-6,619,567.96","-7,838,679.44","-5,142,336.06","1,077,027.31","-6,284,890.44","-9,964,033.69","-6,015,553.14","48,559,431.45","6,130,581.13","26,655,164.43","32,032,130.25","46,039,805.26","4,007,787.23","34,004,041.69","45,056,016.58","75,633,830.89","7,379,577.05","23,269,046.11","20,162,742.46","45,966,529.36","-3,241,964.65","15,247,797.30","14,649,541.29","46,406,105.87","727,735.54","23,699,830.08","26,634,310.21","82,465,965.69","-11,890,300.35","9,712,758.73","12,293,102.47"
资产减值损失,,"475,023.53","13,570,682.82",,"2,592,357.18","2,592,357.18","15,669,597.65",,"1,509,683.46","1,240,427.29","11,105,827.14",,"-165,578.46","-220,645.22","9,267,635.84",,"2,841,612.92","2,975,614.45","11,670,668.60",,"7,791,516.43","7,105,898.43","18,461,667.92",,"4,621,097.21","4,460,478.95","20,108,339.15",,"-1,146,635.42","-1,181,361.12","7,585,460.45",,"2,463,214.92","2,412,448.87","-4,876,533.40",,"3,768,052.69","3,750,355.55","8,360,485.15",,"15,724,832.38","15,542,385.86"
