科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"12,951,196.38","32,151,024.54","51,218,967.02","48,221,081.72","121,768,137.54","99,656,822.39","67,071,174.62","93,082,414.18","112,604,904.69","101,110,373.83","96,625,034.45","792,972,770.73","644,440,024.72","288,490,352.98","363,228,274.35","383,320,632.26","280,989,001.47","243,849,003.25","219,252,874.16"
短期借款,"155,000,000.00","215,751,630.00","302,929,953.02","283,000,000.00","222,500,000.00","327,960,000.00","218,667,503.42","342,690,000.00","386,530,000.00","235,000,000.00","300,000,000.00","343,000,000.00","285,000,000.00","183,500,000.00","252,500,000.00","359,000,000.00","484,000,000.00","389,000,000.00","559,000,000.00"
交易性金融资产,,,,,"20,000,000.00",,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"1,940,000.00","20,761,630.00","38,740,905.15","12,024,246.77","34,747,632.30","48,311,975.90","68,976,008.96","50,594,000.00","60,262,066.55","46,929,586.40","70,237,780.85","62,410,153.33","62,627,300.10","64,898,761.54","80,267,268.41","105,971,948.43","106,159,005.71","104,040,603.34","85,640,044.47"
应付票据,"10,240,000.00","22,778,000.00","22,563,000.00","59,098,500.00","100,940,000.00","17,813,221.00","166,060,087.51","52,804,970.00","85,626,741.17","182,221,859.91","127,308,763.10","67,972,024.69","86,465,085.93","130,240,223.22","138,611,074.21","128,069,467.52","131,735,348.20","134,928,381.29","155,439,624.01"
应收账款,"80,775,751.06","84,654,319.07","115,767,305.23","127,802,006.87","117,529,531.58","143,234,057.63","142,141,645.30","148,070,958.19","135,475,033.74","189,215,417.01","166,302,843.03","171,270,425.28","177,169,195.90","201,449,513.44","199,892,321.30","188,317,565.26","201,363,626.16","239,758,532.44","418,143,255.01"
应付账款,"32,356,982.14","43,637,440.73","54,626,897.53","54,613,906.64","26,987,794.33","58,691,374.30","35,633,711.19","86,028,574.79","65,063,272.26","79,117,387.90","81,837,002.42","99,992,945.81","98,571,204.61","108,871,562.96","110,925,303.08","107,517,384.87","109,717,755.68","93,589,022.96","169,958,108.60"
预付款项,"37,264,564.38","34,666,970.76","51,966,803.52","58,641,205.47","56,439,873.26","78,200,523.37","97,058,664.19","93,812,997.21","142,976,790.19","85,520,241.06","103,079,010.56","77,589,466.31","108,417,872.97","120,299,547.69","166,268,558.93","159,030,954.34","135,552,416.36","8,455,134.93","15,200,287.57"
预收款项,,,,,,,,,,,,,,"680,027.72","172,436.24","172,036.24","12,790.13","310,485.16","854,986.58"
其他应收款,"6,399,950.90","1,651,858.92","1,698,333.73","2,323,792.76","2,312,839.61","1,371,377.03","1,107,795.52","7,257,279.39","5,810,135.33","4,118,392.26","5,023,412.19","5,183,595.22","4,675,944.75","13,422,620.92","9,493,751.38","8,840,672.40","16,689,093.83","9,054,713.12","18,450,245.34"
应付职工薪酬,"2,897,559.38","3,468,226.61","4,264,254.88","4,360,223.88","3,710,587.41","6,244,395.49","4,874,459.16","6,544,356.28","6,856,973.98","8,374,131.42","7,647,416.07","10,090,278.58","11,772,906.51","16,016,148.74","14,138,029.43","14,147,951.76","14,610,732.88","16,226,795.92","16,282,662.05"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"1,661,532.73","5,039,898.14","3,921,846.26","2,758,470.87","1,067,988.36","6,198,057.73","3,935,118.98","3,924,382.20","5,876,985.20","2,342,883.70","-1,143,349.53","3,846,193.02","2,461,614.37","6,232,901.68","-5,530,594.63","3,855,714.01","-9,641,363.49","4,543,493.80","6,038,983.61"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,,,,"300,000.00","26,555.52","300,000.00","560,943.39","903,806.04","1,024,808.80","406,152.10","314,692.64","428,499.53","352,811.03","335,813.36","424,383.69","526,855.85","426,617.69","272,325.06","216,106.52"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,
存货,"72,717,870.43","103,174,839.34","108,415,938.76","121,363,734.87","131,232,664.51","126,569,906.26","141,544,620.94","141,144,371.36","136,540,365.40","140,398,309.25","139,383,136.18","122,314,924.92","130,553,082.64","163,864,638.38","178,337,346.66","158,557,207.25","204,960,124.65","227,411,268.28","337,076,128.67"
其他应付款,"4,982,663.63","5,503,070.16","4,059,232.21","5,630,870.13","3,451,427.47","4,152,457.77","14,155,034.04","5,598,134.42","2,740,879.27","5,683,640.20","4,775,440.84","9,137,649.13","9,800,937.17","11,533,943.15","9,832,491.44","12,015,747.53","6,143,224.16","8,632,895.83","49,996,005.27"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,"14,281,057.67","14,281,057.67","6,700,000.00",,"313,584.00","248,221.71","182,859.42","117,497.13","393,102.85","4,139,921.25"
其他流动资产,,,,,,,"720,327.52",,,,,,,"205,665,971.93","152,223,835.62","184,577,959.01","319,502,116.44","230,890,809.16","129,996,162.17"
其他流动负债,,,,,,,,,,,,,,,,,,,
流动资产合计,"212,049,333.15","277,060,642.63","367,808,253.41","370,376,068.46","484,030,678.80","497,344,662.58","518,620,237.05","533,962,020.33","593,669,295.90","567,292,319.81","580,651,217.26","1,231,741,335.79","1,127,883,421.08","1,058,091,406.88","1,149,711,356.65","1,188,616,938.95","1,265,215,384.62","1,063,460,064.52","1,223,758,997.39"
流动负债合计,"207,138,737.88","296,178,265.64","392,365,183.90","409,761,971.52","358,684,353.09","421,359,506.29","443,886,857.69","498,494,223.73","553,719,660.68","527,427,112.90","535,021,023.21","541,167,590.76","494,424,559.62","457,724,204.83","521,321,345.17","625,488,017.20","737,122,602.38","647,896,502.87","961,926,397.89"
可供出售金融资产,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,"35,000,000.00","35,000,000.00","33,000,000.00","33,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,"8,255,956.85","6,802,382.99","7,806,927.43","5,348,809.14","5,348,809.14","3,814,933.41","3,814,933.41",,"847,447.06","785,276.59","724,258.74","345,312.45","345,312.45","345,312.45","345,312.45",,"8,586,913.99"
长期股权投资,,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,"5,782,788.58"
固定资产,"120,307,788.99","174,360,426.75","233,963,400.45","248,784,204.42","251,747,227.31","284,368,408.70","273,727,940.48","282,381,478.20","284,630,033.98","327,894,792.83","323,677,026.84","328,717,927.43","356,917,220.27","467,775,149.05","469,405,625.83","473,515,694.38","471,618,471.80","623,010,080.78","694,563,759.27"
递延所得税负债,,,,,,,"7,810,179.44",,,,,,,,,,,,"10,968,583.36"
在建工程,"23,950,495.93","17,266,871.95","13,519,710.03","40,277,269.03","29,383,237.74","81,981,606.80","79,965,736.60","129,206,233.63","131,658,680.89","111,484,367.80","127,720,205.33","205,766,825.17","194,774,764.07","135,832,752.62","125,465,366.20","198,160,087.66","241,073,238.72","189,772,064.70","199,666,379.15"
其他非流动负债,"5,262,001.65","5,837,832.33","7,810,179.44","11,896,352.62","7,810,179.44",,,,"10,452,704.81",,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,
非流动负债合计,"5,262,001.65","5,837,832.33","16,066,136.29","18,698,735.61","15,617,106.87","51,439,207.99","48,158,988.58","47,267,638.22","47,267,638.22","44,484,965.52","45,013,543.58","44,621,373.11","28,230,355.26","26,752,242.90","26,160,242.90","25,643,744.90","25,081,294.90","24,470,430.45","49,267,966.38"
固定资产清理,,,,,,,,,,,,,,,,,,"1,712.62","3,645.44"
负债合计,"212,400,739.53","302,016,097.97","408,431,320.19","428,460,707.13","374,301,459.96","472,798,714.28","492,045,846.27","545,761,861.95","600,987,298.90","571,912,078.42","580,034,566.79","585,788,963.87","522,654,914.88","484,476,447.73","547,481,588.07","651,131,762.10","762,203,897.28","672,366,933.32","1,011,194,364.27"
生产性生物资产,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","106,670,000.00","106,670,000.00","106,670,000.00","106,670,000.00","106,670,000.00","110,040,000.00","110,040,000.00","131,064,557.00","131,317,557.00","131,307,557.00","131,307,557.00","131,261,557.00","328,153,893.00","328,153,893.00","348,747,076.00"
油气资产,,,,,,,,,,,,,,,,,,,
资本公积,"12,975,934.85","12,975,934.85","12,975,934.85","12,975,934.85","136,280,259.24","136,280,259.24","136,280,259.24","136,280,259.24","136,280,259.24","184,037,359.24","184,037,359.24","880,849,392.15","886,017,892.15","889,136,546.36","889,136,546.36","901,674,286.90","704,318,011.30","704,781,950.90","935,013,736.84"
无形资产,"23,900,297.54","50,142,015.72","49,174,883.27","48,448,977.25","48,273,242.64","47,974,196.17","47,675,148.10","47,376,100.03","47,232,693.55","92,143,546.21","91,578,506.15","91,227,085.66","102,957,747.20","102,360,642.71","101,829,004.81","101,391,465.22","100,874,829.33","100,354,023.17","158,941,020.67"
盈余公积,"4,187,067.58","7,617,258.10","10,000,795.08","10,000,795.08","10,000,795.08","10,000,795.08","10,000,795.08","10,000,795.08","10,000,795.08","16,377,629.91","16,377,629.91","16,377,629.91","16,377,629.91","19,376,292.39","19,376,292.39","19,376,292.39","19,376,292.39","30,130,735.51","30,130,735.51"
开发支出,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,"264,499,336.35"
未分配利润,"63,945,352.32","108,074,064.59","146,575,944.55","169,084,669.25","178,372,230.46","190,667,560.44","178,578,244.98","189,643,123.87","198,610,791.61","207,257,615.24","222,529,047.18","233,019,144.79","215,272,669.36","229,880,349.36","249,195,171.62","261,691,604.11","268,701,766.41","291,093,505.22","314,309,970.04"
长期待摊费用,,,,,,,,,,,,,,,,,,"117,144.09","12,195,950.86"
少数股东权益,"6,698,821.33","8,146,601.54","8,705,058.39","9,687,167.39","10,132,396.29","10,043,229.59","10,452,948.39","11,167,835.92","11,091,592.10","11,662,963.96","12,338,276.24","12,431,401.06","12,668,100.65","12,867,220.94","12,827,359.29",,,"-311,547.50","-336,044.28"
递延所得税资产,,,"2,222,805.90","2,322,754.54","2,322,754.54","5,598,445.74","4,845,793.09","5,504,605.23","5,595,883.97","1,938,871.48","1,496,175.14","1,844,166.09","1,775,611.33","2,984,462.52","2,913,161.24","3,451,316.29","3,971,935.91","4,526,228.58","7,145,734.51"
外币报表折算价差,,,,,,,,,,,,,,,,,,,
