科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"97,480,287.64","92,438,030.69","122,057,030.15","28,734,566.99","67,820,936.18","103,149,808.97","152,486,281.01","32,851,485.53","88,248,766.87","132,406,602.90","212,168,370.30","40,267,329.83","96,574,048.79","169,669,136.86","291,154,706.52","66,996,515.29","161,704,798.63","250,293,287.83","439,706,340.20","134,875,605.36","239,832,266.27","320,245,286.26","578,539,300.53","92,067,054.87","332,238,934.77","469,731,638.99","851,034,804.94","151,526,606.72","329,191,358.03","579,639,121.38","1,043,117,574.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"48,282.89","94,658.80","1,226.45","1,078.71","2,433.70","2,776.11","4,143.50",,"1,201.74","1,485.40","17,780.50",,"53,599.10","238,253.59","576,186.70","90,647.56","122,160.67","138,784.59","143,399.16","37,252.97","83,542.02","83,542.02","269,288.27","1,591.83","153,438.56","1,640,039.24","1,671,027.34","419,662.55","419,215.63","419,215.63","419,215.63"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"219,527.48",,,,,,,,,,"15,900.00","1,680,000.00"
收到其他与经营活动有关的现金,"6,390,699.72","7,036,753.33","20,935,345.27","4,151,169.48","11,817,664.54","24,390,195.68","41,743,988.51","11,137,781.45","27,585,443.46","31,468,730.67","59,246,450.87","8,156,714.42","14,544,735.79","28,848,243.22","56,644,343.41","2,933,436.17","5,512,480.70","9,667,916.12","14,500,292.24","894,420.02","8,563,624.59","16,264,124.16","18,271,884.78","995,619.57","7,805,778.29","60,161,809.17","20,278,529.84","4,278,960.04","13,356,362.07","16,666,602.89","27,455,180.03"
投资活动现金流出小计,"60,275,133.59","9,006,167.26","22,825,454.50","2,899,864.76","11,728,819.57","55,498,937.08","144,265,595.83","168,705,167.50","317,672,165.81","384,671,126.52","455,379,568.36","134,131,605.87","192,264,336.11","246,827,420.73","302,852,735.03","25,014,661.13","34,248,962.11","67,504,755.55","85,164,044.79","804,747,885.52","866,295,988.77","912,390,152.60","1,123,720,178.01","51,434,925.77","88,666,726.94","106,517,409.53","131,797,438.38","38,374,289.75","89,384,425.11","148,627,135.11","223,816,116.36"
经营活动现金流入小计,"103,919,270.25","99,569,442.82","142,993,601.87","32,886,815.18","79,641,034.42","127,542,780.76","194,234,413.02","43,989,266.98","115,835,412.07","163,876,818.97","271,432,601.67","48,424,044.25","111,172,383.68","198,755,633.67","348,375,236.63","70,020,599.02","167,339,440.00","260,099,988.54","454,350,031.60","135,807,278.35","248,479,432.88","336,592,952.44","597,080,473.58","93,064,266.27","340,198,151.62","531,533,487.40","872,984,362.12","156,225,229.31","342,966,935.73","596,724,939.90","1,070,991,970.22"
投资活动产生的现金流量净额,"-55,577,710.37","-9,006,167.26","-22,825,454.50","-2,899,864.76","-11,728,819.57","-55,498,937.08","-78,035,721.85","-60,198,916.81","-97,917,011.00","-149,860,286.78","-220,568,728.62","-134,131,605.87","-192,264,336.11","-246,827,420.73","-302,852,735.03","-25,014,661.13","-34,248,962.11","-67,504,755.55","-85,164,044.79","-804,235,720.80","-865,775,988.77","-911,770,152.60","-1,123,053,919.76","-50,954,925.77","-58,793,326.94","-76,324,539.84","-131,013,438.38","-38,104,289.75","-89,108,425.11","-148,351,135.11","-223,488,501.16"
购买商品、接受劳务支付的现金,"16,717,409.31","16,344,325.10","18,638,226.91","3,249,719.03","8,643,470.03","16,293,009.52","23,496,177.41","5,938,858.08","14,887,229.43","28,317,728.16","38,797,160.40","6,813,835.05","15,048,107.01","27,375,711.00","39,768,737.93","10,369,277.70","21,729,160.58","39,083,394.66","53,253,461.21","42,424,481.70","66,471,339.21","87,774,409.08","102,877,900.73","16,274,446.19","37,462,973.61","67,590,430.14","96,018,860.11","13,921,518.41","38,660,455.91","63,591,843.90","90,203,453.24"
吸收投资收到的现金,"55,652,880.00","22,147,749.54",,"715,025,800.00","715,025,800.00","715,025,800.00","724,560,000.00",,,,,,,,,,,,,"423,599,992.12","423,599,992.12","423,599,992.12","423,599,992.12",,,"645,077,948.37","644,053,602.86",,"147,804,000.00","147,804,000.00","147,804,000.00"
支付给职工以及为职工支付的现金,"13,640,056.02","18,675,257.55","22,456,946.30","7,780,462.87","15,239,425.29","22,313,892.92","29,900,762.87","10,661,881.60","23,447,735.77","32,200,958.78","40,689,236.57","12,513,751.55","24,658,150.95","35,794,769.15","46,744,593.08","17,697,722.51","31,347,050.17","44,063,046.74","55,974,329.80","21,710,005.63","40,442,996.85","60,369,543.71","79,509,088.27","31,006,597.56","53,997,611.10","75,723,992.85","98,223,467.53","33,211,757.36","63,651,216.27","91,899,029.26","121,827,179.00"
