科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"554,516,673.10","931,676,485.05","704,595,394.77","1,253,501,633.10","385,261,936.71","626,952,835.63","878,633,913.66","179,868,800.00","275,872,655.76","589,639,429.53","765,602,334.04","141,080,210.35","314,036,598.59","710,165,449.91","602,264,744.83","147,867,742.40","366,057,034.75","600,083,037.56","781,533,531.24","236,840,207.87","304,406,964.75","408,294,010.00","482,840,692.86","82,906,533.72","146,467,723.61","278,473,803.60","309,278,292.08","80,225,579.99","143,365,267.40","206,870,599.85","322,115,211.77","63,334,336.46","126,277,036.52","216,956,239.55","232,789,434.78","71,142,959.99","114,414,493.14","240,751,087.88","292,598,863.10","133,982,415.49"
取得子公司及其他营业单位支付的现金净额,"7,550,000.00","11,215,196.20",,,,,"137,095.92",,,"69,287,966.29","61,632,047.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"2,000,000.00","162,234.49","162,234.49","580,281.29","580,281.29",,,,,"643,895.17",,,,"1,755,755.95","13,345,356.43","21,404,052.76","21,556,494.37","25,160,867.05","607,317.35","5,321,212.49","5,784,512.49","5,756,274.67","44,000.00","261,940.75","261,940.75","207,940.75","18,202,426.58","20,049,087.78","20,049,087.78","20,960,807.59","14,631.00","14,631.00","14,631.00","3,209,030.80","3,903,092.73","3,903,092.73","3,903,092.73","4,672,291.05",
支付其他与投资活动有关的现金,,,,,,,,401.01,"2,285.55","2,300.55",,,,,,,,,,,,,,,,,"5,248,634.57",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,647,040.74","11,201,700.68","5,414,300.99","28,862,822.68","9,062,694.53","33,597,339.55","16,149,963.88","24,215,379.10","10,820,634.45","16,214,664.20","19,132,979.10","38,906,252.18","15,434,982.46","19,116,708.72","29,535,151.36","49,765,504.76","83,705,859.68","113,323,922.74","45,408,606.52","1,835,098.19","7,313,938.50","114,668,531.96","10,996,317.84","9,348,310.11","10,725,417.05","15,104,809.42","18,738,632.62","3,640,021.49","5,491,889.08","8,016,903.09","10,592,865.34","2,466,708.79","16,760,701.07","6,752,266.36","18,632,468.95","8,266,243.34","20,766,537.97","15,979,046.55","67,777,044.52","9,213,814.95"
投资活动现金流出小计,"21,760,923.41","41,090,498.67","29,585,023.92","75,077,137.00","31,461,480.48","50,455,941.74","85,458,546.24","31,137,997.01","68,836,145.29","202,022,823.45","240,288,668.95","41,821,835.12","82,848,402.21","395,604,963.75","426,558,501.27","520,550.51","4,918,568.79","6,493,490.86","38,759,173.24","114,571.79","158,082.79","1,303,675.63","17,718,679.07","710,688.27","692,112,811.74","918,321,206.22","364,222,426.71","36,561.44","300,294,736.01","301,498,988.39","309,506,343.30","80,031,933.96","100,333,165.00","100,333,165.00","428,846,642.76","500,055,755.69","814,146,620.94","764,581,008.14","915,336,343.30","108,145.00"
经营活动现金流入小计,"561,163,713.84","944,878,185.73","710,171,930.25","1,282,526,690.27","394,904,912.53","661,130,456.47","894,783,877.54","204,084,179.10","286,693,290.21","605,854,093.73","785,379,208.31","179,986,462.53","329,471,581.05","729,282,158.63","633,555,652.14","210,978,603.59","471,166,947.19","734,963,454.67","852,103,004.81","239,282,623.41","317,042,115.74","528,747,054.45","499,593,285.37","92,298,843.83","157,455,081.41","293,840,553.77","328,224,865.45","102,068,028.06","168,906,244.26","234,936,590.72","353,668,884.70","65,815,676.25","143,052,368.59","223,723,136.91","254,630,934.53","83,312,296.06","139,084,123.84","260,633,227.16","365,048,198.67","143,196,230.44"
投资活动产生的现金流量净额,"-21,520,923.41","-36,066,952.69","-29,549,023.92","-74,821,137.00","-31,414,856.33","-50,409,317.59","-85,362,296.24","-31,137,997.01","-59,822,060.86","-195,829,034.83","-240,142,998.76","-41,821,835.12","-82,848,402.21","-395,604,963.75","-390,009,193.55","-520,550.51","-4,918,568.79","-6,493,490.86","-8,015,106.30","1,259,917.47","1,216,406.47","266,915.24","16,623,356.52","-438,688.27","-358,099,372.93","-345,871,406.82","-7,287,033.89","789,172.81","-222,439,052.61","-217,706,518.47","-150,595,550.14","6,568,887.96","164,150,273.36","171,737,981.23","6,084,254.29","-45,183,327.89","-102,192,101.16","-149,554,101.70","-147,162,489.44","2,854,355.00"
购买商品、接受劳务支付的现金,"438,599,111.87","720,128,173.17","597,303,912.44","1,023,774,755.61","339,998,756.25","642,626,242.17","762,813,005.83","263,719,339.76","494,839,633.31","754,528,420.80","931,419,578.55","154,202,089.74","351,927,720.28","595,355,498.89","361,702,067.83","81,203,628.67","257,593,191.85","320,078,228.18","408,267,363.91","91,216,402.15","138,837,028.42","281,404,425.78","421,618,285.34","84,985,118.67","140,034,625.82","258,654,088.58","264,025,192.22","61,719,783.05","91,189,842.25","144,867,738.43","232,551,827.72","56,845,281.62","36,250,846.65","150,497,817.93","143,629,520.52","50,995,446.94","84,498,264.74","180,857,531.03","213,211,947.09","129,621,503.09"
吸收投资收到的现金,"2,442,025.06","124,474,115.25","6,093,400.00","7,349,376.00","716,854.65","966,496,854.65","918,349,854.65",,,,,,,,"2,450,000.00",,,,,,,,"990,499,999.51",,,,,,,,,,,,,,,,,
