科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"104,419,879.72","300,391,392.37","179,854,598.15","226,590,593.18","430,642,193.24","251,558,434.50","132,316,122.04","213,754,618.17","206,432,037.46","242,935,504.55","131,414,608.95","225,014,383.16","407,886,863.83","305,515,776.40","250,299,743.23","365,294,243.26","382,690,026.86","368,860,876.18","175,859,588.03","359,854,134.53","209,081,933.09","146,930,883.48","153,335,135.41","247,075,516.86","180,687,719.61","201,273,509.96","210,294,134.65","233,025,640.17","252,779,793.08","470,594,496.43","193,522,042.52","305,913,871.04","195,987,702.51","130,662,343.35","121,590,784.26","734,254,382.80","487,872,209.55","444,006,457.97","488,468,878.90","471,252,242.08","480,207,957.87","420,386,151.92","320,015,652.66"
短期借款,"437,500,000.00","418,000,000.00","342,000,000.00","502,000,000.00","587,000,000.00","642,000,000.00","657,000,000.00","702,000,000.00","652,000,000.00","619,000,000.00","685,000,000.00","610,000,000.00","679,000,000.00","629,000,000.00","442,000,000.00","309,000,000.00","175,000,000.00","370,000,000.00","370,000,000.00","455,000,000.00","405,000,000.00","365,000,000.00","405,000,000.00","565,000,000.00","1,095,000,000.00","865,000,000.00","955,000,000.00","1,140,000,000.00","1,190,000,000.00","1,270,000,000.00","1,285,000,000.00","1,324,000,000.00","1,264,000,000.00","1,256,000,000.00","1,285,000,000.00","690,000,000.00","745,000,000.00","1,025,000,000.00","1,455,000,000.00","1,497,000,000.00","1,687,994,600.00","1,882,811,500.00","1,511,581,500.00"
交易性金融资产,"170,874.77","170,874.77","170,874.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"9,000,000.00",,,,,,,,,,,,"100,000.00","100,000.00",,,,,,,"1,600,000.00","1,600,000.00","1,600,000.00",,,,,,,,,"3,200,000.00","200,000.00",,,,,"500,000.00","500,000.00",
应付票据,,,,,,,,"20,000,000.00","40,000,000.00","45,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00",,,,"562,767,397.00",,"107,374,776.00","124,309,964.00","124,485,039.37"
应收账款,"48,373,205.79","50,199,139.70","58,598,001.29","49,239,206.70","76,180,914.07","74,549,148.64","73,825,626.26","79,849,295.12","85,558,686.92","143,274,114.63","125,456,090.78","65,531,733.38","66,472,622.34","61,690,295.61","94,701,338.64","39,314,896.36","74,016,100.77","107,858,423.16","116,046,457.32","64,888,350.10","122,314,565.34","144,176,695.31","160,152,586.83","84,662,122.55","105,682,252.61","102,687,652.32","136,987,540.74","76,313,386.08","97,227,428.22","96,966,771.85","92,118,875.91","79,050,424.93","102,496,530.84","95,182,759.62","106,522,321.55","101,030,375.43","114,409,702.92","97,476,875.92","104,044,014.69","49,137,514.82","68,907,061.64","70,513,730.30","88,059,624.80"
应付账款,"48,863,613.98","24,063,613.85","29,397,511.40","42,990,618.62","43,145,073.57","44,259,904.27","44,942,248.20","63,361,314.07","74,590,137.83","63,016,518.56","95,420,728.60","93,787,511.15","73,367,485.54","73,522,058.97","91,189,873.91","82,162,490.87","61,209,386.48","79,047,481.72","111,453,720.96","327,509,080.98","341,486,628.11","358,140,761.06","364,328,961.88","914,359,496.22","823,589,803.40","722,109,663.67","672,466,301.79","688,376,677.50","642,729,482.24","593,325,473.69","623,196,384.08","804,730,847.02","754,225,814.77","701,010,821.96","730,850,625.02","709,037,262.15","617,389,947.18","599,993,631.58",,"555,384,400.57","488,222,798.10","457,192,794.73","442,964,536.47"
预付款项,"273,273,274.34","78,024,724.04","129,977,215.11","152,368,919.25","152,826,623.49","120,974,020.81","168,347,571.30","333,721,169.26","219,777,044.56","249,737,940.53","292,519,999.83","360,338,944.83","333,862,319.94","295,215,455.36","290,765,817.91","339,044,034.77","262,708,651.66","291,910,352.86","342,204,285.19","248,307,054.52","305,017,592.42","251,327,920.86","285,505,750.44","143,717,854.55","165,221,588.35","244,078,111.07","344,673,493.33","254,518,407.88","407,784,894.14","479,541,478.04","410,900,862.66","199,017,861.98","225,553,037.46","200,811,784.46","201,267,071.04","177,515,279.74","183,965,618.44","204,363,586.11","208,120,308.24","154,624,363.20","202,456,680.67","200,488,851.07","195,072,846.25"
预收款项,"29,109,867.94","29,461,362.66","41,627,996.99","51,013,960.14","48,303,921.98","55,078,543.67","70,938,220.92","80,892,578.28","94,611,407.39","81,405,853.82","100,558,477.01","162,039,017.79","189,440,533.42","172,843,518.56","195,525,777.62","178,092,554.08","122,559,630.84","94,730,849.22","77,460,446.60","98,428,400.74","83,789,420.35","74,971,421.07","78,305,223.22","97,500,479.64","144,863,312.76","278,187,666.40","227,206,526.96","348,662,259.46","245,304,184.05","192,593,301.03","210,241,898.89","211,869,906.25","241,791,741.11","220,154,068.25","213,944,690.89","159,046,923.02","200,430,357.82","160,181,580.61","145,534,697.46","165,199,200.94","164,306,384.12","165,695,384.98","185,776,054.45"
