科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"138,082,761.07","235,067,360.86","443,920,547.55","327,013,110.56",,"311,221,452.53","319,032,712.13","403,051,815.43","357,703,438.93","524,726,880.83"
短期借款,"321,000,000.00","360,000,000.00","345,000,000.00","351,000,000.00",,"416,885,678.06","90,885,678.06","140,885,678.06","149,251,302.46","125,851,458.80"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,"3,616,000.00",,,,"500,000.00",,,
应付票据,,"4,800,000.00","1,953,503.45","1,723,689.44",,"3,236,848.35","6,347,998.98","6,401,506.32","5,414,309.47","5,374,938.85"
应收账款,"10,854,962.56","49,783,664.34","48,770,712.16","52,528,979.40",,"73,871,941.46","85,746,974.37","67,473,745.88","61,010,355.99","74,110,854.78"
应付账款,"195,035,337.50","303,974,911.56","308,011,916.22","409,963,173.07",,"320,358,098.39","300,444,247.49","314,412,099.46","247,147,830.53","297,083,831.69"
预付款项,"25,604,395.81","7,405,531.81","124,324,104.51","78,914,905.52",,"87,527,130.39","79,389,717.20","71,763,879.77","91,296,503.09","68,103,408.86"
预收款项,"42,132,926.09","59,434,319.67","71,884,662.24","64,243,205.03",,"73,448,231.39","56,052,093.60","64,809,856.02","103,510,441.75","70,180,407.44"
其他应收款,"7,277,095.01","11,973,644.39","11,392,204.67","7,100,811.27",,"5,861,046.41","6,508,689.64","8,462,155.84","6,348,508.79","12,457,227.55"
应付职工薪酬,"1,474,360.30","3,051,987.36","4,079,003.63","6,165,919.70",,"4,735,789.93","5,131,313.06","5,174,056.97","5,459,861.01","6,509,940.89"
应收关联公司款,,,,,,,,,,
应交税费,"7,293,171.21","4,023,165.82","5,153,540.92","4,499,756.61",,"14,519,447.85","9,626,288.15","7,674,378.60","7,795,147.86","9,340,296.31"
应收利息,,,,,,,"2,525.42","2,295.83","2,295.82","2,525.40"
应付利息,"710,904.92","1,162,782.47","1,452,297.73","2,856,164.91",,"2,952,567.29","4,073,883.54","3,179,282.39","1,762,627.31","1,079,453.90"
应收股利,,,,,,,,,,
应付股利,,,,,,,,"9,976,125.60",,
存货,"11,700,200.29","17,164,359.05","18,057,126.96","15,186,082.90",,"17,688,301.79","18,859,449.44","19,388,872.90","23,378,143.74","22,882,065.60"
其他应付款,"17,220,941.63","14,918,187.43","19,548,019.30","20,755,920.08",,"36,067,324.43","33,946,590.33","21,465,184.26","20,626,141.26","23,368,514.23"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,"23,654,400.00","15,033,600.00","24,207,200.00","23,967,200.00","23,547,200.00"
其他流动资产,"8,280,177.45","25,230,126.58","51,876,225.74","65,335,001.83",,"66,390,643.99","328,932,605.08","230,226,190.90","244,521,000.07","71,149,997.92"
其他流动负债,,,"105,008,812.23","100,000,000.00",,"100,000,000.00","100,000,000.00",,,
流动资产合计,"201,799,592.19","346,624,687.03","701,956,921.59","546,078,891.48","544,223,700.00","562,560,516.57","838,972,673.28","800,368,956.55","784,260,246.43","773,432,960.94"
流动负债合计,"584,867,641.65","751,365,354.31","862,091,755.72","961,207,828.84","1,023,886,800.00","995,858,385.69","621,541,693.21","598,185,367.68","564,934,861.65","562,336,042.11"
可供出售金融资产,,,,,,,,,,
长期借款,"84,000,000.00","282,749,700.00","452,988,300.00","368,870,500.00",,"381,868,900.00","375,236,900.00","366,883,300.00","376,949,700.00","408,316,400.00"
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,"16,000,000.00","15,931,647.35","16,033,841.75","15,417,728.37",,"16,010,055.14","15,375,316.03","14,741,045.29","15,994,920.87","16,173,191.94"
