科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"7,092,277,335.17","8,000,937,889.93","7,994,845,262.63",,"5,279,603,021.59","8,348,912,751.63","13,143,143,417.42","5,677,050,368.99","10,767,757,399.77","15,166,406,528.23","19,385,834,816.17","5,111,484,999.63"
取得子公司及其他营业单位支付的现金净额,,,,,,"3,342,400.00",,,,,"130,359,781.65","50,000,000.00"
收到的税费返还,"160,072,975.96","138,979,463.75","140,772,334.42",,"18,085,012.46","30,151,408.50","41,826,384.46","8,244,011.52","26,381,908.18","34,604,034.49","60,144,363.67","15,382,207.92"
支付其他与投资活动有关的现金,,"1,800,000.00",,,,,,,,,,"9,494,100.00"
收到其他与经营活动有关的现金,"798,915,476.96","101,001,562.58","188,932,248.46",,"114,519,896.82","341,106,835.63","184,894,920.56","264,546,291.74","638,094,144.01","985,024,791.90","398,493,838.33","514,320,755.75"
投资活动现金流出小计,"592,554,031.81","351,901,774.45","472,460,584.64",,"455,033,377.65","610,691,750.31","725,419,130.44","103,174,416.15","326,052,319.37","629,021,485.32","1,724,620,250.29","412,344,837.87"
经营活动现金流入小计,"8,051,265,788.09","8,240,918,916.26","8,324,549,845.51",,"5,412,207,930.87","8,720,170,995.76","13,369,864,722.44","5,949,840,672.25","11,432,233,451.96","16,186,035,354.62","19,844,473,018.17","5,641,187,963.30"
投资活动产生的现金流量净额,"-550,934,498.68","-321,835,799.62","-417,443,256.60",,"-404,612,932.32","-548,293,615.70","-660,921,339.81","-47,113,616.15","-244,967,648.28","-536,391,596.54","-1,633,487,564.40","65,949,324.13"
购买商品、接受劳务支付的现金,"6,178,796,959.00","5,629,967,135.81","5,776,832,368.48",,"2,623,916,526.96","4,488,094,413.60","8,725,149,737.19","3,002,575,612.45","6,531,840,149.47","9,288,411,388.96","14,436,720,275.62","2,767,261,070.22"
吸收投资收到的现金,,"202,351,720.00",,,"761,235,000.00","761,235,000.00","738,451,000.00",,,"171,509,000.00","171,509,000.00",
支付给职工以及为职工支付的现金,"574,392,165.64","672,481,206.63","736,179,050.85",,"438,442,340.59","609,096,166.24","849,398,058.72","398,967,161.17","626,363,481.11","864,621,006.86","1,190,458,973.71","548,999,422.65"
取得借款收到的现金,"1,307,507,203.00","1,436,006,000.00","2,069,035,000.00",,"960,478,620.00","1,691,281,589.73","2,255,539,890.64","663,010,950.00","1,917,574,600.00","2,790,361,300.00","4,834,078,200.00","722,550,625.00"
支付的各项税费,"513,970,326.82","574,058,535.72","672,337,784.89",,"535,523,710.69","775,712,129.37","1,074,773,918.27","533,863,430.90","962,781,905.17","1,258,706,823.44","1,623,927,382.62","579,597,792.81"
