科目,2013年度,2014年度,2015年1-6月,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"130,084,243.95","162,463,304.27","99,565,215.48","263,966,639.72","225,457,712.75",,"479,728,998.87","147,253,592.33","287,857,685.70","494,730,927.69"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,,,,"50,840.99",,"50,840.99",,"869,019.55","1,387,928.81"
支付其他与投资活动有关的现金,,,,"57,612,000.00","60,000,000.00",,"60,000,000.00",,,
收到其他与经营活动有关的现金,"2,813,829.30","3,885,746.55","1,418,405.93","9,954,700.33","23,637,016.77",,"28,886,862.39","12,509,800.95","21,308,505.97","42,262,243.43"
投资活动现金流出小计,"2,206,928.19","314,964,000.00","172,295,075.86","243,692,892.61","270,909,951.31",,"410,164,870.34","17,536,160.99","367,129,878.77","527,597,653.94"
经营活动现金流入小计,"132,898,073.25","166,349,050.82","100,983,621.41","273,921,340.05","249,145,570.51",,"508,666,702.25","159,763,393.28","310,035,211.22","538,381,099.93"
投资活动产生的现金流量净额,"-2,206,928.19","-63,570,593.08","9,255,148.26","-39,962,472.64","-90,744,110.75","-107,065,752.53","-73,901,358.55","15,013,839.01","-223,051,013.02","-166,554,030.47"
购买商品、接受劳务支付的现金,"72,612,042.55","75,665,656.40","53,237,132.17","134,317,027.47","115,499,229.17",,"296,503,333.44","132,173,645.14","255,349,328.25","444,779,721.49"
吸收投资收到的现金,"55,660,000.00","76,000,000.00",,,,,,"311,101,140.00","311,101,140.00","311,101,140.00"
支付给职工以及为职工支付的现金,"21,011,955.45","32,650,697.04","20,205,565.07","46,790,453.74","26,916,537.74",,"58,747,465.95","21,809,359.22","46,288,750.22","72,161,678.53"
取得借款收到的现金,,,,"1,000,000.00","27,653,550.00",,"27,653,550.00",,,"44,709,519.00"
支付的各项税费,"16,204,889.60","23,536,735.85","14,880,046.69","31,052,233.70","18,750,802.03",,"42,124,810.88","19,891,539.06","28,643,674.03","38,068,046.52"
收到其他与筹资活动有关的现金,,"2,666,440.68","2,941,122.30","6,210,622.30","15,514,650.93",,"15,392,650.93",,"5,087,884.00","6,139,535.46"
支付其他与经营活动有关的现金,"12,005,099.41","25,085,859.24","10,184,397.62","31,162,709.23","12,935,835.34",,"29,917,713.74","11,164,830.27","21,254,425.85","29,078,361.27"
筹资活动现金流入小计,"55,660,000.00","78,666,440.68","2,941,122.30","7,210,622.30","43,168,200.93",,"43,046,200.93","311,101,140.00","316,189,024.00","361,950,194.46"
经营活动现金流出小计,"121,833,987.01","156,938,948.53","98,507,141.55","243,322,424.14","174,102,404.28",,"427,293,324.01","185,039,373.69","351,536,178.35","584,087,807.81"
偿还债务支付的现金,,,,,,,"2,115,095.00","15,256,601.77","15,624,481.00","16,060,805.48"
