科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"144,264,793.12","266,880,826.54","306,737,869.45","221,230,426.75","366,266,113.60","467,035,602.34","266,093,332.40","205,344,556.27","208,721,267.10","280,926,264.26","269,487,246.46","197,850,861.42","224,615,764.12","245,398,124.27","306,751,518.04","471,272,058.08","603,093,584.49","574,062,933.30","433,046,951.47","480,322,181.48","1,067,017,450.55","751,912,992.86"
短期借款,,,,,,,,,,,,,,,"100,000,000.00","70,000,000.00",,"180,000,000.00","295,000,000.00","410,000,000.00","485,000,000.00","415,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"16,745,996.50","9,864,163.96","29,148,741.20","21,303,194.09","58,443,770.30","22,461,577.90","5,120,616.90","1,150,000.00","18,306,078.72","78,971,499.91","16,580,107.52","9,887,361.99","93,856,132.14","50,992,905.17","17,858,494.00","32,590,136.18","79,136,818.82","37,425,905.43","6,321,110.97","12,276,641.60","35,130,519.70","25,293,608.25"
应付票据,"55,589,534.35","56,215,449.19","600,000.00","22,500,000.00","48,286,782.00","25,000,000.00","24,152,851.64","76,000,000.00","43,666,665.00",,"22,000,000.00","60,000,000.00","53,000,000.00","100,000,000.00","140,000,000.00","80,000,000.00","165,000,000.00","260,000,000.00","355,000,000.00","320,000,000.00","183,000,000.00","163,000,000.00"
应收账款,"208,029,482.02","161,144,170.09","118,731,589.40","239,413,591.61","246,489,777.06","371,861,879.67","580,965,350.20","784,515,731.98","834,222,761.82","627,737,897.67","755,536,320.24","807,323,261.71","675,714,959.69","808,968,417.52","1,082,837,143.70","881,003,356.87","654,794,779.17","765,403,547.78","1,063,089,594.95","1,160,613,479.09","1,041,287,178.46","1,449,265,040.34"
应付账款,"96,556,865.30","86,059,036.01","102,588,226.68","67,473,346.03","167,442,176.12","82,077,990.05","115,782,536.80","159,206,335.68","236,843,913.68","143,395,365.80","203,605,751.54","175,566,618.05","377,496,579.28","364,208,650.71","294,537,740.79","296,614,603.92","318,541,836.02","164,316,271.98","219,819,333.94","332,875,285.72","350,878,586.06","515,565,682.47"
预付款项,"52,561,916.62","54,233,378.34","84,708,647.35","86,856,682.60","98,123,326.74","113,957,626.36","108,334,176.22","100,701,108.36","92,329,464.41","144,363,130.56","141,382,187.09","123,160,435.75","95,525,286.88","121,424,604.71","171,352,801.97","158,887,578.91","153,172,675.24","152,953,972.70","169,975,073.56","207,276,306.48","239,539,896.49","311,621,803.90"
预收款项,"21,363,760.55","11,333,832.21","10,881,053.95","8,177,158.29","31,618,239.54","42,588,400.58","11,116,388.88","10,253,258.97","10,263,986.76","25,163,918.42","19,007,054.93","19,559,059.07","27,654,989.22","43,132,890.66","150,327,731.73","275,790,511.45","204,539,976.37","296,041,806.47","342,056,235.43","420,145,777.14","413,261,545.92","362,418,241.56"
