科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"189,217,363.30","224,673,465.75","298,913,106.67","136,511,757.92","194,476,374.44","307,520,343.75","43,611,692.57","99,205,243.53","173,453,500.61","303,152,278.05","120,479,760.76"
取得子公司及其他营业单位支付的现金净额,"712,316.85",,,,,,,,,,
收到的税费返还,,,,,,,"15,225.52",,"15,225.52",,
支付其他与投资活动有关的现金,,,,,,,,,"28,856.11",,
收到其他与经营活动有关的现金,"167,547.32","6,164,496.44","2,394,156.77","838,332.13","1,348,249.84","3,426,072.87","10,371,210.39","2,850,193.22","3,317,549.68","5,260,244.32","11,994,418.51"
投资活动现金流出小计,"6,875,210.40","16,846,701.97","3,846,416.93","10,903,528.06","11,023,408.84","13,444,709.43","926,200.38","7,297,120.95","7,774,290.76","80,007,979.89","589,102.41"
经营活动现金流入小计,"189,384,910.62","230,837,962.19","301,307,263.44","137,350,090.05","195,824,624.28","310,946,416.62","53,998,128.48","102,055,436.75","176,786,275.81","308,412,522.37","132,474,179.27"
投资活动产生的现金流量净额,"-6,863,410.40","-16,846,701.97","-3,843,916.93","-10,903,528.06","-11,023,408.84","-13,444,709.43","-918,200.38","-7,289,120.95","-7,766,290.76","-13,746,648.55","-574,198.46"
购买商品、接受劳务支付的现金,"143,426,477.48","193,296,432.31","188,481,306.47","134,545,793.24","179,104,716.52","249,011,617.18","74,563,444.67","133,879,471.44","215,655,596.23","309,769,053.83","105,492,719.19"
吸收投资收到的现金,,"50,000,000.00",,,,,"181,200,000.00","182,025,000.00","182,025,000.00","172,915,000.00",
支付给职工以及为职工支付的现金,"16,943,597.33","21,421,557.63","25,249,609.57","15,437,130.39","22,119,610.97","29,398,160.69","12,240,629.47","19,340,494.26","27,546,186.15","37,003,278.64","15,486,148.45"
取得借款收到的现金,"28,250,000.00","4,721,059.03","21,190,000.00","8,735,801.00","16,925,801.00","19,725,870.60","6,967,115.91","6,967,115.91","6,967,115.91","6,967,115.91",
支付的各项税费,"8,286,649.48","10,881,553.08","15,345,640.62","7,786,363.47","11,080,885.88","14,207,962.47","3,753,618.80","5,636,888.88","7,728,870.89","11,146,263.02","2,304,482.56"
收到其他与筹资活动有关的现金,"57,724,579.80","20,109,612.94","16,539,457.78","5,079,582.47","5,079,582.47","9,910,397.03",,"1,022,715.90",,"5,193,996.52",
支付其他与经营活动有关的现金,"21,061,134.36","17,033,850.42","20,493,231.58","10,556,576.47","14,863,091.97","18,555,337.88","15,924,331.40","15,901,301.91","20,121,771.98","25,608,661.33","13,591,785.88"
筹资活动现金流入小计,"85,974,579.80","74,830,671.97","37,729,457.78","13,815,383.47","22,005,383.47","29,636,267.63","188,167,115.91","190,014,831.81","188,992,115.91","185,076,112.43",
经营活动现金流出小计,"189,717,858.65","242,633,393.44","249,569,788.24","168,325,863.57","227,168,305.34","311,173,078.22","106,482,024.34","174,758,156.49","271,052,425.25","383,527,256.82","136,875,136.08"
偿还债务支付的现金,"33,890,000.00","18,850,000.00","8,771,059.03","12,950,000.00","17,140,000.00","19,140,000.00","24,692,986.51","24,692,986.51","24,692,986.51","24,692,986.51",
经营活动产生的现金流量净额,"-332,948.03","-11,795,431.25","51,737,475.20","-30,975,773.52","-31,343,681.06","-226,661.60","-52,483,895.86","-72,702,719.74","-94,266,149.44","-75,114,734.45","-4,400,956.81"
分配股利、利润或偿还利息支付的现金,"1,765,860.35","1,794,420.27","1,198,180.23","544,166.59","804,208.51","1,087,498.00","240,366.17","240,366.17","4,484,042.50","4,440,366.17",
