科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"59,871,575.13","88,541,838.43","93,113,715.15","133,857,408.82","29,441,122.98","61,768,458.45","102,570,221.83","151,867,495.07","45,516,528.01","109,312,866.86","181,250,065.81","257,137,191.76","56,229,695.23","136,962,159.57","206,431,945.54","322,940,255.05","59,234,501.38","141,707,158.89","231,574,168.11","405,319,541.34","76,094,778.42","185,058,042.21","291,509,187.75","458,599,168.58","122,834,183.27","220,555,975.21","469,153,085.00","537,533,829.67","92,740,628.15","275,678,134.07","446,521,952.13","675,050,280.88","250,073,620.77","582,831,106.73","920,863,819.07","1,100,606,360.15","338,403,166.54","551,427,769.79"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"54,700,000.00",,"46,939,109.18","20,370,000.00","82,219,109.18","51,434,600.00","980,553.61","2,489,551.51","4,576,750.49",,,,"400,000.00",,
收到的税费返还,"91,368.01","262,232.44","636,478.59","897,743.50","443,800.60","768,264.26","1,204,574.17","1,759,736.52","281,332.10","1,173,867.27","1,990,622.48","3,265,193.77","854,290.46","1,146,838.86","2,396,848.56","3,168,054.20","157,653.48","399,786.52","989,024.28","2,524,380.18",,"950,528.89","1,421,060.32","1,421,060.32",,"42,601.73","776,244.62","1,294,250.91","139,155.29","5,756,547.02","12,182,651.85","13,612,210.34","5,146,291.26","6,094,585.51","14,711,684.03","18,428,992.28","11,446,357.36","14,236,628.93"
支付其他与投资活动有关的现金,,,,,,,,"135,829,800.00",,,,"10,000,000.00","24,000,000.00","48,205,490.00","56,288,992.50","6,500,000.00",,,,,,"1,014.51","1,014.51","1,014.51",,,,"387,414.00",,,,"73,834,992.80",,,,,,
收到其他与经营活动有关的现金,"651,804.12","2,716,720.48","1,405,770.98","2,572,333.37","648,088.98","1,489,750.14","3,132,226.54","4,768,354.76","1,099,873.85","6,515,736.90","21,202,181.59","18,507,520.36","6,843,824.63","10,787,237.06","13,410,552.40","9,668,694.09","3,129,540.44","3,027,401.20","12,166,478.10","17,783,049.31","3,317,704.87","5,213,529.53","14,216,493.33","10,646,163.79","3,090,381.94","3,395,165.20","16,235,987.93","16,763,938.22","34,211,425.62","107,150,574.41","133,197,407.90","51,464,972.25","49,222,630.44","15,344,879.25","69,724,658.13","83,165,028.66","61,084,016.53","36,914,609.74"
投资活动现金流出小计,"9,551,218.30","18,805,124.39","23,719,937.79","28,962,029.91","273,673.18","6,561,048.15","29,463,752.91","195,144,475.13","47,866,899.22","77,650,657.63","110,820,195.56","158,915,788.95","36,788,522.77","72,031,782.72","85,535,001.97","53,527,626.88","3,417,266.99","2,092,977.85","2,400,715.85","2,446,686.60","5,906,648.60","32,147,753.62","72,191,933.25","77,023,245.61","337,300.00","60,837,353.82","38,824,551.48","140,919,084.45","51,651,967.08","79,136,929.45","142,941,829.32","186,184,075.57","3,639,789.75","18,289,462.08","25,977,539.35","33,328,432.66","587,017.74","1,673,547.41"
经营活动现金流入小计,"60,614,747.26","91,520,791.35","95,155,964.72","137,327,485.69","30,533,012.56","64,026,472.85","106,907,022.54","158,395,586.35","46,897,733.96","117,002,471.03","204,442,869.88","278,909,905.89","63,927,810.32","148,896,235.49","222,239,346.50","335,777,003.34","62,521,695.30","145,134,346.61","244,729,670.49","425,626,970.83","79,412,483.29","191,222,100.63","307,146,741.40","470,666,392.69","125,924,565.21","223,993,742.14","486,165,317.55","555,592,018.80","127,091,209.06","388,585,255.50","591,902,011.88","740,127,463.47","304,442,542.47","604,270,571.49","1,005,300,161.23","1,202,200,381.09","410,933,540.43","602,579,008.46"
投资活动产生的现金流量净额,"-9,151,218.30","-7,604,076.87","-21,619,937.79","-21,502,029.91","-273,673.18","-6,561,048.15","-29,463,752.91","-194,534,725.13","-46,160,728.72","-75,447,617.13","-108,271,383.06","-62,828,119.01","17,844,654.98","11,389,986.08","23,074,964.05","15,251,976.53","409,282.31","-2,092,977.85","-2,400,715.85","-1,940,081.98","-5,906,648.60","-29,700,843.65","-69,847,334.50","-74,609,399.46","9,120,161.26","-60,477,984.89","-29,367,090.22","-109,879,862.25","-51,651,967.08","-78,714,775.55","-142,519,675.42","-112,531,665.97","-3,639,789.75","-18,289,462.08","-18,378,487.94","-32,910,683.96","-587,017.74","-1,673,547.41"
购买商品、接受劳务支付的现金,"42,271,312.25","78,419,607.04","61,630,200.30","97,757,986.20","27,103,048.34","58,488,632.86","89,751,895.09","125,983,896.02","55,267,945.02","120,446,646.22","202,185,628.57","297,566,238.34","78,392,391.81","123,776,381.97","164,242,775.55","207,694,261.31","47,245,709.28","79,456,197.57","140,970,978.25","250,723,040.54","59,368,633.86","124,349,646.21","193,932,922.18","267,786,373.97","91,624,373.17","170,003,715.16","414,014,775.37","494,856,907.03","126,609,915.86","302,020,650.45","445,665,171.72","532,159,074.82","194,296,506.07","368,432,458.55","606,307,991.53","699,711,193.84","206,959,156.76","431,832,226.36"
吸收投资收到的现金,,"28,600,000.00",,,"260,829,800.00","260,829,800.00","260,829,800.00","260,829,800.00","7,000,000.00","7,000,000.00","16,567,840.00","16,567,840.00",,,,,,,,,"1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","294,929.28","10,294,929.28","71,794,929.28","72,694,929.28",,"5,200,000.00","13,000,000.00","210,149,070.65",,,,,"350,000.00","350,000.00"
