科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"331,380,064.66","474,421,571.88","421,708,280.73","279,528,284.70","458,326,733.51","626,950,169.36","197,440,713.22","473,555,686.65","696,182,620.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,,"1,074,238.88","1,237,593.52","39,212.44","39,212.44","39,212.44","20,938.45","20,938.45","20,938.45"
支付其他与投资活动有关的现金,"1,000,000.00","895,126.62","1,883,970.28","29,925.00","29,925.00","29,925.00",,,
收到其他与经营活动有关的现金,"1,868,679.88","7,058,338.89","7,517,205.28","3,365,936.08","4,775,687.06","6,720,113.40","4,028,340.72","8,739,726.61","14,659,976.85"
投资活动现金流出小计,"23,931,292.74","145,231,835.78","44,783,739.41","6,817,792.74","10,406,188.55","12,413,130.25","2,410,250.22","719,987,799.55","1,044,029,286.76"
经营活动现金流入小计,"333,248,744.54","482,554,149.65","430,463,079.53","282,933,433.22","463,141,633.01","633,709,495.20","201,489,992.39","482,316,351.71","710,863,535.89"
投资活动产生的现金流量净额,"4,204,715.62","-137,544,434.93","-44,000,747.40","-5,785,667.69","10,846,794.64","8,861,040.63","-1,430,806.39","-552,257,386.38","-467,180,086.86"
购买商品、接受劳务支付的现金,"210,853,926.78","285,104,476.29","228,702,074.79","139,185,182.48","243,163,436.68","353,265,527.02","112,053,886.43","261,056,615.82","413,019,388.56"
吸收投资收到的现金,,,"7,200,000.00",,,"314,739,600.00",,"49,888,750.00","49,888,750.00"
支付给职工以及为职工支付的现金,"25,460,650.26","34,172,107.79","37,015,656.97","20,710,529.91","30,181,018.95","40,736,047.09","17,790,225.28","30,582,215.43","43,058,429.88"
取得借款收到的现金,,,"9,000,000.00",,,,,,
支付的各项税费,"35,762,332.06","40,937,245.90","35,971,740.23","23,388,649.06","32,015,532.82","50,088,504.45","9,605,873.64","29,615,890.43","49,051,504.18"
收到其他与筹资活动有关的现金,"4,851,000.00","23,390,000.00","1,470,000.00",,,,,,
支付其他与经营活动有关的现金,"8,626,273.20","15,160,129.42","16,154,157.37","6,705,845.77","23,756,654.59","30,320,327.55","3,529,439.26","9,265,966.09","14,644,797.17"
筹资活动现金流入小计,"4,851,000.00","23,390,000.00","17,670,000.00",,,"314,739,600.00",,"49,888,750.00","49,888,750.00"
经营活动现金流出小计,"280,703,182.30","375,373,959.40","317,843,629.36","189,990,207.22","329,116,643.04","474,410,406.11","142,979,424.61","330,520,687.77","519,774,119.79"
偿还债务支付的现金,"12,000,000.00",,"9,000,000.00",,,,,,
经营活动产生的现金流量净额,"52,545,562.24","107,180,190.25","112,619,450.17","92,943,226.00","134,024,989.97","159,299,089.09","58,510,567.78","151,795,663.94","191,089,416.10"
分配股利、利润或偿还利息支付的现金,"35,033,600.00","25,000,000.00","15,243,133.33","45,000,000.00","85,000,000.00","85,000,000.00","490,000.00","20,472,457.22","21,952,457.22"
收回投资收到的现金,,"4,500,000.00",,,,,,"161,500,000.00","499,500,000.00"
支付其他与筹资活动有关的现金,,"10,000,000.00","20,691,000.00",,,"533,360.00","10,736,640.00","10,736,640.00","10,736,640.00"
取得投资收益收到的现金,"605,423.22","2,573,397.85","485,616.81","992,125.05","1,099,387.79","1,118,961.48","849,443.83","3,583,476.98","10,202,263.71"
筹资活动现金流出小计,"47,033,600.00","35,000,000.00","44,934,133.33","45,000,000.00","85,000,000.00","85,533,360.00","11,226,640.00","31,209,097.22","32,689,097.22"
处置固定资产、无形资产和其他长期资产收回的现金净额,"16,495,862.51","21,000.00","182,825.00","40,000.00","55,745.80","57,359.80","130,000.00","303,800.00","64,803,800.00"
筹资活动产生的现金流量净额,"-42,182,600.00","-11,610,000.00","-27,264,133.33","-45,000,000.00","-85,000,000.00","229,206,240.00","-11,226,640.00","18,679,652.78","17,199,652.78"
处置子公司及其他营业单位收到的现金净额,,,,,"20,097,849.60","20,097,849.60",,"2,343,136.19","2,343,136.19"
四、汇率变动对现金的影响,,"-613,133.68","334,675.28","57,775.97","48,309.62","339,870.72","-151,730.57","-338,292.02","-1,448,215.53"
收到其他与投资活动有关的现金,"11,034,722.63","593,003.00","114,550.20",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"28,136,008.36","7,687,400.85","782,992.01","1,032,125.05","21,252,983.19","21,274,170.88","979,443.83","167,730,413.17","576,849,199.90"
五、现金及现金等价物净增加额,"14,567,677.86","-42,587,378.36","41,689,244.72","42,215,334.28","59,920,094.23","397,706,240.44","45,701,390.82","-382,120,361.68","-260,339,233.51"
购建固定资产、无形资产和其他长期资产支付的现金,"22,931,292.74","139,836,709.16","42,899,769.13","6,787,867.74","10,376,263.55","12,383,205.25","2,410,250.22","7,487,799.55","14,574,976.12"
期初现金及现金等价物余额,"32,279,169.94","46,846,847.80","4,259,469.44","45,948,714.16","45,948,714.16","45,948,714.16","443,654,954.60","443,654,954.60","443,654,954.60"
投资支付的现金,,"4,500,000.00",,,,,,"712,500,000.00","1,029,454,310.64"
期末现金及现金等价物余额,"46,846,847.80","4,259,469.44","45,948,714.16","88,164,048.44","105,868,808.39","443,654,954.60","489,356,345.42","61,534,592.92","183,315,721.09"
