科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"52,010,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"8,450.00",,"4,345,604.00","8,341,491.00","13,341,915.00","19,833,209.00",,,,"6,977,854.00",,"41,780,741.00","50,554,795.00","71,507,763.00","2,920,650.00","6,183,294.00","8,872,655.00","5,294,718.00","13,389,568.00","27,511,211.00","31,527,641.00","54,138,628.00","7,615,604.00","21,535,807.00","21,535,807.00","24,047,976.00","57,464.00","10,057,464.00","10,057,464.00","19,766,369.00",,"36,192,113.00","-33,785,793.00",
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"56,097,976.00","35,129,779.00","50,599,099.00","765,792,287.00","766,398,643.00","765,766,140.00",,,"159,305.00","14,069,872.00","1,699,839,819.00","1,933,455,300.00","2,147,547,829.00","2,007,823,781.00","226,589,789.00","718,078,448.00","948,078,447.00","1,551,808,400.00","446,757,375.00","1,037,542,820.00","1,746,072,598.00","479,593,078.00","10,473,310.00","10,931,943.00","10,994,335.00","27,839,793.00","7,864,806.00","177,905,191.00","175,660,448.00","8,530,469.00","520,813.00","170,806,887.00","256,238,300.00","172,720,299.00"
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,,,"420,000,000.00",,,,,,,,,,,,"185,000,000.00",,,"700,000,000.00","1,000,000,000.00",,"800,000,000.00"
投资活动现金流入小计,"108,116,426.00","35,129,779.00","54,944,703.00","774,133,778.00","779,740,558.00","785,599,349.00",,,"159,305.00","21,047,726.00","1,699,839,819.00","1,975,236,041.00","2,198,102,624.00","2,079,331,544.00","229,510,439.00","724,261,742.00","956,951,102.00","1,557,103,118.00","460,146,943.00","1,065,054,031.00","1,777,600,239.00","533,731,706.00","18,088,914.00","32,467,750.00","32,530,142.00","51,887,769.00","7,922,270.00","187,962,655.00","185,717,912.00","28,296,838.00","520,813.00","206,999,000.00","222,452,507.00","172,720,299.00"
收取利息、手续费及佣金的现金,"1,343,765,374.00","876,685,550.00","1,584,374,768.00","627,885,319.00","904,465,125.00","1,467,229,026.00","342,186,712.00","645,930,828.00","935,526,858.00","1,207,619,883.00","337,130,938.00","505,760,795.00","791,305,867.00","999,830,569.00","325,185,391.00","619,049,008.00","931,192,257.00","1,385,983,907.00","366,809,530.00","789,277,493.00","1,396,404,683.00","2,045,538,906.00","790,157,031.00","2,472,033,894.00","3,336,426,205.00","4,462,648,999.00","556,779,854.00","1,396,025,211.00","1,809,563,391.00","2,412,846,218.00","522,498,151.00","1,147,708,550.00","1,791,178,533.00","3,300,283,360.00"
投资支付的现金,,"25,100,000.00",,,,,,,,,,,,,,,"10,000,000.00",,,,,,"11,200,020.00",,,,,,,,,,,
处置交易性金融资产净增加额,"550,925,814.00","220,869,864.00",,"96,109,048.00",,,"117,518,559.00",,"98,100,000.00",,,,,,"104,129,171.00","1,885,164,259.00","1,802,462,066.00","1,745,033,863.00",,,,,,"18,269,372.00",,,"404,545,631.00",,,,,"2,173,382,269.00",,"1,361,372,212.00"
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"185,000,000.00",,"1,085,000,000.00","700,000,000.00","1,000,000,000.00","1,395,000,000.00","800,000,000.00"
