科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"109,389,799.93","207,603,880.28","179,347,442.82","187,831,719.91","195,268,218.13","421,134,326.96","313,347,843.60","260,726,991.75","243,377,188.88","344,976,676.18","445,862,286.36","395,044,817.55","305,055,252.83","390,021,379.01","460,172,769.50","503,857,758.52","520,604,829.53","336,282,313.66","256,511,808.55"
短期借款,,,,,,,,,,,,,,"97,000,000.00","164,938,000.00","231,938,000.00","231,938,000.00","114,938,000.00",
交易性金融资产,,,,,,,,,,,,,,,"816,807.86","816,807.86",,,
交易性金融负债,,,,,,,,,,,,,,,,,"441,000.00","441,000.00",
应收票据,"129,245.00","3,000,000.00","120,000.00",,,"500,000.00","693,684.75","282,500.00","782,500.00","282,500.00","500,000.00","1,557,858.50","397,858.50","497,858.50","600,000.00",,"2,041,887.65","889,520.00","6,794,310.00"
应付票据,,"35,440,000.00","93,930,000.00","103,290,000.00","93,060,000.00","92,710,000.00","106,100,000.00","132,250,000.00","124,410,000.00","107,160,000.00","129,650,000.00","130,030,000.00","124,923,000.00","117,260,000.00","142,990,000.00","122,770,000.00","121,560,000.00","170,520,000.00","216,360,000.00"
应收账款,"31,338,956.29","70,044,305.68","97,071,186.78","131,326,707.17","150,822,067.90","119,742,871.99","153,041,834.54","166,305,423.43","172,716,302.69","185,382,974.45","211,562,902.30","255,153,698.72","314,690,491.64","328,956,572.90","332,902,733.14","291,080,847.96","295,320,149.13","298,243,280.89","467,234,245.79"
应付账款,"61,364,235.58","106,652,320.03","135,953,312.53","131,462,001.80","162,901,948.37","180,808,507.38","229,559,376.94","150,943,110.67","182,693,677.87","181,808,985.58","193,854,246.54","196,569,977.64","191,793,694.97","191,543,656.77","213,440,486.25","220,657,075.36","252,393,190.48","318,099,572.31","366,425,817.75"
预付款项,"7,557,484.90","3,960,912.88","5,007,407.01","6,292,165.19","28,564,721.63","32,322,992.77","1,873,780.77","59,922,954.28","23,931,610.90","16,670,465.07","6,019,041.54","26,186,612.78","11,167,973.55","19,314,621.26","10,131,591.65","12,261,396.21","8,190,118.37","9,654,579.90","10,742,228.08"
预收款项,"41,263,649.95","45,357,421.06","57,440,711.41","78,159,938.16","97,137,284.01","108,354,250.99","61,044,681.29","75,356,618.33","86,282,455.46","101,250,427.75","62,696,802.98","104,144,653.34","122,324,745.72","137,436,546.60","82,531,519.35","94,506,602.91","110,534,870.09","154,856,761.20","92,698,443.60"
其他应收款,"5,847,449.93","15,086,965.34","12,969,333.60","11,864,380.04","18,672,040.83","18,804,941.86","15,898,572.31","26,885,140.57","33,900,538.87","18,733,653.91","22,733,189.71","31,457,354.55","29,676,582.58","19,141,127.10","46,303,247.31","26,534,870.77","27,728,464.42","26,595,107.37","49,158,390.25"
应付职工薪酬,"8,717,623.15","11,874,735.05","13,686,680.61","8,303,432.33","9,983,772.62","11,525,043.35","23,252,858.66","14,586,758.36","15,202,144.71","4,848,712.76","7,935,477.29","5,801,175.88","5,500,074.71","10,185,167.34","26,721,771.84","17,196,247.04","11,879,048.71","11,308,370.44","30,117,022.07"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"1,838,390.09","3,814,132.32","8,579,660.32","7,695,785.21","-3,175,592.66","-7,160,860.56","17,707,143.71","-17,178,899.04","-28,389,620.54","-18,609,941.32","14,408,143.74","30,338,220.55","13,208,915.47","10,537,570.97","7,995,618.72","9,236,784.72","7,619,205.13","13,112,885.11","13,373,940.87"
应收利息,"515,344.12","854,617.63","1,182,643.85","592,062.04","744,963.86","1,354,092.01","520,237.49","317,525.14","564,884.60","718,945.73","387,305.19","42,421.37","145,061.65","155,833.59","200,560.10","768,682.55","723,656.04","1,040,694.20","100,638.51"
应付利息,,,,,,,,,,,,,,"95,941.66","252,718.97","758,375.96","1,305,356.19","1,745,276.36",
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,"9,000.00",,,,,,,,,
存货,"60,429,432.00","83,316,771.31","95,228,316.30","114,820,562.73","114,300,804.48","146,204,932.70","139,233,218.77","153,929,888.47","166,344,681.49","193,084,308.45","165,357,602.43","224,073,999.24","217,506,565.80","205,769,842.97","184,477,058.31","241,485,188.39","266,505,643.29","331,742,423.40","273,337,603.18"
其他应付款,"1,006,139.55","3,251,723.50","3,989,004.69","3,966,498.80","3,950,985.47","19,745,047.98","5,614,338.29","6,587,490.67","8,795,515.12","8,820,474.45","7,782,024.07","9,094,569.27","12,173,290.60","10,553,750.87","25,118,990.27","23,964,739.28","7,866,552.39","26,084,882.84","31,544,649.20"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,
其他流动资产,,,"105,000,000.00","40,000,000.00","65,000,000.00","145,000,000.00","292,045,309.47","210,000,000.00","200,000,000.00","100,000,000.00","41,949,351.22","26,949,351.22","67,629,942.10","10,778,996.13","67,266,492.52","76,012,817.86","43,454,033.19","231,915,049.71","120,781,166.97"
其他流动负债,,,,,"1,000,000.00",,,,,,,,,,,,,,
流动资产合计,"215,207,712.17","383,867,453.12","495,926,330.36","492,727,597.08","573,372,816.83","885,064,158.29","916,654,481.70","878,370,423.64","841,617,707.43","859,849,523.79","894,371,678.75","960,466,113.93","946,269,728.65","974,636,231.46","1,102,871,260.39","1,152,818,370.12","1,164,568,781.62","1,236,362,969.13","1,184,660,391.33"
流动负债合计,"114,190,038.32","206,390,331.96","313,579,369.56","332,877,656.30","364,858,397.81","405,981,989.14","443,278,398.89","362,545,078.99","388,994,172.62","385,287,659.22","416,326,694.62","475,978,596.68","469,923,721.47","574,612,634.21","663,989,105.40","721,027,825.27","745,537,222.99","811,106,748.26","750,519,873.49"
可供出售金融资产,,,,,,,,,,,"10,000,000.00","22,200,000.00","22,200,000.00","12,200,000.00","12,200,000.00","12,200,000.00","12,200,000.00","12,200,000.00","27,400,000.00"
长期借款,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,"55,944,750.00","55,944,750.00","61,412,090.00","60,719,990.00","37,980,518.00","37,980,518.00","18,102,510.00","18,102,510.00",,,,,
长期股权投资,,,,,,,,,,,,,,,,,,"14,750,000.00",
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,"116,812,217.50","115,391,326.25","113,970,435.00"
预计负债,,,,,,,,,,,,,,,,,,,
固定资产,"25,718,909.09","42,882,343.79","39,297,854.48","39,518,764.32","38,149,337.16","40,005,552.32","197,759,277.31","175,267,760.75","204,543,981.08","217,978,183.53","329,939,330.19","331,901,299.09","321,901,709.56","316,609,927.39","450,789,190.22","462,010,231.83","351,343,283.97","345,961,181.92","345,750,932.39"
递延所得税负债,,,,,,,,,,,,,,,,,,,"549,964.35"
在建工程,"665,104.60","8,614,331.06","92,145,940.49","102,809,850.01","113,363,398.60","115,908,513.84","11,237,031.30","10,422,370.72","15,931,234.36","23,497,593.53","13,028,860.08","12,895,617.30","13,149,510.06","15,430,181.52","9,380,454.81","19,882,674.31","11,550,973.44","12,083,879.70","39,649,106.47"
其他非流动负债,,,"1,000,000.00","1,000,000.00",,"1,000,000.00",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,"1,000,000.00","1,000,000.00",,"1,000,000.00","56,044,750.00","56,944,750.00","61,512,090.00","60,819,990.00","37,980,518.00","37,980,518.00","19,602,510.00","19,602,510.00","800,000.00","800,000.00","655,100.00","655,100.00","940,964.35"
固定资产清理,,,,,,,,"173,730.39",,,,,,,,"14,855.46",,,
负债合计,"114,190,038.32","206,390,331.96","314,579,369.56","333,877,656.30","364,858,397.81","406,981,989.14","499,323,148.89","419,489,828.99","450,506,262.62","446,107,649.22","454,307,212.62","513,959,114.68","489,526,231.47","594,215,144.21","664,789,105.40","721,827,825.27","746,192,322.99","811,761,848.26","751,460,837.84"
生产性生物资产,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"63,160,000.00","63,160,000.00","63,160,000.00","63,160,000.00","63,160,000.00","78,630,000.00","80,085,000.00","80,085,000.00","160,300,000.00","160,264,000.00","160,264,000.00","160,208,320.00","319,462,232.00","319,462,232.00","319,256,418.00","319,256,418.00","317,723,036.00","317,723,036.00","319,643,336.00"
油气资产,,,,,,,,,,,,,,,,,,,
资本公积,"32,052,325.58","32,052,325.58","32,052,325.58","32,052,325.58","32,052,325.58","277,244,025.58","279,117,095.58","279,117,095.58","208,336,559.58","212,988,791.58","232,052,418.72","232,052,418.72","72,759,157.72","73,530,799.44","69,839,972.00","69,839,972.00","69,839,972.00","69,839,972.00","85,292,864.18"
无形资产,"30,347,641.46","30,096,818.34","30,218,907.86","30,200,141.34","29,961,919.42","29,778,463.72","29,734,212.70","29,540,399.31","29,248,476.46","29,009,191.67","29,070,215.97","29,816,230.52","31,708,454.23","32,642,912.72","32,569,953.29","32,548,219.33","32,349,470.33","32,586,321.16","33,428,548.76"
盈余公积,"6,812,767.36","17,049,492.14","28,950,707.27","28,950,707.27","28,950,707.27","28,950,707.27","45,695,807.25","45,695,807.25","45,695,807.25","45,695,807.25","58,621,635.77","58,621,635.77","58,621,635.77","58,621,635.94","70,734,297.46","70,734,297.46","70,734,297.46","70,734,297.46","79,611,827.50"
开发支出,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,"1,455,000.00","1,455,000.00","3,040,000.00","3,004,000.00","1,919,680.00","1,864,000.00","1,824,651.00","1,824,651.00","1,618,837.00","1,618,837.00","85,455.00","85,455.00","18,328,305.00"
商誉,,,,,,,,"18,374,570.75","18,374,570.75","17,727,145.76","17,248,329.68","17,248,329.68","17,248,329.68","17,248,329.68","13,404,403.04","13,404,403.04","13,404,403.04","8,900,665.69",
未分配利润,"60,617,022.20","151,561,037.50","223,653,391.18","220,324,622.72","269,660,934.00","301,922,552.67","334,172,160.78","365,011,836.61","339,635,117.82","376,773,816.10","406,990,202.23","430,642,954.87","436,264,502.65","471,495,857.67","514,189,076.26","527,031,806.42","513,832,048.67","534,820,918.12","576,388,870.35"
长期待摊费用,"4,105,480.15","2,658,314.17","1,429,552.38","9,488,319.74","816,887.10","522,184.89","1,988,752.25","1,233,500.00","694,100.00","250,700.00","12,745,323.94","18,575,338.26","14,298,524.34","15,106,551.45","14,602,662.38","14,592,195.09","13,796,674.20","13,542,143.38","30,933,771.13"
少数股东权益,,,,,,,,"4,410,392.29","5,096,525.01","5,068,415.58","6,419,485.08","8,600,540.36","6,970,970.94","6,918,860.22","8,508,363.32","8,052,031.60","7,507,203.70","7,027,765.78","5,397,506.08"
递延所得税资产,"787,305.99","2,093,926.70","3,400,071.59","3,716,510.88","3,046,643.34","3,046,643.34","5,825,303.99","4,994,131.53","3,758,029.45","3,758,029.45","10,249,021.34","10,249,021.34","15,432,184.65","17,309,810.94","9,966,625.67","10,366,255.06","9,768,643.17","9,856,000.23","12,014,962.24"
外币报表折算价差,,,"22,863.57","95,871.50","28,637.79","-329,284.16",,,,,,,,,,,,,
其他非流动资产,,,,,,"19,074,474.10","73,674,640.00","72,007,400.00","92,007,400.00","92,007,400.00","483,280.17","275,880.17",,"121,800,000.00","1,821,200.00",,"310,000.00","9,110,844.61","11,368,063.43"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,
非流动资产合计,"61,624,441.29","86,345,734.06","166,492,326.80","185,733,586.29","185,338,185.62","208,335,832.21","320,219,217.55","312,013,863.45","364,557,792.10","384,228,243.94","422,764,361.37","443,161,716.36","435,938,712.52","548,347,713.70","544,734,489.41","565,018,834.12","561,535,665.65","574,382,362.94","614,515,819.42"
所有者权益(或股东权益)合计,"162,642,115.14","263,822,855.22","347,839,287.60","344,583,527.07","393,852,604.64","686,418,001.36","737,550,550.36","770,894,458.10","755,669,236.91","797,970,118.51","862,828,827.50","889,668,715.61","892,682,209.70","928,768,800.95","982,816,644.40","996,009,378.97","979,912,124.28","998,983,483.81","1,047,715,372.91"
资产总计,"276,832,153.46","470,213,187.18","662,418,657.16","678,461,183.37","758,711,002.45","1,093,399,990.50","1,236,873,699.25","1,190,384,287.09","1,206,175,499.53","1,244,077,767.73","1,317,136,040.12","1,403,627,830.29","1,382,208,441.17","1,522,983,945.16","1,647,605,749.80","1,717,837,204.24","1,726,104,447.27","1,810,745,332.07","1,799,176,210.75"
负债和所有者(或股东权益)合计,"276,832,153.46","470,213,187.18","662,418,657.16","678,461,183.37","758,711,002.45","1,093,399,990.50","1,236,873,699.25","1,190,384,287.09","1,206,175,499.53","1,244,077,767.73","1,317,136,040.12","1,403,627,830.29","1,382,208,441.17","1,522,983,945.16","1,647,605,749.80","1,717,837,204.24","1,726,104,447.27","1,810,745,332.07","1,799,176,210.75"
