科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"56,374,533.12","68,701,576.66","90,231,079.61","96,836,091.22","106,338,711.35","1,260,096,395.35","1,225,862,947.98","1,169,776,899.92","430,804,238.87","403,647,153.10","290,050,372.45","285,050,459.14","1,053,765,708.17","857,820,164.92","954,815,434.79","863,143,317.02","1,074,324,032.95","547,945,412.14","527,596,798.22","224,654,572.25","182,856,730.80","241,387,559.73","194,832,242.79","177,340,660.33","86,012,070.83","169,291,370.05","106,664,101.66","103,432,223.61","148,271,145.96","280,704,913.24","206,807,151.80","336,101,631.53","308,729,489.26","167,596,600.61","129,651,099.97","140,458,018.45"
短期借款,"40,000,000.00","61,000,000.00","61,000,000.00","40,000,000.00","40,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,"7,669.00",,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"2,350,000.00","530,000.00",,"2,847,912.42","2,877,265.30","737,928.40","5,667,676.66","453,835.70","6,362,260.00","20,890,465.20","9,458,389.10","4,060,440.00","9,989,863.00","18,606,090.00","24,195,980.00","100,800.00","306,942.00",,"2,450,000.00","1,050,000.00",,,"50,000.00",,,,"481,505.74","191,582.80",,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"28,192,017.92","12,873,037.04","15,268,650.63","13,963,530.79","21,085,445.12","20,060,995.13","21,627,460.42","29,225,479.87","33,170,606.15","29,956,791.98","48,057,334.82","39,987,639.20","37,404,205.32","36,976,444.15","37,925,270.38","34,154,430.00","38,566,504.27","30,282,896.93","23,090,309.88","31,226,341.32","20,448,513.67","24,235,805.35","25,871,880.11","30,954,078.71","29,173,057.50","17,590,156.57","23,607,371.04","41,085,342.58","31,905,782.35","36,582,227.30","39,723,986.42","44,821,334.12","70,496,719.99","59,650,055.54","67,822,075.99","61,735,422.04"
应付账款,"68,812,548.99","65,322,700.58","61,439,041.17","80,687,303.66","78,054,599.10","79,005,737.50","64,912,005.32","70,930,220.80","90,301,145.89","79,972,453.58","81,978,542.11","96,122,948.43","94,255,289.31","72,571,544.89","66,952,842.09","76,536,514.21","95,937,975.86","52,904,857.35","56,128,133.70","60,538,047.48","96,616,765.75","41,215,965.00","62,418,188.66","50,534,814.68","71,891,449.15","37,650,507.76","48,112,768.87","60,586,802.73","85,553,179.75","58,421,634.99","48,148,475.52","80,213,905.78","89,922,297.96","94,577,508.84","96,369,936.31","116,066,874.55"
预付款项,"584,697.37","17,492,151.53","14,130,571.60","7,257,294.24","1,858,652.02","2,021,486.41","12,458,751.65","17,822,893.51","6,888,699.87","8,371,633.35","9,244,470.93","5,598,467.60","1,931,012.27","1,895,238.67","2,189,499.86","1,567,119.81","1,844,860.00","3,556,346.27","2,607,019.03","2,479,895.42","2,698,175.40","2,978,201.11","3,487,158.77","3,703,324.94","3,225,746.19","3,894,381.80","6,983,972.80","10,915,786.31","11,699,801.67","12,481,406.38","12,509,227.27","11,787,377.98","3,941,741.91","7,458,645.51","10,083,150.08","5,828,372.56"
预收款项,"1,318,573.47","3,261,357.85","1,251,207.26","11,269,297.04","3,708,397.94","8,531,226.24","1,666,381.55","9,399,198.23","6,584,510.62","30,272,129.38","16,399,819.12","19,764,801.22","14,105,151.12","14,229,236.39","10,851,721.35","17,961,617.45","6,320,656.04","10,368,615.14","11,435,365.59","17,653,281.31","21,107,683.22","7,689,099.87","11,015,206.91","11,700,745.41","7,507,416.46","13,166,078.43","6,946,351.25","16,765,836.09","8,349,210.78","9,813,828.32","7,117,155.76","16,853,466.00","7,119,893.23","26,753,828.01","11,444,830.36","20,389,230.63"
