科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"75,874,778.59","88,806,113.65","158,779,658.78","213,573,114.48","36,613,760.24","81,481,078.89","128,969,605.72","168,094,700.88","38,070,525.91","85,653,148.50","148,164,539.71","224,607,673.76","86,638,240.54","171,278,629.91","274,961,757.87","427,965,629.88","74,336,086.62","192,101,026.23","388,307,307.99","1,136,033,374.12","372,364,259.63","809,115,068.30","1,712,392,313.28","3,009,955,112.15","383,530,127.95","809,712,649.63","1,130,264,680.94","3,225,957,405.02","1,069,546,445.40","2,046,625,345.69","3,394,566,805.34","3,655,607,257.31","676,224,424.20","1,354,040,018.19","2,153,367,789.29","2,854,366,697.72","636,231,806.95","1,380,359,909.61","2,076,221,269.95","3,021,340,525.61","593,044,415.69","1,384,371,209.48","2,427,060,928.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"7,074.65","7,074.65","69,127.43","99,051.65","211,858.09","232,192.87","284,235.63","146,170.77","209,580.74","348,790.62","473,358.11","194,020.91","303,827.77","355,134.41","482,284.06","136,741.40","2,838,707.49","2,931,797.04","3,129,773.43","56,787.28","279,454.89","387,951.40","387,951.40",,,,"268,435.00",,"216,506.22","427,816.56","216,506.22","4,153,697.51","4,891,363.45","4,891,363.45","4,891,363.45",,"2,620,605.97","2,620,605.97","3,553,999.74",,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"6,625,731.00",,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"25,028,842.38","41,871,424.84","37,100,697.29","53,860,506.43","1,005,742.59","2,882,027.98","5,095,888.18","12,443,750.50","314,711.33","1,810,129.72","7,411,760.61","10,146,557.97","8,333,139.06","16,424,989.50","21,490,196.56","54,046,491.49","13,454,080.24","12,855,461.46","5,993,229.99","35,077,034.59","15,045,318.09","14,450,089.58","26,669,812.39","28,604,331.61","8,956,336.53","54,049,630.85","15,117,567.00","443,386,120.73","126,596,081.41","144,994,435.56","177,373,908.50","139,682,261.99","17,943,737.31","205,868,523.40","311,235,562.76","195,519,956.11","55,129,357.62","253,682,537.35","304,220,617.93","197,810,021.68","42,280,514.59","160,923,892.32","227,738,118.86"
投资活动现金流出小计,"8,843,551.06","13,732,208.10","10,526,963.48","24,982,755.36","3,889,931.94","14,050,791.84","20,282,593.78","22,437,826.38","4,023,786.41","9,503,340.70","18,944,586.32","30,144,464.38","9,320,615.68","21,074,938.79","60,579,206.65","83,006,652.67","24,623,693.82","53,455,617.91","98,006,826.73","151,788,518.55","100,612,992.32","130,150,331.26","160,184,522.47","189,296,044.96","28,531,450.05","45,114,834.85","54,753,249.17","363,258,145.59","302,675,871.41","195,811,651.00","268,881,489.30","344,264,985.50","273,933,862.67","1,840,420,919.27","2,065,313,832.14","900,528,084.18","113,040,529.36","300,665,934.26","481,690,712.01","653,196,626.33","102,673,008.84","149,117,806.52","231,241,935.39"
经营活动现金流入小计,"100,903,620.97","130,684,613.14","195,887,430.72","267,502,748.34","37,718,554.48","84,574,964.96","134,297,686.77","180,822,687.01","38,531,408.01","87,672,858.96","155,925,090.94","235,227,589.84","95,165,400.51","188,007,447.18","296,807,088.84","482,494,405.43","87,926,908.26","207,795,195.18","397,232,335.02","1,174,240,182.14","387,466,365.00","823,844,612.77","1,739,450,077.07","3,038,947,395.16","392,486,464.48","863,762,280.48","1,145,382,247.94","3,669,611,960.75","1,196,142,526.81","2,191,836,287.47","3,572,368,530.40","3,795,506,025.52","698,321,859.02","1,564,799,905.04","2,469,494,715.50","3,054,778,017.28","691,361,164.57","1,636,663,052.93","2,383,062,493.85","3,222,704,547.03","635,324,930.28","1,545,295,101.80","2,654,799,047.25"
投资活动产生的现金流量净额,"-8,843,551.06","-13,673,084.10","-10,467,839.48","-23,527,631.36","-3,889,931.94","-13,889,491.84","-20,121,293.78","-22,226,071.38","-4,023,786.41","-9,400,643.70","-18,729,957.32","-29,929,835.38","-9,107,615.68","-17,811,938.79","-57,316,206.65","-79,743,002.67","-23,803,693.82","-52,688,393.77","-97,239,602.59","-151,018,614.41","-100,112,992.32","-129,255,438.56","-158,503,608.77","-187,615,131.26","-24,472,350.05","-34,394,503.85","-50,658,649.17","-358,287,546.07","-302,648,863.41","-195,784,643.00","-268,725,918.97","-341,389,477.82","-273,933,862.67","-1,840,413,311.27","-2,065,306,224.14","-896,681,709.48","-113,040,529.36","-300,665,934.26","-481,690,712.01","-653,178,191.99","-102,673,008.84","-149,117,806.52","-231,169,724.74"
购买商品、接受劳务支付的现金,"35,829,036.36","55,350,935.22","73,076,875.57","136,104,027.67","15,462,240.00","33,453,285.67","54,284,996.77","71,634,197.77","19,507,920.11","41,421,801.85","73,380,868.36","96,398,643.15","68,995,759.22","114,050,585.63","175,649,712.04","279,170,371.34","47,039,553.85","104,350,462.18","248,287,882.04","912,236,870.48","345,466,875.93","702,505,958.08","1,598,911,412.90","2,796,227,217.11","342,582,422.06","681,358,885.90","934,779,332.34","1,570,047,851.67","724,115,884.17","1,147,110,655.53","2,066,347,969.70","1,675,130,562.18","370,760,064.08","754,712,773.16","1,161,314,258.02","1,495,524,264.29","293,451,521.97","580,288,141.11","852,622,843.07","1,042,824,797.58","290,516,048.58","553,502,405.59","1,003,493,477.95"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152,000,000.00","2,821,599,988.44","2,851,999,988.30","3,416,949,988.44","4,500,000.00","4,500,000.00","6,000,000.00","13,500,000.00","3,750,000.00","3,750,000.00","3,750,000.00"
支付给职工以及为职工支付的现金,"10,036,973.34","23,952,532.25","33,603,205.80","45,309,246.12","11,700,381.56","23,797,468.15","31,135,490.74","45,749,954.77","12,932,715.61","22,426,371.20","34,306,056.98","47,152,755.99","16,375,848.75","25,385,270.44","41,074,876.88","52,329,835.34","16,530,938.72","27,663,451.46","42,444,273.45","58,844,496.90","23,407,236.05","40,924,155.01","55,665,672.47","68,089,792.16","22,752,425.48","36,193,670.84","56,324,953.99","215,585,907.42","87,900,105.45","146,649,373.43","211,344,890.11","464,869,140.76","97,577,455.51","172,958,266.90","240,105,156.97","512,754,831.29","97,865,807.61","189,099,267.31","258,557,480.56","573,724,576.74","110,799,531.71","210,888,849.67","315,172,319.56"
取得借款收到的现金,"105,000,000.00","187,900,000.00","252,900,000.00","321,890,000.00","74,000,000.00","94,000,000.00","94,000,000.00","327,900,000.00","20,000,000.00","79,900,000.00","203,900,000.00","273,900,000.00","60,000,000.00","99,900,000.00","99,900,000.00","99,900,000.00",,"100,000,000.00","260,000,000.00","340,000,000.00","125,000,000.00","197,000,000.00","356,435,000.00","466,435,000.00","60,000,000.00","198,529,942.48","241,023,404.01","523,770,296.83","430,000,000.00","540,990,000.00","613,066,835.23","996,640,349.51","596,000,000.00","890,000,000.00","1,000,000,000.00","1,280,000,000.00","30,000,000.00","308,000,000.00","393,000,000.00","893,000,000.00","158,705,000.00","338,705,000.00","1,001,705,000.00"
支付的各项税费,"2,999,603.64","3,862,025.67","6,151,913.50","8,935,604.14","949,203.01","2,307,942.39","5,610,583.90","8,531,828.45","2,401,393.77","4,428,471.07","6,195,867.54","7,833,046.45","2,207,306.29","5,900,480.84","10,905,261.87","14,507,563.68","4,849,821.18","8,595,770.78","14,081,363.89","18,853,023.45","5,698,475.48","11,172,723.58","13,786,502.84","19,565,762.08","6,170,517.45","15,251,756.88","19,503,875.71","195,282,387.73","29,508,063.65","147,972,568.53","189,734,144.03","231,829,504.59","29,794,601.88","127,002,559.44","189,222,464.68","213,031,406.39","39,210,006.69","74,489,847.32","128,966,593.18","163,268,643.27","39,818,943.30","97,417,042.75","155,319,255.85"
收到其他与筹资活动有关的现金,"2,056.04","452,886.25","452,886.25",,,"20,000,000.00","20,000,000.00",,"20,000,000.00",,,,,,,,,"30,000,000.00",,,,,,,,,,,,,,,,,,"194,154,124.17",,"100,000,000.00","100,000,000.00","100,000,000.00",,,
支付其他与经营活动有关的现金,"52,513,566.25","43,896,350.01","62,190,756.67","31,790,227.35","1,137,894.50","3,344,484.49","8,574,787.56","11,028,686.84","3,342,419.63","5,540,552.60","9,647,252.70","18,392,528.76","1,733,811.42","13,623,580.80","17,336,056.56","26,781,211.66","8,788,032.90","19,471,088.42","14,279,117.33","59,708,914.36","6,199,528.33","18,665,660.35","29,964,709.75","22,136,494.26","15,788,437.21","36,557,504.42","19,565,354.35","775,764,520.94","200,411,905.24","316,073,672.87","305,626,136.02","231,013,925.69","32,794,817.86","198,580,875.08","416,192,126.50","360,303,239.33","64,493,466.85","189,455,503.65","252,764,891.04","341,009,092.88","43,727,212.94","166,178,995.28","218,485,702.70"
