科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"520,658,818.39","588,530,066.78","697,325,220.05","383,194,774.25","571,074,813.49","813,948,770.99","208,543,124.16","407,108,262.10","627,168,822.80","858,406,061.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,"250,357,600.00"
收到其他与经营活动有关的现金,"17,005,263.33","23,114,320.41","47,386,878.04","22,332,722.88","31,093,346.88","46,288,671.68","14,117,617.54","28,990,631.96","48,646,492.37","68,493,631.37"
投资活动现金流出小计,"33,408,256.48","75,955,984.29","85,617,125.58","24,849,356.57","49,988,502.00","95,735,526.16","13,716,186.07","50,420,643.31","121,533,082.48","444,194,023.32"
经营活动现金流入小计,"537,664,081.72","611,644,387.19","744,712,098.09","405,527,497.13","602,168,160.37","860,237,442.67","222,660,741.70","436,098,894.06","675,815,315.17","926,899,692.42"
投资活动产生的现金流量净额,"-32,854,530.99","-54,121,601.88","-65,941,784.31","-21,172,292.46","-46,246,743.91","-91,890,242.27","-13,714,066.41","-50,406,589.46","-121,519,028.63","-243,280,673.04"
购买商品、接受劳务支付的现金,"255,332,982.23","264,936,194.02","318,014,719.45","145,527,615.54","235,444,310.22","344,277,834.50","82,006,281.37","177,663,382.97","341,466,689.13","471,151,171.23"
吸收投资收到的现金,"1,500,000.00","11,580,000.00",,,,,"249,555,424.15","252,389,995.55","251,917,566.95","263,682,142.80"
支付给职工以及为职工支付的现金,"91,992,019.64","120,309,304.57","142,400,855.02","75,835,153.57","110,453,428.59","153,397,928.11","41,348,629.31","86,375,299.84","122,929,858.17","195,098,791.57"
取得借款收到的现金,"120,000,000.00","105,000,000.00","319,000,000.00","43,000,000.00","63,000,000.00","123,000,000.00","10,000,000.00","60,000,000.00","125,000,000.00","165,000,000.00"
支付的各项税费,"49,448,176.14","64,561,321.88","79,071,138.49","48,097,375.52","62,526,677.27","87,308,086.45","17,366,895.18","35,083,191.69","57,910,458.11","82,849,814.38"
收到其他与筹资活动有关的现金,,,,"6,620,000.00","6,620,000.00","6,620,000.00",,,,
支付其他与经营活动有关的现金,"88,043,115.09","100,186,107.72","125,586,971.23","71,604,350.99","99,074,060.03","145,941,793.38","52,747,847.27","83,125,021.24","117,651,367.50","165,984,502.90"
筹资活动现金流入小计,"121,500,000.00","116,580,000.00","319,000,000.00","49,620,000.00","69,620,000.00","129,620,000.00","259,555,424.15","312,389,995.55","376,917,566.95","428,682,142.80"
经营活动现金流出小计,"484,816,293.10","549,992,928.19","665,073,684.19","341,064,495.62","507,498,476.11","730,925,642.44","193,469,653.13","382,246,895.74","639,958,372.91","915,084,280.08"
偿还债务支付的现金,"145,000,000.00","100,000,000.00","336,000,000.00","81,000,000.00","91,000,000.00","111,000,000.00","30,000,000.00","50,000,000.00","95,000,000.00","125,000,000.00"
经营活动产生的现金流量净额,"52,847,788.62","61,651,459.00","79,638,413.90","64,463,001.51","94,669,684.26","129,311,800.23","29,191,088.57","53,851,998.32","35,856,942.26","11,815,412.34"
分配股利、利润或偿还利息支付的现金,"27,471,425.01","34,862,744.98","4,180,995.68","698,295.84","29,955,802.60","30,459,677.60","798,709.30","26,583,829.64","28,478,196.44","29,697,965.41"
收回投资收到的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"-398,833.00","5,300,000.00","5,300,000.00","18,100,000.00"
取得投资收益收到的现金,,,,,,,,,,
筹资活动现金流出小计,"172,471,425.01","134,862,744.98","340,180,995.68","81,698,295.84","120,955,802.60","141,459,677.60","30,399,876.30","81,883,829.64","128,778,196.44","172,797,965.41"
处置固定资产、无形资产和其他长期资产收回的现金净额,"53,725.49","66,482.41","15,248,741.27","642,564.11","707,258.09","710,783.89","2,119.66","14,053.85","14,053.85","16,443.02"
筹资活动产生的现金流量净额,"-50,971,425.01","-18,282,744.98","-21,180,995.68","-32,078,295.84","-51,335,802.60","-11,839,677.60","229,155,547.85","230,506,165.91","248,139,370.51","255,884,177.39"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,"-16,991.29"
收到其他与投资活动有关的现金,"500,000.00","21,767,900.00","4,426,600.00","3,034,500.00","3,034,500.00","3,134,500.00",,,,"200,896,907.26"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"553,725.49","21,834,382.41","19,675,341.27","3,677,064.11","3,741,758.09","3,845,283.89","2,119.66","14,053.85","14,053.85","200,913,350.28"
五、现金及现金等价物净增加额,"-30,978,167.38","-10,752,887.86","-7,484,366.09","11,212,413.21","-2,912,862.25","25,581,880.36","244,632,570.01","233,951,574.77","162,477,284.14","24,401,925.40"
购建固定资产、无形资产和其他长期资产支付的现金,"33,408,256.48","75,955,984.29","85,617,125.58","24,849,356.57","49,988,502.00","95,735,526.16","13,716,186.07","50,420,643.31","121,533,082.48","193,836,423.32"
期初现金及现金等价物余额,"63,609,343.45","32,631,176.07","21,878,288.21","14,393,922.12","14,393,922.12","14,393,922.12","39,975,802.48","39,975,802.48","39,975,802.48","39,975,802.48"
投资支付的现金,,,,,,,,,,
期末现金及现金等价物余额,"32,631,176.07","21,878,288.21","14,393,922.12","25,606,335.33","11,481,059.87","39,975,802.48","284,608,372.49","273,927,377.25","202,453,086.62","64,377,727.88"
