科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其他应收款,"93,874,828.78","36,859,677.23","44,535,753.32","31,506,125.19","55,557,497.08","69,246,113.66","128,145,011.04","39,210,665.12","160,700,910.88","108,481,663.98","87,196,123.79","49,080,315.56","107,226,137.21","56,749,237.76","61,133,348.21","27,811,708.77","47,172,324.19","48,893,763.07","81,732,760.09","43,986,888.54","81,624,745.65","24,535,103.65","23,764,082.09","12,991,669.93","40,440,273.58","26,779,398.66","32,044,693.46","72,358,751.00","142,165,065.17","159,051,640.47","166,911,072.28","140,953,377.03","173,276,961.68","423,576,389.38","443,164,234.14","247,785,205.21","264,110,166.99","257,457,608.10","182,935,511.13","125,146,606.88","128,860,102.91","123,741,446.38","99,298,483.70","91,295,886.05","96,634,676.95","95,015,716.38","97,305,401.33","10,550,345.67","10,734,849.07"
应付职工薪酬,"254,420,557.78","276,154,232.48","291,966,265.88","302,361,263.42","305,132,594.14","333,990,490.33","344,570,851.39","302,078,084.05","300,098,110.20","309,497,621.70","297,543,912.07","211,452,612.77","169,415,991.29","142,641,538.48","162,361,057.71","159,627,555.49","185,669,412.27","193,492,624.86","152,914,445.74","112,154,106.95","100,083,637.86","88,851,758.66","95,702,016.73","88,435,034.71","66,647,769.45","65,076,201.11","56,153,622.70","91,084,943.36","42,587,880.42","47,568,019.10","82,762,526.10","181,549,791.22","139,832,426.34","140,952,427.85","87,919,699.87","116,085,343.11","81,133,496.78","106,142,684.52","114,084,889.66","150,233,889.84","120,794,515.13","148,918,607.90","122,941,350.40","164,166,087.66","131,552,023.86","144,165,240.40","139,907,689.86","87,083,269.85","56,897,044.36"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"114,660,021.12","116,107,394.25","102,970,435.41","103,008,593.05","107,975,751.29","108,011,427.21","106,360,784.63","49,532,421.25","-15,151,334.61","-34,735,732.41","-45,677,745.87","-22,023,695.78","-39,082,792.62","-13,745,209.38","-10,640,109.50","10,753,444.32","-25,992,124.61","-62,865,344.70","-86,686,585.19","-151,935,385.06","-222,453,249.07","-251,023,168.45","-303,449,889.10","-337,668,305.14","-351,725,619.47","-403,617,486.64","-410,196,255.65","4,274,249.36","5,533,706.94","7,478,177.80","3,876,932.47","8,229,015.03","3,491,452.36","5,046,676.64","1,294,267.17","4,897,027.91","3,323,455.77","4,421,914.79","7,385,439.45","6,867,985.41","5,246,524.79","8,930,040.64","21,463,399.81","14,665,215.94","31,949,576.14","23,424,229.45","17,241,082.76","8,322,950.19","28,646,295.98"
应收利息,,,,,,,,,,,,,,,,,,,,,"714,848.13",,,,,,,,"4,356,724.67","823,064.67","2,504,285.82","2,558,948.34","2,974,745.27","4,412,573.05","1,257,186.11","531,360.00","559,057.76","793,447.23","954,203.87","371,531.11","587,555.56","306,966.67","128,411.11",,,,,,
应付利息,"6,928,307.03","2,162,101.75","6,462,918.91","700,030.15","1,623,003.92","1,343,695.67","1,403,424.99","320,089.35","3,223,535.67","651,681.26","2,168,884.94","1,577,818.16","3,621,139.92","3,521,932.95","5,996,160.98","4,677,874.20","6,380,000.66","3,253,449.43","4,564,510.94","9,256,340.65","4,355,430.33","4,261,883.52","5,199,553.79","16,569,083.45","7,087,317.17","6,990,235.07","12,396,577.01","15,419,281.33","4,828,582.32","4,677,833.55","4,244,308.11","18,251,999.17","14,329,869.24","1,317,388.91","46,179,855.96","44,858,141.19","37,571,686.13","68,804,177.62","100,985,754.64","6,089,906.06","31,397,965.28","68,660,663.36","99,837,895.50","132,572,258.45","132,479,600.12","132,345,542.62",,"1,006,342.68","1,006,342.77"
应收股利,,"18,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"973,289.72","190,912,273.22","170,865,497.72","155,497.72","155,497.72","60,479.76","60,479.76","60,479.76","60,479.76","60,479.76","60,479.76","60,479.76","60,479.76","34,710,000.00","34,710,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"1,188,933,766.45","630,239,683.15","675,528,145.34","794,983,460.82","728,328,305.51","796,755,522.41","1,493,942,048.62","1,879,890,545.66","1,414,238,590.99","1,068,601,833.90","842,955,299.00","882,533,088.35","1,238,493,152.88","829,061,332.31","828,942,089.70","934,724,526.06","721,685,329.09","472,333,016.18","565,526,049.14","715,978,786.23","717,515,816.99","542,993,784.89","549,623,105.77","705,399,713.16","960,393,232.34","726,434,967.97","542,563,901.91","729,723,816.28","717,084,149.17","657,684,329.88","775,684,665.63","926,777,102.14","852,650,497.98","346,522,441.91","406,106,842.87","486,425,564.46","551,775,797.74","439,718,339.86","357,294,379.28","364,670,118.60","442,127,543.05","308,453,191.01","293,105,171.47","347,098,818.90","383,741,750.34","300,179,156.22","402,599,313.86","494,142,399.66","499,571,591.01"
其他应付款,"109,243,430.10","100,373,074.27","97,927,407.71","92,769,522.55","86,522,512.83","73,811,135.19","50,886,048.04","59,871,641.08","191,714,256.64","342,541,940.00","422,835,485.05","593,304,087.51","456,933,813.91","319,204,844.15","377,358,922.04","341,434,404.73","234,201,257.83","116,028,170.21","147,225,534.28","304,348,705.88","232,992,460.15","367,827,247.65","400,020,342.15","301,906,598.80","363,228,369.06","357,313,117.02","406,293,609.15","354,620,520.83","361,723,992.22","457,256,233.18","471,220,600.96","476,890,220.40","555,936,014.62","190,612,491.72","356,495,051.68","157,677,634.89","164,763,113.41","183,390,293.21","345,460,444.09","408,390,747.83","418,628,081.29","328,774,146.55","368,014,552.73","330,336,701.27","347,500,504.84","142,714,733.04","273,255,423.67","92,460,508.33","74,141,548.91"
