科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"30,586,282.56","57,965,123.56","39,977,759.95","53,896,934.78","1,311,008,753.95","1,082,952,690.61","997,641,859.43","803,600,449.00","741,168,630.83","651,765,182.58","787,682,822.10","938,147,971.21","1,073,711,687.30","621,607,767.92","588,298,251.34","342,084,951.97","342,803,446.68","580,815,033.21","3,059,775,341.92","611,780,085.31","966,898,033.81","1,512,420,577.69","1,594,148,636.56","1,850,906,077.24","972,370,895.05","1,520,109,938.30","2,032,004,199.72","870,916,428.70","949,870,810.59","1,923,541,410.58"
短期借款,"30,000,000.00","49,600,000.00","104,000,000.00","88,511,305.00",,,,,,,,,,,,"90,000,000.00","560,766,802.40","500,000,000.00","300,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,"575,309.54","652,485.21","592,039.93","695,660.41","682,168.16","997,347.12","1,264,493.67","691,882.58","828,424.15","709,692.35","763,121.66","824,646.32","794,423.68","833,281.36","759,883.52","725,343.36","725,343.36"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,"100,000.00",,,,,"332,993.74",,,,,,,"5,000,000.00",,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"121,096,895.36","128,967,330.62","130,065,087.02","175,805,726.58","185,776,569.16","270,607,486.44","244,722,065.74","293,486,590.86","341,660,294.94","619,866,292.65","558,953,219.05","615,464,167.20","367,790,195.44","317,788,208.21","555,263,235.42","645,261,014.14","814,265,237.74","801,319,948.71","677,420,064.38","836,565,115.86","1,002,824,965.52","1,063,911,210.26","959,559,152.43","760,442,502.69","780,786,493.37","762,184,639.86","462,053,866.54","434,078,720.04","507,383,367.55","340,266,956.47"
应付账款,"32,784,613.90","8,998,311.91","13,957,498.45","22,045,081.45","28,690,924.32","41,585,211.81","36,617,493.84","39,646,555.57","46,410,007.42","101,849,854.49","125,575,930.29","364,106,990.75","161,892,175.04","78,770,037.45","279,847,026.34","405,448,606.44","385,143,796.91","431,896,216.94","339,921,250.93","365,449,661.44","477,248,059.43","656,749,670.99","614,121,042.51","990,775,730.55","480,058,383.95","593,484,910.71","599,594,086.32","473,281,030.82","365,988,439.10","273,503,039.62"
预付款项,"36,064,393.01","54,279,494.46","133,297,594.17","203,259,591.29","174,571,335.05","295,199,158.61","398,666,292.75","460,901,755.55","530,116,503.19","430,203,647.50","219,956,852.56","287,374,972.22","252,933,409.78","207,836,766.47","212,770,456.73","248,277,029.45","255,442,973.20","247,446,341.97","299,085,745.89","249,254,543.31","248,823,745.67","139,008,610.08","199,388,143.74","143,995,772.81","182,518,654.96","124,357,882.98","194,910,830.00","212,992,497.03","172,643,824.39","150,254,425.48"
预收款项,"1,256,067.75","6,135,734.81","1,343,667.04","5,611,059.76","3,189,054.05","348,885.00","10,569,885.00","1,468,287.40","5,778,198.92","354,000.00","107,000.00","9,730.00","784,800.00","534,000.00","651,060.00","1,412,991.30","9,559,491.03","20,170,629.62","20,426,681.60","6,950,889.73","29,770,854.57","11,928,372.02","29,375,586.32","31,479,496.48","43,805,361.21","17,857,722.64","14,427,232.01","16,058,626.35","48,794,855.50","128,544,865.80"
