科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"218,719,078.57","268,428,264.44","152,508,743.82","220,036,793.03","337,031,209.48","87,555,563.47","176,142,561.78","290,123,884.78","449,428,533.61","112,721,749.42","224,507,814.41","357,163,982.71","540,932,258.32","103,195,996.48","197,123,941.23","313,569,009.59","522,597,023.70","72,682,760.70","178,732,644.21","326,458,491.56","617,788,347.05","93,135,909.91","248,873,237.46","392,725,425.96","847,031,232.40","120,528,634.11","366,069,242.31","577,582,593.81","1,023,145,466.46","186,380,346.17","501,632,848.15","817,094,068.56","1,883,633,833.57","305,935,911.04","680,770,495.75","1,070,183,745.10","2,161,075,107.14","257,825,734.77","549,918,779.50","1,099,382,209.85","1,952,377,778.43","468,914,316.59"
二、营业利润,"34,386,070.79","36,578,429.87","20,678,364.25","30,377,529.08","48,724,226.73","8,507,979.73","20,773,988.59","32,923,187.20","67,088,622.23","17,663,392.26","28,389,194.17","47,535,790.29","86,450,103.43","3,642,858.59","4,998,093.59","20,923,558.45","32,681,407.47","5,583,557.82","6,653,790.47","27,716,281.66","73,595,052.52","4,523,495.69","3,635,051.04","12,749,751.49","102,915,440.57","-33,445,316.02","-24,090,422.96","-6,004,868.66","112,489,591.01","-8,511,422.83","13,713,783.33","39,660,753.40","305,877,577.12","18,377,264.60","40,839,656.95","83,328,348.99","234,659,155.42","21,921,777.02","-69,385,759.45","14,961,928.15","-1,491,367,872.01","34,352,553.69"
减:营业成本,"161,648,482.31","187,647,526.86","109,826,021.52","159,891,152.00","241,428,878.68","66,274,922.61","126,784,143.69","206,681,936.76","295,509,115.53","71,744,693.64","143,654,654.81","229,924,859.75","331,356,470.22","72,681,250.69","139,215,581.19","207,621,467.77","338,390,499.10","43,597,927.74","113,913,889.25","202,822,288.39","365,541,963.80","52,256,985.51","158,560,528.67","230,348,276.61","491,899,739.50","85,272,311.20","237,343,616.23","389,990,695.53","547,219,609.34","99,089,398.33","257,663,788.51","435,931,954.63","1,019,385,529.06","170,892,031.04","389,404,619.75","596,489,772.55","1,277,785,490.55","141,844,211.07","312,407,369.78","599,051,491.74","1,189,698,058.16","296,246,639.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,431,432.06","3,733,522.89","2,039,011.92","2,657,736.03","3,967,290.88","757,503.41","1,605,206.45","2,303,074.03","5,104,994.11","677,014.73","2,626,022.98","3,303,205.54","8,433,935.05","802,848.23","2,191,425.37","3,366,910.97","5,156,496.09","544,628.31","1,133,417.47","2,148,469.60","3,737,087.57","658,012.52","595,493.75","1,984,558.45","4,531,819.45","542,023.86","1,960,232.17","2,411,263.97","7,584,501.04","332,251.10","1,960,761.87","2,818,367.05","13,811,188.93","553,461.35","1,065,230.45","3,826,312.39","18,279,415.38","882,178.41","6,535,746.65","9,184,862.84","18,837,063.12","1,069,551.46"
营业外收入,,"1,750,972.02","129,860.38","498,387.88","4,331,213.19","892,286.73","2,196,681.96","3,459,106.23","6,761,740.39","396,769.27","3,511,874.48","3,512,424.48","10,979,892.41","655,386.08","1,200,109.28","6,032,490.02","19,799,043.59","2,085,023.25","4,465,599.36","9,695,807.93","14,034,703.41","3,680,561.86","7,261,670.82","10,019,306.47","15,015,825.84","14,242,511.76","18,583,356.38","24,765,209.13","41,938,478.49","20,890,667.60","26,398,436.39","38,931,950.08","59,528,745.58","10,550,064.46","407,990.91","3,194,151.69","856,988.82","326,048.09","883,080.43","1,087,574.24","737,791.85","207,439.98"
销售费用,"10,232,689.38","25,566,062.92","12,920,028.59","18,175,285.32","29,059,911.36","9,794,529.05","21,305,857.07","38,248,668.88","59,092,097.59","15,262,877.75","33,773,171.60","53,262,505.40","75,072,230.08","14,803,233.16","32,622,358.90","51,747,894.57","80,967,638.03","14,602,306.06","34,284,201.26","55,247,567.29","88,760,835.72","23,348,375.82","51,110,401.52","76,856,878.93","126,262,154.38","33,075,176.46","70,950,985.93","97,311,646.50","145,686,219.95","46,334,165.05","107,480,484.97","164,538,799.58","231,004,634.67","62,769,572.43","134,796,816.72","205,593,170.22","300,425,933.23","60,633,504.34","174,638,744.88","254,960,488.34","351,621,451.65","55,023,345.88"
减:营业外支出,,"974,470.19",,,,,,0.80,804.16,49.61,"103,737.49","103,737.49","937,440.34","156,597.26","272,219.35","680,719.80","700,609.99","13,031.95","152,014.35","793,715.03","997,458.69","16,731.61","30,070.21","275,783.20","327,310.82","1,051.77","372,740.53","618,501.69","2,789,754.18","284,875.02","1,558,534.84","1,785,373.92","3,335,811.35","49,195.72","327,796.98","697,068.54","1,005,423.45","23,054.14","118,768.37","2,779,831.99","18,029,999.24","92,376.18"
管理费用,"7,025,876.28","13,167,432.18","5,965,072.60","8,708,955.32","12,863,523.24","3,245,539.53","6,815,937.73","12,881,425.64","23,199,880.38","7,804,972.59","16,684,958.59","25,794,913.01","38,461,124.19","9,465,609.57","18,474,041.42","28,384,393.73","54,714,572.54","10,391,388.65","22,888,374.39","36,456,549.00","69,147,963.47","13,186,540.14","31,999,827.71","58,108,764.30","95,645,565.79","23,741,741.64","60,990,403.02","78,996,156.46","155,793,319.74","34,570,336.98","91,696,516.96","147,239,131.63","251,781,326.79","51,708,929.96","118,018,793.47","182,368,860.17","301,441,488.77","46,013,621.97","120,723,585.68","145,311,593.09","324,973,711.68","46,007,632.69"
其中:非流动资产处置净损失,,,,,,,,,,,,,"4,781.44",,,,"359,775.00",,"17,883.72",,"132,830.44",,"30,070.21","27,969.62","258,759.08","1,000.20","55,651.09","177,304.71","106,068.01","20,000.00","1,438,197.32","1,534,728.69","2,147,329.15","4,783.89","93,744.64","96,643.16",,,,,,
