科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"1,721,678,844.88","2,504,752,247.71","2,039,319,666.32","2,173,621,433.92","2,335,473,512.95","5,117,975,602.07","3,318,502,162.44","3,364,914,845.42","3,383,879,655.49","3,750,938,794.77","3,601,523,647.13","3,480,949,783.08","3,449,351,887.11","1,738,453,499.64","1,676,781,808.04","1,625,827,552.78"
短期借款,,"100,000,000.00",,,,,,,,,,"150,000,000.00","500,041,626.40","500,003,824.15","500,031,485.44","500,028,557.85"
交易性金融资产,,,,"520,484.00",,,"109,109.87","126,523.38","250,932.83","760,922.13","407,260.20","407,260.20",,"2,424,960.86","2,542,350,849.25","3,832,583,191.81"
交易性金融负债,,,,,,,,,,,"2,673,374.68","2,673,374.68","38,571,758.00","48,069,153.00","72,324,605.76",
应收票据,"538,229,109.61","272,771,492.64","250,929,120.40","283,173,429.10","501,925,083.36","191,011,241.39","463,104,583.33","820,658,660.65","901,026,390.99","594,118,115.72","780,785,858.52","643,721,131.63","717,640,331.18","631,549,134.29","526,898,549.50",
应付票据,"556,380,517.39","771,869,979.39","881,038,652.53","789,084,705.18","621,407,349.02","644,370,812.65","685,151,098.63","699,009,648.14","772,869,348.01","788,821,770.32","887,598,278.21","846,010,367.69","841,252,062.93",,"911,565,389.49",
应收账款,"483,439,484.60","421,386,195.71","456,220,647.53","600,874,739.26","586,166,118.91","635,943,553.32","584,345,085.72","734,838,139.59","845,170,420.14","859,551,068.57","826,785,889.99","991,525,086.52","871,621,878.59","907,851,956.03","839,667,084.62","958,590,859.49"
应付账款,"1,794,406,608.76","1,757,593,932.65","1,640,593,273.10","1,944,875,992.83","2,358,816,673.50","2,355,433,120.60","2,130,908,523.26","1,899,475,055.69","2,407,400,504.93","2,518,994,423.90","2,637,474,500.97","2,483,178,397.43","2,661,722,075.35",,"2,290,542,738.16",
预付款项,"163,051,965.48","65,288,295.46","3,616,703.71","11,284,871.50","10,256,320.37","30,487,992.60","4,902,648.29","59,152,323.41","9,249,311.94","26,583,857.50","6,740,767.85","38,007,416.52","20,900,272.64","31,474,163.40","3,136,093.05","10,624,759.67"
预收款项,"203,669,154.10","220,563,612.65","178,501,760.40","125,507,931.24","102,062,678.13","111,392,932.63","96,457,535.27","101,271,796.84","77,407,345.47","71,771,666.86","72,604,159.22","102,469,915.33","69,020,819.95","80,073,461.45","76,776,583.14","83,626,017.40"
其他应收款,"6,325,569.99","2,842,046.25","13,283,738.30","22,202,169.81","17,925,903.07","21,339,214.13","10,641,963.97","14,117,973.79","17,520,314.18","20,832,224.11","11,819,975.43","19,129,106.54","12,882,717.86","32,845,060.74","15,699,699.54","12,853,010.01"
应付职工薪酬,"15,669,970.07","11,980,613.56","12,230,350.71","18,688,732.91","17,168,830.96","15,605,947.01","12,397,055.00","15,812,789.54","19,171,276.74","23,213,543.41","22,700,247.63","22,008,457.45","23,724,300.29","23,656,612.15","20,655,809.33","22,197,703.21"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"73,698,138.50","37,351,196.11","24,499,724.22","35,812,137.72","37,770,904.19","28,985,066.80","75,215,551.66","52,986,537.87","40,570,988.06","33,129,049.97","235,419,108.37","262,790,364.86","59,888,216.22","69,085,099.40","54,802,538.23","46,101,297.73"
应收利息,,,,"943,855.00","4,714,614.99","7,535,777.94","17,643,804.45","21,442,043.12","22,905,803.08","22,519,997.95","22,172,053.94","16,533,717.90","29,361,893.71","17,360,491.51","6,272,544.16","2,640,837.96"
应付利息,"32,943,550.00","35,736,130.76","7,076,490.31","9,195,907.97","7,310,399.48","9,935,235.51","5,196,051.87","8,070,714.29","3,577,023.29","3,010,440.75","3,580,878.62","2,812,889.50","3,655,725.42","3,747,446.93","3,712,099.72","3,496,149.90"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"320,000,000.00",,,,"216,000,000.00",,,
存货,"1,103,698,030.32","1,313,236,003.52","1,105,409,005.70","806,639,230.08","707,031,995.76","857,512,569.93","1,138,080,541.44","1,147,370,313.58","1,381,409,468.27","1,342,141,822.44","1,536,958,685.60","1,492,312,798.50","1,410,551,038.06","1,379,430,120.92","1,343,590,796.60","1,174,548,834.30"
其他应付款,"172,775,032.92","200,574,341.80","158,355,608.20","156,583,190.52","154,135,945.23","155,829,901.69","104,464,339.03","84,027,788.54","98,039,625.59","108,377,889.06","122,809,446.40","113,478,358.75","116,253,146.99","141,826,422.81","132,040,556.94","156,130,665.37"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
