科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"183,884,306,807.00","227,205,493,638.00","260,881,048,918.00","118,225,657,876.00","264,920,123,433.00","55,703,152,599.21","117,707,807,588.00","210,390,505,959.41","286,800,569,898.00","69,498,625,283.00","124,731,936,737.00","212,339,814,765.00","302,198,801,397.00","73,818,053,936.12","138,591,228,756.00","262,709,875,122.86","346,863,641,935.00","86,298,748,264.67","169,947,218,294.00","284,256,119,536.00","373,995,681,161.00","94,249,982,463.99","169,809,064,102.00","307,659,902,725.00","399,254,996,397.00","95,083,182,178.00","199,945,753,448.00","334,493,936,529.00"
取得子公司及其他营业单位支付的现金净额,"68,402,032.00",,"678,071,534.00",,"23,507,000.00",,,,"15,941,500.00","200,000.00","924,419,324.00","924,419,324.00","924,419,324.00",,"5,719,877,428.00","5,719,877,428.00","7,890,608,259.00","169,115,100.00","4,201,587,339.00","3,735,149,947.00","4,817,856,150.00","10,038,827.75","77,306,465.00","77,306,465.00","77,306,465.00","16,948,705.00","434,665,434.00","835,327,104.00"
收到的税费返还,"2,042,586,534.00","2,846,232,009.00","755,162,428.00","543,455,472.00","1,038,358,598.00","325,647,339.30","593,799,106.00","937,405,561.04","765,544,310.00","108,902,916.00","271,821,365.00","636,849,102.00","660,849,941.00","154,776,145.33","240,336,515.00","742,682,078.45","774,995,027.00","539,110,688.61","449,315,283.00","1,391,267,724.00","1,103,021,190.00","525,407,025.01","153,719,672.00","1,305,711,607.00","1,480,994,329.00","488,379,599.00","1,021,011,738.00","1,524,207,262.00"
支付其他与投资活动有关的现金,,,,,,"62,446,191.01",,,,,,,,,,,"959,795,924.00",,,,"1,539,156,740.00","424,243,896.03","2,752,244,461.00","2,887,395,542.00","3,636,697,247.00","736,089,353.00","5,118,610,456.00","6,973,172,024.00"
收到其他与经营活动有关的现金,"1,000,786,271.00","907,248,143.00","1,948,764,066.00","747,052,839.00","1,463,697,207.00","185,233,706.12","662,514,558.00","722,594,626.40","1,843,119,916.00","280,943,316.00","2,237,312,518.00","1,146,655,751.00","2,285,011,271.00","571,252,817.75","2,852,955,517.00","3,229,764,396.87","2,273,617,548.00","521,235,600.24","10,301,199,181.00","6,474,817,264.00","12,474,564,849.00","606,374,265.39","5,558,155,744.00","6,085,949,600.00","11,294,076,796.00","753,112,810.00","3,734,198,441.00","5,269,781,010.00"
投资活动现金流出小计,"19,764,431,014.00","19,340,946,841.00","17,686,841,473.00","7,485,750,664.00","17,172,093,206.00","5,324,745,926.82","12,540,355,291.00","16,519,569,505.92","28,378,676,415.00","13,181,507,505.00","20,794,408,294.00","33,732,870,690.00","38,140,530,046.00","15,266,522,095.10","32,072,708,942.00","46,250,999,274.25","60,474,376,521.00","12,297,382,523.69","29,721,959,263.00","46,024,518,343.00","62,722,158,775.00","10,501,116,385.12","26,089,248,962.00","44,629,125,109.00","48,085,515,793.00","11,953,377,492.00","26,572,736,387.00","39,417,933,470.00"
经营活动现金流入小计,"186,927,679,612.00","230,958,973,790.00","263,584,975,412.00","119,516,166,187.00","267,422,179,238.00","56,214,033,644.63","118,964,121,252.00","212,050,506,146.85","289,409,234,124.00","69,888,471,515.00","127,241,070,620.00","214,123,319,617.00","305,144,662,609.00","74,544,082,899.20","141,684,520,788.00","266,682,321,598.18","349,912,254,510.00","87,359,094,553.52","180,697,732,758.00","292,122,204,524.00","387,573,267,200.00","95,381,763,754.39","175,520,939,518.00","315,051,563,932.00","412,030,067,522.00","96,324,674,587.00","204,700,963,627.00","341,287,924,801.00"
投资活动产生的现金流量净额,"-16,741,867,537.00","-16,955,345,099.00","-15,366,229,401.00","-6,468,243,425.00","-14,378,862,019.00","-4,941,586,561.00","-10,581,594,800.00","-11,557,604,174.38","-19,502,964,455.00","-12,454,250,147.00","-17,867,966,753.00","-28,944,649,519.00","-28,081,357,046.00","-12,981,217,285.27","-25,997,699,271.00","-38,020,154,919.34","-45,504,554,219.00","-7,021,616,307.76","-20,143,906,349.00","-31,363,143,665.00","-45,471,575,208.00","-9,756,832,657.92","-23,960,505,821.00","-39,831,295,629.00","-38,707,818,474.00","-10,831,876,656.00","-20,166,548,589.00","-32,398,084,313.00"
购买商品、接受劳务支付的现金,"160,535,553,893.00","182,990,138,376.00","210,371,027,458.00","106,511,555,514.00","221,467,786,113.00","49,959,293,488.34","99,574,853,730.00","186,328,849,342.51","227,689,564,589.00","62,734,847,820.00","114,192,419,234.00","189,420,548,614.00","249,768,154,305.00","68,125,286,161.29","133,476,379,692.00","253,047,600,159.82","280,462,976,515.00","91,662,430,887.00","159,158,293,960.00","237,980,773,627.00","290,897,096,315.00","95,090,444,766.34","157,155,089,852.00","282,582,063,478.00","310,204,934,301.00","94,979,226,735.00","171,353,052,251.00","289,046,507,318.00"
吸收投资收到的现金,"153,516,433.00","60,186,056.00","111,719,114.00","13,074,860.00","166,254,235.00","4,866,607,213.21","4,872,034,779.00","4,872,034,779.00","5,025,999,353.00",,"35,301,240.00","321,833,178.00","477,724,548.00","188,630,376.05","492,376,800.00","492,376,800.00","4,308,351,013.00","54,000,000.00","8,438,888,837.00","20,299,991,063.00","5,212,270,501.00","790,286,331.24","1,706,327,495.00","4,084,325,934.00","4,074,946,105.00","972,939,572.00","1,252,482,210.00","2,070,998,078.00"
