科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"38,494,078.95","105,477,074.50","177,812,106.56","199,086,585.32","818,103,435.75","766,507,989.40","763,586,597.31","688,821,407.93","707,228,233.48","681,906,975.20","678,513,255.16","661,665,733.16","642,420,776.15","675,975,980.56","669,305,070.63","537,847,086.67","556,562,023.36","569,208,184.15","564,856,720.86","429,815,446.25","408,025,313.87","342,969,952.54","400,944,348.21","390,192,169.89","324,836,434.09","283,188,039.59","330,768,613.75","232,267,393.24"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"4,682,753.18","6,062,636.23","9,956,442.85","14,124,610.60","22,102,612.74","19,009,315.79","4,776,878.47","10,071,607.85","12,858,611.27","7,388,865.33","2,738,728.30","8,305,286.94","9,756,346.66","10,438,512.68","5,028,295.75","13,234,762.42","13,725,314.11","19,772,640.60","7,289,434.88","14,751,432.03","21,225,785.91","22,741,584.24","5,313,670.10","24,676,371.78","35,561,252.81","43,621,708.47","26,695,094.68","31,827,268.21"
应付账款,"5,214,359.97","7,557,107.55","2,992,393.84","4,829,872.67","2,890,013.45","6,312,995.75","5,534,479.32","1,891,740.47","1,700,278.44","2,158,084.58","3,819,236.85","7,714,791.33","3,360,507.28","7,101,551.39","11,721,488.34","8,131,496.02","2,757,615.68","1,911,518.09","2,647,697.33","5,167,650.49","2,241,648.07","3,343,445.51","3,065,412.09","5,261,119.00","6,056,017.73","8,413,874.80","3,565,907.84","5,014,126.82"
预付款项,"365,515.90","282,183.32","143,433.47","1,402,934.31","54,583.31","72,177.48","31,094.99","763,737.50","400,130.00","77,039.50","489,557.91","1,184,083.40","609,660.67","491,016.60","1,524,410.00","257,030.00","939,521.00","1,414,913.77","642,918.56","229,676.00","188,720.00","420,425.00","892,786.64","1,227,808.55","446,479.00","1,577,394.60","720,511.50","1,989,903.00"
预收款项,"3,765,514.41","3,190,371.44","5,244,689.48","4,345,374.08","2,225,512.81","5,189,830.18","1,938,773.20","1,878,591.70","2,609,981.70","1,738,170.00","1,674,694.90","1,271,602.90","1,845,374.40","369,693.00","2,076,422.00","1,053,970.00","514,631.00","677,999.00","1,760,589.00","1,561,301.00","3,141,631.00","1,213,481.00","1,821,190.00",,"101,882.87","112,189.02","2,312,491.31","181,090.00"
其他应收款,"695,211.48","431,544.44","1,447,990.53","3,349,130.41","894,987.59","802,342.36","857,645.99","877,147.95","809,665.49","747,705.83","572,623.46","722,896.61","958,888.20","1,044,682.85","1,212,324.16","922,356.47","979,770.40","871,012.76","836,657.82","863,941.85","942,799.57","1,126,993.81","1,119,031.88","1,139,114.24","1,118,516.45","1,078,989.88","1,060,305.10","1,126,924.86"
应付职工薪酬,"873,668.06","1,141,506.57","4,147,453.92","1,674,106.69","1,980,317.34","1,935,561.27","8,412,119.11","1,964,947.75","1,995,156.37","2,235,852.28","9,294,043.46","2,552,943.10","2,004,699.52","2,024,246.42","12,471,591.01","2,859,310.23","2,859,310.23","2,855,810.23","12,213,666.00","3,333,347.23","3,566,455.63","3,718,151.38","14,717,517.84","4,331,336.25","4,288,839.51","4,317,347.64","17,870,888.32","4,472,042.31"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"498,876.80","4,044,347.31","6,584,919.13","9,311,838.23","12,122,498.49","6,177,065.52","7,185,097.09","3,661,997.43","4,523,106.26","5,786,339.60","5,433,664.35","1,030,931.38","1,149,637.47","2,593,022.72","5,260,635.74","1,111,083.21","7,223,174.88","3,305,022.14","4,215,990.92","2,042,640.13","5,181,449.33","7,483,392.49","4,688,577.45","3,287,447.67","4,038,415.80","3,143,715.72","6,010,776.35","5,269,866.71"
应收利息,,,,,"2,158,601.98","4,312,506.13","9,208,544.55","13,763,709.98","18,720,149.27","13,068,740.25","17,405,227.07","18,193,311.06","23,236,755.67","6,171,505.27","9,520,249.36","6,295,397.39","9,618,548.34","59,460.80",,"915,743.06","2,492,572.56","659,531.54",,"1,577,156.94","1,517,205.56","1,287,408.22",,"610,179.00"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"24,077,403.00",,,"56,000,000.00","8,131,516.20",,,"170,110.80",,,,,,"16,800,000.00",,,,"14,400,000.00",,233.15,,,
存货,"15,160,844.78","33,709,390.02","35,958,162.14","35,895,667.97","38,468,002.63","43,673,260.00","38,532,607.87","37,904,101.00","34,836,787.36","38,385,043.76","34,785,672.46","43,520,888.37","45,580,495.99","45,211,868.96","37,731,575.19","39,940,968.56","45,841,339.79","38,575,166.47","38,115,295.39","49,106,352.09","45,178,141.15","46,583,251.44","40,327,597.88","43,180,877.18","49,267,509.75","55,011,789.75","47,702,307.38","47,475,110.46"
其他应付款,"411,079.88","33,750.00","102,800.00","33,790.00","5,811,048.32","3,062,360.00","2,403,141.89","2,142,344.99","4,798,313.80","5,113,862.00","5,120,782.68","4,176,708.44","6,140,075.33","5,616,999.00","3,557,475.00","880,020.82","3,223,183.41","3,626,236.44","3,762,012.57","1,080,349.75","739,956.22","749,033.75","2,281,716.53","929,982.95","1,730,449.37","1,429,758.41","2,380,632.25","1,784,139.63"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,"242,984.57",,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,"53,224,914.79",,,,,,,,,,,,,,"5,287,790.49","101,975,996.90","75,656,400.17","50,000,000.00","3,574,247.64","100,000,000.00","103,166,414.69","168,967,237.91","133,419,118.18","100,000,000.00","142,749,867.15","180,000,000.00","164,719,682.05","249,195,629.07"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"112,866,303.65","145,962,828.51","225,318,135.55","253,858,928.61","881,782,224.00","834,377,591.16","816,993,369.18","752,201,712.21","774,853,576.87","741,574,369.87","734,505,064.36","733,592,199.54","722,562,923.34","739,333,566.92","729,609,715.58","700,473,598.41","703,322,917.17","679,901,378.55","615,315,275.15","595,682,591.28","581,219,747.75","583,468,976.48","582,016,552.89","561,993,498.58","555,497,264.81","565,765,330.51","571,666,514.46","564,492,407.84"
流动负债合计,"10,763,499.12","15,967,082.87","19,072,256.37","20,194,981.67","25,029,390.41","46,755,215.72","25,473,610.61","11,539,622.34","71,626,836.57","25,163,824.66","25,342,422.24","16,746,977.15","14,670,404.80","17,705,512.53","35,087,612.09","14,035,880.28","16,577,915.20","12,376,585.90","41,399,955.82","13,185,288.60","14,871,140.25","16,507,504.13","40,974,413.91","13,809,885.87","16,215,838.43","17,416,885.59","32,140,696.07","16,721,265.47"
