科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"83,436,362.22","108,683,239.29","59,643,036.83","130,085,199.87","34,544,098.20","76,102,771.01","120,504,648.77","163,311,320.17","45,443,131.38","95,571,797.48","143,687,350.89","190,734,549.07","54,317,855.68","117,540,321.16","166,026,644.41","212,847,087.62","52,445,244.10","111,804,363.03","160,504,003.96","209,389,954.32","60,289,099.73","125,486,565.72","194,491,265.71","253,343,476.59","62,519,315.86","126,806,464.84","204,192,371.71","290,639,760.98","92,348,591.63","202,492,290.03","294,304,770.02","400,618,888.54","105,999,434.10","231,015,866.97","348,277,028.02"
二、营业利润,"9,204,673.13","13,898,709.92","10,406,461.84","20,571,975.42","6,812,070.23","14,153,831.73","17,899,948.70","23,427,414.21","5,671,240.06","14,201,364.02","21,542,848.62","26,540,763.38","4,666,407.35","11,536,638.88","16,578,006.46","20,834,097.26","5,337,329.08","12,925,349.16","18,783,855.17","22,219,431.08","6,140,345.67","15,907,414.80","26,589,259.68","34,892,736.33","15,106,405.43","29,928,070.35","45,840,411.42","66,072,423.61","23,382,614.80","49,374,851.68","74,815,492.82","92,500,944.43","27,976,609.69","58,575,114.52","85,564,523.26"
减:营业成本,"62,815,364.68","78,003,324.80","42,485,391.09","91,187,913.95","21,993,150.44","49,331,437.14","82,963,458.27","112,819,709.34","33,815,610.73","69,224,327.57","103,571,876.30","140,337,844.40","43,814,374.16","92,543,544.92","130,726,949.50","165,828,983.87","40,009,659.93","82,901,791.15","116,236,932.80","151,852,675.84","46,265,047.81","92,183,220.82","139,191,822.68","176,507,236.96","37,182,038.17","75,584,345.08","121,641,735.38","167,719,107.25","51,691,770.77","112,252,400.32","160,740,740.20","221,485,437.51","55,988,977.29","118,777,012.47","180,693,326.93"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"481,937.28","422,690.20","415,279.00","749,754.81","206,284.03","464,526.87","618,686.08","781,724.34","211,820.40","353,544.65","434,724.69","583,001.35","101,629.50","350,041.98","363,493.88","424,246.58","18,591.77","333,986.83","665,804.47","847,077.23","140,189.31","612,039.57","1,129,852.64","1,487,086.32","226,693.20","814,928.34","1,416,996.94","2,343,928.81","891,882.45","1,800,423.34","2,520,204.23","5,444,470.20","1,289,898.55","2,906,594.74","4,341,341.67"
营业外收入,"107,000.00",605.88,"99,703.89","426,447.67","52,174.00","137,348.00","3,133,270.00","3,210,217.90","515,174.00","2,232,035.92","2,294,309.92","2,439,483.92","1,806,174.00","1,851,796.74","1,972,170.74","2,099,444.74","232,174.00","197,348.00","419,860.86","1,175,059.40","30,590.00","56,180.00","163,145.00","323,112.02","129,541.01","212,705.21","605,229.40","1,222,513.32","436,494.85","700,658.41","897,748.37","2,937,176.07","410,679.85","1,674,547.39","3,127,868.23"
销售费用,"3,245,487.94","4,623,107.62","1,800,379.18","4,874,819.79","1,533,486.64","3,537,317.25","5,550,129.74","8,016,003.98","1,752,800.42","4,254,678.75","6,548,020.79","8,890,790.00","1,821,665.74","4,228,661.55","6,765,334.24","9,970,141.75","2,290,278.82","5,367,657.56","9,245,700.79","12,446,239.26","2,568,673.54","5,802,001.49","9,872,516.98","12,901,412.42","2,873,190.42","5,828,014.84","11,083,457.04","16,308,516.96","4,796,282.70","10,755,054.07","17,334,881.30","25,118,068.22","6,898,016.84","15,424,648.88","23,630,273.61"
减:营业外支出,"162,740.42","108,308.41","27,212.43","58,148.43",240.00,"13,539.68","18,539.68","35,144.40","2,000.00","22,042.58","32,282.58","85,115.84",3.28,"36,764.51","41,764.51","50,106.84","1,700.00","21,700.00","49,370.46","49,370.46",500.00,"20,500.00","20,500.00","119,000.00",300.00,"7,701.68","258,286.61","258,531.92",7.78,7.78,"272,794.00","893,001.09",271.75,"360,557.40","601,521.95"
管理费用,"5,375,615.28","7,150,830.96","4,042,105.59","12,029,891.19","2,985,857.04","6,643,162.01","11,554,861.42","15,534,385.73","3,294,905.31","8,205,917.60","13,202,192.92","17,277,015.83","3,721,244.48","8,077,997.44","12,216,939.61","16,922,203.35","3,549,408.78","8,279,162.03","14,404,357.99","20,115,736.52","4,682,306.46","10,559,413.00","16,732,395.81","26,317,737.98","6,773,252.65","13,904,492.02","24,083,159.83","38,491,813.80","8,848,894.47","22,638,125.21","32,924,245.95","51,595,696.09","12,985,942.74","30,050,235.57","45,984,349.07"
其中:非流动资产处置净损失,,,,"16,966.70",,,,,,,,,,,,"16,426.23",,,,,,,,,,,,,,,,"569,899.82",,"262,928.02","265,034.57"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,174,951.24","3,109,276.30","878,941.23","1,628,516.59","700,433.10","1,659,679.29","1,826,572.10","1,946,905.22","7,364.00","-138,111.23","-1,308,688.20","-2,468,208.87","-306,965.44","-923,322.69","-1,142,384.56","-930,975.10","443,760.81","892,467.08","1,019,467.13","1,324,539.88","-7,372.65","16,227.98","281,259.44","389,491.87","-50,776.36","-89,286.52","-1,093,530.96","-1,268,800.18","804,083.31","3,533,692.42","4,235,065.19","-3,421,151.16","314,044.83","416,140.91","1,389,271.75"
