科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"87,209,694.47","206,962,836.03","207,951,698.73","93,288,783.65","114,221,444.24","150,227,817.04","29,395,116.48","70,588,269.20","105,020,019.63","155,493,883.73","48,453,143.83","90,537,813.05","174,762,059.88","256,431,620.12","40,466,949.74","128,741,754.10","162,920,771.61","199,154,540.84","26,787,654.40","39,392,205.07","137,722,574.24","134,197,137.67","72,321,378.68","135,529,242.00","214,533,702.76"
取得子公司及其他营业单位支付的现金净额,,,,,,"16,672,666.16",,,,,,,,,,"20,847,852.84","20,847,852.84","20,847,852.84",,,,,,,
收到的税费返还,"2,258,046.57","1,905,829.96","1,612,376.89",,,,,,,,,,,,,,"243,603.73","1,339,350.89","641,250.56","1,573,223.36","3,284,170.23",,"-195,488.00","-195,488.00","261,883.27"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"5,171,769.61",,,,,,,,,"114,900,000.00","2,210,914.97","246,214.93","38,777,296.05"
收到其他与经营活动有关的现金,"2,757,543.25","12,711,517.46","8,498,949.61","7,040,391.24","9,726,328.84","18,262,777.88","15,044,200.26","12,189,035.03","13,694,577.97","10,828,011.03","3,157,785.51","5,715,802.98","13,296,013.28","20,370,773.93","10,178,588.12","6,043,132.08","11,561,805.32","20,349,172.04","19,701,190.76","32,283,048.32","59,627,238.28","12,490,997.34","11,710,127.63","52,104,547.57","62,981,994.63"
投资活动现金流出小计,"23,649,729.19","38,307,021.45","16,337,312.13","27,235,568.34","24,570,720.94","46,307,212.06","5,288,552.25","11,708,057.65","32,936,163.62","71,732,858.45","5,465,535.99","8,618,068.44","32,061,158.54","80,546,634.06","25,174,750.27","57,271,939.63","59,263,443.68","47,898,609.46","20,118,370.31","41,427,275.47","56,310,609.65","149,587,276.85","13,496,360.31","30,271,454.78","153,017,820.83"
经营活动现金流入小计,"92,225,284.29","221,580,183.45","218,063,025.23","100,329,174.89","123,947,773.08","168,490,594.92","44,439,316.74","82,777,304.23","118,714,597.60","166,321,894.76","51,610,929.34","96,253,616.03","188,058,073.16","276,802,394.05","50,645,537.86","134,784,886.18","174,726,180.66","220,843,063.77","47,130,095.72","73,248,476.75","200,633,982.75","146,688,135.01","83,836,018.31","187,438,301.57","277,777,580.66"
投资活动产生的现金流量净额,"-22,440,665.95","-38,191,482.97","-16,275,166.59","-27,235,568.34","-24,527,920.94","-46,262,218.04","-5,288,552.25","-11,708,057.65","-32,936,163.62","-71,729,083.24","-5,465,135.99","-8,617,668.44","-32,028,758.54","-75,440,510.36","-25,174,750.27","-35,321,634.63","-37,272,838.68","-26,163,371.72","-20,020,161.95","-39,506,273.63","-50,678,052.46","-133,513,186.40","-1,208,422.18","-3,950,664.09","-76,709,471.90"
购买商品、接受劳务支付的现金,"81,768,743.25","161,272,766.06","125,312,068.01","78,173,220.14","90,112,277.65","149,437,432.63","15,918,885.15","52,493,857.18","81,976,430.59","89,384,076.29","23,310,096.45","56,087,910.94","65,837,204.02","110,316,607.09","13,719,381.22","39,151,091.42","84,218,378.28","143,029,880.23","73,025,995.09","114,726,156.57","169,001,585.74","122,281,717.22","43,973,463.78","151,029,068.28","205,787,259.07"
吸收投资收到的现金,"22,930,000.00",,,,"382,800,000.00","395,011,652.00",,,,,,,,,,"585,000.00","585,000.00","161,585,000.00",,,"9,000,000.00","9,000,000.00",,,
支付给职工以及为职工支付的现金,"8,004,632.37","14,921,422.04","15,658,555.04","9,564,674.92","14,422,130.01","21,074,426.65","6,793,330.50","13,065,299.07","20,114,859.85","30,907,799.62","7,467,113.75","14,810,958.17","21,952,350.60","33,121,539.15","6,840,285.03","16,138,476.36","26,657,383.49","37,962,089.69","10,631,396.03","19,443,810.82","30,086,350.50","41,281,724.71","10,689,424.82","18,969,042.20","32,287,978.66"
取得借款收到的现金,"65,540,000.00","70,665,600.00","148,940,999.00","110,342,400.00","180,342,400.00","235,342,400.00","80,000,000.00","130,000,000.00","225,000,000.00","245,000,000.00","100,000,000.00","130,000,000.00","200,000,000.00","200,000,000.00","30,000,000.00","140,000,000.00","150,000,000.00","160,000,000.00","10,000,000.00","160,000,000.00","210,000,000.00","262,606,116.00","20,000,000.00","144,000,000.00","223,500,000.00"
支付的各项税费,"11,756,520.12","23,766,148.42","19,342,660.01","28,125,177.25","35,066,830.43","39,224,417.67","5,690,498.72","19,644,156.18","22,491,582.72","25,015,079.66","3,307,470.02","6,139,198.92","10,881,315.85","14,102,366.64","4,870,129.42","8,996,444.71","14,414,975.15","17,157,627.69","7,822,272.42","17,002,798.26","21,651,025.48","22,636,388.37","5,770,256.14","8,121,475.13","10,614,587.37"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"6,000,000.00",,,,,,,,,,,
