科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"6,532,425,289.17","8,646,634,111.09","14,370,190,490.39","9,215,712,256.89","20,220,930,685.56","5,996,929,320.13","12,644,450,264.24","16,266,114,974.24","26,177,129,088.96","5,222,105,260.05","13,568,446,681.24","22,844,864,062.79","35,535,974,753.80","7,973,713,799.73","20,085,766,881.24","29,996,223,462.23","45,854,208,629.77","6,830,924,177.04","19,772,213,855.60","28,210,018,185.46","44,349,099,656.49","6,468,845,461.04","18,477,868,557.25","26,874,194,163.65","38,367,561,649.58","7,092,369,211.48","19,539,144,727.71","31,656,165,613.69","53,838,251,748.52","10,700,410,702.82","28,785,905,124.32","40,516,672,558.10","68,649,893,234.45","11,734,285,570.95","36,874,565,568.62"
取得子公司及其他营业单位支付的现金净额,"481,382,000.00",,,"1,585,226,424.87","4,301,825,956.28",,"547,652,569.34","567,652,569.34","424,681,770.70",,,,,,,,"-7,590,520.08",,,,,,"196,534,880.00","196,534,880.00","196,534,880.00",,,,"1,854,242,780.73",,"210,840,422.98","210,840,422.98","210,840,422.98",,"3,636,170,422.00"
收到的税费返还,"91,793,166.06","135,442,111.99","212,475,030.28","168,861,557.91","479,594,166.98","6,205,353.01","70,571,260.58","178,666,215.59","370,965,684.17","19,363,977.91","54,777,747.08","179,010,710.69","291,914,460.62","48,018,695.56","130,371,756.05","296,412,585.79","443,874,166.56","53,500,189.10","97,603,081.81","289,004,009.99","419,241,171.47","67,444,249.71","87,845,469.63","229,496,184.48","295,277,568.10","59,365,144.24","72,296,804.15","176,666,683.41","341,959,514.86","74,220,622.29","105,897,637.27","347,383,187.17","549,750,971.46","48,668,985.65","147,785,613.56"
支付其他与投资活动有关的现金,"144,418,000.00","22,456,000.00",,,,,,,,,,,,,,,,,,,"472,850,000.00",,"24,500,000.00","24,500,000.00","49,000,000.00",,"970,000,000.00","1,656,280,000.00","1,361,280,000.00",,"2,861,135,077.01","2,923,067,610.74","8,188,441,146.73","1,514,238,837.24","7,785,629,400.00"
收到其他与经营活动有关的现金,"444,267,160.73","390,174,027.51","930,097,861.94","764,532,932.62","1,773,564,282.55","874,689,807.37","1,017,639,597.75","1,592,508,758.41","650,881,064.42","1,026,651,555.93","652,307,018.99","1,040,857,614.25","542,542,656.14","994,906,713.90","317,223,009.92","414,717,602.11","1,203,301,244.50","359,195,979.78","927,476,599.18","415,740,382.49","1,218,499,576.11","593,431,637.70","970,484,210.35","1,091,048,688.04","1,306,528,789.01","165,546,007.47","451,648,385.56","608,915,030.62","1,197,721,752.62","2,504,648,020.40","1,251,840,148.49","2,495,913,348.41","3,790,067,447.96","1,101,024,504.65","1,094,399,293.41"
投资活动现金流出小计,"1,249,728,233.39","2,707,393,592.38","2,796,532,910.57","4,237,345,592.21","9,966,174,958.43","494,008,607.59","1,596,651,714.36","2,590,827,296.18","3,027,788,929.76","853,178,956.16","1,769,445,913.25","2,245,323,040.32","3,553,385,440.81","437,898,111.77","1,350,084,146.84","1,548,105,762.49","3,930,107,924.07","293,121,500.74","740,786,673.47","882,763,177.26","2,218,805,268.33","637,951,205.56","1,177,774,871.04","1,350,748,933.92","2,077,735,992.19","220,824,983.57","4,751,506,400.56","6,242,385,630.86","6,556,204,206.15","341,026,924.76","4,475,416,702.32","4,636,921,910.35","10,543,767,808.86","2,059,050,833.20","13,933,985,845.85"
经营活动现金流入小计,"7,068,485,615.96","9,172,250,250.59","15,512,763,382.61","10,149,106,747.42","22,474,089,135.09","6,877,824,480.51","13,732,661,122.57","18,037,289,948.24","27,198,975,837.55","6,268,120,793.89","14,275,531,447.31","24,064,732,387.73","36,370,431,870.56","9,016,639,209.19","20,533,361,647.21","30,707,353,650.13","47,501,384,040.83","7,243,620,345.92","20,797,293,536.59","28,914,762,577.94","45,986,840,404.07","7,129,721,348.45","19,536,198,237.23","28,194,739,036.17","39,969,368,006.69","7,317,280,363.19","20,063,089,917.42","32,441,747,327.72","55,377,933,016.00","13,279,279,345.51","30,995,955,633.60","43,359,969,093.68","72,989,711,653.87","12,883,979,061.25","38,116,750,475.59"
投资活动产生的现金流量净额,"-56,896,233.39","-2,667,895,120.31","-1,610,390,921.51","-4,108,209,122.85","-9,045,354,957.17","-466,936,654.83","-1,452,064,440.57","-2,433,714,819.23","-2,417,699,146.87","-840,729,975.00","-1,656,153,261.39","-2,118,740,525.00","-3,393,883,423.27","-431,271,369.12","-1,295,316,840.01","-1,401,040,080.26","-3,718,281,130.29","-277,583,447.76","-641,126,884.15","-737,983,177.19","-1,616,895,392.08","-619,500,430.35","-1,067,147,314.63","-1,220,509,674.38","-1,407,010,062.84","-211,432,448.57","-4,736,782,363.90","-6,087,633,158.87","-4,025,001,827.47","635,901,265.24","-2,313,632,414.32","-1,554,214,112.22","-699,588,998.89","-1,595,750,187.03","-6,738,315,004.26"
购买商品、接受劳务支付的现金,"6,620,309,849.39","6,337,812,473.57","11,756,426,218.81","12,263,907,544.35","17,272,326,797.44","3,909,329,887.85","11,555,840,908.49","13,433,302,637.81","20,168,091,136.95","4,219,042,124.28","9,907,553,108.43","16,575,308,700.23","24,788,965,427.11","7,438,611,098.36","15,794,259,618.64","23,329,699,565.02","38,604,295,558.22","8,891,066,523.11","20,636,168,872.23","26,452,956,762.29","42,281,039,984.68","6,371,653,519.16","13,902,208,086.60","18,649,002,877.21","30,967,843,623.90","4,990,508,960.42","15,741,110,900.86","20,552,233,646.19","39,634,068,992.60","16,701,046,696.96","34,448,415,925.36","44,819,219,315.88","68,459,366,904.42","7,573,937,556.97","26,869,069,166.58"
吸收投资收到的现金,"281,012,000.00","2,607,723,503.48","5,828,037,138.01","560,000.00","11,950,500.00",,"15,601,447.01","15,601,447.01","26,750,000.00",,"19,650,000.00","59,850,000.00","409,550,000.00","847,251,560.00","872,822,100.04","880,022,100.00","2,380,750,037.03","2,779,239,989.92","2,808,409,989.92","2,814,409,989.92","4,021,909,989.92","19,000,000.00","21,000,000.00","93,000,000.00","4,696,177,399.84","17,500,000.00","12,000,000.00","12,000,000.00","39,225,000.00","1,450,000.00","98,675,000.00","133,900,000.00","104,125,000.00",,"900,853,542.47"
支付给职工以及为职工支付的现金,"556,216,654.16","747,279,305.09","896,730,814.25","527,620,691.69","1,531,828,090.00","538,038,002.43","938,165,739.69","1,418,791,446.56","2,072,679,130.93","573,093,949.38","1,115,756,313.75","1,671,099,968.25","2,385,977,077.29","733,257,429.06","1,318,474,526.65","1,941,705,238.01","2,622,883,628.56","783,499,284.09","1,539,423,604.90","2,098,025,437.70","3,072,601,989.09","832,308,117.47","1,760,638,399.38","2,216,774,120.46","3,211,772,707.11","834,350,983.36","1,613,404,627.11","2,267,121,649.33","3,667,553,128.33","1,448,817,209.47","2,872,321,782.69","3,957,307,161.61","5,536,903,839.33","1,512,474,421.02","2,992,856,544.14"
取得借款收到的现金,"5,599,492,000.00","5,819,960,528.11","7,556,146,073.00","11,465,129,812.17","19,397,592,004.00","3,741,583,152.17","9,453,110,552.24","11,276,158,996.27","17,246,982,050.85","5,170,149,000.00","8,415,590,000.00","10,061,500,000.00","15,535,244,913.69","3,540,693,359.27","9,160,866,359.27","13,375,866,359.27","17,551,844,359.27","5,836,930,587.50","10,064,018,000.00","15,869,996,800.00","19,318,547,545.02","4,357,000,000.00","7,014,896,037.45","13,502,976,037.45","21,705,819,661.21","4,600,000,000.00","8,694,800,000.00","13,146,800,000.00","38,485,556,247.00","9,775,343,000.00","27,756,851,756.00","34,170,310,000.00","46,198,270,202.00","15,258,840,000.00","30,668,462,205.00"
支付的各项税费,"596,110,869.43","968,917,071.64","1,193,151,553.74","1,038,186,956.34","2,123,420,988.20","731,173,036.82","1,675,266,985.53","2,363,705,592.37","3,021,636,081.35","666,404,052.62","1,624,423,896.49","2,708,671,234.98","3,141,628,616.22","640,636,922.41","1,728,626,211.57","2,695,904,169.26","3,327,003,735.59","857,862,197.31","2,127,860,769.72","3,144,398,883.04","3,894,072,483.85","943,751,994.47","2,069,817,519.35","3,052,954,386.69","3,619,469,613.40","1,313,965,754.15","2,154,499,455.22","3,682,042,842.32","4,163,468,949.25","1,823,588,073.33","3,524,205,151.47","5,854,189,293.41","5,746,555,185.68","1,488,895,303.36","3,853,861,315.77"
收到其他与筹资活动有关的现金,,,,"154,988.73","510,183,988.75",,"212,865,979.19","212,865,979.19",,,,"200,000,000.00",,,,,,,,,"11,624,131,029.99",,"4,500,000,000.00",,"1,015,000,000.00",,,,"3,992,000,000.00",,"357,259,000.00","357,259,000.00","5,347,259,000.00",,
支付其他与经营活动有关的现金,"311,575,760.81","381,246,202.27","1,474,705,636.02","1,000,116,100.22","4,902,517,300.63","2,225,965,008.19","1,548,369,523.96","2,094,961,382.84","3,072,350,892.26","1,243,983,851.03","802,661,253.16","1,309,716,392.25","1,743,102,001.61","653,495,574.48","1,285,758,174.12","3,104,603,630.46","3,507,038,479.25","664,655,443.60","1,567,668,381.76","1,939,068,619.23","2,895,293,873.37","682,805,980.29","1,729,583,192.70","2,508,702,948.39","2,822,917,779.80","715,549,088.42","1,978,023,104.46","2,933,830,593.72","3,417,977,321.76","1,251,503,944.68","1,493,647,445.08","2,541,134,073.94","5,101,409,504.44","6,076,571,557.69","8,039,561,659.11"
筹资活动现金流入小计,"5,880,504,000.00","8,427,684,031.59","13,384,183,211.01","11,465,844,800.90","19,919,726,492.75","3,741,583,152.17","9,681,577,978.44","11,504,626,422.47","17,273,732,050.85","5,170,149,000.00","8,435,240,000.00","13,321,350,000.00","18,944,794,913.69","6,387,944,919.27","12,033,688,459.31","17,255,888,459.27","24,432,594,396.30","13,216,170,577.42","19,796,559,019.91","26,608,537,819.91","34,964,588,564.93","8,876,000,000.00","11,535,896,037.45","20,595,976,037.45","38,416,997,061.05","9,617,500,000.00","18,706,800,000.00","27,158,800,000.00","52,516,781,247.00","15,776,793,000.00","39,012,785,756.00","50,961,469,000.00","68,415,274,202.00","21,758,840,000.00","44,065,315,747.47"
经营活动现金流出小计,"8,084,213,133.79","8,435,255,052.57","15,321,014,222.82","14,829,831,292.60","25,830,093,176.27","7,404,505,935.29","15,717,643,157.67","19,310,761,059.58","28,334,757,241.49","6,702,523,977.31","13,450,394,571.83","22,264,796,295.71","32,059,673,122.23","9,466,001,024.31","20,127,118,530.98","31,071,912,602.75","48,061,221,401.62","11,197,083,448.11","25,871,121,628.61","33,634,449,702.26","52,143,008,330.99","8,830,519,611.39","19,462,247,198.03","26,427,434,332.75","40,622,003,724.21","7,935,760,505.95","21,708,218,200.90","30,049,604,873.49","51,874,183,226.92","21,224,955,924.44","42,338,590,304.60","57,171,849,844.84","84,844,235,433.87","16,651,878,839.04","41,755,348,685.60"
偿还债务支付的现金,"4,323,666,000.00","5,837,292,718.66","7,214,900,000.00","4,500,000,000.00","7,849,090,001.76","3,175,974,762.14","5,962,746,073.00","8,055,159,018.61","11,832,241,473.85","3,946,204,406.81","7,561,786,222.71","11,763,731,832.07","19,477,469,211.60","4,115,200,000.00","8,963,308,880.00","11,651,308,880.00","14,580,306,880.00","7,632,565,625.00","11,351,438,000.00","20,216,062,974.61","19,882,886,968.61","8,826,822,000.00","6,774,842,707.79","18,142,813,658.40","19,429,779,762.70","6,635,000,000.00","7,966,123,248.80","20,269,549,650.61","29,627,774,082.22","10,339,641,928.59","17,123,784,762.83","20,074,194,930.70","35,422,288,948.83","10,363,550,000.00","32,091,578,283.12"
经营活动产生的现金流量净额,"-1,015,727,517.83","736,995,198.02","191,749,159.79","-4,680,724,545.18","-3,356,004,041.18","-526,681,454.78","-1,984,982,035.10","-1,273,471,111.34","-1,135,781,403.94","-434,403,183.42","825,136,875.48","1,799,936,092.02","4,310,758,748.33","-449,361,815.12","406,243,116.23","-364,558,952.62","-559,837,360.79","-3,953,463,102.19","-5,073,828,092.02","-4,719,687,124.32","-6,156,167,926.92","-1,700,798,262.94","73,951,039.20","1,767,304,703.42","-652,635,717.52","-618,480,142.76","-1,645,128,283.48","2,392,142,454.23","3,503,749,789.08","-7,945,676,578.93","-11,342,634,671.00","-13,811,880,751.16","-11,854,523,780.00","-3,767,899,777.79","-3,638,598,210.01"
分配股利、利润或偿还利息支付的现金,"303,996,000.00","429,145,500.58","545,311,796.48","424,022,740.68","908,943,513.26","337,725,180.30","344,381,311.30","968,724,029.19","1,733,097,312.17","376,350,612.57","816,052,578.31","1,481,474,534.04","1,951,804,163.02","347,981,962.54","646,066,339.16","1,488,299,745.06","1,855,009,123.70","464,718,934.16","854,882,062.89","1,787,091,704.03","2,303,494,282.97","639,005,515.61","1,288,656,796.95","1,918,425,282.75","2,791,679,808.78","570,520,150.48","1,109,955,510.23","1,557,781,211.30","3,036,717,408.81","1,139,374,747.45","2,199,872,165.12","4,851,739,509.47","5,417,425,700.43","1,234,076,090.07","2,419,976,810.75"
收回投资收到的现金,"1,030,000,000.00","200,000.00","24,568,313.47","60,232,804.77","109,110,557.16","10,000,000.00","10,000,000.00","11,200,000.00","12,033,328.00",,"49,349.57","49,349.57","49,349.57",,,,,,,,,,,,"500,000,000.00",,,,"1,094,176,171.34","127,278,929.21","102,549,482.30","438,427,351.86","700,626,245.46",,
支付其他与筹资活动有关的现金,,,,,,,,,"58,165,082.76",,,,,,"408,872,381.58","408,872,381.58","1,409,662,104.00",,"3,370,100,000.00","100,000.00","4,390,842,800.00",,"5,600,000,000.00",,"9,400,000,000.00",,"5,900,000,000.00",,"12,479,262,238.23","656,046,900.69","9,317,252,406.30","15,357,853,723.40","20,247,527,066.76","5,854,446,804.03","397,052,351.96"
取得投资收益收到的现金,,"1,995,556.59","3,488,783.13","617,851.19","622,441.91","1,473,086.05","32,577,837.76","32,589,810.98","1,334,117.91","1,139,094.00","1,100,924.74","1,105,974.74","19,474,059.84","3,923,049.94","3,992,251.94","3,992,251.94","5,629,321.93","1,293,685.98","1,293,685.98","1,293,685.98","1,293,685.98",,"340,202.37","351,312.37","4,835,984.64","851,000.00","1,236,406.58","5,054,966.87","78,737,986.47",,"135,774,918.39","278,870,377.58","240,302,718.85","120,496,394.53","279,348,817.24"
筹资活动现金流出小计,"4,627,662,000.00","6,266,438,219.24","7,760,211,796.48","4,924,022,740.68","8,758,033,515.02","3,513,699,942.44","6,307,127,384.30","9,023,883,047.80","13,623,503,868.78","4,322,555,019.38","8,377,838,801.02","13,245,206,366.11","21,429,273,374.62","4,463,181,962.54","10,018,247,600.74","13,548,481,006.64","17,844,978,107.70","8,097,284,559.16","15,576,420,062.89","22,003,254,678.64","26,577,224,051.58","9,465,827,515.61","13,663,499,504.74","20,061,238,941.15","31,621,459,571.48","7,205,520,150.48","14,976,078,759.03","21,827,330,861.91","45,143,753,729.26","12,135,063,576.73","28,640,909,334.25","40,283,788,163.57","61,087,241,716.02","17,452,072,894.10","34,908,607,445.83"
处置固定资产、无形资产和其他长期资产收回的现金净额,"162,832,000.00","28,004,703.25","107,457,953.50","68,285,813.40","811,087,002.19","3,245,837.83","102,009,436.03","113,322,665.97","596,722,336.98","5,743,687.16","103,977,388.24","117,262,201.70","127,106,077.50","2,703,692.71","36,404,591.35","127,456,273.30","190,311,670.52","14,244,367.00","98,366,103.34","143,486,314.09","198,256,190.27","18,450,775.21","16,697,354.04","36,297,947.17","23,299,944.71","8,541,535.00","13,487,630.08","149,697,505.12","1,337,953,036.78","213,029,260.79","126,086,788.00","497,060,770.04","499,584,709.98","29,705,146.88","43,553,624.35"
筹资活动产生的现金流量净额,"1,252,842,000.00","2,161,245,812.35","5,623,971,414.53","6,541,822,060.22","11,161,692,977.73","227,883,209.73","3,374,450,594.14","2,480,743,374.67","3,650,228,182.07","847,593,980.62","57,401,198.98","76,143,633.89","-2,484,478,460.93","1,924,762,956.73","2,015,440,858.57","3,707,407,452.63","6,587,616,288.60","5,118,886,018.26","4,220,138,957.02","4,605,283,141.27","8,387,364,513.35","-589,827,515.61","-2,127,603,467.29","534,737,096.30","6,795,537,489.57","2,411,979,849.52","3,730,721,240.97","5,331,469,138.09","7,373,027,517.74","3,641,729,423.27","10,371,876,421.75","10,677,680,836.43","7,328,032,485.98","4,306,767,105.90","9,156,708,301.64"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"8,164,989.31","8,164,989.31","7,878,929.34",,"11,880,629.39","8,697,873.99","12,147,873.99",,,,,,,,,,,,"13,739,745.87","636,620,000.00","634,885,099.31","634,885,099.31","634,885,099.31",,
四、汇率变动对现金的影响,"-223,166.61","-958,217.76","-135,733.56","-2,480,070.31","-1,578,572.03","28,912.58","692,071.33","15,340.13","-867,799.23","-2,147.13","-96,100.84","4,446.94","-1,165,125.32",-855.68,"-234,986.59","-10,233.68","-708,606.05","3,792.12","-304,561.11","-1,228,241.07","-1,057,924.80","-7,718.46","944,765.54","-884,181.34","-2,042,411.88","6,287.20","2,626,890.83","1,780,136.03","45,422,187.86","1,841,597.95","18,255,095.79","-4,760,799.61","29,384,560.62","-1,818,351.89","-17,511,515.79"
收到其他与投资活动有关的现金,,"9,298,212.23","1,050,626,938.96",,,"12,353,028.88",,,,"5,566,200.00",,,"4,993,601.29",,"2,489,834.15","6,919,283.00","3,737,927.34",,,,"402,360,000.00",,"93,590,000.00","93,590,000.00","142,590,000.00",,,,"6,595,438.22",,"1,162,488,000.00","1,233,464,199.34","7,768,780,036.37","313,099,104.76","6,872,768,400.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,192,832,000.00","39,498,472.07","1,186,141,989.06","129,136,469.36","920,820,001.26","27,071,952.76","144,587,273.79","157,112,476.95","610,089,782.89","12,448,981.16","113,292,651.86","126,582,515.32","159,502,017.54","6,626,742.65","54,767,306.83","147,065,682.23","211,826,793.78","15,538,052.98","99,659,789.32","144,780,000.07","601,909,876.25","18,450,775.21","110,627,556.41","130,239,259.54","670,725,929.35","9,392,535.00","14,724,036.66","154,752,471.99","2,531,202,378.68","976,928,190.00","2,161,784,288.00","3,082,707,798.13","9,844,178,809.97","463,300,646.17","7,195,670,841.59"
五、现金及现金等价物净增加额,"179,995,082.17","229,387,672.30","4,205,193,919.25","-2,249,591,678.12","-1,241,244,592.65","-765,705,987.30","-61,903,810.20","-1,226,427,215.77","95,879,832.03","-427,541,324.93","-773,711,287.77","-242,656,352.15","-1,568,768,261.19","1,044,128,916.81","1,126,132,148.20","1,941,798,186.07","2,308,789,191.47","887,843,260.43","-1,495,120,580.26","-853,615,401.31","613,243,269.55","-2,910,133,927.36","-3,119,854,977.18","1,080,647,944.00","4,733,849,297.33","1,582,073,545.39","-2,648,562,515.58","1,637,758,569.48","6,897,197,667.21","-3,666,204,292.47","-3,266,135,567.78","-4,693,174,826.56","-5,196,695,732.29","-1,058,701,210.81","-1,237,716,428.42"
购建固定资产、无形资产和其他长期资产支付的现金,"542,977,833.39","2,555,331,376.53","2,588,475,226.87","2,652,119,167.34","5,654,349,002.15","494,008,607.59","1,048,999,145.02","2,016,846,276.83","2,599,557,159.06","828,011,356.16","1,703,478,313.25","2,220,155,440.32","3,528,217,840.81","437,898,111.77","1,350,084,146.84","1,548,105,762.49","3,437,698,444.15","293,121,500.74","740,786,673.47","882,763,177.26","1,745,955,268.33","471,416,325.56","956,739,991.04","1,129,714,053.92","1,816,180,115.19","220,824,983.57","767,358,455.35","1,070,457,685.65","3,335,181,425.42","280,285,531.95","1,297,925,168.78","1,363,908,591.91","1,882,247,811.92","504,992,327.96","1,218,217,602.45"
