科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"439,159,905.59","463,221,390.87","326,816,729.93","180,389,261.47","295,496,431.43","443,785,636.68","81,890,948.93","206,660,137.88","303,633,959.47","401,921,829.86","53,549,451.55","126,663,928.88","175,548,217.25","243,084,223.04","44,324,177.25","90,249,857.44","199,081,575.14","264,902,739.39","128,956,432.22","259,563,274.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"95,894.58","1,640,322.31","666,081.79","713,786.71","713,786.71","2,228,328.43","1,241.52","14,191,666.65","15,548,705.35","17,820,537.97","234,631.33","1,133,687.56","12,751,667.26","1,136,044.51",,,"6,520,183.00","9,909,416.56","1,444,845.70","2,780,602.41"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"2,408,280.64",,,,,,
收到其他与经营活动有关的现金,"34,737,242.61","27,084,808.43","35,382,409.40","33,194,264.97","51,154,070.14","58,318,456.61","3,962,171.19","6,424,758.34","15,656,855.28","58,302,291.96","25,675,856.97","21,788,583.76","31,224,858.99","47,880,166.06","12,314,785.82","24,462,242.12","37,445,391.94","56,599,273.09","1,702,264.53","7,066,014.29"
投资活动现金流出小计,"23,140,748.85","13,143,698.21","2,369,481.81","5,824,606.96","7,163,522.81","37,869,116.65","53,474,414.26","85,844,334.14","88,002,482.71","140,669,504.27","7,878,755.50","11,890,126.41","13,324,350.38","22,340,311.32","19,412,785.07","19,724,832.57","19,871,732.57","19,871,732.57","6,312,083.46","7,783,050.30"
经营活动现金流入小计,"473,993,042.78","491,946,521.61","362,865,221.12","214,297,313.15","347,364,288.28","504,332,421.72","85,854,361.64","227,276,562.87","334,839,520.10","478,044,659.79","79,459,939.85","149,586,200.20","219,524,743.50","292,100,433.61","56,638,963.07","114,712,099.56","243,047,150.08","331,411,429.04","132,103,542.45","269,409,891.62"
投资活动产生的现金流量净额,"-23,138,948.85","-13,114,698.21","-2,368,481.81","-5,824,606.96","-7,163,522.81","-37,869,116.65","-53,423,414.26","-85,793,334.14","-87,951,482.71","-140,360,504.27","-7,878,755.50","-11,890,126.41","-13,324,350.38","-22,340,311.32","10,587,214.93","14,022,750.43","39,290,459.43","48,679,326.63","-6,312,083.46","-7,783,050.30"
购买商品、接受劳务支付的现金,"242,386,960.61","324,016,517.08","157,542,627.17","114,213,194.47","157,481,000.10","241,490,264.75","39,766,339.60","112,854,291.91","149,028,388.74","214,291,749.99","29,041,640.81","95,743,967.69","151,939,670.42","200,631,862.50","30,403,859.78","62,099,908.02","128,008,783.28","165,256,151.92","61,411,279.73","160,829,558.48"
吸收投资收到的现金,,,,,"199,684,686.64","199,684,686.64",,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"70,902,523.16","75,145,784.45","88,133,177.63","47,142,144.54","70,519,213.41","83,480,568.39","31,991,072.37","49,258,169.31","68,756,924.85","93,452,378.08","28,919,509.62","48,991,383.85","69,060,014.69","91,393,292.81","24,118,495.58","39,534,263.12","54,994,383.57","70,664,422.30","25,010,986.06","41,477,425.36"
取得借款收到的现金,"373,800,000.00","360,000,000.00","446,647,435.29","147,898,290.10","297,919,709.52","413,079,063.20","112,000,000.00","202,000,000.00","288,474,688.17","413,474,688.17","52,000,000.00","142,003,355.16","211,981,806.67","252,009,316.94","34,925,939.65","154,925,939.65","199,925,939.65","239,925,939.65","74,930,847.72","184,960,882.26"
