科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"133,494,683.24","224,912,746.90","346,361,860.69","398,354,308.39","472,678,281.85","960,376,164.97","984,466,966.79","642,755,502.55","624,128,586.94","765,386,477.15","788,467,268.45"
短期借款,"100,000,000.00","80,000,000.00",,,,,,,,,"24,133,600.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,,"1,950,000.00","2,516,000.00","36,000.00",,,"1,000,000.00","1,000,000.00",,,"1,441,000.00"
应付票据,,,,,,,,,,,
应收账款,"433,348,271.62","334,152,902.42","378,903,147.95","318,641,787.59","261,654,368.23","235,096,605.03","331,087,164.84","262,902,961.89","298,223,107.58","246,578,240.07","559,253,528.22"
应付账款,"83,634,756.20","102,923,359.72","178,875,053.58","148,077,007.23","134,361,997.20","117,894,522.01","162,175,400.34","154,679,418.91","144,574,384.90","123,288,590.95","174,735,824.13"
预付款项,"205,976,098.16","167,383,770.45","199,441,213.42","192,890,985.49","188,346,064.94","206,625,319.52","173,988,791.57","172,564,683.57","165,402,272.47","258,360,843.87","298,602,966.61"
预收款项,"65,475,779.69","78,734,998.89","109,892,342.06","129,578,404.13","195,920,847.92","217,889,222.29","135,410,595.11","173,073,580.53","158,874,652.49","157,905,227.32","148,296,239.33"
其他应收款,"15,621,909.46","22,015,025.54","18,145,066.10","18,567,068.98","17,476,618.62","19,750,180.63","14,546,414.34","15,548,465.21","14,474,220.96","14,978,091.11","32,853,678.06"
应付职工薪酬,"10,207,494.01","16,564,249.78","23,902,530.84","3,767,018.69","3,744,426.94","1,356,071.02","20,035,180.20","621,979.04","564,187.84","561,900.58","18,707,512.94"
应收关联公司款,,,,,,,,,,,
应交税费,"9,699,436.39","4,469,582.46","9,460,415.13","7,693,768.57","7,150,655.94","5,196,498.66","19,507,813.04","5,834,819.49","7,087,817.35","5,065,316.91","42,741,971.82"
应收利息,"2,094,444.45",,,,,,,"2,791,666.67","1,915,916.67","700,000.00","32,369,443.28"
应付利息,,,,,,,,,,,"17,394,579.41"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"343,844,856.07","381,337,933.91","265,676,106.45","292,685,517.38","338,686,035.16","292,429,941.63","157,707,511.27","170,947,034.82","129,063,306.27","125,023,156.21","278,164,505.52"
其他应付款,"119,837,075.06","135,647,783.02","161,019,315.44","168,996,496.96","171,353,665.64","171,791,410.70","162,574,756.74","153,434,540.82","140,501,955.82","129,485,111.69","916,277,072.86"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,,"30,835,293.72","13,526,369.26","12,289,576.34","12,537,965.96","10,610,697.68","12,123,698.84","423,437,200.52","420,798,821.10","221,910,164.32","149,273,955.80"
其他流动负债,"591,250.00","1,902,187.50","1,060,000.00","1,060,000.00","2,530,699.06","1,585,696.83","1,359,999.96","1,408,194.13","1,397,256.67","1,381,527.46",
流动资产合计,"1,134,380,263.00","1,162,587,672.94","1,224,569,763.87","1,233,465,244.17","1,291,379,334.76","1,724,888,909.46","1,674,920,547.65","1,691,947,515.23","1,654,006,231.99","1,632,936,972.73","2,140,426,345.94"
流动负债合计,"389,445,791.35","420,242,161.37","484,209,657.05","459,172,695.58","515,062,292.70","515,713,421.51","501,063,745.39","489,052,532.92","453,000,255.07","417,687,674.91","1,342,286,800.49"
可供出售金融资产,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","21,950,000.00"
长期借款,,,"20,000,000.00","20,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,"26,344,945.44","27,094,681.26","29,257,170.65","29,266,145.65","23,516,392.45","23,778,112.27","26,978,964.04","36,193,019.58","39,489,465.89","47,374,502.11","48,892,686.27"
专项应付款,,,,,,,"1,859,698.11","717,487.91","327,594.91","327,594.91","327,594.91"
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,,,
固定资产,"158,571,252.90","219,447,646.78","303,419,937.75","297,609,492.49","299,314,071.60","314,338,278.33","355,769,069.24","352,237,359.05","342,371,140.85","327,694,689.59","349,781,691.54"
递延所得税负债,,,,,,,,,,,"302,233.24"
在建工程,"40,837,697.78","48,818,257.06","58,407,080.43","55,370,566.05","59,771,346.57","65,796,047.15","52,636,224.86","50,237,017.83","78,087,216.45","85,522,161.13","53,085,746.85"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"2,851,458.33","3,043,541.67","28,881,010.67","28,663,180.49","7,297,380.50","7,415,870.58","9,402,408.74","7,872,004.38","7,075,218.66","6,750,947.88","10,699,234.41"
固定资产清理,,,,,,,,,,,
负债合计,"392,297,249.68","423,285,703.04","513,090,667.72","487,835,876.07","522,359,673.20","523,129,292.09","510,466,154.13","496,924,537.30","460,075,473.73","424,438,622.79","1,352,986,034.90"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"232,876,712.00","232,876,712.00","232,876,712.00","232,876,712.00","232,876,712.00","310,506,712.00","310,506,712.00","310,506,712.00","372,608,054.00","372,608,054.00","372,608,054.00"
油气资产,,,,,,,,,,,
