科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,437,964,576.37","1,245,263,399.56","488,957,777.61","1,134,169,836.10","810,026,930.10","1,251,189,345.70","1,685,277,973.08","392,418,486.13","825,950,786.32","1,227,197,374.97","1,606,493,828.91","390,955,201.89","752,049,480.66","1,219,597,958.37","1,725,989,465.26","468,276,273.52","1,088,044,633.15","1,816,555,050.71","2,504,064,726.31","609,852,620.27","1,331,018,310.75","2,105,096,586.14","2,904,557,164.72","584,345,722.55","1,203,776,572.66","1,747,062,484.54","2,295,754,899.05","424,421,370.97","927,113,967.01","1,450,391,045.86","2,053,462,084.93","470,597,696.79","1,048,531,323.55","1,710,581,744.84"
二、营业利润,"63,409,022.38","45,957,533.75","25,990,870.54","65,050,524.83","40,351,927.28","56,324,093.82","75,662,497.35","23,845,758.31","35,979,321.96","42,145,029.61","52,460,224.59","12,406,855.57","28,927,430.43","32,264,623.36","34,570,751.27","6,950,774.19","28,462,952.72","33,141,616.85","43,873,155.03","10,988,316.72","33,732,633.78","48,995,010.43","57,549,096.54","10,815,245.73","35,256,736.92","46,874,505.72","61,710,289.47","8,841,238.30","31,973,166.48","42,282,433.75","58,099,883.36","18,013,904.84","38,476,796.88","72,743,031.37"
减:营业成本,"1,328,719,037.83","1,144,262,074.32","431,315,382.39","1,002,824,738.76","726,703,098.10","1,129,610,824.12","1,515,215,520.96","354,313,349.26","756,185,028.21","1,134,381,371.13","1,445,212,958.76","356,975,123.51","675,169,732.95","1,091,081,142.28","1,531,564,098.04","428,903,601.27","997,949,568.58","1,671,388,022.06","2,275,410,168.70","557,996,190.65","1,216,100,086.59","1,917,961,809.96","2,633,656,247.11","540,106,723.37","1,092,177,707.87","1,574,916,750.72","2,044,122,018.76","372,750,258.37","806,708,816.54","1,266,778,798.75","1,787,431,513.13","401,443,917.03","911,367,625.43","1,495,101,548.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,230,501.11","1,817,933.07","603,479.33","1,657,310.58","971,948.72","2,130,638.86","2,738,960.01","395,656.14","891,026.57","1,594,009.08","2,415,923.08","454,382.64","1,113,198.26","1,837,615.14","2,398,210.87","585,377.48","1,639,059.01","1,774,309.99","2,610,336.97","523,831.62","752,584.77","1,215,600.18","3,031,084.83","555,584.33","1,298,105.32","2,612,173.55","3,987,312.84","1,047,023.21","3,064,702.62","6,064,465.85","11,480,728.87","2,502,056.10","5,212,955.97","7,141,192.90"
营业外收入,"43,636.92","114,900.00","34,529.13","209,275.47","15,600.00","15,800.00","52,486.25","13,528.00","896,299.26","1,509,611.49","2,305,205.86","2,602,000.00","3,239,814.32","3,318,054.45","11,519,214.58","345,588.62","3,807,907.11","4,168,912.37","4,305,948.92","268,751.84","1,263,004.91","2,938,466.49","7,459,943.50","1,320,702.12","3,924,196.33","4,948,983.91","7,650,626.91","3,331,545.29","4,425,465.87","46,938,027.00","47,866,807.87","4,138,408.03","33,071,080.34","33,443,575.57"
销售费用,"28,824,084.95","24,604,922.57","12,438,389.08","27,288,366.66","15,352,408.17","24,772,103.57","35,256,406.28","8,626,106.00","16,581,950.23","24,696,728.04","32,193,386.80","6,713,694.14","15,795,654.60","23,448,071.20","34,458,622.11","13,158,155.34","23,637,389.28","34,741,950.47","43,732,456.66","10,894,900.63","28,613,805.86","46,698,524.41","71,505,633.14","13,185,362.14","29,992,864.41","46,170,642.07","66,561,919.88","19,583,852.20","38,911,379.79","57,460,803.15","77,869,393.90","20,161,389.77","37,623,395.08","55,501,298.73"
减:营业外支出,"1,518,698.06","1,531,600.00","1,256,192.41","2,267,231.75","1,876,548.58","2,561,966.75","3,523,099.69","823,216.00","1,173,763.94","2,274,177.24","2,843,321.24","1,112,500.00","1,705,720.95","2,293,243.34","2,883,683.28","966,190.01","1,784,719.96","2,348,309.96","2,938,962.21","685,310.10","1,248,061.50","1,810,561.50","1,758,246.87","577,340.99","590,069.97","840,432.62","917,747.53","223,597.26","251,800.03","4,676,917.93","5,003,997.01","57,915.09","116,394.59","123,288.43"
管理费用,"7,039,881.79","9,040,962.24","9,947,943.77","20,653,414.20","18,674,468.98","29,830,452.63","48,650,767.13","5,984,782.02","15,324,556.78","22,373,997.02","63,920,975.07","6,467,045.41","13,584,488.95","44,299,302.45","89,401,600.62","8,910,946.91","21,165,939.95","45,023,310.48","102,784,241.58","11,257,485.32","23,165,900.23","47,453,080.96","80,432,790.86","12,994,680.66","28,072,972.33","52,289,597.85","91,554,896.88","13,877,136.68","33,037,146.31","58,360,103.07","90,963,596.03","21,858,976.42","40,522,599.54","52,927,726.48"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,"8,078.37",,,,"8,746.20","58,461.73",,"4,415,612.37","4,571,308.97",,,
