科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"662,903,001.96","965,221,798.56","514,853,189.37","1,133,559,845.57","614,155,296.68","961,451,040.67","1,341,671,134.14","307,837,422.78","771,331,574.51","1,235,518,874.81","1,801,380,239.70","555,254,991.15","1,216,245,292.23","1,831,631,940.20","2,554,073,303.90","723,396,886.15","1,588,141,841.92","2,401,917,391.83","3,544,275,167.66","1,085,750,761.75","2,386,242,901.78","3,833,902,947.09","5,572,152,339.68","1,701,807,601.64","3,684,757,907.38","5,802,199,338.92","8,199,831,908.88","2,424,260,274.91","5,112,522,454.76","7,922,684,124.68","10,971,576,557.67","3,030,784,781.70","6,535,826,695.39","10,221,529,301.35","14,238,899,716.88","3,788,463,600.14"
二、营业利润,"212,319,140.59","50,743,035.89","20,967,384.61","56,358,677.47","34,281,690.89","48,474,210.80","65,261,414.19","12,758,073.11","41,495,718.30","59,569,301.35","69,656,452.35","19,299,108.17","54,124,765.99","77,831,472.63","91,749,157.15","24,872,256.91","63,317,931.21","98,310,707.65","164,688,829.74","178,417,913.81","244,660,806.62","315,684,805.50","406,547,564.92","86,076,306.66","199,355,712.98","296,357,908.20","399,050,127.37","126,147,652.42","266,564,858.21","403,009,879.28","545,288,833.57","161,397,790.45","324,588,039.55","470,578,796.31","631,588,476.14","189,607,194.23"
减:营业成本,"555,713,342.89","829,387,466.82","443,092,119.68","980,658,945.95","532,799,896.03","838,231,647.14","1,171,509,923.10","271,916,243.64","688,712,860.70","1,113,187,163.32","1,630,643,102.89","507,543,482.16","1,111,110,340.55","1,675,887,174.42","2,332,013,358.29","658,747,720.12","1,447,384,552.40","2,186,297,170.99","3,206,888,134.23","972,431,046.34","2,119,752,892.88","3,383,285,817.40","4,854,205,842.71","1,472,245,982.90","3,196,106,096.38","5,060,766,432.70","7,146,697,663.30","2,133,640,964.73","4,522,778,656.36","7,058,723,745.44","9,774,378,987.60","2,707,190,098.73","5,876,350,296.40","9,258,993,149.60","12,858,212,091.29","3,396,863,591.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,689,565.65","5,851,670.65","2,717,819.94","5,547,739.49","3,669,696.85","3,758,425.80","6,125,365.37","886,422.07","2,509,289.00","3,806,631.68","5,201,484.66","1,844,007.51","3,910,836.51","5,532,756.75","8,076,524.44","1,183,281.33","3,049,510.79","4,695,235.04","7,734,720.80","2,456,930.89","5,571,014.36","9,714,369.21","14,025,655.05","4,502,304.00","10,243,592.34","15,918,738.66","22,891,386.86","5,273,318.95","10,948,436.76","16,754,841.68","24,923,386.51","6,385,753.13","14,599,033.38","22,647,007.65","31,610,937.68","7,842,164.35"
营业外收入,"2,934,196.12","4,638,216.20","145,214.35","145,384.96","55,715.49","56,110.49","101,256.39",242.45,"1,332.45","1,332.45","16,326,710.39",,"718,365.80","736,847.80","766,847.80","950,000.00","23,928,005.79","23,928,062.70","29,717,806.63","58,430.00","3,086,655.03","3,207,084.10","4,431,516.99","511,281.08","1,342,423.91","3,194,023.65","5,554,388.65","1,297,849.18","4,214,739.83","5,236,523.12","8,052,886.20","1,090,065.01","4,349,968.54","5,155,857.59","1,206,799.63","4,657,774.08"
销售费用,"63,432,204.09","64,619,506.17","39,230,654.60","74,223,323.96","37,928,017.02","58,664,195.64","80,466,416.97","18,877,838.72","35,622,567.39","54,501,070.59","85,163,015.85","23,881,811.70","37,898,697.97","59,197,289.84","98,880,138.36","31,624,071.61","51,278,329.37","80,547,933.37","148,735,530.94","54,417,247.93","114,226,300.64","178,195,349.64","312,059,149.61","90,233,545.17","179,498,876.53","280,103,311.17","428,601,734.39","105,756,731.15","204,836,488.86","282,599,560.92","410,164,488.56","100,998,505.69","197,294,899.79","281,291,122.58","451,264,524.64","107,895,932.56"
减:营业外支出,"145,409.51","128,278.89","375,106.66","28,033.95","4,596.47","6,834.60","517,981.90","2,360.69","554,952.57","556,066.65","578,627.97",79.88,"5,880.33","236,461.44","991,380.83","54,503.15","90,720.17","94,619.96","115,217.96","12,600.00","43,475.88","65,861.73","458,618.01","439,291.00","544,820.94","979,733.85","1,564,301.57","27,990.49","89,863.59","224,645.95","1,098,672.68","66,806.96","265,269.56","2,993,082.81","3,715,878.67","1,386,088.42"
管理费用,"21,478,542.64","15,106,973.98","6,988,325.41","16,487,822.45","8,188,104.28","14,979,899.65","19,651,829.26","3,966,584.63","8,937,836.28","13,416,393.15","20,236,826.68","5,828,265.20","12,488,795.20","19,054,118.43","27,746,230.35","7,861,924.78","15,308,352.83","22,676,834.47","39,620,312.77","12,910,675.79","32,138,703.20","61,139,812.43","77,590,880.46","24,518,969.87","56,608,870.19","83,519,358.05","111,225,031.48","29,311,918.11","58,889,953.69","86,375,989.24","128,302,919.58","33,409,355.51","75,470,913.27","113,503,252.16","161,481,027.00","44,444,266.34"
其中:非流动资产处置净损失,"102,799.51","119,037.48",,"8,033.95",,,,,,,,,"5,880.33",,,,,,"15,004.48",,,,"45,263.73",,"7,157.94","12,070.85","53,163.04",,"13,524.59","31,999.39","47,711.81",,"177,530.56","177,530.56",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"834,997.35","1,720,785.44","1,214,267.42","419,872.23","223,105.74","-467,781.13","-1,744,354.95","-1,140,170.29","-4,563,974.69","-6,117,295.84","-7,389,566.30","-3,141,683.59","-4,657,189.94","-5,277,317.83","-6,023,295.09","-892,368.60","-1,303,747.55","156,593.96","-574,700.14","1,067,706.61","2,738,313.28","14,672,201.27","33,805,664.22","15,632,834.61","34,853,356.34","56,134,472.22","79,725,602.08","18,666,972.85","40,939,611.69","62,819,450.84","80,601,478.88","17,848,513.52","40,176,483.13","71,964,520.99","107,688,019.32","38,226,110.48"
三、利润总额,"215,107,927.20","55,252,973.20","20,737,492.30","56,476,028.48","34,332,809.91","48,523,486.69","64,844,688.68","12,755,954.87","40,942,098.18","59,014,567.15","85,404,534.77","19,299,028.29","54,837,251.46","78,331,858.99","91,524,624.12","25,767,753.76","87,155,216.83","122,144,150.39","194,291,418.41","178,463,743.81","247,703,985.77","318,826,027.87","410,520,463.90","86,148,296.74","200,153,315.95","298,572,198.00","403,040,214.45","127,417,511.11","270,689,734.45","408,021,756.45","552,243,047.09","162,421,048.50","328,672,738.53","472,741,571.09","629,079,397.10","192,878,879.89"
资产减值损失,"422,023.50","-1,053,779.48","654,020.07","2,016,907.46","-921,314.75","-175,657.85","2,470,203.79",,"-2,055,886.88","-1,565,577.65","-767,564.76",,"1,442,514.88","1,478,436.12","3,457,188.58",,"868,236.44","2,061,995.55","7,508,650.25","839,187.67","4,045,837.98","8,101,558.82","13,943,251.77","8,597,658.43","8,198,448.24","9,506,163.54","13,228,387.27","5,462,716.70","7,881,893.25","13,021,563.83","9,814,255.58","4,019,886.76","8,713,290.51","4,360,146.28","12,976,021.43","6,500,120.73"
减:所得税,"32,127,752.68","13,668,553.82","5,340,587.93","13,934,900.87","8,597,160.46","11,912,814.51","15,901,151.64","3,409,261.33","10,780,467.39","14,810,590.60","21,575,907.76","4,889,151.59","13,605,340.16","18,954,361.75","22,653,838.22","6,204,438.46","21,064,130.99","29,389,136.68","47,648,048.70","44,624,244.44","62,191,868.02","79,399,140.26","104,097,621.11","20,781,122.42","48,817,799.65","73,010,758.84","101,695,266.59","32,275,763.47","68,810,307.43","103,463,993.06","142,243,769.07","41,110,415.29","82,247,744.26","120,179,770.81","159,635,495.41","51,207,728.12"
加:公允价值变动净收益,"-1,125,740.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"196,112,554.75","1,153,860.91","11,402.36","2,153,443.44","2,013,899.38","2,013,899.38","2,069,663.59","-572,430.90","-673,164.41","1,278,811.79","1,363,511.67",,"73,468.93","2,071,990.16","1,825,998.18",,"-8,238,676.43","-7,170,920.80","30,326,310.93","136,789,947.29","136,890,967.18","136,890,967.18","140,025,669.06",,"107,045.62","107,045.62","1,588,023.87",,"317,444.06","620,906.55","1,897,792.61","465,122.09","1,366,260.64","1,808,694.22","10,397,648.30","316,720.04"
四、净利润,"182,980,174.52","41,584,419.38","15,396,904.37","42,541,127.61","25,735,649.45","36,610,672.18","48,943,537.04","9,346,693.54","30,161,630.79","44,203,976.55","63,828,627.01","14,409,876.70","41,231,911.30","59,377,497.24","68,870,785.90","19,563,315.30","66,091,085.84","92,755,013.71","146,643,369.71","133,839,499.37","185,512,117.75","239,426,887.61","306,422,842.79","65,367,174.32","151,335,516.30","225,561,439.16","301,344,947.86","95,141,747.64","201,879,427.02","304,557,763.39","409,999,278.02","121,310,633.21","246,424,994.27","352,561,800.28","469,443,901.69","141,671,151.77"
其中:对联营企业和合营企业的投资权益,"59,411.18","-667,538.08","11,402.36","982,257.72","61,923.18","61,923.18",,,,,,,,,,,,,"177,457.52",,,,,,,,"186,770.39",,,,"198,314.78",,,,"198,190.58",
归属于母公司所有者的净利润,"182,625,343.62","41,356,807.57","15,581,901.76","42,418,312.65","25,455,415.66","36,256,163.56","48,542,369.28","9,346,693.54","30,153,412.09","44,162,053.19","63,682,549.58","14,308,361.87","40,115,822.69","56,883,976.52","65,209,640.98","18,078,958.28","59,840,390.49","80,725,661.99","130,168,774.06","124,217,192.55","160,235,100.24","193,612,160.45","228,060,085.91","37,984,621.88","89,740,297.60","131,877,562.20","172,976,469.43","54,464,925.88","115,989,366.18","170,149,919.07","223,099,559.71","71,060,167.59","142,814,863.40","200,371,376.29","263,641,638.78","87,784,300.11"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"354,830.90","227,611.81","-184,997.39","122,814.96","280,233.79","354,508.62","401,167.76",,"8,218.70","41,923.36","146,077.43","101,514.83","1,116,088.61","2,493,520.72","3,661,144.92","1,484,357.02","6,250,695.35","12,029,351.72","16,474,595.65","9,622,306.82","25,277,017.51","45,814,727.16","78,362,756.88","27,382,552.44","61,595,218.70","93,683,876.96","128,368,478.43","40,676,821.76","85,890,060.84","134,407,844.32","186,899,718.31","50,250,465.62","103,610,130.87","152,190,423.99","205,802,262.91","53,886,851.66"
