科目,2009年度,2010年度,2011年度,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"236,402,603.59","394,065,660.99","496,602,411.26","291,667,548.22","414,602,379.60","106,564,182.06","231,249,528.71","418,161,151.70","338,374,495.48","91,668,976.74","323,990,065.65","505,220,040.27","534,037,496.85","144,189,790.68","276,596,454.18","694,556,800.66","950,881,093.83","285,767,890.22","786,949,155.73","1,301,544,901.27","1,943,836,857.74","818,998,468.46","1,518,568,568.20","1,999,436,986.25","2,795,509,161.47","893,779,381.49","1,665,661,488.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"20,000,000.00",,,,,,"-48,382,763.05","282,190,695.23","273,086,887.32","-21,340,396.49","882,534,115.44","882,534,115.44","882,502,615.44",,,,"478,984,738.78",,
收到的税费返还,,,,,,,,,,,,,"353,609.60",,"450,807.60","2,813,015.42",,"55,800.00","10,452,859.53","247,166.44","771,387.74",,"124,291.95","665,216.58","825,581.99","427,522.71","427,522.71"
支付其他与投资活动有关的现金,,"5,750,000.00","253,410.00",,,,,,"19,493,487.12",,"10,000,000.00","10,000,000.00",,,"2,280,000.00","2,280,000.00",,,"16,000,000.00","18,900,000.00","41,124,871.50",,,,"668,000.00",,"40,000,000.00"
收到其他与经营活动有关的现金,"69,427.33","205,869.39","32,651,944.90","-16,997,371.08","3,337,899.47","31,518,369.06","64,548,656.95","85,240,604.79","50,791,634.67","9,298,240.23","6,235,950.83","25,611,473.86","2,755,685.39","2,261,493.70","5,827,157.16","10,908,332.53","13,516,878.60","55,306,378.23","32,023,069.23","36,106,038.92","39,664,016.82","17,405,323.95","24,127,665.98","37,289,936.97","63,096,099.73","28,853,642.68","31,054,923.62"
投资活动现金流出小计,"4,128,224.87","58,812,143.86","22,982,224.99","11,651,497.05","59,010,623.18","47,063,196.74","77,234,232.36","139,641,581.10","244,377,725.60","28,017,338.59","69,898,077.82","101,121,795.28","106,162,968.99","4,466,966.49","-31,663,704.21","303,279,841.21","306,118,037.72","-15,305,926.99","900,222,320.85","903,779,563.61","967,999,418.77","52,252,649.00","54,161,790.18","59,846,328.78","543,405,088.99","69,382,898.24","112,258,344.35"
经营活动现金流入小计,"236,472,030.92","394,271,530.38","529,254,356.16","274,670,177.14","417,940,279.07","138,082,551.12","295,798,185.66","503,401,756.49","389,166,130.15","100,967,216.97","330,226,016.48","530,831,514.13","537,146,791.84","146,451,284.38","282,874,418.94","708,278,148.61","964,397,972.43","341,130,068.45","829,425,084.49","1,337,898,106.63","1,984,272,262.30","836,403,792.41","1,542,820,526.13","2,037,392,139.80","2,859,430,843.19","923,060,546.88","1,697,143,934.86"
投资活动产生的现金流量净额,"11,985,008.39","-36,303,820.57","3,521,250.93","-11,651,497.05","-59,010,623.18","-47,063,196.74","-77,234,232.36","-139,641,581.10","-218,153,094.22","-28,017,338.59","-20,222,702.43","-57,514,668.76","-66,353,677.72","-2,754,019.87","32,663,704.21","-297,030,499.68","-271,904,254.12","26,312,068.05","-890,890,674.44","-868,447,917.20","-860,019,028.05","-51,252,649.00","-11,340,693.26","-7,513,856.53","-486,307,137.28","-69,382,898.24","-94,190,344.35"
购买商品、接受劳务支付的现金,"229,298,297.36","313,183,444.97","462,746,367.68","285,544,242.43","409,714,592.71","77,103,229.85","205,288,198.71","354,033,142.70","232,992,399.33","84,248,036.30","362,820,280.53","520,854,006.49","642,637,887.41","93,346,415.17","202,946,205.04","466,790,278.25","801,064,192.20","241,728,454.45","639,601,418.04","1,126,964,317.91","1,735,464,968.37","513,643,198.18","982,370,730.24","1,395,288,393.34","1,984,806,885.72","641,933,246.71","1,451,181,999.12"
吸收投资收到的现金,,"21,360,000.00",,"250,407,700.00","250,407,700.00","9,800,000.00","9,800,000.00","9,800,000.00",,,"19,240,000.00","19,240,000.00","16,377,902.69","5,000,000.00","5,000,000.00","327,900,000.00","330,000,000.00",,"1,212,839,760.00","1,212,839,760.00","1,213,001,642.50",,,"10,000.00","1,904,800.00",,"69,329,531.00"
