科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-1,173,614.69","1,136,984.82","-2,643,652.84","-4,332,760.05","-458,893.10","-2,400,884.11","-936,588.39","1,676,380.10","-4,992,647.40","-10,424,926.30","-20,087,239.22","-30,188,479.75","-5,104,719.42","-10,939,892.70","-10,165,687.38","-14,562,595.47","-4,592,614.73","-10,820,021.04","-18,926,313.72","-19,309,384.70","-1,433,547.87","-2,091,809.22","-3,554,942.49","1,333,402.14","5,621,923.18","7,014,407.78","7,001,713.47","7,862,388.75","202,676.28","7,736,608.23","8,840,268.79","15,177,180.40","17,029,154.05","26,444,944.39","39,530,336.69","13,112,110.39","20,482,052.98","28,638,056.92","46,790,795.17","89,682,813.93","-2,528,577.59","30,480,428.83","62,077,650.13","72,543,501.12","37,721,737.07","72,044,572.63","110,947,477.09","163,311,940.00","49,493,098.57"
三、利润总额,"89,290,519.09","181,570,918.18","274,911,840.33","397,158,141.04","101,118,833.65","236,450,682.51","364,993,139.50","555,249,695.31","135,940,700.72","311,941,899.52","484,822,150.83","705,649,157.37","202,980,878.85","502,977,173.51","741,658,805.88","1,039,737,471.84","265,849,181.03","658,804,787.37","1,007,159,228.43","1,406,967,732.78","345,265,588.64","849,956,288.03","1,310,904,848.59","1,829,846,200.99","438,462,532.86","1,083,448,673.33","2,034,014,979.34","2,701,311,022.52","591,706,321.05","1,325,446,713.78","2,262,496,261.82","2,910,145,147.81","661,097,823.64","1,465,677,863.32","2,502,405,433.60","3,215,335,183.66","724,009,853.20","1,620,094,547.22","2,751,683,560.28","3,397,505,449.53","837,746,990.87","1,818,363,784.32","3,039,414,719.95","3,621,847,527.72","940,214,631.41","1,890,825,423.60","3,158,030,805.28","3,826,161,848.18","989,484,117.58"
资产减值损失,"164,210.83","164,210.83","-1,867,012.73","84,743,328.99",,"13,411,977.27","13,411,977.27","38,131,322.52","8,349.85","21,302,148.00","21,307,438.50","5,984,953.49","7,598.43","17,933,277.03","17,920,339.75","16,532,446.43",,"15,094,179.37","15,094,179.37","8,677,900.20",,"24,394,788.93","27,403,571.73","15,296,365.46",,"21,562,424.40","281,050,888.14","183,668,627.63","-212,646.55","-14,727,849.20","-14,753,094.58","-138,471,672.48","44,372.17","18,675,622.02","18,794,649.34","18,617,135.98","-1,015.83","24,704,078.74","34,068,966.73","-823,632.70","7,545,707.48","20,878,594.92","20,878,594.92","64,834,956.45",,"44,730,564.24","44,693,961.29","58,074,700.64","14,332,619.25"
减:所得税,"15,474,644.00","29,599,446.09","44,827,472.36","58,977,172.66","14,932,366.22","34,189,426.33","56,645,421.12","91,717,872.39","22,299,245.81","44,559,309.11","71,504,500.22","96,453,929.85","33,582,039.97","71,666,823.26","87,214,193.44","113,393,966.28","40,419,740.12","94,719,901.22","148,059,311.11","196,059,925.09","54,752,423.26","125,422,619.49","187,932,556.50","247,330,357.58","63,396,671.87","146,886,243.75","275,076,920.32","379,857,235.35","87,025,570.58","195,262,819.23","323,818,356.60","412,818,469.51","99,260,333.02","213,771,576.63","367,649,899.48","459,754,073.56","103,352,759.44","234,895,034.33","394,618,632.49","466,615,846.45","119,884,202.68","263,305,924.25","442,919,139.15","489,313,357.27","134,325,997.26","263,756,153.38","435,821,553.77","536,415,842.67","144,507,536.34"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"527,301.50",,,,,,,,,,,,,,,,,"4,073,403.88","41,714,407.07","9,029,718.33"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"1,000,000.00","2,528,907.84","3,763,557.19","2,558,384.30","7,001,248.46","6,833,450.66","6,672,718.81","5,612,185.62","-166,082.31","4,935,643.23","4,415,534.01","4,049,721.21","2,767,394.19","2,426,421.24","4,208,617.53","7,998,868.42","9,842,758.44","9,722,305.78","9,638,191.93","16,825,709.87","1,278,435.99","1,046,366.30","774,377.65","669,973.47","494,852.02","11,136,462.71","662,597,319.32","684,864,992.03","8,335,850.11","29,799,100.32","53,201,790.22","105,535,360.44","14,963,317.05","73,231,197.88","111,613,447.63","174,993,478.24","24,019,594.28","78,876,538.46","122,338,836.38","193,859,113.34","28,927,724.45","103,289,505.23","153,629,860.41","276,911,622.85","78,883,937.53","168,100,162.75","240,301,825.33","282,125,084.57","28,850,311.83"
四、净利润,"73,815,875.09","151,971,472.09","230,084,367.97","338,180,968.38","86,186,467.43","202,261,256.18","308,347,718.38","463,531,822.92","113,641,454.91","267,382,590.41","413,317,650.61","609,195,227.52","169,398,838.88","431,310,350.25","654,444,612.44","926,343,505.56","225,429,440.91","564,084,886.15","859,099,917.32","1,210,907,807.69","290,513,165.38","724,533,668.54","1,122,972,292.09","1,582,515,843.41","375,065,860.99","936,562,429.58","1,758,938,059.02","2,321,453,787.17","504,680,750.47","1,130,183,894.55","1,938,677,905.22","2,497,326,678.30","561,837,490.62","1,251,906,286.69","2,134,755,534.12","2,755,581,110.10","620,657,093.76","1,385,199,512.89","2,357,064,927.79","2,930,889,603.08","717,862,788.19","1,555,057,860.07","2,596,495,580.80","3,132,534,170.45","805,888,634.15","1,627,069,270.22","2,722,209,251.51","3,289,746,005.51","844,976,581.24"
其中:对联营企业和合营企业的投资权益,,,,,,"-275,313.55","-437,638.36",,"-166,082.31","-206,180.49","-726,289.71","-1,092,102.51","-232,605.81","-573,578.76","-798,624.46","-1,655,900.16","-275,552.28","8,222,305.78","7,959,260.36","-892,846.41","-221,564.01","-505,633.41","-777,622.06","-154,371.07",,,"-2,034,153.93","-1,861,432.52","227,018.84","-510,947.60","-763,670.13","-1,152,170.92","-166,665.27","-366,521.20","-460,222.51","-1,258,065.90","-309,471.25","-306,938.16","-455,278.19","326,299.79",,,,"-8,418.40","682,648.92","504,502.00","415,888.17","300,542.07","-154,758.34"
归属于母公司所有者的净利润,"72,060,502.01","149,202,911.35","225,794,807.17","336,790,481.07","85,197,510.71","200,917,804.55","305,105,292.98","465,420,155.48","113,424,731.66","266,290,583.79","410,622,108.07","603,719,565.80","167,378,633.46","431,260,915.00","654,491,625.83","926,168,580.36","225,429,440.91","564,085,744.57","859,099,917.32","1,210,908,666.46","290,513,165.38","724,533,668.54","1,122,972,292.09","1,582,515,843.41","375,065,860.99","936,562,429.58","1,758,938,059.02","2,321,453,787.17","503,940,312.75","1,130,241,959.71","1,944,702,175.86","2,506,076,501.86","561,461,458.27","1,255,308,073.42","2,142,151,282.70","2,770,841,401.07","621,924,173.77","1,388,092,245.44","2,359,847,912.50","2,919,876,812.88","725,141,944.09","1,565,049,363.35","2,605,028,868.31","3,144,981,429.60","806,245,260.05","1,633,063,580.37","2,732,153,730.30","3,306,564,317.09","846,304,197.83"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"1,755,373.08","2,768,560.74","4,289,560.80","1,390,487.31","988,956.72","1,343,451.63","3,242,425.40","-1,888,332.56","216,723.25","1,092,006.62","2,695,542.54","5,475,661.72","2,020,205.42","49,435.25","-47,013.39","174,925.20",,-858.42,,-858.77,,,,,,,,,"740,437.72","-58,065.16","-6,024,270.64","-8,749,823.56","376,032.35","-3,401,786.73","-7,395,748.58","-15,260,290.97","-1,267,080.01","-2,892,732.55","-2,782,984.71","11,012,790.20","-7,279,155.90","-9,991,503.28","-8,533,287.51","-12,447,259.15","-356,625.90","-5,994,310.15","-9,944,478.79","-16,818,311.58","-1,327,616.59"
