科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"3,763,395,648.31","3,637,159,647.84","3,742,676,965.69","4,101,058,143.75","6,325,548,158.34","1,935,075,826.07","4,304,858,340.36","7,360,835,424.88","10,528,278,526.89","1,820,394,461.70","3,936,400,614.76","7,246,929,251.08","11,674,134,793.86","2,230,792,200.89","5,389,117,549.17","8,291,378,346.22","11,694,732,913.16","1,971,214,201.15","4,675,180,614.59","7,723,788,495.95","11,198,671,739.10","1,649,739,855.22","3,383,282,677.94","5,661,239,074.92","8,400,121,545.48","1,164,874,709.43","3,743,133,471.91","5,933,321,544.25","8,876,506,775.80","1,504,842,277.67","5,459,067,882.93","8,777,225,428.31","10,818,322,651.34","1,093,138,068.68","2,217,209,814.56"
二、营业利润,"506,974,028.04","312,343,322.27","247,416,720.06","380,757,850.21","531,770,926.54","186,096,483.13","412,672,732.45","694,367,339.66","724,894,422.65","90,822,861.72","124,970,579.84","180,701,846.38","209,103,700.48","29,426,192.37","81,308,417.91","100,214,099.27","87,355,629.08","-31,582,842.77","-79,897,888.58","-105,636,858.06","-95,092,702.12","-133,888,786.42","-354,513,577.40","-566,077,659.61","-1,155,292,003.35","-121,911,297.05","-329,089,639.17","-429,566,917.07","-535,385,518.89","-91,498,390.33","-311,583,574.64","-286,080,619.68","-482,034,259.43","-281,558,164.32","-467,918,810.25"
减:营业成本,"2,754,580,288.13","2,706,201,623.97","2,990,199,491.14","3,258,619,468.75","5,053,921,148.21","1,373,342,202.05","3,413,158,116.91","5,943,312,396.14","8,958,302,531.62","1,580,781,038.75","3,506,271,617.04","6,586,158,985.62","10,744,111,805.72","2,082,813,556.70","5,088,889,639.72","7,890,482,865.67","11,145,852,902.69","1,912,061,538.52","4,466,184,554.94","7,227,320,346.89","10,579,070,490.09","1,633,602,899.19","3,299,841,475.36","5,495,633,838.37","8,305,679,673.97","1,197,918,554.53","3,596,352,900.23","5,635,550,453.61","8,343,970,021.94","1,436,626,250.84","5,206,915,928.91","8,377,715,708.36","10,247,608,097.04","1,024,834,737.88","2,035,689,455.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,436,482.34","1,159,697.57","1,464,239.84","2,623,324.44","3,775,223.39","690,116.11","2,047,786.15","3,674,550.64","5,227,946.09","913,027.54","1,970,713.50","4,306,805.00","6,253,935.16","1,181,531.71","2,329,988.71","3,645,963.74","5,320,035.22","562,240.47","1,395,948.65","2,322,933.30","4,052,142.31","676,248.08","1,907,853.84","2,829,520.88","5,264,940.03","814,476.54","1,399,170.32","1,510,818.22","23,358,452.22","5,540,499.42","13,664,504.42","20,636,264.88","27,792,837.88","5,051,976.05","10,429,824.20"
营业外收入,"86,632,636.90","39,619,866.07","46,815,087.99","51,942,034.71","99,215,564.91","13,630,869.14","30,689,775.26","45,483,021.01","85,368,465.93","16,659,865.92","36,121,043.95","73,415,848.23","121,904,917.27","31,295,591.01","59,003,103.24","93,543,581.82","130,541,487.80","30,247,355.05","80,614,288.76","110,034,633.64","155,726,683.42","30,265,422.76","63,962,658.94","97,086,435.84","149,588,766.65","51,741,886.29","137,647,506.24","182,085,471.90","645,118,950.23","112,199,489.13","201,191,004.49","321,216,255.21","254,522,634.40","3,734,339.03","53,849,752.75"
销售费用,"35,623,062.74","33,517,441.37","45,704,854.45","49,689,167.67","75,130,359.33","19,105,703.24","37,342,309.48","81,804,079.50","115,015,298.62","18,253,302.11","43,466,572.29","90,247,504.15","142,060,847.51","20,344,337.29","60,220,280.77","110,256,778.53","182,349,982.16","61,093,518.77","141,262,192.52","241,757,917.92","305,063,215.31","27,939,541.00","125,853,474.58","211,600,223.68","319,262,481.37","28,001,837.80","80,769,035.91","138,616,325.89","207,539,775.94","27,505,153.49","99,263,853.84","146,552,689.20","190,100,853.42","31,124,952.24","80,022,847.67"
减:营业外支出,"8,336,937.28","10,612,084.89","12,838,531.26","26,282,700.36","32,151,481.81","1,614,492.91","6,713,848.98","7,852,444.87","41,234,988.70","1,714,559.87","3,393,140.12","5,928,704.41","16,129,398.82","963,491.24","9,229,897.52","11,349,355.48","14,642,075.82","1,250,495.90","2,867,045.59","5,911,033.05","11,067,703.47","694,163.90","2,792,030.69","8,751,288.77","20,405,365.37","3,716,695.74","7,354,750.90","11,142,167.49","21,656,146.31","1,098,288.87","20,004,423.75","22,597,770.63","31,535,166.12","1,068,788.77","2,047,170.90"
管理费用,"293,885,839.11","424,793,815.50","347,123,813.72","283,158,361.17","449,024,993.53","114,286,238.30","228,542,955.19","347,296,803.24","511,584,938.06","106,426,289.87","207,098,249.99","325,253,132.30","478,467,434.76","116,577,425.15","239,752,715.00","398,275,916.21","565,928,632.63","126,574,758.15","261,746,139.94","397,823,591.33","596,167,706.98","128,945,858.63","265,206,158.17","392,559,905.50","566,517,175.14","119,892,509.65","250,489,767.44","377,866,764.68","608,166,692.73","135,232,206.81","284,848,247.43","413,286,831.10","580,327,297.54","128,154,865.10","247,879,341.51"
其中:非流动资产处置净损失,"2,081,415.96","7,843,928.56","7,068,422.09","3,503,314.11","27,035,221.46",,"404,647.96",,"31,829,854.35",,"1,023,876.84",,"42,300.63",,,,"8,788,419.33",,"887,302.78",,"3,477,788.86","-33,169.34","206,948.21","3,034,100.24","7,791,215.51",,"1,122,013.94","4,097,628.96","4,423,535.96",,"533,840.54","752,425.13",,,
