科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"416,358,864.46","404,442,750.26","311,873,228.69","543,206,096.96","443,114,919.31","934,966,856.32","1,247,005,652.23","901,956,809.68","941,341,757.57","969,812,446.64","1,056,198,506.53","889,986,087.19","1,066,641,605.71","1,186,941,395.97","970,654,521.00","1,173,307,559.31","839,451,412.92","2,186,532,375.23","2,453,476,275.70","2,342,066,316.97","2,116,161,122.92","2,278,583,982.29","2,017,699,697.38"
短期借款,"246,387,223.37","229,618,549.31","218,281,831.60","625,056,647.79","178,053,107.69","604,292,451.03","883,577,473.72","685,419,892.04","244,195,150.10","712,086,224.30","824,048,024.54","513,608,416.33","108,981,049.90","788,561,022.99","601,682,605.47","507,340,029.36",,"303,291,682.29","83,872,000.00","132,738,000.00",,"398,442,115.03","490,274,000.00"
交易性金融资产,,"2,607,500.00","3,245,520.32","11,578,300.00","10,962,198.82","108,100.00","3,859,600.00","6,880,100.00","4,435,900.00","12,223,900.00","20,151,798.60","32,593.54",,,,,,,,"738,500.00","1,906,200.00","6,512,527.77","5,551,094.44"
交易性金融负债,"2,175,062.45",,,,,"2,120,879.10",,,,,,,"7,626,455.67","1,210,800.00","530,400.00",,,,,,,,"39,615,910.00"
应收票据,"28,235,870.61","37,472,757.41","19,981,481.20","23,628,281.54","16,366,163.40","30,094,425.59","23,051,002.39","30,417,069.32","31,029,360.12","25,118,225.39","18,681,661.04","16,156,764.27","30,495,729.99","40,374,728.81","25,662,430.88","48,088,626.30","67,451,502.34","50,594,884.64","43,783,206.60","45,433,270.39","63,730,215.39","61,532,974.08","72,516,035.35"
应付票据,"912,252,793.36","1,031,762,165.56","793,626,279.23","748,381,001.91","989,729,674.57","751,048,443.29","759,444,443.92","928,456,495.48","1,003,765,774.26","837,716,457.57","916,488,450.77","1,069,822,160.67","1,074,204,516.56","847,088,339.55","992,137,673.31","1,203,311,025.95","1,361,364,514.83","1,126,555,339.10","1,320,526,433.96","1,566,185,395.22","1,557,672,010.63","1,388,729,133.43","1,460,936,250.59"
应收账款,"539,035,804.39","545,673,078.82","527,554,437.47","423,681,753.19","490,955,761.23","349,852,723.95","484,850,267.29","780,235,129.94","611,932,059.84","498,341,405.93","695,239,988.81","948,485,623.77","735,837,190.89","560,807,875.31","617,112,075.69","931,806,074.43","681,876,370.37","661,423,994.52","788,077,682.02","1,068,384,474.94","823,191,235.23","681,826,188.21","946,441,206.79"
应付账款,"380,354,969.94","442,349,268.52","380,793,715.59","529,451,010.90","549,599,700.92","423,024,573.17","429,042,954.71","618,867,748.71","576,318,483.88","452,340,805.03","578,733,720.95","654,278,306.72","615,226,821.95","538,098,911.76","650,627,163.75","799,072,017.04","919,406,769.66","857,324,961.94","834,891,374.02","818,358,533.27","871,457,193.54","604,680,723.35","664,799,175.86"
预付款项,"22,875,839.04","25,503,420.22","17,182,995.23","38,261,668.23","25,511,588.39","45,753,580.48","40,772,737.86","30,727,865.68","33,292,826.85","41,455,108.57","26,811,418.96","34,540,221.61","24,781,403.45","26,351,934.08","28,221,704.90","26,173,417.73","18,039,740.07","34,178,020.74","32,620,615.83","61,302,779.83","30,333,529.16","40,394,670.38","46,354,526.88"
预收款项,"42,884,654.85","54,258,374.90","117,406,309.01","80,851,445.18","96,537,352.92","118,835,826.50","90,456,066.31","111,167,797.65","105,675,075.79","125,430,491.90","117,667,555.88","124,234,588.84","164,169,830.07","131,726,585.03","98,207,083.51","107,611,687.32","109,694,154.08","124,553,681.75","120,764,927.69","136,837,648.41","87,660,346.11","94,307,607.68","97,231,500.02"
