科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"222,617,619.51","308,998,527.94","559,146,168.40","432,122,936.07","620,356,390.76","836,233,078.66","316,738,050.30","546,406,819.59","782,288,044.19","1,117,494,681.50","369,931,691.72","684,154,842.40","1,003,532,354.64","1,378,831,197.85","333,870,757.09","617,553,858.77","885,372,074.45","1,235,436,757.74","326,894,836.45","569,419,889.00","836,741,525.84","1,144,252,813.08","266,293,323.00","472,713,192.55","826,184,545.74","1,367,738,330.66","536,006,887.14","1,057,329,597.65","1,644,657,396.71"
二、营业利润,"74,006,329.15","92,912,830.81","175,912,519.15","113,691,140.09","173,064,485.22","246,975,396.66","97,184,774.42","165,574,022.68","247,623,197.13","271,014,711.28","107,872,110.77","193,255,494.17","244,956,422.60","275,596,392.28","61,666,460.57","103,634,789.37","93,842,764.57","141,259,205.51","39,621,440.94","49,026,070.70","47,380,785.70","72,507,509.97","25,416,178.59","35,054,275.74","64,508,424.61","140,572,499.66","32,199,075.67","49,837,325.61","95,166,290.96"
减:营业成本,"109,488,278.91","140,693,926.61","242,042,836.75","178,364,323.46","250,257,464.22","334,819,814.62","124,354,763.71","206,501,716.46","297,189,090.99","434,700,791.30","144,586,745.97","259,368,584.88","380,537,329.10","527,813,792.45","139,288,316.40","234,231,679.48","345,994,182.85","485,977,439.22","136,136,966.61","230,513,323.25","342,275,974.12","469,222,816.40","115,917,866.79","207,578,143.53","364,764,179.68","616,036,716.90","245,737,108.42","503,789,428.04","753,296,820.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"245,240.79","358,705.47","1,714,203.49","4,695,061.62","5,873,761.30","6,431,800.50","2,970,967.67","5,800,084.88","7,741,349.42","10,461,278.98","3,386,535.34","6,990,088.89","10,846,262.68","13,389,822.51","3,589,115.81","7,680,923.01","16,228,373.69","17,896,984.35","2,576,739.51","4,309,530.81","6,888,416.44","8,913,136.37","2,948,184.63","5,060,966.27","8,677,388.59","12,932,410.08","3,795,221.42","7,992,214.37","12,604,423.50"
营业外收入,"50,000.00","865,904.11","810,000.00",300.00,"547,059.61","662,144.38","298,259.21","9,182,696.00","9,485,372.33","11,331,638.24","2,859,457.02","2,845,057.82","16,748,765.46","16,505,426.42","16,446,454.61","16,639,975.90","16,797,768.89","18,165,653.91","746,002.86","999,169.96","2,138,109.80","8,218,099.36","1,222,963.88","1,465,924.81","27,264,401.85","52,601,966.75","2,245,536.92","3,013,834.91","11,041,201.79"
销售费用,"22,932,232.95","44,037,710.74","82,763,404.57","74,594,680.77","107,489,759.35","147,863,535.31","63,771,681.80","110,958,679.82","168,081,137.34","254,008,450.23","78,774,006.45","151,969,605.59","257,503,851.99","390,893,922.66","97,810,598.88","187,714,174.27","293,866,174.13","394,974,362.21","106,872,012.76","192,806,178.83","287,797,884.61","407,938,634.92","101,314,828.83","184,803,842.71","303,194,591.16","476,425,840.59","189,377,457.56","374,659,596.90","573,532,224.61"
减:营业外支出,"10,800.00",13.11,"355,025.00","20,000.00","27,804.51","196,615.09","3,000,253.47","3,280,526.67","3,872,723.67","3,621,027.84","179,675.36","243,513.77","851,011.35","651,486.92","-23,362.00","20,700.00","28,600.00","1,077,690.33","368,000.00","1,634,226.64","1,262,018.45","3,482,767.03","7,805.06","861,187.87","154,255.58","2,692,762.42","3,114,739.08","4,421,221.09","4,850,870.74"
管理费用,"16,158,776.92","29,445,495.31","56,599,260.59","61,000,946.63","86,583,321.62","115,270,565.41","36,829,534.89","71,407,800.48","85,589,332.47","169,966,686.41","40,238,639.96","87,111,749.73","126,419,736.70","185,190,338.60","38,376,930.10","88,974,478.87","140,496,070.30","192,235,232.78","39,936,847.74","84,118,631.11","135,546,435.15","190,458,402.86","37,327,014.35","80,060,309.86","141,806,250.32","209,292,747.39","70,033,882.97","135,277,479.53","211,177,352.70"
其中:非流动资产处置净损失,,,,,,"7,804.51",,,,,,,,"1,458.16",,,,,,,,"116,211.76",,,,"1,460,086.47",,"325,664.71","332,566.87"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-1,785,542.79","-284,342.52","-1,392,320.14","-1,794,312.42","-4,684,981.78","-19,778,096.33","-12,360,841.56","-23,818,746.42","-35,487,181.55","-43,864,169.69","-10,354,144.82","-20,224,954.68","-28,922,241.91","-29,214,830.66","-879,288.29","-728,702.14","-834,277.86","6,310,712.33","4,646,260.60","17,266,095.45","22,735,447.44","26,619,356.24","-1,389,456.64","857,932.85","6,047,579.98","8,735,578.87","10,185,410.02","19,511,958.90","40,349,970.76"
三、利润总额,"74,045,529.15","93,778,721.81","176,367,494.15","113,671,440.09","173,583,740.32","247,440,925.95","94,482,780.16","171,476,192.01","253,235,845.79","278,725,321.68","110,551,892.43","195,857,038.22","260,854,176.71","291,450,331.78","78,136,277.18","120,254,065.27","110,611,933.46","158,347,169.09","39,999,443.80","48,391,014.02","48,256,877.05","77,242,842.30","26,631,337.41","35,659,012.68","91,618,570.88","190,481,703.99","31,329,873.51","48,429,939.43","101,356,622.01"
资产减值损失,"1,572,303.58","1,834,201.52","1,506,263.99","1,578,735.52","1,803,220.43","4,680,702.09","3,987,169.37","9,983,261.69","11,551,118.39","21,206,932.99","5,427,798.05","7,643,107.16","16,462,223.99","31,826,490.37","10,497,276.81","27,582,201.01","41,199,245.54","52,571,066.28","6,009,155.41","9,361,606.94","32,990,215.23","14,608,202.65","4,406,664.06","1,963,520.10","-1,802,808.28","-12,686,094.37","4,004,721.35","-2,878,890.42","21,772,552.17"
减:所得税,"-64,516.78","3,569,633.20","24,249,869.48","17,475,309.19","26,322,591.35","38,780,166.07","16,030,516.12","29,082,477.53","45,369,456.91","47,434,644.66","24,662,410.80","46,712,026.11","49,278,746.76","57,713,075.11","16,333,654.44","23,073,495.04","22,547,786.87","37,122,228.62","3,882,785.01","5,124,562.69","243,844.87","2,786,408.97","-433,267.33","-2,741,010.27","-595,196.91","6,637,261.78","863,663.69","4,448,380.67","2,767,167.17"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"7,639.60","30,639.60","30,639.60",,,,,,"1,958,833.34","4,271,230.51","16,664,730.36","16,478,653.19","31,535,685.10","45,420,458.77","55,788,244.94","8,904,587.12","17,981,548.09","38,873,632.85","46,015,246.33","19,647,957.61","42,665,798.51","61,011,060.32","83,571,368.46","19,325,990.27","30,859,515.28","63,242,238.41"
四、净利润,"74,110,045.93","90,209,088.61","152,117,624.67","96,196,130.90","147,261,148.97","208,660,759.88","78,452,264.04","142,393,714.48","207,866,388.88","231,290,677.02","85,889,481.63","149,145,012.11","211,575,429.95","233,737,256.67","61,802,622.74","97,180,570.23","88,064,146.59","121,224,940.47","36,116,658.79","43,266,451.33","48,013,032.18","74,456,433.33","27,064,604.74","38,400,022.95","92,213,767.79","183,844,442.21","30,466,209.82","43,981,558.76","98,589,454.84"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,"64,349,835.51",,,
归属于母公司所有者的净利润,"37,645,249.73","62,381,375.51","123,287,041.30","96,196,130.90","147,261,148.97","208,660,759.88","78,452,264.04","142,393,714.48","207,866,388.88","231,290,677.02","85,889,481.63","149,145,012.11","211,575,429.95","233,737,256.67","61,802,622.74","97,180,570.23","88,064,146.59","121,224,940.47","36,116,658.79","43,266,451.33","48,013,032.18","74,456,433.33","27,064,604.74","38,400,022.95","82,438,011.58","164,015,756.96","35,128,112.69","54,279,236.98","102,254,450.23"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"36,464,796.20","27,827,713.10","28,830,583.37",,,,,,,,,,,,,,,,,,,,,,"9,775,756.21","19,828,685.25","-4,661,902.87","-10,297,678.22","-3,664,995.39"
