科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"82,907,562.76","71,026,863.70","91,116,617.64","44,066,650.73","82,674,234.20","290,772,076.00","268,894,313.61","222,606,953.68","305,925,917.18","202,879,680.18","191,166,047.37","182,234,061.00","250,449,971.49","275,147,820.39","355,518,424.23","292,887,612.67","395,778,047.83","297,992,235.65"
短期借款,"2,000,000.00","10,000,000.00","10,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","1,300,000.00",,"110,090,000.00","195,090,000.00","210,090,000.00","210,000,000.00","290,000,000.00","309,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"35,337,802.80","40,589,568.36","36,652,221.28","36,235,200.00","53,802,500.00","48,527,399.00","45,983,347.80","38,522,772.71","68,931,994.67","41,278,508.28","40,410,042.16","40,652,317.41","48,708,216.19","54,438,502.40","45,462,204.75","61,437,481.82","76,372,055.71","90,959,308.26"
应付票据,,"13,515,677.07","27,739,258.59","28,565,523.98","55,990,740.69","47,603,731.73","36,376,635.66","51,371,468.46","52,484,143.91","53,025,880.14","50,149,978.28","28,090,306.31","47,623,645.53","70,061,773.87","56,868,488.55","79,973,689.19","93,233,094.73","67,743,645.25"
应收账款,"97,988,663.45","111,119,778.47","118,505,558.86","153,570,979.26","144,059,120.32","148,774,215.24","186,508,451.75","192,314,846.55","282,505,621.43","294,521,501.15","342,093,411.63","315,371,869.69","371,077,251.05","378,172,042.78","430,492,586.96","425,231,380.56","455,838,025.36","426,022,550.68"
应付账款,"25,719,673.05","26,786,878.27","28,896,961.90","49,336,221.86","43,802,227.92","39,258,884.64","39,005,094.32","43,795,890.70","104,120,795.10","81,721,044.84","88,800,741.48","84,350,956.84","112,356,530.09","116,330,923.65","142,863,015.66","148,174,818.83","196,477,308.21","176,010,601.35"
预付款项,"21,911,608.05","2,985,314.44","12,830,528.11","27,496,870.55","13,722,239.40","22,481,775.23","23,312,514.03","34,963,159.45","21,089,366.95","26,133,461.36","17,214,711.82","22,316,411.29","31,192,393.89","38,856,769.99","33,965,236.58","71,283,997.82","51,284,572.17","83,095,763.84"
预收款项,"51,551,058.68","42,394,058.28","23,811,073.52","39,725,844.83","27,338,689.91","30,117,244.92","21,775,403.33","27,072,400.66","50,017,278.88","65,123,454.40","58,693,497.01","80,917,769.60","64,889,975.69","70,433,478.06","78,427,959.75","110,734,578.49","102,842,788.03","142,286,654.61"
其他应收款,"2,650,466.11","2,646,916.07","4,729,657.82","4,475,308.27","4,321,620.88","10,509,029.33","8,505,292.91","11,286,505.39","11,937,304.78","17,896,959.05","25,150,235.80","25,110,181.76","28,402,713.23","48,810,271.23","39,028,815.45","47,087,167.87","37,102,596.70","38,651,756.73"
应付职工薪酬,"6,629,942.01","7,100,576.85","6,122,990.70","2,631,957.42","9,660,571.93","2,862,135.26","3,648,329.58","2,057,146.20","25,151,090.02","12,374,692.42","14,127,028.39","14,598,479.48","25,882,700.46","12,379,615.93","15,254,800.78","16,296,305.36","38,330,137.81","14,021,594.22"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"6,274,543.95","6,785,723.76","8,709,310.37","-1,727,818.82","572,674.67","-2,139,559.18","6,965,722.14","2,646,406.99","62,836,311.89","5,085,456.09","16,641,535.87","9,247,259.95","14,452,954.72","4,634,429.06","22,090,797.21","17,174,353.17","36,937,762.51","15,125,393.77"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"8,513,340.00",,,,"10,830,253.98",,,
存货,"83,233,876.55","82,141,448.30","66,065,896.46","99,052,045.67","103,141,360.31","118,069,944.39","100,958,048.76","128,792,355.43","235,437,465.28","235,567,587.67","220,860,295.55","220,452,992.61","225,121,058.11","273,132,118.13","270,022,922.71","335,539,957.68","349,365,032.22","404,465,061.54"
其他应付款,"743,357.65","2,774,154.31","3,978,654.50","3,459,116.39","1,901,726.56","2,701,230.69","3,756,266.33","4,719,712.46","13,067,887.30","13,050,979.11","26,688,686.73","15,566,720.57","32,478,903.89","43,195,530.21","82,638,524.18","74,741,299.82","84,252,524.86","83,656,305.75"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"5,000,000.00",,,,,,,,,,,,"8,500,000.00","4,500,000.00","15,800,000.00","19,100,000.00","20,900,000.00","21,400,000.00"
其他流动资产,"1,211,057.76","2,571,437.22","2,432,962.26","2,610,320.76","2,599,000.01",,"613,207.54","1,132,075.46","1,951,347.93","4,146,736.22","3,050,109.54","994,550.64","2,637,259.22","2,560,675.76","1,453,264.45","1,558,930.21","5,414,397.11","6,079,689.87"
其他流动负债,,,,,,,,,,,,,,,,,,
流动资产合计,"325,241,037.48","313,081,326.56","332,333,442.43","367,507,375.24","404,320,075.12","639,134,439.19","634,775,176.40","629,618,668.67","927,779,018.22","822,424,433.91","839,944,853.87","807,132,384.40","957,588,863.18","1,071,118,200.68","1,175,943,455.13","1,235,026,528.63","1,371,154,727.10","1,347,266,366.57"
流动负债合计,"97,918,575.34","109,357,068.54","109,258,249.58","151,990,845.66","169,266,631.68","150,403,668.06","141,527,451.36","141,663,025.47","317,677,507.10","240,381,507.00","264,914,807.76","232,771,492.75","416,274,710.38","516,625,750.78","634,863,840.11","676,195,044.86","862,973,616.15","829,244,194.95"
可供出售金融资产,,,,,,,"700,000.00","700,000.00","26,400,000.00","26,400,000.00","26,400,000.00","26,400,000.00","26,400,000.00","26,400,000.00","26,400,000.00","26,400,000.00","26,400,000.00","26,400,000.00"
长期借款,,,,,,,,,,,,,"76,100,000.00","76,100,000.00","60,300,000.00","54,000,000.00","45,900,000.00","42,400,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,"8,123,016.78","8,123,016.78","4,061,508.39","4,061,508.39","4,061,508.39","4,061,508.39",,,,,,,"12,714,209.70","12,714,209.70","66,071,839.94","66,152,317.49"
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,"37,100,000.00","47,100,000.00","47,767,898.35","48,758,196.40","49,673,359.38","58,815,028.09"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
