科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31
货币资金,"33,614,327.31","25,717,353.35","22,372,201.55","33,298,382.96","68,925,106.39","52,823,124.60","22,529,867.12","27,476,289.52","46,777,746.44"
短期借款,"130,000,000.00","105,000,000.00","138,500,000.00","214,223,525.73","203,500,000.00","208,500,000.00","238,500,000.00","238,500,000.00","263,500,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"19,590,784.64","22,509,562.77","25,511,282.35","81,625,817.85","14,595,347.70","11,455,507.50","3,781,995.00","28,594,816.04","25,957,124.97"
应付票据,,,,"9,876,366.50",,"3,000,000.00","10,250,000.00","16,250,000.00","23,070,000.00"
应收账款,"29,330,401.30","18,993,734.58","18,798,386.52","18,485,176.83","10,464,880.77","7,236,306.02","6,165,460.04","2,084,632.97","7,499,406.01"
应付账款,"24,860,828.88","24,437,738.46","25,551,031.00","28,015,724.23","53,605,880.66","37,809,016.42","61,174,875.21","71,786,448.71","67,505,217.26"
预付款项,"16,675,704.13","8,286,564.35","24,294,524.64","14,903,279.42","15,396,765.93","16,817,376.23","7,278,051.72","5,481,177.38","7,384,603.25"
预收款项,"19,615,270.82","28,583,945.93","15,069,238.93","15,681,617.79","34,698,317.58","19,715,362.05","13,993,367.18","13,222,174.96","16,797,969.26"
其他应收款,"6,371,128.37","7,982,333.68","8,719,326.82","2,209,125.01","4,875,351.27","3,657,260.97","6,124,442.51","3,099,224.29","3,395,682.33"
应付职工薪酬,"3,035,289.43","6,332,860.55","7,201,334.79","7,399,706.98","1,235,858.61","1,595,860.05","1,537,810.53","3,149,023.07","3,255,939.57"
应收关联公司款,,,,,,,,,
应交税费,"-877,416.34","-1,610,019.48","4,138,970.83","6,581,792.87","-4,731,965.65","3,236,612.63","-1,189,510.50","-1,442,159.87","-2,533,229.83"
应收利息,,,,,,,,,
应付利息,,,,"400,160.29",,"402,012.16",,"458,923.00",
应收股利,,,,,,,,,
应付股利,,"9,141,298.80",,,,,,582.00,582.00
存货,"68,736,794.78","81,541,470.92","106,638,546.11","103,741,409.00","130,412,195.42","107,218,358.83","131,552,548.74","100,902,211.35","96,860,060.24"
其他应付款,"47,098,728.19","26,439,693.11","31,030,091.15","8,355,190.49","13,239,781.88","11,780,098.12","9,567,024.50","11,000,578.95","12,269,705.41"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"34,633,706.88","34,633,706.88","34,633,706.88","4,633,706.88",,,,,
其他流动资产,,,,,,,,,
