科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"940,610,214.80","2,040,844,459.83","1,339,227,536.64","2,060,659,492.88","2,863,714,819.64","974,032,742.74","1,704,132,739.58","2,674,330,701.33","3,660,625,663.04","1,418,647,499.73","2,398,081,169.63","3,759,285,150.14","5,118,730,734.72","2,009,730,859.02","3,228,747,651.22","5,003,364,864.07","6,657,422,275.04","2,152,367,035.26","3,714,200,476.14","5,810,551,127.05","7,579,976,997.71","2,487,056,305.24","4,177,835,237.21","6,316,604,738.34","8,194,629,578.58","2,241,448,925.87","3,891,127,332.75","5,777,938,994.63","6,944,958,338.01","2,066,148,900.23","3,762,149,948.96","5,625,479,437.27","6,958,345,764.53","2,135,814,343.43","3,736,136,334.98","5,586,407,233.39","7,027,245,375.78","2,176,079,999.21","3,673,912,047.53","5,778,326,318.46","7,404,787,973.91","2,070,924,462.39","3,692,457,534.99"
取得子公司及其他营业单位支付的现金净额,,,,,"22,430,000.00",,"44,247,263.57","44,247,263.57","44,247,263.57",,,"1,000,000.00","2,835,380.00",,,,,,,"10,000,000.00","29,669,234.40",,,,"20,790,000.00",,,,,,,,,"126,541,476.14","126,541,476.14","126,541,476.14","126,541,476.14",,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,"515,553.00",,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,"3,000,000.00","3,020,000.00","30,000,000.00",,,,"100,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"1,208,242.07","34,947,641.77","16,247,105.48","24,474,954.86","19,096,349.95","10,454,025.22","15,363,429.95","28,609,474.27","69,604,252.79","12,112,704.46","21,247,402.18","31,578,619.66","69,035,316.42","23,786,758.50","53,798,043.92","67,427,031.60","101,921,853.44","27,147,838.44","56,320,241.26","75,022,684.37","481,204,956.26","28,034,956.01","91,627,984.65","117,247,446.76","299,796,553.07","29,550,138.23","63,171,158.70","110,935,537.75","370,192,676.56","31,061,789.01","65,912,052.10","101,572,069.18","336,789,593.33","39,728,050.26","79,890,241.16","118,686,479.52","363,193,282.80","41,512,275.79","137,088,706.07","186,266,063.82","343,864,648.41","49,328,558.69","129,695,940.04"
投资活动现金流出小计,"46,216,696.61","66,286,409.50","20,834,810.52","68,164,942.11","133,931,431.07","62,025,952.05","126,252,274.32","155,427,031.39","255,737,635.88","87,041,276.75","156,850,346.35","187,724,137.36","302,836,342.08","21,736,871.58","83,710,597.54","122,605,449.10","330,810,692.39","152,685,471.03","252,361,723.92","309,056,195.98","321,471,501.13","103,890,708.53","147,616,483.28","405,937,021.01","629,074,092.35","42,778,035.22","153,165,615.75","220,057,978.10","341,476,441.39","51,884,386.31","103,787,902.29","129,858,049.99","319,336,802.51","152,014,776.27","175,559,688.25","774,061,216.83","835,009,911.99","100,860,515.05","44,200,610.20","77,139,133.35","183,236,091.20","117,896,228.09","135,046,048.45"
经营活动现金流入小计,"941,818,456.87","2,075,792,101.60","1,355,474,642.12","2,085,134,447.74","2,882,811,169.59","984,486,767.96","1,719,496,169.53","2,702,940,175.60","3,730,229,915.83","1,430,760,204.19","2,419,328,571.81","3,790,863,769.80","5,187,766,051.14","2,033,517,617.52","3,282,545,695.14","5,070,791,895.67","6,759,344,128.48","2,179,514,873.70","3,770,520,717.40","5,885,573,811.42","8,061,697,506.97","2,515,091,261.25","4,269,463,221.86","6,433,852,185.10","8,494,426,131.65","2,270,999,064.10","3,954,298,491.45","5,888,874,532.38","7,315,151,014.57","2,097,210,689.24","3,828,062,001.06","5,727,051,506.45","7,295,135,357.86","2,175,542,393.69","3,816,026,576.14","5,705,093,712.91","7,390,438,658.58","2,217,592,275.00","3,811,000,753.60","5,964,592,382.28","7,748,652,622.32","2,120,253,021.08","3,822,153,475.03"
投资活动产生的现金流量净额,"79,395,932.10","58,882,989.09","-20,766,656.69","-61,092,795.28","-124,863,316.93","-61,989,358.09","-121,330,130.36","-150,504,337.43","-250,762,490.93","-87,020,226.90","-156,815,167.00","-187,654,757.21","-290,197,145.95","-21,565,263.38","-83,363,768.84","-122,066,617.84","-330,229,003.34","-152,116,471.33","-251,767,209.79","-208,288,762.52","-320,348,941.66","-103,819,417.25","-147,391,462.10","-405,476,443.88","-545,130,080.39","-42,565,200.18","-152,686,369.49","-203,362,252.59","-307,398,197.31","-51,298,660.45","-83,580,588.83","-109,419,517.93","-296,689,521.46","-151,696,673.80","-173,973,062.22","16,609,657.61","272,037.85","36,584,779.98","115,915,839.50","204,643,722.87","191,086,484.66","-117,832,945.68","-134,929,977.01"
购买商品、接受劳务支付的现金,"773,757,847.85","1,648,016,854.61","1,127,413,942.38","1,660,793,057.04","2,308,710,099.31","772,880,474.39","1,425,984,094.23","2,135,358,089.47","2,940,244,637.60","1,053,790,463.88","1,953,704,591.12","2,891,079,734.52","4,060,656,801.63","1,493,685,734.72","2,583,819,489.15","3,787,185,410.21","5,206,939,170.28","1,641,295,251.47","2,956,605,074.41","4,471,679,758.21","5,949,621,513.35","2,001,165,846.07","3,506,725,284.56","5,124,656,984.19","6,344,536,645.36","1,902,446,828.00","3,351,133,424.62","4,937,121,762.25","5,899,484,186.17","1,612,966,596.02","3,124,636,345.22","4,539,551,497.35","5,783,496,084.50","1,795,472,080.98","3,176,252,059.99","4,566,105,381.40","5,846,421,269.49","1,747,041,273.03","2,964,034,376.87","4,654,094,943.65","6,157,187,507.96","1,627,588,509.86","3,022,773,300.13"
吸收投资收到的现金,"6,000,000.00","6,000,000.00",,"302,905,453.75","302,905,453.75",,,"5,880,000.00","14,280,000.00",,,,,,,,"442,059,992.84",,,"32,048,946.00","32,048,946.00","20,000,000.00","20,000,000.00","20,000,000.00","4,500,000.00",,,"700,000.00","5,200,000.00",,,,"1,100,000.00","540,385,825.92","539,165,825.92","539,165,825.92","545,845,825.92","980,000.00","4,429,600.00","4,429,600.00","5,429,200.00",,
